hanzi,tl
春,Tshun
是,Sī
柑,Kam
查,Tsa
查,Tse
洒,Sè
洒,Sá
洗,Sé
洗,Sué
皆,Kai
盆,Phûn
省,Síng
省,Sénn
秋,Tshiu
科,Kho
科,Khe
科,Khoo
約,Iok
約,Ioh
美,Bí
耐,Nāi
苦,Khóo
衫,Sann
衫,Sam
降,Kàng
革,Kik
風,Hong
修,Siu
埕,Tiânn
埕,Tîng
孫,Sun
孫,Sng
孫,Suinn
容,Iông
展,Tián
島,Tó
島,Tóo
席,Tshio̍h
庫,Khòo
徒,Tôo
恭,Kiong
效,Hāu
時,Sî
柴,Tshâ
校,Hāu
根,Kin
根,Kun
海,Hái
烏,Oo
珠,Tsu
班,Pan
真,Tsin
祖,Tsóo
祝,Tsiok
神,Sîn
納,La̍p
素,Sòo
能,Lîng
茶,Tê
荏,Lám
荏,Jím
荏,Lím
荏,Gím
記,Kì
豹,Pà
財,Tsâi
起,Khí
酒,Tsiú
閃,Siám
院,Īnn
高,Ko
停,Thîng
剪,Tsián
勒,Li̍k
務,Bū
匙,Sî
區,Oo
國,Kok
堅,Kian
堆,Tui
堵,Tóo
夠,Kàu
夠,Kiò
夠,Kòo
強,Kiông
強,Kiâng
排,Pâi
晡,Poo
犁,Lê
犁,Luê
理,Lí
盛,Siānn
盛,Sīng
符,Hû
第,Tē
第,Tuē
細,Sè
細,Suè
莫,Bo̍h
莫,Bo̍k
赦,Sià
部,Pōo
野,Iá
釧,Tshuan
釧,Tshuàn
閉,Pì
頂,Tíng
鹿,Lo̍k
麥,Be̍h
勞,Lô
勞,Lôo
博,Phok
善,Siān
圍,Uî
堪,Kham
尊,Tsun
提,Thê
換,Uānn
換,Huān
景,Kíng
朝,Tiau
棋,Kî
棗,Tsó
渡,Tōo
湖,Ôo
猴,Kâu
琴,Khîm
番,Huan
硯,Hīnn
稅,Suè
稅,Sè
筆,Pit
絲,Si
貴,Kuì
費,Huì
費,Pì
越,Ua̍t
鈕,Liú
雁,Gān
雲,Hûn
雲,Ûn
雲,În
項,Hāng
順,Sūn
嗄,Sà
塔,Thap
媽,Má
幹,Kàn
意,Ì
愛,Ài
敬,Kìng
新,Sin
會,Kuè
楠,Lâm
業,Gia̍p
滑,Hu̍t
煙,Ian
獅,Sai
獅,Su
群,Kûn
義,Gī
萬,Bān
號,Hō
號,Hōo
裘,Kiû
補,Póo
詩,Si
該,Kai
路,Lōo
載,Tsài
農,Lông
遇,Gū
遇,Gī
遊,Iû
道,Tō
道,Tōo
鈴,Lîng
雷,Luî
電,Tiān
圖,Tôo
團,Thuân
壽,Siū
暢,Thiòng
暢,Thiàng
滾,Kún
漆,Tshat
演,Ián
漢,Hàn
熊,Hîm
福,Hok
舞,Bú
銀,Gîn
銀,Gûn
銅,Tâng
鳳,Hōng
齊,Tsê
齊,Tsiâu
齊,Tsâu
墜,Tuī
審,Sím
德,Tik
播,Pòo
樂,Ga̍k
樓,Lâu
潤,Jūn
潤,Lūn
潭,Thâm
線,Sàn
練,Liān
蝦,Hê
蝦,Hâ
調,Tiāu
談,Tâm
賢,Hiân
遷,Tshian
魯,Lóo
戰,Tsiàn
積,Tsik
縣,Hiān
興,Hing
興,Hin
隨,Suî
戲,Hì
穗,Suī
糜,Bî
臨,Lîm
鍊,Liān
壘,Luí
歸,Ka
甕,Àng
甕,Òng
禮,Lé
簫,Siau
織,Tsit
職,Tsit
鎖,Tshó
鎮,Tìn
雙,Siang
雙,Sang
雞,Ke
雞,Kue
顏,Gân
瀨,Luā
瀨,Lāi
瀨,Nāi
繳,Kiáu
證,Tsìng
證,Tsìn
鏡,Kiànn
霧,Bū
類,Luī
嚴,Giâm
寶,Pó
爐,Lôo
礦,Khòng
鐘,Tsing
鐘,Tsiong
饒,Jiâu
饒,Liâu
饒,Giâu
黨,Tóng
蘭,Lân
辯,Piān
露,Lōo
顧,Kòo
囊,Lông
欉,Tsâng
權,Khuân
權,Kuân
靈,Lîng
鬱,Ut
𣛮,Siānn
川,Tshuan
已,Í
云,Ûn
云,În
介,Kài
元,Guân
及,Ki̍p
巴,Pa
且,Tshiánn
叭,Phuat
右,Iū
尼,Nî
尼,Lî
左,Tsó
左,Tsóo
巨,Kī
巨,Kū
弘,Hông
必,Pit
札,Tsat
永,Íng
玄,Hiân
田,Tiân
田,Tshân
矢,Sí
禾,Hô
禾,Hôo
仰,Gióng
仰,Giáng
仲,Tiōng
仵,Ngóo
伍,Ngóo
伏,Ho̍k
伙,Hué
伙,Hé
危,Guî
吏,Lī
夷,Î
宇,Ú
宇,Í
旭,Hiok
朴,Phok
灰,Hue
灰,He
羽,Ú
羽,Í
佃,Tiān
但,Tān
