"DictWordID","PojUnicode","PojUnicodeOthers","PojInput","PojInputOthers","KipUnicode","KipUnicodeOthers","KipInput","KipInputOthers","HanLoTaibunKip","KipDictHanjiTaibunOthers","KipDictWordProperty","HoaBun","KaisoehHanLoPoj","KaisoehHanLoKip","KipDictDialects","Synonym","Opposite"
"9578","poaⁿ-chhiáⁿ","","poann-chhiann2","","puann-tshiánn","","puann-tshiann2","","搬請","","","請","【動】請出更高位或更大牌、更有份量的人來應付狀況。例：這个問題真專業，愛搬請專家來提供意見。Chit ê būn-tê chin choan-gia̍p, ài poaⁿ-chhiáⁿ choan-ka lâi thê-kiong ì-kiàn. (這個問題很專業，要請專家來提供意見。)　","【動】請出更高位或更大牌、更有份量的人來應付狀況。例：這个問題真專業，愛搬請專家來提供意見。Tsit ê būn-tê tsin tsuan-gia̍p, ài puann-tshiánn tsuan-ka lâi thê-kiong ì-kiàn. (這個問題很專業，要請專家來提供意見。)　","","",""
"9579","sin-le̍k","","sin-lek8","","sin-li̍k","","sin-lik8","","新曆","","","國曆、陽曆、新曆","【名】民國以後採用世界通行的新曆法，屬「陽曆」的一種，以別於漢族傳統通行的「舊曆」。","【名】民國以後採用世界通行的新曆法，屬「陽曆」的一種，以別於漢族傳統通行的「舊曆」。","","陽曆、國曆","舊曆、農曆"
"9580","sin-heng","","sin-heng","","sin-hing","","sin-hing","","新興","","","新興","【動】最近興起，正在流行。例：新興的行業　sin-heng ê hâng-gia̍p。","【動】最近興起，正在流行。例：新興的行業　sin-hing ê hâng-gia̍p。","","",""
"9581","sńg-tn̄g","","sng2-tng7","","sńg-tn̄g","","sng2-tng7","","損蕩","損盪","","浪費、糟蹋、蹧蹋","【動】破壞、蹧蹋。例：山頂彼陣猴定定落山來損蕩人的果子園。Soaⁿ-téng hit tīn kâu tiāⁿ-tiāⁿ lo̍h soaⁿ lâi sńg-tn̄g lâng ê kóe-chí-hn̂g. (山上那群猴子常常下山來破壞人家的果園。)　","【動】破壞、蹧蹋。例：山頂彼陣猴定定落山來損蕩人的果子園。Suann-tíng hit tīn kâu tiānn-tiānn lo̍h suann lâi sńg-tn̄g lâng ê kué-tsí-hn̂g. (山上那群猴子常常下山來破壞人家的果園。)　","","",""
"9582","iô-thâu","","io5-thau5","","iô-thâu","","io5-thau5","","搖頭","","","搖頭","【動】頭向左右擺動，通常用來表示拒絕、否定、阻止或不以為然的意思。","【動】頭向左右擺動，通常用來表示拒絕、否定、阻止或不以為然的意思。","","","頕頭"
"9583","chhiúⁿ-thâu-hiuⁿ","","chhiunn2-thau5-hiunn","","tshiúnn-thâu-hiunn","","tshiunn2-thau5-hiunn","","搶頭香","","","拔頭籌、捷足先登、燒頭香","1.【動】燒頭香。在農曆大年初一或是其他重要的節慶時，信徒們爭相禮神拜佛並在香爐中插下第一柱香，以示虔誠和祈求賜福。2.【動】拔頭籌、捷足先登。原意是指信徒爭燒第一柱香，後來比喻為搶先一步得到先機。例：伊半暝就去排隊，想欲搶頭香買著上新型的手機仔。I pòaⁿ-mê tō khì pâi-tūi, siūⁿ beh chhiúⁿ-thâu-hiuⁿ bé-tio̍h siōng sin-hêng ê chhiú-ki-á. (他半夜就去排隊，想要拔得頭籌買到最新型的手機。)　[近]搶頭標","1.【動】燒頭香。在農曆大年初一或是其他重要的節慶時，信徒們爭相禮神拜佛並在香爐中插下第一柱香，以示虔誠和祈求賜福。2.【動】拔頭籌、捷足先登。原意是指信徒爭燒第一柱香，後來比喻為搶先一步得到先機。例：伊半暝就去排隊，想欲搶頭香買著上新型的手機仔。I puànn-mê tō khì pâi-tuī, siūnn beh tshiúnn-thâu-hiunn bé-tio̍h siōng sin-hîng ê tshiú-ki-á. (他半夜就去排隊，想要拔得頭籌買到最新型的手機。)　[近]搶頭標","","",""
"9584","chhiúⁿ-thâu-pio","","chhiunn2-thau5-pio","","tshiúnn-thâu-pio","","tshiunn2-thau5-pio","","搶頭標","","","拔頭籌、捷足先登、燒頭香","【動】拔頭籌。趕在他人之前。","【動】拔頭籌。趕在他人之前。","","搶頭香",""
"9585","kòng-ku","","kong3-ku","","kòng-ku","","kong3-ku","","摃龜","","","落空、慘敗","【動】希望落空或是彩頭沒中。源自日語。例：買彩券摃龜的比著獎的較濟。Bé chhái-kǹg kòng-ku--ê pí tio̍h-chióng--ê khah chē. (買彩券未中獎的比中獎的多。)　","【動】希望落空或是彩頭沒中。源自日語。例：買彩券摃龜的比著獎的較濟。Bé tshái-kǹg kòng-ku--ê pí tio̍h-tsióng--ê khah tsē. (買彩券未中獎的比中獎的多。)　","","",""
"9586","tah-hiaⁿh","","tah-hiannh","","tah-hiannh","","tah-hiannh","","搭嚇","","","受驚","【動】受驚嚇。例：囡仔若搭嚇就會吼袂煞。Gín-á nā tah-hiaⁿh tō ē háu bē soah. (小孩子若受到驚嚇就會哭個不停。)　","【動】受驚嚇。例：囡仔若搭嚇就會吼袂煞。Gín-á nā tah-hiannh tō ē háu bē suah. (小孩子若受到驚嚇就會哭個不停。)　","","",""
"9587","poaⁿ-hì","","poann-hi3","","puann-hì","","puann-hi3","","搬戲","","","表演、假仙、假裝、裝蒜、裝模作樣、演戲","1.【動】演戲、表演。例：戲班咧搬戲。Hì-pan teh poaⁿ-hì. (戲班在演戲。)　[近]表演、做戲、演戲2.【動】引申為裝模作樣。例：伊閣咧搬戲矣，你毋通予伊騙去！I koh teh poaⁿ-hì--ah, lí m̄-thang hō͘ i  phiàn--khì! (他又在裝模作樣了，別被他騙了！)　[近]假仙","1.【動】演戲、表演。例：戲班咧搬戲。Hì-pan teh puann-hì. (戲班在演戲。)　[近]表演、做戲、演戲2.【動】引申為裝模作樣。例：伊閣咧搬戲矣，你毋通予伊騙去！I koh teh puann-hì--ah, lí m̄-thang hōo i  phiàn--khì! (他又在裝模作樣了，別被他騙了！)　[近]假仙","","",""
"9588","sin-sian","sin-sián(俗唸作)","sin-sian","sin-sian2(俗唸作)","sin-sian","sin-sián(俗唸作)","sin-sian","sin-sian2(俗唸作)","新鮮","","","新鮮","1.【形】食物清潔鮮美，沒有變質。2.【形】新奇、罕見的。3.【形】乾淨未受汙染。例：山頂的空氣真新鮮。Soaⁿ-téng ê khong-khì chin sin-sian. (山頂上的空氣很新鮮。)　","1.【形】食物清潔鮮美，沒有變質。2.【形】新奇、罕見的。3.【形】乾淨未受汙染。例：山頂的空氣真新鮮。Suann-tíng ê khong-khì tsin sin-sian. (山頂上的空氣很新鮮。)　","","",""
"9589","sin-tiám-tiám","","sin-tiam2-tiam2","","sin-tiám-tiám","","sin-tiam2-tiam2","","新點點","","","很新、嶄新","【形】嶄新。形容很新。例：伊穿一軀新點點的洋裝來食喜酒。I chhēng chi̍t su sin-tiám-tiám ê iûⁿ-chong lâi chia̍h hí-chiú. (她穿一套嶄新的洋裝來喝喜酒。)　","【形】嶄新。形容很新。例：伊穿一軀新點點的洋裝來食喜酒。I tshīng tsi̍t su sin-tiám-tiám ê iûnn-tsong lâi tsia̍h hí-tsiú. (她穿一套嶄新的洋裝來喝喜酒。)　","","",""
"9590","iô-ló͘","","io5-loo2","","iô-lóo","","io5-loo2","","搖櫓","","","動搖、搖櫓、鬆弛","1.【動】搖動橹使船前進。櫓，使船前進的工具，比槳長而且大，裝在船的後面。2.【動】鬆弛、動搖。例：人老矣，喙齒攏搖櫓矣。Lâng lāu--ah, chhùi-khí lóng iô-ló͘--ah. (人老了，牙齒都鬆動了。)　","1.【動】搖動橹使船前進。櫓，使船前進的工具，比槳長而且大，裝在船的後面。2.【動】鬆弛、動搖。例：人老矣，喙齒攏搖櫓矣。Lâng lāu--ah, tshuì-khí lóng iô-lóo--ah. (人老了，牙齒都鬆動了。)　","","搖櫓",""
"9591","iô-nâ","","io5-na5","","iô-nâ","","io5-na5","","搖籃","","","搖籃","【名】專供嬰兒使用的寢具。形狀似籃子，可左右搖動，使嬰兒容易入睡。","【名】專供嬰兒使用的寢具。形狀似籃子，可左右搖動，使嬰兒容易入睡。","【台北】搖笱　iô-kô, 搖籃　iô-nâ。【三峽】搖籃　iô-nâ。【新竹】搖籃　oo-nâ。【台中】搖籃　iô-nâ, 搖笱　iô-kô。【鹿港】搖籃　ôo-nâ。【台南】搖床　iôr-tshn̂g, 搖笱　iôr-kôr。【高雄】幌籮仔　hàinn-lôr-á, 搖籃　iôr-nâ。【宜蘭】搖籃　iô-nâ。【馬公】搖笱　iô-kô, 幌笱　hàinn-kô。","搖笱",""
"9592","kòng-cheng","","kong3-cheng","","kòng-tsing","","kong3-tsing","","摃鐘","","","敲鐘","【動】敲鐘。例：校長兼摃鐘。Hāu-tiúⁿ kiam kòng-cheng. (校長也要當，敲鐘的工友也得做。形容單位小員工少，主管也要兼做打雜的工作。)　","【動】敲鐘。例：校長兼摃鐘。Hāu-tiúnn kiam kòng-tsing. (校長也要當，敲鐘的工友也得做。形容單位小員工少，主管也要兼做打雜的工作。)　","","",""
"9593","la̍k-khoân","la̍k-koân(又唸作)","lak8-khoan5","lak8-koan5(又唸作)","la̍k-khuân","la̍k-kuân(又唸作)","lak8-khuan5","lak8-kuan5(又唸作)","搦權","搙權","","掌權","【動】掌權。例：若予伊搦權，咱就無伊法。Nā hō͘ i la̍k-khoân, lán tō bô-i-hoat. (若被他掌權，我們就拿他沒轍。)　","【動】掌權。例：若予伊搦權，咱就無伊法。Nā hōo i la̍k-khuân, lán tō bô-i-huat. (若被他掌權，我們就拿他沒轍。)　","","掌權、攏權","失勢"
"9594","àm","","am3","","àm","","am3","","暗","","","晚、暗","1.【形】黑暗。例：遮傷暗　chia siuⁿ àm(這裡太暗)。[反]光2.【形】夜深。例：較暗我就會轉去。Khah àm góa tō ē tńg--khì. (晚點我就會回去。)　[反]早3.【形】不光明的。例：暗步　àm-pō͘(不光明的手段)。4.【形】私下、祕密的。例：暗號　àm-hō。5.【量】計算夜晚的單位。例：蹛一暗　tòa chi̍t àm(住一個晚上)。6.【動】私吞。例：錢去予伊暗去。Chîⁿ khì hō͘ i àm--khì. (錢被他私吞。)　7.【形】較深的顏色。例：這領衫較暗色。Chit niá saⁿ khah àm-sek. (這件衣服顏色較深。)；暗紅色　àm-âng-sek。","1.【形】黑暗。例：遮傷暗　tsia siunn àm(這裡太暗)。[反]光2.【形】夜深。例：較暗我就會轉去。Khah àm guá tō ē tńg--khì. (晚點我就會回去。)　[反]早3.【形】不光明的。例：暗步　àm-pōo(不光明的手段)。4.【形】私下、祕密的。例：暗號　àm-hō。5.【量】計算夜晚的單位。例：蹛一暗　tuà tsi̍t àm(住一個晚上)。6.【動】私吞。例：錢去予伊暗去。Tsînn khì hōo i àm--khì. (錢被他私吞。)　7.【形】較深的顏色。例：這領衫較暗色。Tsit niá sann khah àm-sik. (這件衣服顏色較深。)；暗紅色　àm-âng-sik。","","",""
"9595","ē(替)","hōe/kòe","e7(替)","hoe7/koe3","ē(替)","huē/kuè","e7(替)","hue7/kue3","會","","","能、會","1.【動】能。例：伊會食會睏，你免煩惱。I ē chia̍h ē khùn, lí bián hoân-ló. (他能吃能睡，你別擔心。)　2.【動】有可能導致某種結果。例：無穿衫會感冒。Bô chhēng saⁿ ē kám-mō͘. (沒穿衣服會感冒。)　3.【動】某事確定發生。例：伊會來。I ē lâi. (他會來的。)　4.【動】可以和「袂」搭配，構成疑問句。例：伊會準時到位袂？I ē chún-sî kàu-ūi--bē? (他能不能準時到？)；柑仔會酸袂？Kam-á ē sng--bē? (橘子會酸嗎？)　5.【副】用於動詞和補語之間，表示有成功的可能。例：三百箍買會著。Saⁿ-pah kho͘ bé ē tio̍h. (三百元就可買到。)　","1.【動】能。例：伊會食會睏，你免煩惱。I ē tsia̍h ē khùn, lí bián huân-ló. (他能吃能睡，你別擔心。)　2.【動】有可能導致某種結果。例：無穿衫會感冒。Bô tshīng sann ē kám-mōo. (沒穿衣服會感冒。)　3.【動】某事確定發生。例：伊會來。I ē lâi. (他會來的。)　4.【動】可以和「袂」搭配，構成疑問句。例：伊會準時到位袂？I ē tsún-sî kàu-uī--bē? (他能不能準時到？)；柑仔會酸袂？Kam-á ē sng--bē? (橘子會酸嗎？)　5.【副】用於動詞和補語之間，表示有成功的可能。例：三百箍買會著。Sann-pah khoo bé ē tio̍h. (三百元就可買到。)　","【台北】uē。【三峽】erē。【新竹】ē。【台中】ē。【鹿港】ē。【台南】ē。【高雄】ē。【宜蘭】ē。【馬公】ē。","","袂"
"9596","hōe","ē(替)/kòe","hoe7","e7(替)/koe3","huē","ē(替)/kuè","hue7","e7(替)/kue3","會","","","互助會、民間合會、合會、會","1.【名】為特定目的成立的團體。例：基金會　ki-kim hōe、委員會　úi-oân hōe。2.【名】多數人的集會。例：開會　khui-hōe、舞會　bú-hōe。3.【名】民間的儲蓄互助組織。例：會頭　hōe-thâu(互助會的會首)、會跤　hōe-kha(互助會的成員)。[近]會仔4.【動】相見、見面。例：會面　hōe-bīn、會談　hōe-tâm。5.【動】表示道歉。例：會失禮　hōe sit-lé(賠禮)、會毋著　hōe m̄-tio̍h(賠錯)。6.【動】談論。例：逐家攏咧會，你敢攏毋知？Ta̍k-ke lóng teh hōe, lí kám lóng m̄-chai? (大家都在談論，難道你都不知道嗎？)　","1.【名】為特定目的成立的團體。例：基金會　ki-kim huē、委員會　uí-uân huē。2.【名】多數人的集會。例：開會　khui-huē、舞會　bú-huē。3.【名】民間的儲蓄互助組織。例：會頭　huē-thâu(互助會的會首)、會跤　huē-kha(互助會的成員)。[近]會仔4.【動】相見、見面。例：會面　huē-bīn、會談　huē-tâm。5.【動】表示道歉。例：會失禮　huē sit-lé(賠禮)、會毋著　huē m̄-tio̍h(賠錯)。6.【動】談論。例：逐家攏咧會，你敢攏毋知？Ta̍k-ke lóng teh huē, lí kám lóng m̄-tsai? (大家都在談論，難道你都不知道嗎？)　","","",""
"9597","iâ","","ia5","","iâ","","ia5","","椰","","","椰、椰子","【名】木本植物。常綠喬木，生長於熱帶，葉子為羽狀，樹幹筆直無枝椏，果實叫做「椰子」(iâ-chí)，富含果汁，果肉多纖維，皆可食用。","【名】木本植物。常綠喬木，生長於熱帶，葉子為羽狀，樹幹筆直無枝椏，果實叫做「椰子」(iâ-tsí)，富含果汁，果肉多纖維，皆可食用。","","椰子、椰子樹",""
"9598","png(白)","hong(文)","png(白)","hong(文)","png(白)","hong(文)","png(白)","hong(文)","楓","","","楓香、楓樹","【名】楓香、楓樹。木本植物。葉子互生，邊緣為細鋸齒狀。每到秋末，樹葉就會變黃、變紅。木材可當建築和製家具的材料。","【名】楓香、楓樹。木本植物。葉子互生，邊緣為細鋸齒狀。每到秋末，樹葉就會變黃、變紅。木材可當建築和製家具的材料。","","楓仔、楓仔樹",""
