tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev
tsing-tsiat-hng,貞節坊,16,cheng-chiat-hng,tsing1tsiat1hng1,cheng1chiat1hng1,tsingtsiathng,chengchiathng,tth,cch
tsâi-ting-kuì,財丁貴,16,châi-teng-kùi,tsai5ting1kui3,chai5teng1kui3,tsaitingkui,chaitengkui,ttk,ctk
tsâi-bū-kio̍k,財務局,16,châi-bū-kio̍k,tsai5bu7kiok8,chai5bu7kiok8,tsaibukiok,chaibukiok,tbk,cbk
tsâi-sè-li̍k,財勢力,16,châi-sè-le̍k,tsai5se3lik8,chai5se3lek8,tsaiselik,chaiselek,tsl,csl
tsâi-tsú-siū,財子壽,16,châi-chú-siū,tsai5tsu2siu7,chai5chu2siu7,tsaitsusiu,chaichusiu,tts,ccs
tsâi-tsú-kim,財子金,16,châi-chú-kim,tsai5tsu2kim1,chai5chu2kim1,tsaitsukim,chaichukim,ttk,cck
tsâi-tsìng-pōo,財政部,16,châi-chèng-pō͘,tsai5tsing3poo7,chai5cheng3poo7,tsaitsingpoo,chaichengpoo,ttp,ccp
tsâi-sán-ka,財產家,16,châi-sán-ka,tsai5san2ka1,chai5san2ka1,tsaisanka,chaisanka,tsk,csk
kòng-kuah-tsuá,貢割紙,16,kòng-koah-chóa,kong3kuah1tsua2,kong3koah1choa2,kongkuahtsua,kongkoahchoa,kkt,kkc
sòng-hiu̍h-hiu̍h,貧hiu̍h-hiu̍h,16,sòng-hiu̍h-hiu̍h,song3hiuh8hiuh8,song3hiuh8hiuh8,songhiuhhiuh,songhiuhhiuh,shh,shh
sòng-kiu̍h-kiu̍h,貧kiu̍h-kiu̍h,16,sòng-kiu̍h-kiu̍h,song3kiuh8kiuh8,song3kiuh8kiuh8,songkiuhkiuh,songkiuhkiuh,skk,skk
sòng-kiuh-kiuh,貧縮縮,16,sòng-kiuh-kiuh,song3kiuh1kiuh1,song3kiuh1kiuh1,songkiuhkiuh,songkiuhkiuh,skk,skk
hè-tué-phōo,貨底簿,16,hè-tóe-phō͘,he3tue2phoo7,he3toe2phoo7,hetuephoo,hetoephoo,htp,htp
huàn-á-tiàm,販仔店,16,hoàn-á-tiàm,huan3a2tiam3,hoan3a2tiam3,huanatiam,hoanatiam,hat,hat
huàn-á-pe̍h,販仔白,16,hoàn-á-pe̍h,huan3a2peh8,hoan3a2peh8,huanapeh,hoanapeh,hap,hap
huàn-á-king,販仔間,16,hoàn-á-keng,huan3a2king1,hoan3a2keng1,huanaking,hoanakeng,hak,hak
huàn-sau-king,販俏間,16,hoàn-sau-keng,huan3sau1king1,hoan3sau1keng1,huansauking,hoansaukeng,hsk,hsk
tham-tsia̍h-khut,貪食窟,16,tham-chia̍h-khut,tham1tsiah8khut1,tham1chiah8khut1,thamtsiahkhut,thamchiahkhut,ttk,tck
kǹg-kháu-tsiam,貫口針,16,kǹg-kháu-chiam,kng3khau2tsiam1,kng3khau2chiam1,kngkhautsiam,kngkhauchiam,kkt,kkc
kǹg-tué-tsî,貫底錢,16,kǹg-tóe-chî,kng3tue2tsi5,kng3toe2chi5,kngtuetsi,kngtoechi,ktt,ktc
thú-siann-khì,貯聲器,16,thú-siaⁿ-khì,thu2siann1khi3,thu2siann1khi3,thusiannkhi,thusiannkhi,tsk,tsk
kuì-jîn-hng,貴人方,16,kùi-jîn-hng,kui3jin5hng1,kui3jin5hng1,kuijinhng,kuijinhng,kjh,kjh
kuì-king-i,貴供衣,16,kùi-keng-i,kui3king1i1,kui3keng1i1,kuikingi,kuikengi,kki,kki
kuì-hui-í,貴妃椅,16,kùi-hui-í,kui3hui1i2,kui3hui1i2,kuihuii,kuihuii,khi,khi
kuì-hū-jîn,貴婦人,16,kùi-hū-jîn,kui3hu7jin5,kui3hu7jin5,kuihujin,kuihujin,khj,khj
kuì-gū-sóo,貴寓所,16,kùi-gū-só͘,kui3gu7soo2,kui3gu7soo2,kuigusoo,kuigusoo,kgs,kgs
kuì-tso̍k-īnn,貴族院,16,kùi-cho̍k-īⁿ,kui3tsok8inn7,kui3chok8inn7,kuitsokinn,kuichokinn,kti,kci
kuì-khun-tiōng,貴昆仲,16,kùi-khun-tiōng,kui3khun1tiong7,kui3khun1tiong7,kuikhuntiong,kuikhuntiong,kkt,kkt
kuì-khun-gio̍k,貴昆玉,16,kùi-khun-gio̍k,kui3khun1giok8,kui3khun1giok8,kuikhungiok,kuikhungiok,kkg,kkg
kuì-tong-tshn̂g,貴東床,16,kùi-tong-chhn̂g,kui3tong1tshng5,kui3tong1chhng5,kuitongtshng,kuitongchhng,ktt,ktc
kuì-gia̍p-su,貴業師,16,kùi-gia̍p-su,kui3giap8su1,kui3giap8su1,kuigiapsu,kuigiapsu,kgs,kgs
kuì-khì-lâng,貴氣人,16,kùi-khì-lâng,kui3khi3lang5,kui3khi3lang5,kuikhilang,kuikhilang,kkl,kkl
kuì-tsuân-lâng,貴泉人,16,kùi-choân-lâng,kui3tsuan5lang5,kui3choan5lang5,kuitsuanlang,kuichoanlang,ktl,kcl
kuì-siong-ti,貴相知,16,kùi-siong-ti,kui3siong1ti1,kui3siong1ti1,kuisiongti,kuisiongti,kst,kst
kuì-ti-kau,貴知交,16,kùi-ti-kau,kui3ti1kau1,kui3ti1kau1,kuitikau,kuitikau,ktk,ktk
kuì-ló-su,貴老師,16,kùi-ló-su,kui3lo2su1,kui3lo2su1,kuilosu,kuilosu,kls,kls
kuì-bûn-jîn,貴門人,16,kùi-bûn-jîn,kui3bun5jin5,kui3bun5jin5,kuibunjin,kuibunjin,kbj,kbj
kuì-iông-hú,貴陽府,16,kùi-iông-hú,kui3iong5hu2,kui3iong5hu2,kuiionghu,kuiionghu,kih,kih
kuì-ko-tsiok,貴高足,16,kùi-ko-chiok,kui3ko1tsiok1,kui3ko1chiok1,kuikotsiok,kuikochiok,kkt,kkc
bué-lôo-tsâi,買奴才,16,bóe-lô͘-châi,bue2loo5tsai5,boe2loo5chai5,buelootsai,boeloochai,blt,blc
bué-kî-siàu,買期賬,16,bóe-kî-siàu,bue2ki5siau3,boe2ki5siau3,buekisiau,boekisiau,bks,bks
bué-phû-tsuí,買浮水,16,bóe-phû-chúi,bue2phu5tsui2,boe2phu5chui2,buephutsui,boephuchui,bpt,bpc
bué-hiān-tsînn,買現錢,16,bóe-hiān-chîⁿ,bue2hian7tsinn5,boe2hian7chinn5,buehiantsinn,boehianchinn,bht,bhc
bué-uān-hè,買緩貨,16,bóe-oān-hè,bue2uan7he3,boe2oan7he3,bueuanhe,boeoanhe,buh,boh
bué-tê-tsînn,買茶錢,16,bóe-tê-chîⁿ,bue2te5tsinn5,boe2te5chinn5,buetetsinn,boetechinn,btt,btc
bué-lōo-tsînn,買路錢,16,bóe-lō͘-chîⁿ,bue2loo7tsinn5,boe2loo7chinn5,buelootsinn,boeloochinn,blt,blc
tāi-tsō-hu,貸座敷,16,tāi-chō-hu,tai7tso7hu1,tai7cho7hu1,taitsohu,taichohu,tth,tch
tāi-huì-sing,貸費生,16,tāi-hùi-seng,tai7hui3sing1,tai7hui3seng1,taihuising,taihuiseng,ths,ths
huì-sim-su,費心思,16,hùi-sim-su,hui3sim1su1,hui3sim1su1,huisimsu,huisimsu,hss,hss
huì-sim-sîn,費心神,16,hùi-sim-sîn,hui3sim1sin5,hui3sim1sin5,huisimsin,huisimsin,hss,hss
