tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone
kiânn-tsi̍t-lìn,行一輾,16,kiâⁿ-chi̍t-lìn,kiann5tsit8lin3,kiann5chit8lin3,kianntsitlin,kiannchitlin
kiânn-kiān-ki,行健機,16,kiâⁿ-kiān-ki,kiann5kian7ki,kiann5kian7ki,kiannkianki,kiannkianki
kiânn-āu-suann,行後山,16,kiâⁿ-āu-soaⁿ,kiann5au7suann,kiann5au7soann,kiannausuann,kiannausoann
hîng-tsìng-īnn,行政院,16,hêng-chèng-īⁿ,hing5tsing3inn7,heng5cheng3inn7,hingtsinginn,hengchenginn
kiânn-la̍h-tsiá,行獵者,16,kiâⁿ-la̍h-chiá,kiann5lah8tsia2,kiann5lah8chia2,kiannlahtsia,kiannlahchia
kiânn-tsûn-lâng,行船人,16,kiâⁿ-chûn-lâng,kiann5tsun5lang5,kiann5chun5lang5,kianntsunlang,kiannchunlang
kiânn-kha-hue,行跤花,16,kiâⁿ-kha-hoe,kiann5khahue,kiann5khahoe,kiannkhahue,kiannkhahoe
kiânn-kha-ta̍h,行跤踏,16,kiâⁿ-kha-ta̍h,kiann5khatah8,kiann5khatah8,kiannkhatah,kiannkhatah
kiânn-lōo-tsháu,行路草,16,kiâⁿ-lō͘-chháu,kiann5loo7tshau2,kiann5loo7chhau2,kiannlootshau,kiannloochhau
su̍t-á-kiánn,術仔囝,16,su̍t-á-kiáⁿ,sut8a2kiann2,sut8a2kiann2,sutakiann,sutakiann
ke-pak-kè,街腹價,16,ke-pak-kè,kepakke3,kepakke3,kepakke,kepakke
kue-pak-kè,街腹價,16,koe-pak-kè,kuepakke3,koepakke3,kuepakke,koepakke
uē-sing-uánn,衛生碗,16,ōe-seng-óaⁿ,ue7singuann2,oe7sengoann2,uesinguann,oesengoann
uē-sing-tī,衛生箸,16,ōe-seng-tī,ue7singti7,oe7sengti7,uesingti,oesengti
uē-hok-pōo,衛福部,16,ōe-hok-pō͘,ue7hokpoo7,oe7hokpoo7,uehokpoo,oehokpoo
tshiong-âng-ting,衝紅燈,16,chhiong-âng-teng,tshiongang5ting,chhiongang5teng,tshiongangting,chhiongangteng
hîng-iông-lōo,衡陽路,16,hêng-iông-lō͘,hing5iong5loo7,heng5iong5loo7,hingiongloo,hengiongloo
i-king-á,衣弓仔,16,i-keng-á,ikinga2,ikenga2,ikinga,ikenga
sann-á-tiàm,衫仔店,16,saⁿ-á-tiàm,sanna2tiam3,sanna2tiam3,sannatiam,sannatiam
sann-tiàu-á,衫吊仔,16,saⁿ-tiàu-á,sanntiau3a2,sanntiau3a2,sanntiaua,sanntiaua
sann-king-á,衫弓仔,16,saⁿ-keng-á,sannkinga2,sannkenga2,sannkinga,sannkenga
sann-kè-á,衫架仔,16,saⁿ-kè-á,sannke3a2,sannke3a2,sannkea,sannkea
sann-khòo-pang,衫褲枋,16,saⁿ-khò͘-pang,sannkhoo3pang,sannkhoo3pang,sannkhoopang,sannkhoopang
sann-khò-pang,衫靠枋,16,saⁿ-khò-pang,sannkho3pang,sannkho3pang,sannkhopang,sannkhopang
buē-tsiūnn-ba̍k,袂上目,16,bōe-chiūⁿ-ba̍k,bue7tsiunn7bak8,boe7chiunn7bak8,buetsiunnbak,boechiunnbak
bē-thīn-tit,袂伨得,16,bē-thīn-tit,be7thin7tit,be7thin7tit,bethintit,bethintit
bē-sái-khàu,袂使哭,16,bē-sái-khàu,be7sai2khau3,be7sai2khau3,besaikhau,besaikhau
bē-sái-bô,袂使無,16,bē-sái-bô,be7sai2bo5,be7sai2bo5,besaibo,besaibo
bē-sái-tshiò,袂使笑,16,bē-sái-chhiò,be7sai2tshio3,be7sai2chhio3,besaitshio,besaichhio
bē-sái-tsia̍h,袂使食,16,bē-sái-chia̍h,be7sai2tsiah8,be7sai2chiah8,besaitsiah,besaichiah
bē-sìn-tit,袂信得,16,bē-sìn-tit,be7sin3tit,be7sin3tit,besintit,besintit
bē-ké-ē,袂假會,16,bē-ké-ē,be7ke2e7,be7ke2e7,bekee,bekee
buē-tsuè-tsit,袂做得,16,bōe-chòe-chit,bue7tsue3tsit,boe7choe3chit,buetsuetsit,boechoechit
buē-tsò-tsit,袂做得,16,bōe-chò-chit,bue7tso3tsit,boe7cho3chit,buetsotsit,boechochit
bē-tsuè-tsit,袂做得,16,bē-chòe-chit,be7tsue3tsit,be7choe3chit,betsuetsit,bechoechit
bē-tsò-tsit,袂做得,16,bē-chò-chit,be7tso3tsit,be7cho3chit,betsotsit,bechochit
bē-tshut-tit,袂出得,16,bē-chhut-tit,be7tshuttit,be7chhuttit,betshuttit,bechhuttit
bē-hô-puânn,袂和盤,16,bē-hô-pôaⁿ,be7ho5puann5,be7ho5poann5,behopuann,behopoann
bē-kham-tit,袂堪得,16,bē-kham-tit,be7khamtit,be7khamtit,bekhamtit,bekhamtit
bē-hiâm-tit,袂嫌得,16,bē-hiâm-tit,be7hiam5tit,be7hiam5tit,behiamtit,behiamtit
bē-tiānn-tio̍h,袂定著,16,bē-tiāⁿ-tio̍h,be7tiann7tioh8,be7tiann7tioh8,betianntioh,betianntioh
buē-tuì-tâng,袂對同,16,bōe-tùi-tâng,bue7tui3tang5,boe7tui3tang5,buetuitang,boetuitang
bē-tuì-tâng,袂對同,16,bē-tùi-tâng,be7tui3tang5,be7tui3tang5,betuitang,betuitang
bē-tsió-lâng,袂少人,16,bē-chió-lâng,be7tsio2lang5,be7chio2lang5,betsiolang,bechiolang
bē-lún-ti̍t,袂忍得,16,bē-lún-ti̍t,be7lun2tit8,be7lun2tit8,beluntit,beluntit
bē-jím-sim,袂忍心,16,bē-jím-sim,be7jim2sim,be7jim2sim,bejimsim,bejimsim
bē-tsheh-piàn,袂慼變,16,bē-chheh-piàn,be7tshehpian3,be7chhehpian3,betshehpian,bechhehpian
bē-thiu-thè,袂抽退,16,bē-thiu-thè,be7thiuthe3,be7thiuthe3,bethiuthe,bethiuthe
bē-tsih-la̍t,袂接力,16,bē-chih-la̍t,be7tsihlat8,be7chihlat8,betsihlat,bechihlat
bē-tshap-tit,袂插得,16,bē-chhap-tit,be7tshaptit,be7chhaptit,betshaptit,bechhaptit
buē-siu-suann,袂收山,16,bōe-siu-soaⁿ,bue7siusuann,boe7siusoann,buesiusuann,boesiusoann
bē-siu-suann,袂收山,16,bē-siu-soaⁿ,be7siusuann,be7siusoann,besiusuann,besiusoann
buē-siu-suah,袂收煞,16,bōe-siu-soah,bue7siusuah,boe7siusoah,buesiusuah,boesiusoah
bē-siu-suah,袂收煞,16,bē-siu-soah,be7siusuah,be7siusoah,besiusuah,besiusoah
buē-kám-sī,袂敢是,16,bōe-kám-sī,bue7kam2si7,boe7kam2si7,buekamsi,boekamsi
bē-kám-sī,袂敢是,16,bē-kám-sī,be7kam2si7,be7kam2si7,bekamsi,bekamsi
bē-hiáu-sue,袂曉衰,16,bē-hiáu-soe,be7hiau2sue,be7hiau2soe,behiausue,behiausoe
bē-sí-sim,袂死心,16,bē-sí-sim,be7si2sim,be7si2sim,besisim,besisim
bē-tshing-lóng,袂清朗,16,bē-chheng-lóng,be7tshinglong2,be7chhenglong2,betshinglong,bechhenglong
