"DictWordID","PojUnicode","PojInput","KipUnicode","KipInput","HoaBun","EngBun","PageNumber"
"43920","siá-bêng","sia2-beng5","siá-bîng","sia2-bing5","寫明","write clearly",""
"43921","sià-bián","sia3-bian2","sià-bián","sia3-bian2","赦免","pardon (an offender)",""
"43922","siā-bū","sia7-bu7","siā-bū","sia7-bu7","社務","affairs or business of an association, newspaper office",""
"43923","siá bûn-chiuⁿ","sia2 bun5-chiunn","siá bûn-tsiunn","sia2 bun5-tsiunn","寫文章","write a literary essay",""
"43924","sià chek-jīm","sia3 chek-jim7","sià tsik-jīm","sia3 tsik-jim7","卸責任","lay down responsibility, put the blame on others",""
"43925","sià-chèng","sia3-cheng3","sià-tsìng","sia3-tsing3","丟臉事","lose face",""
"43926","siā-cheng","sia7-cheng","siā-tsing","sia7-tsing","射精","eject sperm",""
"43927","siā-chhiú","sia7-chhiu2","siā-tshiú","sia7-tshiu2","射手","shooter, marksman, gunner, archer",""
"43928","siā-chìⁿ","sia7-chinn3","siā-tsìnn","sia7-tsinn3","射箭","shoot an arrow",""
"43929","siá-chin","sia2-chin","siá-tsin","sia2-tsin","寫真","portrait, portray a person describe something. as it is",""
"43930","sià-chó͘-kong","sia3-choo2-kong","sià-tsóo-kong","sia3-tsoo2-kong","使祖先蒙羞","make ancestors lose face",""
"43931","siā-choa̍t","sia7-choat8","siā-tsua̍t","sia7-tsuat8","謝絕","decline (an offer, request)",""
"43932","siā-choa̍t chham-koan","sia7-choat8 chham-koan","siā-tsua̍t tsham-kuan","sia7-tsuat8 tsham-kuan","謝絕參觀","No visitors allowed",""
"43933","sià-chōe","sia3-choe7","sià-tsuē","sia3-tsue7","赦罪","pardon (a criminal), forgive (an offender), absolution from sin",""
"43934","liām sià-chōe-keng","liam7 sia3-choe7-keng","liām sià-tsuē-king","liam7 sia3-tsue7-king","念赦罪經","give absolution",""
"43935","siā-chōe","sia7-choe7","siā-tsuē","sia7-tsue7","謝罪","apologize, acknowledge one's fault",""
"43936","siā-gî","sia7-gi5","siā-gî","sia7-gi5","謝儀","present sent as token of gratitude, a return present",""
"43937","siā-goān (siā-sîn)","sia7-goan7 (sia7-sin5)","siā-guān (siā-sîn)","sia7-guan7 (sia7-sin5)","謝愿，謝神","give thanks to the spirits (for favors granted)",""
"43938","siā-hiuⁿ","sia7-hiunn","siā-hiunn","sia7-hiunn","麝香","musk",""
"43939","sià hō͘ pa̍t-lâng","sia3 hoo7 pat8-lang5","sià hōo pa̍t-lâng","sia3 hoo7 pat8-lang5","推給他人","relieve oneself of responsibility, spread infectious diseases",""
"43940","siá-hoat","sia2-hoat","siá-huat","sia2-huat","寫法","style of handwriting, penmanship",""
"43941","siâ-hoat","sia5-hoat","siâ-huat","sia5-huat","邪法","sorcery, unlawful tricks",""
"43942","sia-hòe","sia-hoe3","sia-huè","sia-hue3","賒貨","buy on credit",""
"43943","sià-hòe, lo̍h-hòe","sia3-hoe3, loh8-hoe3","sià-huè, lo̍h-huè","sia3-hue3, loh8-hue3","卸貨","unload cargoes",""
"43944","siā-hōe","sia7-hoe7","siā-huē","sia7-hue7","社會","society, community",""
"43945","siā-hōe bîn-chú chú-gī","sia7-hoe7 bin5-chu2 chu2-gi7","siā-huē bîn-tsú tsú-gī","sia7-hue7 bin5-tsu2 tsu2-gi7","社會民主主義","social democracy",""
"43946","siā-hōe bîn-chú-tóng","sia7-hoe7 bin5-chu2-tong2","siā-huē bîn-tsú-tóng","sia7-hue7 bin5-tsu2-tong2","社會民主黨","social democrats",""
"43947","siā-hōe būn-tê","sia7-hoe7 bun7-te5","siā-huē būn-tê","sia7-hue7 bun7-te5","社會問題","social problems",""
"43948","siā-hōe chè-tō͘","sia7-hoe7 che3-too7","siā-huē tsè-tōo","sia7-hue7 tse3-too7","社會制度","social system",""
"43949","siā-hōe chèng-chhek","sia7-hoe7 cheng3-chhek","siā-huē tsìng-tshik","sia7-hue7 tsing3-tshik","社會政策","social policy",""
"43950","siā-hōe chèng-gī","sia7-hoe7 cheng3-gi7","siā-huē tsìng-gī","sia7-hue7 tsing3-gi7","社會正義","social justice",""
"43951","siā-hōe chêng-hêng","sia7-hoe7 cheng5-heng5","siā-huē tsîng-hîng","sia7-hue7 tsing5-hing5","社會情形","social conditions",""
"43952","siā-hōe cho͘-chit","sia7-hoe7 choo-chit","siā-huē tsoo-tsit","sia7-hue7 tsoo-tsit","社會組織","social structure or organization",""
"43953","siā-hōe chú-gī","sia7-hoe7 chu2-gi7","siā-huē tsú-gī","sia7-hue7 tsu2-gi7","社會主義","socialism",""
"43954","siā-hōe-ha̍k","sia7-hoe7-hak8","siā-huē-ha̍k","sia7-hue7-hak8","社會學","sociology",""
"43955","siā-hōe ha̍k-chiá","sia7-hoe7 hak8-chia2","siā-huē ha̍k-tsiá","sia7-hue7 hak8-tsia2","社會學者","sociologist",""
"43956","siā-hōe hiān-siōng","sia7-hoe7 hian7-siong7","siā-huē hiān-siōng","sia7-hue7 hian7-siong7","社會現象","social phenomenon",""
"43957","siā-hōe-hòa","sia7-hoe7-hoa3","siā-huē-huà","sia7-hue7-hua3","社會化","socialize",""
"43958","siā-hōe ho̍k-bū","sia7-hoe7 hok8-bu7","siā-huē ho̍k-bū","sia7-hue7 hok8-bu7","社會服務","social service",""
"43959","siā-hōe hok-lī","sia7-hoe7 hok-li7","siā-huē hok-lī","sia7-hue7 hok-li7","社會福利","social welfare",""
"43960","siā-hōe hok-lī sū-gia̍p","sia7-hoe7 hok-li7 su7-giap8","siā-huē hok-lī sū-gia̍p","sia7-hue7 hok-li7 su7-giap8","社會福利事業","social welfare work",""
"43961","siā-hōe ì-sek","sia7-hoe7 i3-sek","siā-huē ì-sik","sia7-hue7 i3-sik","社會意識","social consciousness",""
"43962","siā-hōe kái-kek","sia7-hoe7 kai2-kek","siā-huē kái-kik","sia7-hue7 kai2-kik","社會改革","social reform",""
"43963","siā-hōe kái-liông","sia7-hoe7 kai2-liong5","siā-huē kái-liông","sia7-hue7 kai2-liong5","社會改良","social reform",""
"43964","siā-hōe kang-chok","sia7-hoe7 kang-chok","siā-huē kang-tsok","sia7-hue7 kang-tsok","社會工作","social work",""
"43965","siā-hōe kàu-io̍k","sia7-hoe7 kau3-iok8","siā-huē kàu-io̍k","sia7-hue7 kau3-iok8","社會教育","social education",""
"43966","siā-hōe keng-chè","sia7-hoe7 keng-che3","siā-huē king-tsè","sia7-hue7 king-tse3","社會經濟","social economics",""
"43967","siā-hōe kho-ha̍k","sia7-hoe7 kho-hak8","siā-huē kho-ha̍k","sia7-hue7 kho-hak8","社會科學","social science",""
"43968","siā-hōe khoân-kéng","sia7-hoe7 khoan5-keng2","siā-huē khuân-kíng","sia7-hue7 khuan5-king2","社會環境","social environment",""
"43969","siā-hōe kong-lūn","sia7-hoe7 kong-lun7","siā-huē kong-lūn","sia7-hue7 kong-lun7","社會公論","public opinion",""
"43970","siā-hōe seng-oa̍h","sia7-hoe7 seng-oah8","siā-huē sing-ua̍h","sia7-hue7 sing-uah8","社會生活","social life, community life",""
"43971","siā-hōe sim-lí","sia7-hoe7 sim-li2","siā-huē sim-lí","sia7-hue7 sim-li2","社會心理","social psychology (as a phenomenon)",""
"43972","siā-hōe sim-lí-ha̍k","sia7-hoe7 sim-li2-hak8","siā-huē sim-lí-ha̍k","sia7-hue7 sim-li2-hak8","社會心理學","social psychology (as a science)",""
"43973","siā-hōe-siōng","sia7-hoe7-siong7","siā-huē-siōng","sia7-hue7-siong7","社會上","social",""
"43974","siā-hōe-siōng ê gī-bū","sia7-hoe7-siong7 e5 gi7-bu7","siā-huē-siōng ê gī-bū","sia7-hue7-siong7 e5 gi7-bu7","社會上的義務","social obligations",""
"43975","siā-hōe sū-gia̍p","sia7-hoe7 su7-giap8","siā-huē sū-gia̍p","sia7-hue7 su7-giap8","社會事業","social work, social service, public welfare projects",""
"43976","siā-hōe tē-ūi","sia7-hoe7 te7-ui7","siā-huē tē-uī","sia7-hue7 te7-ui7","社會地位","social position (status)",""
"43977","siā-hōe tiat-ha̍k","sia7-hoe7 tiat-hak8","siā-huē tiat-ha̍k","sia7-hue7 tiat-hak8","社會哲學","social philosophy",""
"43978","siā-hōe tō-tek","sia7-hoe7 to7-tek","siā-huē tō-tik","sia7-hue7 to7-tik","社會道德","social morality",""
"43979","siā-hōe-tóng","sia7-hoe7-tong2","siā-huē-tóng","sia7-hue7-tong2","社會黨","Socialist Party",""
"43980","siā-ì","sia7-i3","siā-ì","sia7-i3","謝意","gratitude, appreciation",""
"43981","sià-iâm","sia3-iam5","sià-iâm","sia3-iam5","瀉鹽","Epsom salts",""
"43982","siâ-îm","sia5-im5","siâ-îm","sia5-im5","邪淫","immorality, licentiousness, lustful",""
"43983","siā-in (siā-un)","sia7-in (sia7-un)","siā-in (siā-un)","sia7-in (sia7-un)","謝恩","give thanks for a favor",""
"43984","siā-in Mî-sat","sia7-in Mi5-sat","siā-in Mî-sat","sia7-in Mi5-sat","謝恩彌撒","Mass of thanksgiving (Catholic)",""
"43985","sià-io̍h","sia3-ioh8","sià-io̍h","sia3-ioh8","瀉藥","purgative medicine",""
"43986","siā-iú","sia7-iu2","siā-iú","sia7-iu2","社友","fellow member of a society",""
"43987","siá-jī","sia2-ji7","siá-jī","sia2-ji7","寫字","write characters (not to compose)",""
