tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev
tsí-bēr-á,姊妹仔,16,chí-bēr-á,tsi2ber7a2,chi2ber7a2,tsibera,chibera,tba,cba
tsiá-tē-á,姐弟仔,16,chiá-tē-á,tsia2te7a2,chia2te7a2,tsiatea,chiatea,tta,cta
tsiá-bó-á,姐母仔,16,chiá-bó-á,tsia2bo2a2,chia2bo2a2,tsiaboa,chiaboa,tba,cba
koo-tiǔnn-kong,姑丈公,16,ko͘-tiǔⁿ-kong,kootiunn6kong,kootiunn6kong,kootiunnkong,kootiunnkong,ktk,ktk
koo-put-tsiong,姑不將,16,ko͘-put-chiong,kooputtsiong,kooputchiong,kooputtsiong,kooputchiong,kpt,kpc
koo-uānn-só,姑換嫂,16,ko͘-ōaⁿ-só,koouann7so2,koooann7so2,koouannso,koooannso,kus,kos
uí-guân-huē,委員會,16,úi-goân-hōe,ui2guan5hue7,ui2goan5hoe7,uiguanhue,uigoanhoe,ugh,ugh
uí-uân-huē,委員會,16,úi-oân-hōe,ui2uan5hue7,ui2oan5hoe7,uiuanhue,uioanhoe,uuh,uoh
kàn-lín-niâ,姦恁娘,16,kàn-lín-niâ,kan3lin2nia5,kan3lin2nia5,kanlinnia,kanlinnia,kln,kln
î-tiǔnn-kong,姨丈公,16,î-tiǔⁿ-kong,i5tiunn6kong,i5tiunn6kong,itiunnkong,itiunnkong,itk,itk
î--á,姨仔,16,î--á,i5a2,i5a2,ia,ia,ia,ia
ti̍t--á,姪仔,16,ti̍t--á,tit8a2,tit8a2,tita,tita,ta,ta
ti̍t-sin-pū,姪新婦,16,ti̍t-sin-pū,tit8sinpu7,tit8sinpu7,titsinpu,titsinpu,tsp,tsp
tshit-á-khue,姼仔詼,16,chhit-á-khoe,tshita2khue,chhita2khoe,tshitakhue,chhitakhoe,tak,cak
niû--á,娘仔,16,niû--á,niu5a2,niu5a2,niua,niua,na,na
niû-á-tshiū,娘仔樹,16,niû-á-chhiū,niu5a2tshiu7,niu5a2chhiu7,niuatshiu,niuachhiu,nat,nac
niû-á-tsâng,娘仔欉,16,niû-á-châng,niu5a2tsang5,niu5a2chang5,niuatsang,niuachang,nat,nac
niû-á-si,娘仔絲,16,niû-á-si,niu5a2si,niu5a2si,niuasi,niuasi,nas,nas
niû-á-kián,娘仔繭,16,niû-á-kián,niu5a2kian2,niu5a2kian2,niuakian,niuakian,nak,nak
niû-á-kán,娘仔繭,16,niû-á-kán,niu5a2kan2,niu5a2kan2,niuakan,niuakan,nak,nak
niû-á-hio̍h,娘仔葉,16,niû-á-hio̍h,niu5a2hioh8,niu5a2hioh8,niuahioh,niuahioh,nah,nah
niû-á-hê,娘仔蝦,16,niû-á-hê,niu5a2he5,niu5a2he5,niuahe,niuahe,nah,nah
niû-á-khok,娘仔觳,16,niû-á-khok,niu5a2khok,niu5a2khok,niuakhok,niuakhok,nak,nak
niû-á-phok,娘仔觳,16,niû-á-phok,niu5a2phok,niu5a2phok,niuaphok,niuaphok,nap,nap
niû-á-tāu,娘仔豆,16,niû-á-tāu,niu5a2tau7,niu5a2tau7,niuatau,niuatau,nat,nat
tshuā-sin-niû,娶新娘,16,chhōa-sin-niû,tshua7sinniu5,chhoa7sinniu5,tshuasinniu,chhoasinniu,tsn,csn
tshuā-sin-pū,娶新婦,16,chhōa-sin-pū,tshua7sinpu7,chhoa7sinpu7,tshuasinpu,chhoasinpu,tsp,csp
hū-jîn-lâng,婦人人,16,hū-jîn-lâng,hu7jin5lang5,hu7jin5lang5,hujinlang,hujinlang,hjl,hjl
hū-lîn-lâng,婦人人,16,hū-lîn-lâng,hu7lin5lang5,hu7lin5lang5,hulinlang,hulinlang,hll,hll
hū-sán-kho,婦產科,16,hū-sán-kho,hu7san2kho,hu7san2kho,husankho,husankho,hsk,hsk
hm̂-lâng-kong,媒人公,16,hm̂-lâng-kong,hm5lang5kong,hm5lang5kong,hmlangkong,hmlangkong,hlk,hlk
muê-lâng-kong,媒人公,16,môe-lâng-kong,mue5lang5kong,moe5lang5kong,muelangkong,moelangkong,mlk,mlk
muî-lâng-kong,媒人公,16,mûi-lâng-kong,mui5lang5kong,mui5lang5kong,muilangkong,muilangkong,mlk,mlk
hm̂-lâng-tshuì,媒人喙,16,hm̂-lâng-chhùi,hm5lang5tshui3,hm5lang5chhui3,hmlangtshui,hmlangchhui,hlt,hlc
muê-lâng-tshuì,媒人喙,16,môe-lâng-chhùi,mue5lang5tshui3,moe5lang5chhui3,muelangtshui,moelangchhui,mlt,mlc
muî-lâng-tshuì,媒人喙,16,mûi-lâng-chhùi,mui5lang5tshui3,mui5lang5chhui3,muilangtshui,muilangchhui,mlt,mlc
hm̂-lâng-pô,媒人婆,16,hm̂-lâng-pô,hm5lang5po5,hm5lang5po5,hmlangpo,hmlangpo,hlp,hlp
muâi-lâng-pôr,媒人婆,16,moâi-lâng-pôr,muai5lang5por5,moai5lang5por5,muailangpor,moailangpor,mlp,mlp
muê-lâng-pô,媒人婆,16,môe-lâng-pô,mue5lang5po5,moe5lang5po5,muelangpo,moelangpo,mlp,mlp
muî-lâng-pô,媒人婆,16,mûi-lâng-pô,mui5lang5po5,mui5lang5po5,muilangpo,muilangpo,mlp,mlp
hm̂-lâng-lé,媒人禮,16,hm̂-lâng-lé,hm5lang5le2,hm5lang5le2,hmlangle,hmlangle,hll,hll
muê-lâng-lé,媒人禮,16,môe-lâng-lé,mue5lang5le2,moe5lang5le2,muelangle,moelangle,mll,mll
muî-lâng-lé,媒人禮,16,mûi-lâng-lé,mui5lang5le2,mui5lang5le2,muilangle,muilangle,mll,mll
