hanzi,tl
暗擊,àm-kik
暗擊手,àm-kik-tshiú
暗擊銃,àm-kik-tshìng
諾羅病毒,lo̍k-lô-pēnn-to̍k
諾羅病毒,lo̍k-lô-pīnn-to̍k
內輪差,lāi-lián-tsha
搜索票,soo-sik-phiò
超級雷暴,tshiau-kip-luî-pō
鎮暴銃,tìn-pō-tshìng
慢分,bān-hun
搖滾樂,iô-kún-ga̍k
自閉症,tsū-pì-tsìng
水流屍,tsuí-lâu-si
熱氣球,jia̍t-khì-kiû
熱氣球,lia̍t-khì-kiû
病尾,pēnn-bué
病尾,pēnn-bé
後遺症,āu-uî-tsìng
人蛇集團,lâng-tsuâ-tsi̍p-thuân
斑芝花,pan-tsi-hue
木棉花,bo̍k-mî-hue
考古題,khó-kóo-tê
考古,khó-kóo
卵白質,nn̄g-pe̍h-tsit
bá-tah,bá-tah
khu-lì-mù,khu-lì-mù
芬多精,hun-to-tsing
痟狗病,siáu-káu-pēnn
痟狗病,siáu-káu-pīnn
痟鹿症,siáu-lo̍k-tsìng
痟牛症,siáu-gû-tsìng
街友,ke-iú
街友,kue-iú
吐血鯃,thòo-hueh-ngôo
吐血鯃,thòo-huih-ngôo
小抹香鯨,sió-buah-hiang-king
淋巴,lîm-pa
幹細胞,kàn-sè-pau
幹細胞,kàn-suè-pau
便利貼,piān-lī-tah
蝦皮,he-phî
迷客夏,bê-kheh-hā
蒲燒,pôo-sio
番麥羹湯,huan-be̍h-kenn-thng
番麥羹湯,huan-be̍h-kinn-thng
徛琴,khiā-khîm
徛琴,hah-phuh
拋電龜,pha-tiān-ku
mài-khù,mài-khù
多巴胺,to-pa-an
伺服器,sù-ho̍k-khì
趨枋,tshu-pang
起泡片,khí-pho-phìnn
品勢,phín-sè
夜光粉,iā-kng-hún
妥瑞症,thò-suī-tsìng
電子批,tiān-tsú-phue
電子批,tiān-tsú-phe
留話,lâu-uē
開講室,khai-káng-sik
頭頁,thâu-ia̍h
鋪文,phoo-bûn
捘卵,tsūn-nn̄g
椰果,iâ-kó
真珠奶茶,tsin-tsu-ling-tê
真珠奶茶,tsin-tsu-ni-tê
布丁,pòo-ting
俗麭𩛩,sio̍k-pháng-kauh
俗麭,sio̍k-pháng
和肉佮,hām-bah-kah
美國割包,bí-kok-kuah-pau
馬鈴薯條,má-lîng-tsî-tiâu
馬鈴薯條,má-lîng-tsû-tiâu
馬鈴薯餅,má-lîng-tsî-piánn
馬鈴薯餅,má-lîng-tsû-piánn
串仔卵餅,tshǹg-á-nn̄g-piánn
檸檬紅茶,lê-bóng-âng-tê
雞肉塊,ke-bah-tè
雞肉塊,kue-bah-tè
大杯冰奶茶,tuā-pue-ping-ling-tê
手摵杯,tshiú-tshi̍k-pue
手摵茶,tshiú-tshi̍k-tê
食甲飽,tsia̍h-kah-pá
普洱茶,phóo-ní-tê
臭殕茶,tshàu-phú-tê
油鯃,iû-ngôo
虎鯨,hóo-king
子宮喙癌,tsú-kiong-tshuì-gâm
子宮頭癌,tsú-kiong-thâu-gâm
番麥枝,huan-be̍h-ki
顏智,gân-tì
甘地,kam-tī
紋斑,bûn-pan
櫻花鉤吻鮭,ing-hue-koo-bún-kui
蓄能設施,thiok-lîng-siat-si
蓄電設施,thiok-tiān-siat-si
相踏事件,sio-ta̍h-sū-kiānn
斑腿青虳,pan-thuí-tshenn-ioh
斑腿樹蛤仔,pan-thuí-tshiū-kap-á
爵士樂,tsiok-sū-ga̍k
蓮苞頭,liân-pau-thâu
siáu-uah,siáu-uah
跨欄,khuà-lân
生成式,sing-sîng-sik
滯洪池,tī-hông-tî
惡地,ok-tē
桌頂遊戲,toh-tíng-iû-hì
桌遊,toh-iû
拗式手機,áu-sik-tshiú-ki
拗式跤踏車,áu-sik-kha-ta̍h-tshia
弄舌,lāng-tsi̍h
盤舌,puânn-tsi̍h
泛舟,huàn-tsiu
熨錫筆,ut-siah-pit
黏錫筆,liâm-siah-pit
僻智識,phiah-tì-sik
歕觱仔人,pûn-pi-á-lâng
bé-khòng,bé-khòng
馬卡龍,ma-khá-lóng
鱸魚,lôo-hî
鱸魚,lôo-hû
豆雞,tāu-ke
豆雞,tāu-kue
芳料,phang-liāu
烏胡椒,oo-hôo-tsio
大骨,tuā-kut
鐵卵,thih-nn̄g
雞跤,ke-kha
雞跤,kue-kha
雞胘,ke-kiān
雞胘,kue-kiān
大骨湯,tuā-kut-thng
牛腱子,gû-kiàn-tsí
粉腸,hún-tshiâng
粉腸,hún-tn̂g
粉肝,hún-kuann
斷食,tn̄g-si̍t
酥油,soo-iû
肉桂,jio̍k-kuì
肉桂,lio̍k-kuì
桔仔,kiat-á
金棗,kim-tsó
棗仔,tsó-á
豆腐麵,tāu-hū-mī
煎餅,tsian-piánn
tshì-sù,tshì-sù
tshì-sìr,tshì-sìr
ma-su-kha-phóng,ma-su-kha-phóng
咖哩,ka-lí
抹匙,buah-sî
果汁機,kó-tsiap-ki
熱量,jia̍t-liōng
熱量,lia̍t-liōng
脂肪,tsi-hong
碳水化合物,thuànn-tsuí-huà-ha̍p-bu̍t
醣類,thn̂g-luī
鈉含量,nà-hâm-liōng
麩質,hu-tsit
葉黃素,ia̍p-hông-sòo
杏仁凍,hīng-jîn-tàng
杏仁凍,hīng-lîn-tàng
tsioo-kóo-lè-tòo,tsioo-kóo-lè-tòo
杏仁粉,hīng-jîn-hún
杏仁粉,hīng-lîn-hún
馬花糋,bé-hue-tsìnn
西洋萵仔菜,se-iûnn-ue-á-tshài
西洋萵仔菜,se-iûnn-e-á-tshài
八角,peh-kak
八角,pueh-kak
艾,hiānn
蕨貓,kueh-niau
蕨貓,keh-niau
菇類麵,koo-luī-mī
菇類湯,koo-luī-thng
菇類醬,koo-luī-tsiùnn
粿仔,ké-á
咖啡因,ka-pi-in
回沖,huê-tshiong
回沖,hê-tshiong
金萱茶,kim-suan-tê
二七仔,jī-tshit-á
二七仔,lī-tshit-á
鐵觀音,thih-kuan-im
可可仔,khoo-khóo-ah
紅醬,âng-tsiùnn
青醬,tshenn-tsiùnn
青醬,tshinn-tsiùnn
鹹酥雞,kiâm-soo-ke
鹹酥雞,kiâm-soo-kue
王梨蝦球,ông-lâi-hê-kiû
菜頭簽餅,tshài-thâu-tshiam-piánn
烘焙,hang-puē
烘焙,hang-pē
果子乾,kué-tsí-kuann
果子乾,ké-tsí-kuann
素肉,sòo-bah
全麥,tsuân-be̍h
炊飯,tshue-pn̄g
炊飯,tshe-pn̄g
果膠,kó-ka
色素,sik-sòo
酥皮,soo-phuê
酥皮,soo-phê
𠕇仁,tīng-jîn
𠕇仁,tīng-lîn
腰果,io-kó
烏麥,oo-be̍h
豆包,tāu-pau
印度烘餅,ìn-tōo-hang-piánn
ma-sá-lah,ma-sá-lah
調味料,tiâu-bī-liāu
鍋貼,ko-tah
火龍果,hué-liông-kó
火龍果,hé-lîng-kó
藍莓,nâ-m̂
哈密瓜,ha-bi̍t-kue
網仔瓜,bāng-á-kue
洋芳瓜,iûnn-phang-kue
me-lóng,me-lóng
猴頭果,kâu-thâu-kó
梅仔,muê-á
梅仔,m̂-á
洋刺波,iûnn-tshì-pho
無花果,bû-hua-kó
山竹,suann-tik
仙楂,sian-tsa
豆皮,tāu-phuê
豆皮,tāu-phê
豆枝,tāu-ki
百頁豆腐,pah-ia̍h-tāu-hū
火腿,hué-thuí
火腿,hé-thuí
há-muh,há-muh
美國煙腸,bí-kok-ian-tshiâng
hóo-tok,hóo-tok
德國煙腸,tik-kok-ian-tshiâng
沙拉,sa-la
總匯,tsóng-huē
餅𩛩,piánn-kauh
馬鈴薯泥,má-lîng-tsî-nî
馬鈴薯泥,má-lîng-tsû-nî
煎包,tsian-pau
水煎包,tsuí-tsian-pau
