tl,hanzi,frequency,poj,tl_num,poj_num
guân,原,7811,goân,guan5,goan5
kiò,叫,7760,kiò,kio3,kio3
tè,帝,7740,tè,te3,te3
hue,花,7690,hoe,hue,hoe
an,安,7594,an,an,an
kiàn,見,7496,kiàn,kian3,kian3
siūnn,想,7440,siūⁿ,siunn7,siunn7
sîng,成,7428,sêng,sing5,seng5
kiánn,囝,7404,kiáⁿ,kiann2,kiann2
ti,知,7399,ti,ti,ti
bí,美,7337,bí,bi2,bi2
tsiūnn,上,7319,chiūⁿ,tsiunn7,chiunn7
sìn,信,7276,sìn,sin3,sin3
tē,第,7248,tē,te7,te7
tīng,定,7244,tēng,ting7,teng7
kín,緊,7239,kín,kin2,kin2
thian,天,7219,thian,thian,thian
kú,久,7160,kú,ku2,ku2
tshài,菜,7141,chhài,tshai3,chhai3
ka,加,7091,ka,ka,ka
ti̍t,直,7087,ti̍t,tit8,tit8
tō,道,7076,tō,to7,to7
bé,馬,7067,bé,be2,be2
ua̍h,活,7040,oa̍h,uah8,oah8
tiám,點,7036,tiám,tiam2,tiam2
sióng,想,7002,sióng,siong2,siong2
hiān,現,6999,hiān,hian7,hian7
giân,言,6993,giân,gian5,gian5
bú,母,6956,bú,bu2,bu2
lah,啦,6933,lah,lah,lah
li̍k,力,6904,le̍k,lik8,lek8
kháu,口,6893,kháu,khau2,khau2
kiann,驚,6862,kiaⁿ,kiann,kiann
uī,位,6819,ūi,ui7,ui7
pháinn,歹,6780,pháiⁿ,phainn2,phainn2
lâm,南,6771,lâm,lam5,lam5
tsú,子,6716,chú,tsu2,chu2
sìng,性,6699,sèng,sing3,seng3
tiān,電,6698,tiān,tian7,tian7
thinn,天,6685,thiⁿ,thinn,thinn
tsá,早,6579,chá,tsa2,cha2
àm,暗,6574,àm,am3,am3
siōng,像,6566,siōng,siong7,siong7
thong,通,6564,thong,thong,thong
miâ,名,6546,miâ,mia5,mia5
iàu,要,6521,iàu,iau3,iau3
tik,的,6480,tek,tik,tek
lūn,論,6468,lūn,lun7,lun7
bé,尾,6428,bé,be2,be2
tshing,清,6424,chheng,tshing,chheng
tsiá,者,6376,chiá,tsia2,chia2
tsáu,走,6360,cháu,tsau2,chau2
sik,色,6336,sek,sik,sek
ki,機,6318,ki,ki,ki
tsì,誌,6282,chì,tsi3,chi3
tsìng,政,6271,chèng,tsing3,cheng3
ìng,應,6270,èng,ing3,eng3
piàn,變,6266,piàn,pian3,pian3
pak,北,6253,pak,pak,pak
siā,社,6244,siā,sia7,sia7
miā,命,6224,miā,mia7,mia7
siông,常,6189,siông,siong5,siong5
sian,先,6185,sian,sian,sian
pò,報,6183,pò,po3,po3
su,師,6182,su,su,su
tōo,度,6182,tō͘,too7,too7
hîng,行,6167,hêng,hing5,heng5
pài,拜,6127,pài,pai3,pai3
lín,恁,6106,lín,lin2,lin2
kái,解,6019,kái,kai2,kai2
ji̍p,入,5922,ji̍p,jip8,jip8
kì,記,5887,kì,ki3,ki3
kan,間,5883,kan,kan,kan
king,間,5883,keng,king,keng
tsuân,全,5864,choân,tsuan5,choan5
kuan,關,5852,koan,kuan,koan
í,已,5841,í,i2,i2
hé,火,5835,hé,he2,he2
khóo,苦,5829,khó͘,khoo2,khoo2
sè,世,5826,sè,se3,se3
lé,禮,5818,lé,le2,le2
thê,提,5795,thê,the5,the5
bû,無,5793,bû,bu5,bu5
ūn,運,5740,ūn,un7,un7
pí,比,5713,pí,pi2,pi2
hí,喜,5697,hí,hi2,hi2
khai,開,5693,khai,khai,khai
ge̍h,月,5651,ge̍h,geh8,geh8
lī,利,5627,lī,li7,li7
khue,溪,5577,khoe,khue,khoe
jiân,然,5569,jiân,jian5,jian5
khang,空,5567,khang,khang,khang
tsîng,前,5527,chêng,tsing5,cheng5
sit,失,5517,sit,sit,sit
âng,紅,5474,âng,ang5,ang5
kiânn,行,5462,kiâⁿ,kiann5,kiann5
ha̍p,合,5457,ha̍p,hap8,hap8
tsa,查,5445,cha,tsa,cha
tńg,轉,5374,tńg,tng2,tng2
tshī,市,5352,chhī,tshi7,chhi7
pinn,邊,5350,piⁿ,pinn,pinn
thuân,傳,5340,thoân,thuan5,thoan5
bān,萬,5320,bān,ban7,ban7
tsìn,進,5302,chìn,tsin3,chin3
tsiàu,照,5261,chiàu,tsiau3,chiau3
hî,魚,5259,hî,hi5,hi5
thué,體,5258,thóe,thue2,thoe2
thé,體,5258,thé,the2,the2
khó,可,5215,khó,kho2,kho2
li̍p,立,5214,li̍p,lip8,lip8
ông,王,5200,ông,ong5,ong5
kau,交,5192,kau,kau,kau
tsuán,轉,5189,choán,tsuan2,choan2
lô,羅,5188,lô,lo5,lo5
pōo,部,5174,pō͘,poo7,poo7
tông,同,5164,tông,tong5,tong5
hū,父,5148,hū,hu7,hu7
hō,號,5140,hō,ho7,ho7
puànn,半,5103,pòaⁿ,puann3,poann3
tsiân,前,5066,chiân,tsian5,chian5
kiat,結,5066,kiat,kiat,kiat
sann,三,5056,saⁿ,sann,sann
pó,保,5027,pó,po2,po2
gī,義,5025,gī,gi7,gi7
tsâi,才,5020,châi,tsai5,chai5
kue,雞,5020,koe,kue,koe
tsheh,冊,5017,chheh,tsheh,chheh
hong,方,5014,hong,hong,hong
tiûnn,場,5008,tiûⁿ,tiunn5,tiunn5
jia,遮,5007,jia,jia,jia
hok,福,5005,hok,hok,hok
siu,收,5000,siu,siu,siu
gû,牛,5000,gû,gu5,gu5
tiúnn,長,4989,tiúⁿ,tiunn2,tiunn2
kui,規,4915,kui,kui,kui
mn̄g,問,4872,mn̄g,mng7,mng7
bián,免,4861,bián,bian2,bian2
sǹg,算,4853,sǹg,sng3,sng3
ko,高,4846,ko,ko,ko
suah,煞,4845,soah,suah,soah
jī,二,4841,jī,ji7,ji7
thóo,土,4794,thó͘,thoo2,thoo2
suán,選,4775,soán,suan2,soan2
hā,下,4750,hā,ha7,ha7
ē,下,4750,ē,e7,e7
san,山,4739,san,san,san
iû,油,4709,iû,iu5,iu5
pōo,步,4691,pō͘,poo7,poo7
piáu,表,4675,piáu,piau2,piau2
tsháu,草,4667,chháu,tshau2,chhau2
sì,四,4665,sì,si3,si3
tsí,子,4660,chí,tsi2,chi2
iú,友,4656,iú,iu2,iu2
sam,三,4626,sam,sam,sam
pîng,平,4615,pêng,ping5,peng5
bah,肉,4608,bah,bah,bah
tsio̍h,石,4571,chio̍h,tsioh8,chioh8
suè,細,4559,sòe,sue3,soe3
kak,覺,4559,kak,kak,kak
gia̍p,業,4524,gia̍p,giap8,giap8
pàng,放,4507,pàng,pang3,pang3
pau,包,4485,pau,pau,pau
tsiú,酒,4471,chiú,tsiu2,chiu2
sio̍k,續,4468,sio̍k,siok8,siok8
kuí,幾,4460,kúi,kui2,kui2
bí,米,4425,bí,bi2,bi2
tn̂g,長,4422,tn̂g,tng5,tng5
má,媽,4398,má,ma2,ma2
būn,問,4385,būn,bun7,bun7
tik,竹,4383,tek,tik,tek
tshiūnn,像,4377,chhiūⁿ,tshiunn7,chhiunn7
pah,百,4376,pah,pah,pah
iūnn,樣,4375,iūⁿ,iunn7,iunn7
tsìng,正,4364,chèng,tsing3,cheng3
tsiap,接,4351,chiap,tsiap,chiap
sái,屎,4331,sái,sai2,sai2
io̍h,藥,4327,io̍h,ioh8,ioh8
lia̍h,掠,4324,lia̍h,liah8,liah8
tué,底,4318,tóe,tue2,toe2
liân,連,4313,liân,lian5,lian5
tsa̍p,十,4304,cha̍p,tsap8,chap8
hāng,項,4298,hāng,hang7,hang7
kim,今,4280,kim,kim,kim
hiòng,向,4258,hiòng,hiong3,hiong3
kiù,救,4257,kiù,kiu3,kiu3
kám,敢,4239,kám,kam2,kam2
īng,用,4235,ēng,ing7,eng7
káng,港,4182,káng,kang2,kang2
hiann,兄,4171,hiaⁿ,hiann,hiann
to,多,4166,to,to,to
suànn,線,4156,sòaⁿ,suann3,soann3
lîng,能,4149,lêng,ling5,leng5
ki,基,4131,ki,ki,ki
sīm,甚,4128,sīm,sim7,sim7
tshân,田,4120,chhân,tshan5,chhan5
tshiū,樹,4070,chhiū,tshiu7,chhiu7
sè,勢,4059,sè,se3,se3
o̍h,學,4044,o̍h,oh8,oh8
kuán,館,4027,koán,kuan2,koan2
tsiàn,戰,4010,chiàn,tsian3,chian3
kha,腳,4002,kha,kha,kha
siat,設,4002,siat,siat,siat
tshiò,笑,3995,chhiò,tshio3,chhio3
tsē,坐,3988,chē,tse7,che7
kheh,客,3978,kheh,kheh,kheh
liām,念,3977,liām,liam7,liam7
khuân,權,3973,khoân,khuan5,khoan5
sì,世,3962,sì,si3,si3
tī,治,3960,tī,ti7,ti7
sui,雖,3954,sui,sui,sui
má,馬,3953,má,ma2,ma2
siong,傷,3924,siong,siong,siong
kan,矸,3922,kan,kan,kan
kiû,求,3908,kiû,kiu5,kiu5
kóo,古,3902,kó͘,koo2,koo2
tso̍k,族,3899,cho̍k,tsok8,chok8
kî,期,3897,kî,ki5,ki5
hô,和,3885,hô,ho5,ho5
kái,改,3877,kái,kai2,kai2
hâng,行,3876,hâng,hang5,hang5
thóng,統,3866,thóng,thong2,thong2
liû,流,3829,liû,liu5,liu5
káu,狗,3818,káu,kau2,kau2
uī,為,3816,ūi,ui7,ui7
hūn,份,3815,hūn,hun7,hun7
se,西,3804,se,se,se
kài,界,3799,kài,kai3,kai3
tang,東,3791,tang,tang,tang
iok,約,3742,iok,iok,iok
tsíng,種,3740,chéng,tsing2,cheng2
tò,倒,3732,tò,to3,to3
lī,離,3699,lī,li7,li7
kuan,觀,3698,koan,kuan,koan
pn̄g,飯,3685,pn̄g,png7,png7
hāi,害,3678,hāi,hai7,hai7
tiàm,店,3670,tiàm,tiam3,tiam3
sik,式,3669,sek,sik,sek
si,詩,3665,si,si,si
poo,埔,3662,po͘,poo,poo
kut,骨,3660,kut,kut,kut
tsí,止,3659,chí,tsi2,chi2
tsiok,足,3647,chiok,tsiok,chiok
kî,其,3645,kî,ki5,ki5
tho̍k,讀,3626,tho̍k,thok8,thok8
hāu,校,3610,hāu,hau7,hau7
lí,里,3604,lí,li2,li2
i,醫,3593,i,i,i
kak,角,3575,kak,kak,kak
kà,教,3568,kà,ka3,ka3
liân,年,3567,liân,lian5,lian5
kòo,顧,3561,kò͘,koo3,koo3
sī,示,3535,sī,si7,si7
kua,歌,3521,koa,kua,koa
sán,產,3513,sán,san2,san2
pia̍t,別,3511,pia̍t,piat8,piat8
sū,士,3492,sū,su7,su7
tsiànn,正,3491,chiàⁿ,tsiann3,chiann3
tit,得,3486,tit,tit,tit
khùn,睏,3486,khùn,khun3,khun3
tang,冬,3477,tang,tang,tang
kuann,官,3458,koaⁿ,kuann,koann
thài,太,3450,thài,thai3,thai3
tsiòng,將,3441,chiòng,tsiong3,chiong3
tshim,深,3438,chhim,tshim,chhim
tê,茶,3426,tê,te5,te5
tann,今,3424,taⁿ,tann,tann
hîng,形,3419,hêng,hing5,heng5
àn,按,3419,àn,an3,an3
hn̂g,園,3408,hn̂g,hng5,hng5
