tl,hanzi,frequency,poj,tl_num,poj_num
bô-sio̍h,無俗,25,bô-sio̍h,bo5sioh8,bo5sioh8
bô-thîng,無停,25,bô-thêng,bo5thing5,bo5theng5
bô-thn̂g,無傳,25,bô-thn̂g,bo5thng5,bo5thng5
bô-siâng,無像,25,bô-siâng,bo5siang5,bo5siang5
bô-siāng,無像,25,bô-siāng,bo5siang7,bo5siang7
bû-kè,無價,25,bû-kè,bu5ke3,bu5ke3
bô-la̍t,無力,25,bô-la̍t,bo5lat8,bo5lat8
bô-ióng,無勇,25,bô-ióng,bo5iong2,bo5iong2
bô-khì,無去,25,bô-khì,bo5khi3,bo5khi3
bô-ha̍h,無合,25,bô-ha̍h,bo5hah8,bo5hah8
bô-tâng,無同,25,bô-tâng,bo5tang5,bo5tang5
bô-ǹg,無向,25,bô-ǹg,bo5ng3,bo5ng3
bô-miā,無命,25,bô-miā,bo5mia7,bo5mia7
bô-siánn,無啥,25,bô-siáⁿ,bo5siann2,bo5siann2
bô-kham,無堪,25,bô-kham,bo5kham,bo5kham
bô-kàu,無夠,25,bô-kàu,bo5kau3,bo5kau3
bô-hó,無好,25,bô-hó,bo5ho2,bo5ho2
bô-hông,無妨,25,bô-hông,bo5hong5,bo5hong5
bû-hông,無妨,25,bû-hông,bu5hong5,bu5hong5
bô-jī,無字,25,bô-jī,bo5ji7,bo5ji7
bô-tiānn,無定,25,bô-tiāⁿ,bo5tiann7,bo5tiann7
bô-tīng,無定,25,bô-tēng,bo5ting7,bo5teng7
bô-hāi,無害,25,bô-hāi,bo5hai7,bo5hai7
bô-kio̍k,無局,25,bô-kio̍k,bo5kiok8,bo5kiok8
bô-tsha,無差,25,bô-chha,bo5tsha,bo5chha
bû-siông,無常,25,bû-siông,bu5siong5,bu5siong5
bô-pênn,無平,25,bô-pêⁿ,bo5penn5,bo5penn5
bô-hîng,無形,25,bô-hêng,bo5hing5,bo5heng5
bô-iánn,無影,25,bô-iáⁿ,bo5iann2,bo5iann2
bû-thí,無恥,25,bû-thí,bu5thi2,bu5thi2
bô-tsîng,無情,25,bô-chêng,bo5tsing5,bo5cheng5
bô-sioh,無惜,25,bô-sioh,bo5sioh,bo5sioh
bô-siūnn,無想,25,bô-siūⁿ,bo5siunn7,bo5siunn7
bô-ài,無愛,25,bô-ài,bo5ai3,bo5ai3
bô-liap,無懾,25,bô-liap,bo5liap,bo5liap
bô-ngóo,無我,25,bô-ngó͘,bo5ngoo2,bo5ngoo2
bô-tsâi,無才,25,bô-châi,bo5tsai5,bo5chai5
bô-pān,無扮,25,bô-pān,bo5pan7,bo5pan7
bô-piànn,無拚,25,bô-piàⁿ,bo5piann3,bo5piann3
bô-tòng,無擋,25,bô-tòng,bo5tong3,bo5tong3
bô-hāu,無效,25,bô-hāu,bo5hau7,bo5hau7
bô-kiù,無救,25,bô-kiù,bo5kiu3,bo5kiu3
bô-sòo,無數,25,bô-sò͘,bo5soo3,bo5soo3
bô-liāu,無料,25,bô-liāu,bo5liau7,bo5liau7
bô-tn̄g,無斷,25,bô-tn̄g,bo5tng7,bo5tng7
bô-khà,無暇,25,bô-khà,bo5kha3,bo5kha3
bô-bāng,無望,25,bô-bāng,bo5bang7,bo5bang7
bô-khiàm,無欠,25,bô-khiàm,bo5khiam3,bo5khiam3
bô-beh,無欲,25,bô-beh,bo5beh,bo5beh
bô-khuán,無款,25,bô-khoán,bo5khuan2,bo5khoan2
bô-pōo,無步,25,bô-pō͘,bo5poo7,bo5poo7
bû-pí,無比,25,bû-pí,bu5pi2,bu5pi2
bô-khuì,無氣,25,bô-khùi,bo5khui3,bo5khui3
bô-tsuí,無水,25,bô-chúi,bo5tsui2,bo5chui2
bô-huat,無法,25,bô-hoat,bo5huat,bo5hoat
bô-tin,無津,25,bô-tin,bo5tin,bo5tin
bô-siau,無消,25,bô-siau,bo5siau,bo5siau
bô-ian,無煙,25,bô-ian,bo5ian,bo5ian
bô-suah,無煞,25,bô-soah,bo5suah,bo5soah
bô-sóng,無爽,25,bô-sóng,bo5song2,bo5song2
bô-iōng,無用,25,bô-iōng,bo5iong7,bo5iong7
bô-uì,無畏,25,bô-ùi,bo5ui3,bo5ui3
bô-īnn,無異,25,bô-īⁿ,bo5inn7,bo5inn7
bû-ì,無異,25,bû-ì,bu5i3,bu5i3
bû-īnn,無異,25,bû-īⁿ,bu5inn7,bu5inn7
bô-gî,無疑,25,bô-gî,bo5gi5,bo5gi5
bô-ik,無益,25,bô-ek,bo5ik,bo5ek
bô-puânn,無盤,25,bô-pôaⁿ,bo5puann5,bo5poann5
bô-bîn,無眠,25,bô-bîn,bo5bin5,bo5bin5
bô-ti,無知,25,bô-ti,bo5ti,bo5ti
bû-ti,無知,25,bû-ti,bu5ti,bu5ti
bô-gāi,無礙,25,bô-gāi,bo5gai7,bo5gai7
bô-sîn,無神,25,bô-sîn,bo5sin5,bo5sin5
bô-lé,無禮,25,bô-lé,bo5le2,bo5le2
bô-su,無私,25,bô-su,bo5su,bo5su
bô-khang,無空,25,bô-khang,bo5khang,bo5khang
bû-kiông,無窮,25,bû-kiông,bu5kiong5,bu5kiong5
bô-kuán,無管,25,bô-koán,bo5kuan2,bo5koan2
bô-suànn,無線,25,bô-sòaⁿ,bo5suann3,bo5soann3
bô-iân,無緣,25,bô-iân,bo5ian5,bo5ian5
bô-tsua̍h,無縒,25,bô-choa̍h,bo5tsuah8,bo5choah8
bô-penn,無繃,25,bô-peⁿ,bo5penn,bo5penn
bô-tsuē,無罪,25,bô-chōe,bo5tsue7,bo5choe7
bô-tsiá,無者,25,bô-chiá,bo5tsia2,bo5chia2
bô-liâu,無聊,25,bô-liâu,bo5liau5,bo5liau5
bû-liâu,無聊,25,bû-liâu,bu5liau5,bu5liau5
bô-siann,無聲,25,bô-siaⁿ,bo5siann,bo5siann
bô-phe,無胚,25,bô-phe,bo5phe,bo5phe
bô-lîng,無能,25,bô-lêng,bo5ling5,bo5leng5
bô-ko,無膏,25,bô-ko,bo5ko,bo5ko
bô-tánn,無膽,25,bô-táⁿ,bo5tann2,bo5tann2
bô-hìng,無興,25,bô-hèng,bo5hing3,bo5heng3
bô-khún,無菌,25,bô-khún,bo5khun2,bo5khun2
bô-tio̍k,無著,25,bô-tio̍k,bo5tiok8,bo5tiok8
bô-gē,無藝,25,bô-gē,bo5ge7,bo5ge7
bô-póo,無補,25,bô-pó͘,bo5poo2,bo5poo2
bô-giân,無言,25,bô-giân,bo5gian5,bo5gian5
bô-gōo,無誤,25,bô-gō͘,bo5goo7,bo5goo7
bô-lūn,無論,25,bô-lūn,bo5lun7,bo5lun7
bô-uī,無謂,25,bô-ūi,bo5ui7,bo5ui7
bô-phóo,無譜,25,bô-phó͘,bo5phoo2,bo5phoo2
bô-su,無輸,25,bô-su,bo5su,bo5su
bû-koo,無辜,25,bû-ko͘,bu5koo,bu5koo
bô-thang,無通,25,bô-thang,bo5thang,bo5thang
bô-thong,無通,25,bô-thong,bo5thong,bo5thong
bû-kò,無過,25,bû-kò,bu5ko3,bu5ko3
bô-î,無遺,25,bô-î,bo5i5,bo5i5
bû-pian,無邊,25,bû-pian,bu5pian,bu5pian
bû-siâ,無邪,25,bû-siâ,bu5sia5,bu5sia5
bô-i,無醫,25,bô-i,bo5i,bo5i
bô-tshái,無采,25,bô-chhái,bo5tshai2,bo5chhai2
bô-liāng,無量,25,bô-liāng,bo5liang7,bo5liang7
bô-siau,無銷,25,bô-siau,bo5siau,bo5siau
bô-tshò,無錯,25,bô-chhò,bo5tsho3,bo5chho3
bô-îng,無閒,25,bô-êng,bo5ing5,bo5eng5
bô-koh,無閣,25,bô-koh,bo5koh,bo5koh
bû-hān,無限,25,bû-hān,bu5han7,bu5han7
bû-hui,無非,25,bû-hui,bu5hui,bu5hui
bô-kòo,無顧,25,bô-kò͘,bo5koo3,bo5koo3
bô-kiann,無驚,25,bô-kiaⁿ,bo5kiann,bo5kiann
