tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,kautian,is_variant
siōng,像,6566,siōng,siong7,siong7,siong,siong,,,True,False
thong,通,6564,thong,thong1,thong1,thong,thong,,,True,False
miâ,名,6546,miâ,mia5,mia5,mia,mia,,,True,False
iàu,要,6521,iàu,iau3,iau3,iau,iau,,,True,False
tik,的,6480,tek,tik4,tek4,tik,tek,,,True,False
lūn,論,6468,lūn,lun7,lun7,lun,lun,,,True,False
bué,尾,6428,bóe,bue2,boe2,bue,boe,,,True,False
bé,尾,6428,bé,be2,be2,be,be,,,True,False
tshing,清,6424,chheng,tshing1,chheng1,tshing,chheng,,,True,False
tsiá,者,6376,chiá,tsia2,chia2,tsia,chia,,,True,False
tsáu,走,6360,cháu,tsau2,chau2,tsau,chau,,,True,False
sik,色,6336,sek,sik4,sek4,sik,sek,,,True,False
tú,拄,6325,tú,tu2,tu2,tu,tu,,,True,False
ki,機,6318,ki,ki1,ki1,ki,ki,,,True,False
tsì,誌,6282,chì,tsi3,chi3,tsi,chi,,,True,False
tsìng,政,6271,chèng,tsing3,cheng3,tsing,cheng,,,True,False
ìng,應,6270,èng,ing3,eng3,ing,eng,,,True,False
piàn,變,6266,piàn,pian3,pian3,pian,pian,,,True,False
pak,北,6253,pak,pak4,pak4,pak,pak,,,True,False
siā,社,6244,siā,sia7,sia7,sia,sia,,,True,False
miā,命,6224,miā,mia7,mia7,mia,mia,,,True,False
siông,常,6189,siông,siong5,siong5,siong,siong,,,True,False
sian,先,6185,sian,sian1,sian1,sian,sian,,,True,False
pò,報,6183,pò,po3,po3,po,po,,,True,False
su,師,6182,su,su1,su1,su,su,,,True,False
tōo,度,6182,tō͘,too7,too7,too,too,,,True,False
hîng,行,6167,hêng,hing5,heng5,hing,heng,,,True,False
pài,拜,6127,pài,pai3,pai3,pai,pai,,,True,False
tsuē,濟,6126,chōe,tsue7,choe7,tsue,choe,,,True,False
tsē,濟,6126,chē,tse7,che7,tse,che,,,True,False
lín,恁,6106,lín,lin2,lin2,lin,lin,,,True,False
kái,解,6019,kái,kai2,kai2,kai,kai,,,True,False
ji̍p,入,5922,ji̍p,jip8,jip8,jip,jip,,,True,False
li̍p,入,5922,li̍p,lip8,lip8,lip,lip,,,True,False
kì,記,5887,kì,ki3,ki3,ki,ki,,,True,False
kan,間,5883,kan,kan1,kan1,kan,kan,,,True,False
king,間,5883,keng,king1,keng1,king,keng,,,True,False
tsuân,全,5864,choân,tsuan5,choan5,tsuan,choan,,,True,False
kuan,關,5852,koan,kuan1,koan1,kuan,koan,,,True,False
í,已,5841,í,i2,i2,i,i,,,True,False
hué,火,5835,hóe,hue2,hoe2,hue,hoe,,,True,False
hé,火,5835,hé,he2,he2,he,he,,,True,False
khóo,苦,5829,khó͘,khoo2,khoo2,khoo,khoo,,,True,False
sè,世,5826,sè,se3,se3,se,se,,,True,False
lé,禮,5818,lé,le2,le2,le,le,,,True,False
bat,捌,5800,bat,bat4,bat4,bat,bat,,,True,False
thê,提,5795,thê,the5,the5,the,the,,,True,False
bû,無,5793,bû,bu5,bu5,bu,bu,,,True,False
ūn,運,5740,ūn,un7,un7,un,un,,,True,False
pí,比,5713,pí,pi2,pi2,pi,pi,,,True,False
hí,喜,5697,hí,hi2,hi2,hi,hi,,,True,False
khai,開,5693,khai,khai1,khai1,khai,khai,,,True,False
ge̍h,月,5651,ge̍h,geh8,geh8,geh,geh,,,True,False
gue̍h,月,5651,goe̍h,gueh8,goeh8,gueh,goeh,,,True,False
tsuánn,怎,5628,chóaⁿ,tsuann2,choann2,tsuann,choann,,,True,False
lī,利,5627,lī,li7,li7,li,li,,,True,False
khe,溪,5577,khe,khe1,khe1,khe,khe,,,True,False
khue,溪,5577,khoe,khue1,khoe1,khue,khoe,,,True,False
jiân,然,5569,jiân,jian5,jian5,jian,jian,,,True,False
liân,然,5569,liân,lian5,lian5,lian,lian,,,True,False
khang,空,5567,khang,khang1,khang1,khang,khang,,,True,False
tsîng,前,5527,chêng,tsing5,cheng5,tsing,cheng,,,True,False
sit,失,5517,sit,sit4,sit4,sit,sit,,,True,False
âng,紅,5474,âng,ang5,ang5,ang,ang,,,True,False
kiânn,行,5462,kiâⁿ,kiann5,kiann5,kiann,kiann,,,True,False
ha̍p,合,5457,ha̍p,hap8,hap8,hap,hap,,,True,False
tsa,查,5445,cha,tsa1,cha1,tsa,cha,,,True,False
tńg,轉,5374,tńg,tng2,tng2,tng,tng,,,True,False
tshī,市,5352,chhī,tshi7,chhi7,tshi,chhi,,,True,False
pinn,邊,5350,piⁿ,pinn1,pinn1,pinn,pinn,,,True,False
thuân,傳,5340,thoân,thuan5,thoan5,thuan,thoan,,,True,False
bān,萬,5320,bān,ban7,ban7,ban,ban,,,True,False
tsìn,進,5302,chìn,tsin3,chin3,tsin,chin,,,True,False
tsiàu,照,5261,chiàu,tsiau3,chiau3,tsiau,chiau,,,True,False
hî,魚,5259,hî,hi5,hi5,hi,hi,,,True,False
hû,魚,5259,hû,hu5,hu5,hu,hu,,,True,False
thué,體,5258,thóe,thue2,thoe2,thue,thoe,,,True,False
thé,體,5258,thé,the2,the2,the,the,,,True,False
khó,可,5215,khó,kho2,kho2,kho,kho,,,True,False
li̍p,立,5214,li̍p,lip8,lip8,lip,lip,,,True,False
ông,王,5200,ông,ong5,ong5,ong,ong,,,True,False
kau,交,5192,kau,kau1,kau1,kau,kau,,,True,False
tsuán,轉,5189,choán,tsuan2,choan2,tsuan,choan,,,True,False
lô,羅,5188,lô,lo5,lo5,lo,lo,,,True,False
pōo,部,5174,pō͘,poo7,poo7,poo,poo,,,True,False
tông,同,5164,tông,tong5,tong5,tong,tong,,,True,False
hū,父,5148,hū,hu7,hu7,hu,hu,,,True,False
hō,號,5140,hō,ho7,ho7,ho,ho,,,True,False
puànn,半,5103,pòaⁿ,puann3,poann3,puann,poann,,,True,False
tsiân,前,5066,chiân,tsian5,chian5,tsian,chian,,,True,False
kiat,結,5066,kiat,kiat4,kiat4,kiat,kiat,,,True,False
sann,三,5056,saⁿ,sann1,sann1,sann,sann,,,True,False
pó,保,5027,pó,po2,po2,po,po,,,True,False
gī,義,5025,gī,gi7,gi7,gi,gi,,,True,False
tsâi,才,5020,châi,tsai5,chai5,tsai,chai,,,True,False
ke,雞,5020,ke,ke1,ke1,ke,ke,,,True,False
kue,雞,5020,koe,kue1,koe1,kue,koe,,,True,False
tsheh,冊,5017,chheh,tsheh4,chheh4,tsheh,chheh,,,True,False
hong,方,5014,hong,hong1,hong1,hong,hong,,,True,False
tiûnn,場,5008,tiûⁿ,tiunn5,tiunn5,tiunn,tiunn,,,True,False
jia,遮,5007,jia,jia1,jia1,jia,jia,,,True,False
