tl,hanzi,frequency,poj,tl_num,poj_num
kià-tsí-tshìng,寄子銃,16,kià-chí-chhèng,kia3tsi2tshing3,kia3chi2chheng3
kià-siok-sià,寄宿舍,16,kià-siok-sià,kia3siok1sia3,kia3siok1sia3
kì-siok-sià,寄宿舍,16,kì-siok-sià,ki3siok1sia3,ki3siok1sia3
kià-ku-thâng,寄居蟲,16,kià-ku-thâng,kia3ku1thang5,kia3ku1thang5
kià-sinn-tshiū,寄生樹,16,kià-siⁿ-chhiū,kia3sinn1tshiu7,kia3sinn1chhiu7
kià-lok-teh,寄落得,16,kià-lok-teh,kia3lok1teh1,kia3lok1teh1
în-ngóo-su̍t,寅午戌,16,în-ngó͘-su̍t,in5ngoo2sut8,in5ngoo2sut8
ba̍t-tsiuh-tsiuh,密chiuh-chiuh,16,ba̍t-chiuh-chiuh,bat8tsiuh1tsiuh1,bat8chiuh1chiuh1
ba̍t-liú-liú,密liú-liú,16,ba̍t-liú-liú,bat8liu2liu2,bat8liu2liu2
ba̍t-siám-siám,密siám-siám,16,ba̍t-siám-siám,bat8siam2siam2,bat8siam2siam2
bā-kap-sà,密合sà,16,bā-kap-sà,ba7kap1sa3,ba7kap1sa3
bi̍t-su-ji̍p,密輸入,16,bi̍t-su-ji̍p,bit8su1jip8,bit8su1jip8
bi̍t-su-tshut,密輸出,16,bi̍t-su-chhut,bit8su1tshut1,bit8su1chhut1
ba̍t-liú-thīnn,密鈕thīnn,16,ba̍t-liú-thīⁿ,bat8liu2thinn7,bat8liu2thinn7
ba̍t-liú-puânn,密鈕盤,16,ba̍t-liú-pôaⁿ,bat8liu2puann5,bat8liu2poann5
ba̍t-liú-pâng,密鈕縫,16,ba̍t-liú-pâng,bat8liu2pang5,bat8liu2pang5
bi̍t-tô-tsing,密陀僧,16,bi̍t-tô-cheng,bit8to5tsing1,bit8to5cheng1
pù-lak-lak,富lak-lak,16,pù-lak-lak,pu3lak1lak1,pu3lak1lak1
hù-ka-tsú,富家子,16,hù-ka-chú,hu3ka1tsu2,hu3ka1chu2
hù-ka-tué,富家底,16,hù-ka-tóe,hu3ka1tue2,hu3ka1toe2
hù-ka-ong,富家翁,16,hù-ka-ong,hu3ka1ong1,hu3ka1ong1
hù-kuì-ka,富貴家,16,hù-kùi-ka,hu3kui3ka1,hu3kui3ka1
hù-kuì-hue,富貴花,16,hù-kùi-hoe,hu3kui3hue1,hu3kui3hoe1
hù-kuì-tāu,富貴豆,16,hù-kùi-tāu,hu3kui3tau7,hu3kui3tau7
bî--khì,寐去,16,bî--khì,bi5khi3,bi5khi3
kuânn--sí,寒--死,16,kôaⁿ--sí,kuann5si2,koann5si2
kuânn-gih-gih,寒gih-gih,16,kôaⁿ-gih-gih,kuann5gih1gih1,koann5gih1gih1
kuânn-kih-kih,寒kih-kih,16,kôaⁿ-kih-kih,kuann5kih1kih1,koann5kih1kih1
hân-ping-tî,寒冰池,16,hân-peng-tî,han5ping1ti5,han5peng1ti5
kuânn-tshìn-tshìn,寒凊凊,16,kôaⁿ-chhìn-chhìn,kuann5tshin3tshin3,koann5chhin3chhin3
kuânn-thinn-sî,寒天時,16,kôaⁿ-thiⁿ-sî,kuann5thinn1si5,koann5thinn1si5
hân-sú-tsiam,寒暑針,16,hân-sú-chiam,han5su2tsiam1,han5su2chiam1
hân-luán-kè,寒暖計,16,hân-loán-kè,han5luan2ke3,han5loan2ke3
hân-suí-tsio̍h,寒水石,16,hân-súi-chio̍h,han5sui2tsioh8,han5sui2chioh8
kuânn-jua̍h-kuì,寒熱季,16,kôaⁿ-joa̍h-kùi,kuann5juah8kui3,koann5joah8kui3
kuânn-jia̍t-pīnn,寒熱病,16,kôaⁿ-jia̍t-pīⁿ,kuann5jiat8pinn7,koann5jiat8pinn7
kuânn-jia̍t-tsìng,寒熱症,16,kôaⁿ-jia̍t-chèng,kuann5jiat8tsing3,koann5jiat8cheng3
kuânn-jia̍t-kuí,寒熱鬼,16,kôaⁿ-jia̍t-kúi,kuann5jiat8kui2,koann5jiat8kui2
kuânn-giuh-giuh,寒縮縮,16,kôaⁿ-giuh-giuh,kuann5giuh1giuh1,koann5giuh1giuh1
kuânn-kiuh-kiuh,寒縮縮,16,kôaⁿ-kiuh-kiuh,kuann5kiuh1kiuh1,koann5kiuh1kiuh1
hân-sik-hong,寒色瘋,16,hân-sek-hong,han5sik1hong1,han5sek1hong1
hân-suan-kheh,寒酸客,16,hân-soan-kheh,han5suan1kheh1,han5soan1kheh1
hân-suan-khì,寒酸氣,16,hân-soan-khì,han5suan1khi3,han5soan1khi3
hân-suan-kuí,寒酸鬼,16,hân-soan-kúi,han5suan1kui2,han5soan1kui2
kuânn-sih-sih,寒閃閃,16,kôaⁿ-sih-sih,kuann5sih1sih1,koann5sih1sih1
si̍t-gia̍p-ka,實業家,16,si̍t-gia̍p-ka,sit8giap8ka1,sit8giap8ka1
