hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone
批塗,phi-thôo,25,phi-thô͘,phi1thoo5,phi1thoo5,phithoo,phithoo
披土,phi-thôo,25,phi-thô͘,phi1thoo5,phi1thoo5,phithoo,phithoo
抹刀,buah-to,25,boah-to,buah1to1,boah1to1,buahto,boahto
抾板,khioh-pán,25,khioh-pán,khioh1pan2,khioh1pan2,khiohpan,khiohpan
抾蒼,khioh-tshong,25,khioh-chhong,khioh1tshong1,khioh1chhong1,khiohtshong,khiohchhong
拆線,thiah-suànn,25,thiah-sòaⁿ,thiah1suann3,thiah1soann3,thiahsuann,thiahsoann
拍漿,phah-tsiunn,25,phah-chiuⁿ,phah1tsiunn1,phah1chiunn1,phahtsiunn,phahchiunn
拍空,phah-khang,25,phah-khang,phah1khang1,phah1khang1,phahkhang,phahkhang
拍箍,phah-khoo,25,phah-kho͘,phah1khoo1,phah1khoo1,phahkhoo,phahkhoo
拍胚,phah-phue,25,phah-phoe,phah1phue1,phah1phoe1,phahphue,phahphoe
拔花,puēh-hue,25,poēh-hoe,pueh7hue1,poeh7hoe1,puehhue,poehhoe
拗彎,áu-uan,25,áu-oan,au2uan1,au2oan1,auuan,auoan
挖空,ué-khang,25,óe-khang,ue2khang1,oe2khang1,uekhang,oekhang
挲線,so-suànn,25,so-sòaⁿ,so1suann3,so1soann3,sosuann,sosoann
捀盤,phâng-puânn,25,phâng-pôaⁿ,phang5puann5,phang5poann5,phangpuann,phangpoann
捆絃,khún-hiân,25,khún-hiân,khun2hian5,khun2hian5,khunhian,khunhian
捏頭,lia̍p-thâu,25,lia̍p-thâu,liap8thau5,liap8thau5,liapthau,liapthau
捲枋,kńg-pang,25,kńg-pang,kng2pang1,kng2pang1,kngpang,kngpang
掃枋,sàu-pang,25,sàu-pang,sau3pang1,sau3pang1,saupang,saupang
掠花,lia̍h-hue,25,lia̍h-hoe,liah8hue1,liah8hoe1,liahhue,liahhoe
接剾,tsiap-khau,25,chiap-khau,tsiap1khau1,chiap1khau1,tsiapkhau,chiapkhau
接線,tsiap-suànn,25,chiap-sòaⁿ,tsiap1suann3,chiap1soann3,tsiapsuann,chiapsoann
摃空,kòng-khang,25,kòng-khang,kong3khang1,kong3khang1,kongkhang,kongkhang
撋塗,nuá-thôo,25,nóa-thô͘,nua2thoo5,noa2thoo5,nuathoo,noathoo
擠金,tsik-kim,25,chek-kim,tsik1kim1,chek1kim1,tsikkim,chekkim
攕草,tshiám-tshó,25,chhiám-chhó,tshiam2tsho2,chhiam2chho2,tshiamtsho,chhiamchho
放枋,pàng-pang,25,pàng-pang,pang3pang1,pang3pang1,pangpang,pangpang
敲仔,khà-á,25,khà-á,kha3a2,kha3a2,khaa,khaa
敲槌,khà-thuî,25,khà-thûi,kha3thui5,kha3thui5,khathui,khathui
文目,bûn-ba̍k,25,bûn-ba̍k,bun5bak8,bun5bak8,bunbak,bunbak
文肚,bûn-tōo,25,bûn-tō͘,bun5too7,bun5too7,buntoo,buntoo
文袍,bûn-phâu,25,bûn-phâu,bun5phau5,bun5phau5,bunphau,bunphau
文轎,bûn-kiō,25,bûn-kiō,bun5kio7,bun5kio7,bunkio,bunkio
斧頭,póo-thâu,25,pó͘-thâu,poo2thau5,poo2thau5,poothau,poothau
旗頭,kî-thâu,25,kî-thâu,ki5thau5,ki5thau5,kithau,kithau
時鐘,sî-tsing,25,sî-cheng,si5tsing1,si5cheng1,sitsing,sicheng
晟手,tshiânn-tshiú,25,chhiâⁿ-chhiú,tshiann5tshiu2,chhiann5chhiu2,tshianntshiu,chhiannchhiu
暗號,àm-hō,25,àm-hō,am3ho7,am3ho7,amho,amho
月桃,ge̍h-thô,25,ge̍h-thô,geh8tho5,geh8tho5,gehtho,gehtho
朝天,tiâu-thian,25,tiâu-thian,tiau5thian1,tiau5thian1,tiauthian,tiauthian
木尺,bo̍k-tshioh,25,bo̍k-chhioh,bok8tshioh1,bok8chhioh1,boktshioh,bokchhioh
本尊,pún-tsun,25,pún-chun,pun2tsun1,pun2chun1,puntsun,punchun
杜英,tōo-ing,25,tō͘-eng,too7ing1,too7eng1,tooing,tooeng
束冠,sok-kuan,25,sok-koan,sok1kuan1,sok1koan1,sokkuan,sokkoan
松膠,siông-ka,25,siông-ka,siong5ka1,siong5ka1,siongka,siongka
枇杷,gî-pê,25,gî-pê,gi5pe5,gi5pe5,gipe,gipe
染料,ní-liāu,25,ní-liāu,ni2liau7,ni2liau7,niliau,niliau
染桶,ní-tháng,25,ní-tháng,ni2thang2,ni2thang2,nithang,nithang
染色,ní-tsik,25,ní-chek,ni2tsik1,ni2chek1,nitsik,nichek
柱珠,thiāu-tsu,25,thiāu-chu,thiau7tsu1,thiau7chu1,thiautsu,thiauchu
柴砧,tshâ-tiam,25,chhâ-tiam,tsha5tiam1,chha5tiam1,tshatiam,chhatiam
柴窯,tshâ-iô,25,chhâ-iô,tsha5io5,chha5io5,tshaio,chhaio
柴胎,tshâ-thai,25,chhâ-thai,tsha5thai1,chha5thai1,tshathai,chhathai
桌崁,toh-khàm,25,toh-khàm,toh1kham3,toh1kham3,tohkham,tohkham
桌裙,toh-kûn,25,toh-kûn,toh1kun5,toh1kun5,tohkun,tohkun
桶梯,tháng-thui,25,tháng-thui,thang2thui1,thang2thui1,thangthui,thangthui
梅花,muî-hue,25,mûi-hoe,mui5hue1,mui5hoe1,muihue,muihoe
梳仔,se-á,25,se-á,se1a2,se1a2,sea,sea
棉布,mî-pòo,25,mî-pò͘,mi5poo3,mi5poo3,mipoo,mipoo
棉線,mî-suànn,25,mî-sòaⁿ,mi5suann3,mi5soann3,misuann,misoann
棕蓑,tsang-sui,25,chang-sui,tsang1sui1,chang1sui1,tsangsui,changsui
