hanzi,tl,frequency,poj,tl_num,poj_num
佛字,pu̍t-jī,25,pu̍t-jī,put8ji7,put8ji7
佛字,pu̍t-lī,25,pu̍t-lī,put8li7,put8li7
使用,sír-iōng,25,sír-iōng,sir2iong7,sir2iong7
俗語,sio̍k-gír,25,sio̍k-gír,siok8gir2,siok8gir2
信士,sìn-sīr,25,sìn-sīr,sin3sir7,sin3sir7
信士,sìn-sū,25,sìn-sū,sin3su7,sin3su7
信士,sìn-sǐr,25,sìn-sǐr,sin3sir6,sin3sir6
信據,sìn-kì,25,sìn-kì,sin3ki3,sin3ki3
信據,sìn-kìr,25,sìn-kìr,sin3kir3,sin3kir3
信據,sìn-kù,25,sìn-kù,sin3ku3,sin3ku3
修飾,siu-sik,25,siu-sek,siu1sik4,siu1sek4
傀儡,ka-lér,25,ka-lér,ka1ler2,ka1ler2
傷暑,siong-sír,25,siong-sír,siong1sir2,siong1sir2
傷暑,siong-sú,25,siong-sú,siong1su2,siong1su2
僻語,phiah-gí,25,phiah-gí,phiah4gi2,phiah4gi2
僻語,phiah-gír,25,phiah-gír,phiah4gir2,phiah4gir2
僻語,phiah-gú,25,phiah-gú,phiah4gu2,phiah4gu2
先生,sia̋n-sé,25,siăn-sé,sian1se2,sian9se2
先輩,sia̋n-pái,25,siăn-pái,sian1pai2,sian9pai2
光批,kng-phue,25,kng-phoe,kng1phue1,kng1phoe1
光批,kuinn-phe,25,kuiⁿ-phe,kuinn1phe1,kuinn1phe1
內科,lāi-khe,25,lāi-khe,lai7khe1,lai7khe1
內科,lāi-kher,25,lāi-kher,lai7kher1,lai7kher1
內科,lǎi-kher,25,lǎi-kher,lai6kher1,lai6kher1
公子,kong-tsír,25,kong-chír,kong1tsir2,kong1chir2
兵士,ping-sīr,25,peng-sīr,ping1sir7,peng1sir7
兵士,ping-sǐr,25,peng-sǐr,ping1sir6,peng1sir6
写真,sia-sín,25,sia-sín,sia1sin2,sia1sin2
分會,hun-hē,25,hun-hē,hun1he7,hun1he7
分會,hun-hēr,25,hun-hēr,hun1her7,hun1her7
刑事,hîng-sīr,25,hêng-sīr,hing5sir7,heng5sir7
列位,lia̍t-uī,25,lia̍t-ūi,liat8ui7,liat8ui7
刪除,san-tîr,25,san-tîr,san1tir5,san1tir5
剝皮,pak-phêr,25,pak-phêr,pak4pher5,pak4pher5
割據,kat-kì,25,kat-kì,kat4ki3,kat4ki3
割據,kat-kìr,25,kat-kìr,kat4kir3,kat4kir3
割據,kat-kù,25,kat-kù,kat4ku3,kat4ku3
勇士,ióng-sīr,25,ióng-sīr,iong2sir7,iong2sir7
勇士,ióng-sǐr,25,ióng-sǐr,iong2sir6,iong2sir6
勘定,kha̋n-jióo,25,khăn-jió͘,khan1jioo2,khan9jioo2
南無,lâm-bû,25,lâm-bû,lam5bu5,lam5bu5
南無,nâ-môo,25,nâ-mô͘,na5moo5,na5moo5
博士,phok-sīr,25,phok-sīr,phok4sir7,phok4sir7
博士,phok-sǐr,25,phok-sǐr,phok4sir6,phok4sir6
古史,kóo-sír,25,kó͘-sír,koo2sir2,koo2sir2
古史,kóo-sú,25,kó͘-sú,koo2su2,koo2su2
古墓,kóo-bōo,25,kó͘-bō͘,koo2boo7,koo2boo7
古書,kóo-sir,25,kó͘-sir,koo2sir1,koo2sir1
古書,kóo-su,25,kó͘-su,koo2su1,koo2su1
古書,kóo-tsir,25,kó͘-chir,koo2tsir1,koo2chir1
古語,kóo-gí,25,kó͘-gí,koo2gi2,koo2gi2
古語,kóo-gír,25,kó͘-gír,koo2gir2,koo2gir2
古語,kóo-gú,25,kó͘-gú,koo2gu2,koo2gu2
句法,kù-huat,25,kù-hoat,ku3huat4,ku3hoat4
可以,khónn-í,25,khóⁿ-í,khonn2i2,khonn2i2
可傷,khó-siong,25,khó-siong,kho2siong1,kho2siong1
可傷,khónn-siong,25,khóⁿ-siong,khonn2siong1,khonn2siong1
可取,khónn-tshú,25,khóⁿ-chhú,khonn2tshu2,khonn2chhu2
可惜,khónn-sioh,25,khóⁿ-sioh,khonn2sioh4,khonn2sioh4
可愛,khónn-ài,25,khóⁿ-ài,khonn2ai3,khonn2ai3
