漢字,異用字,TL
各馝,各鱉,kok-pih
回覆,回復,huê-hok/hê-hok
庄,莊,tsng
字爿,字旁,jī-pîng/lī-pîng
安份,安分,an-hūn
好囝,好子,hó-kiánn
好好人,好好儂,hó-hó-lâng
好佳哉,好嘉哉,hó-ka-tsài
好佳哉,好佳在,hó-ka-tsài
好空,好孔,hó-khang
好喙,好嘴,hó-tshuì
好喙斗,好嘴斗,hó-tshuì-táu
尖喙夾仔,尖嘴夾仔,tsiam-tshuì-ngeh-á
尖喙掘仔,尖嘴掘仔,tsiam-tshuì-ku̍t-á
奸詭,奸鬼,kan-kuí
庄跤,庄骹,tsng-kha
庄跤,庄腳,tsng-kha
尖跤幼手,尖骹幼手,tsiam-kha-iù-tshiú
尖跤幼手,尖腳幼手,tsiam-kha-iù-tshiú
好額人,好額儂,hó-gia̍h-lâng
扞,按,huānn
扞,捍,huānn
扦,䉔,tshuann
成人,成儂,
死人面,死儂面,sí-lâng-bīn
死人款,死儂款,sí-lâng-khuán
有人緣,有儂緣,ū-lâng-iân
死囡仔䖙,死囡仔撐,sí-gín-á-the
有耳無喙,有耳無嘴,ū-hīnn-bô-tshuì/ū-hī-bô-tshuì
死坐活食,死坐活噍,sí-tsē-ua̍h-tsia̍h
死坐活食,死坐活吃,sí-tsē-ua̍h-tsia̍h
有空無榫,有孔無榫,ū-khang-bô-sún
扞家,按家,huānn-ke
扞家,捍家,huānn-ke
收喙,收嘴,siu-tshuì
有閒,有閑,ū-îng
曲跤,蹺骹,khiau-kha
曲跤,蹺腳,khiau-kha
收跤洗手,收骹洗手,siu-kha-sé-tshiú/siu-kha-sué-tshiú
收跤洗手,收腳洗手,siu-kha-sé-tshiú/siu-kha-sué-tshiú
扞鼎灶,捍鼎灶,huānn-tiánn-tsàu
扞鼎灶,按鼎灶,huānn-tiánn-tsàu
扞數,捍數,huānn-siàu
扞數,扞賬,huānn-siàu
扞數,捍賬,huānn-siàu
收數,收賬,siu-siàu
扞盤,按盤,huānn-puânn
扞盤,捍盤,huānn-puânn
收擔,收担,siu-tànn
死賴人,死賴儂,sí-luā--lâng
有錢人,有錢儂,ū-tsînn-lâng
扞頭,按頭,huānn-thâu
扞頭,捍頭,huānn-thâu
收瀾,收涎,siu-nuā
竹䈄,竹筨,tik-ham
老人,老儂,lāu-lâng
老人目,老儂目,lāu-lâng-ba̍k
老人斑,老儂斑,lāu-lâng-pan
老大人,老大儂,lāu-tuā-lâng
米奶,米乳,bí-ling/bí-ni
百百空,百百孔,pah-pah-khang
竹披仔,竹批仔,tik-phi-á
老板,老闆,láu-pán
老爸,老父,lāu-pē
耳空,耳孔,hīnn-khang/hī-khang
耳空重,耳孔重,hīnn-khang-tāng/hī-khang-tāng
耳空鬼仔,耳孔鬼仔,hīnn-khang-kuí-á/hī-khang-kuí-á
耳空輕,耳孔輕,hīnn-khang-khin/hī-khang-khin
米芳,米香,bí-phang
肉乾,肉干,bah-kuann
竹棑,竹筏,tik-pâi
行棋,行碁,kiânn-kî
羊犅,羊牨,iûnn-káng
老番顛,老番癲,lāu-huan-tian
老硞硞,老痀痀,lāu-khok-khok
肉圓,肉丸,bah-uân
老歲仔,老伙仔,lāu-huè-á/lāu-hè-á
竹跤,竹骹,tik-kha
竹跤,竹腳,tik-kha
肉跤仔,肉骹仔,bah-kha-á
肉跤仔,肉腳仔,bah-kha-á
竹蓆,竹𥱊,tik-tshio̍h
米潘,米䊩,bí-phun
灰窯,灰窰,hue-iô
竹箬,竹籜,tik-ha̍h
竹箬,竹笚,tik-ha̍h
米蟲,米虫,bí-thâng
肉羹,肉焿,bah-kenn/bah-kinn
米攕,米扦,bí-tshiám
米粩,米荖,bí-láu
米粩,米佬,bí-láu
西爿,西旁,sai-pîng
西洋人,西洋儂,Se-iûnn-lâng
佈,布,pòo
佗,叼,
佗,搭,
佗,叼,
佗,搭,
你,汝,lí
伸勼,伸糾,tshun-kiu
作田,做田,tsoh-tshân
作田人,作田儂,tsoh-tshân-lâng
作田人,做田人,tsoh-tshân-lâng
作田人,做田儂,tsoh-tshân-lâng
佗位,叨位,tó-uī
