漢字,異用字,羅馬字
兄弟姊妹,兄弟姐妹,hiann-tī-tsí-muē/hiann-tī-tsí-bē
燃柴,烆柴,hiânn-tshâ
燃水,烆水,hiânn-tsuí
僥倖錢,嬈倖錢,hiau-hīng-tsînn
嬈花,嬲花,hiâu-hue
囂俳,嬈俳,hiau-pai
藃蟶,僥蟶,hiauh-than
藃蟶,翹坦,hiauh-than
欣羨,歆羨,him-siān
還數,還賬,hîng siàu
耳空吼,耳孔吼,hīnn-khang-háu/hī-khang-háu
耳空吼,耳空哮,hīnn-khang-háu/hī-khang-háu
耳空輕,耳孔輕,hīnn-khang-khin/hī-khang-khin
耳空鬼仔,耳孔鬼仔,hīnn-khang-kuí-á/hī-khang-kuí-á
耳空重,耳孔重,hīnn-khang-tāng/hī-khang-tāng
耳空,耳孔,hīnn-khang/hī-khang
歇睏,歇困,hioh-khùn
兇,凶,hiong
香港跤,香港骹,hiong-káng-kha
香港跤,香港腳,hiong-káng-kha
兇狂,凶狂,hiong-kông
翕,熻,hip
翕相,翕像,hip-siòng
翕相機,翕像機,hip-siòng-ki
翕相館,翕像館,hip-siòng-kuán
彼款,迄款,hit khuán
彼擺,迄擺,hit pái
彼爿,彼旁,hit pîng
彼爿,迄旁,hit pîng
彼爿,迄爿,hit pîng
彼跡,迄跡,hit-jiah/hit-liah
彼號,迄號,hit-lō
彼時,迄時,hit-sî
彼搭,迄搭,hit-tah
彼站,迄暫,hit-tsām
彼一日,迄一日,hit-tsi̍t-ji̍t/hit-tsi̍t-li̍t
彼陣,彼瞬,hit-tsūn
彼陣,迄陣,hit-tsūn
彼陣,迄瞬,hit-tsūn
香烌,香灰,hiunn-hu
香櫞瓜,香圓瓜,hiunn-înn-kue
香跤,香腳,hiunn-kha
噷噷,默默,hm̍h-hm̍h
好唯是,好惟是,hó-bî-sī
好唯是,好未是,hó-bî-sī
好唯是,好味是,hó-bî-sī
好額人,好額儂,hó-gia̍h-lâng
好好人,好好儂,hó-hó-lâng
好佳哉,好嘉哉,hó-ka-tsài
好佳哉,好佳在,hó-ka-tsài
好空,好孔,hó-khang
好囝,好子,hó-kiánn
好死毋死,好死不死,hó-sí-m̄-sí
好喙,好嘴,hó-tshuì
好喙斗,好嘴斗,hó-tshuì-táu
復原,復元,ho̍k-guân
服侍,服祀,ho̍k-sāi
復習,複習,ho̍k-si̍p
揈,封,hong
風湧,風泳,hong-íng
風飛沙,風飛砂,hong-pue-sua
風溼,風濕,hong-sip
封頭壁,風頭壁,hong-thâu-piah
風吹輪,風吹輾,hong-tshue-lián/hong-tshe-lián
封喙,封嘴,hong-tshuì
風喙口,風嘴口,hong-tshuì-kháu
予,互,hōo
唬,虎,hóo
唬人,虎人,hóo--lâng
雨幔,雨𧜞,hōo-mua
戽杓,戽桸,hòo-sia̍h
胡蠅,葫蠅,hôo-sîn
胡蠅拍仔,胡蠅打仔,hôo-sîn-phah-á
胡蠅拍仔,胡蠅扑仔,hôo-sîn-phah-á
戶橂,戶定,hōo-tīng
戶橂,戶閬,hōo-tīng
拊,撫,hú
烌,灰,hu
婦人人,婦人儂,hū-jîn-lâng/hū-lîn-lâng
喝玲瑯,喝玲瓏,huah-lin-long
番仔幔,蕃仔幔,huan-á-mua
番仔幔,番仔𧜞,huan-á-mua
番仔幔,蕃仔𧜞,huan-á-mua
犯人,犯儂,huān-lâng
凡勢,犯勢,huān-sè
番社,蕃社,huan-siā
番顛,蕃顛,huan-tian
翻轉年,返當年,huan-tńg-nî
販厝,販茨,huàn-tshù
扞,按,huānn
扞,捍,huānn
扞家,按家,huānn-ke
扞家,捍家,huānn-ke
扞盤,按盤,huānn-puânn
扞盤,捍盤,huānn-puânn
扞數,捍數,huānn-siàu
扞數,扞賬,huānn-siàu
扞數,捍賬,huānn-siàu
扞頭,按頭,huānn-thâu
扞頭,捍頭,huānn-thâu
扞鼎灶,捍鼎灶,huānn-tiánn-tsàu
扞鼎灶,按鼎灶,huānn-tiánn-tsàu
罰徛,罰企,hua̍t-khiā
罰徛,罰豎,hua̍t-khiā
發粿,發餜,huat-kué/huat-ké
花袂牢枝,花袂稠枝,hue-bē-tiâu-ki/hue-buē-tiâu-ki
花袂牢枝,花𣍐牢枝,hue-bē-tiâu-ki/hue-buē-tiâu-ki
花袂牢枝,花𣍐稠枝,hue-bē-tiâu-ki/hue-buē-tiâu-ki
花血,花纈,hue-hiat
回覆,回復,huê-hok/hê-hok
火薰,火熏,hué-hun/hé-hun
火薰,火煙,hué-hun/hé-hun
灰窯,灰窰,hue-iô
火金蛄,火金姑,hué-kim-koo/hé-kim-koo
花彔彔,花菉菉,hue-lok-lok
花莓,花苺,hue-m̂
火燒厝,火燒茨,hué-sio-tshù/hé-sio-tshù
瓷,磁,huî
瓷仔,磁仔,huî-á
瓷仔店,磁仔店,huî-á-tiàm
份,分,hūn
昏去,暈去,hūn--khì
昏倒,暈倒,hūn--tó
昏迷,暈迷,hūn-bê
份額,分額,hūn-gia̍h
薰屎,熏屎,hun-sái
薰屎,煙屎,hun-sái
薰頭,熏頭,hun-thâu
薰頭,煙頭,hun-thâu
薰吹,熏吹,hun-tshue/hun-tshe
薰吹,煙吹,hun-tshue/hun-tshe
拂,㧾,hut
奕,弈,ī
厭𤺪,饜𤺪,ià-siān
蛾仔,蝶仔,ia̍h-á
搤空,挖空,iah-khang
搤空,挖孔,iah-khang
搤空,搤孔,iah-khang
沿,椽,iân
厭氣,嚥氣,iàn-khì
厭氣,燕氣,iàn-khì
緣投,嫣頭,iân-tâu
緣投,嫣投,iân-tâu
夭,殀,iáu
枵,飢,iau
枵,餓,iau
枵飢失頓,餓飢失頓,iau-ki-sit-tǹg
猶閣,猶擱,iáu-koh
猶閣,猶甲,iáu-koh
猶閣咧,抑更咧,iáu-koh teh
猶閣咧,抑甲咧,iáu-koh teh
猶閣咧,猶擱咧,iáu-koh teh
枵過飢,餓過飢,iau-kuè-ki
枵鬼,飢鬼,iau-kuí
枵鬼,餓鬼,iau-kuí
猶毋過,抑毋擱,iáu-m̄-koh
猶毋過,猶不過,iáu-m̄-koh
猶毋過,抑不過,iáu-m̄-koh
枵飽吵,飢飽吵,iau-pá-tshá
枵饞,飢饞,iau-sâi
枵饞,餓饞,iau-sâi
枵饞,枵豺,iau-sâi
夭壽,殀壽,iáu-siū
夭壽仔,殀壽仔,iáu-siū-á
夭壽骨,殀壽骨,iáu-siū-kut
夭壽短命,殀壽短命,iáu-siū-té-miā
枵燥,餓燥,iau-sò
溢奶,呃奶,ik-ling/ik-ni
溢奶,溢乳,ik-ling/ik-ni
溢奶,呃乳,ik-ling/ik-ni
陰桮,陰杯,im-pue
陰鴆,陰沉,im-thim
𪜶,怹,in
允頭路,引頭路,ín-thâu-lōo/ún-thâu-lōo
應喙,應嘴,ìn-tshuì
應喙應舌,應嘴應舌,ìn-tshuì-ìn-tsi̍h
壅田,壅塍,ìng tshân
閒仔話,閑仔話,îng-á-uē
往往,永永,íng-íng
