tl,hanzi,frequency,poj,tl_num,poj_num
lîng,岭,50,lêng,ling5,leng5
tāi,岱,50,tāi,tai7,tai7
hōo,岵,50,hō͘,hoo7,hoo7
phik,岶,50,phek,phik4,phek4
bâ,峇,50,bâ,ba5,ba5
bā,峇,50,bā,ba7,ba7
khap,峇,50,khap,khap4,khap4
sûn,峋,50,sûn,sun5,sun5
tia̍t,峌,50,tia̍t,tiat8,tiat8
kai,峐,50,kai,kai1,kai1
tông,峒,50,tông,tong5,tong5
khiong,峕,50,khiong,khiong1,khiong1
guî,峗,50,gûi,gui5,gui5
huân,峘,50,hoân,huan5,hoan5
iū,峟,50,iū,iu7,iu7
ngôo,峨,50,ngô͘,ngoo5,ngoo5
gô,峩,50,gô,go5,go5
ngôo,峩,50,ngô͘,ngoo5,ngoo5
io̍k,峪,50,io̍k,iok8,iok8
kok,峪,50,kok,kok4,kok4
siáu,峭,50,siáu,siau2,siau2
khun,峮,50,khun,khun1,khun1
lô,峱,50,lô,lo5,lo5
hîng,峵,50,hêng,hing5,heng5
hông,峵,50,hông,hong5,hong5
tór,島,50,tór,tor2,tor2
tôo,峹,50,tô͘,too5,too5
kīng,峺,50,kēng,king7,keng7
tsùn,峻,50,chùn,tsun3,chun3
gôo,峿,50,gô͘,goo5,goo5
khong,崆,50,khong,khong1,khong1
huā,崋,50,hōa,hua7,hoa7
ku,崌,50,ku,ku1,ku1
lâi,崍,50,lâi,lai5,lai5
kiǎ,崎,50,kiǎ,kia6,kia6
tshuì,崒,50,chhùi,tshui3,chhui3
tsuì,崒,50,chùi,tsui3,chui3
tsu̍t,崒,50,chu̍t,tsut8,chut8
tshui,崔,50,chhui,tshui1,chhui1
gâi,崕,50,gâi,gai5,gai5
kang,崗,50,kang,kang1,kang1
kong,崗,50,kong,kong1,kong1
lūn,崘,50,lūn,lun7,lun7
lîng,崚,50,lêng,ling5,leng5
ku̍t,崛,50,ku̍t,kut8,kut8
kok,崞,50,kok,kok4,kok4
gîm,崟,50,gîm,gim5,gim5
khím,崟,50,khím,khim2,khim2
hâm,崡,50,hâm,ham5,ham5
tsing,崢,50,cheng,tsing1,cheng1
ngâu,崤,50,ngâu,ngau5,ngau5
pî,崥,50,pî,pi5,pi5
iam,崦,50,iam,iam1,iam1
siông,崧,50,siông,siong5,siong5
tsia̍p,崨,50,chia̍p,tsiap8,chiap8
tshuì,崪,50,chhùi,tshui3,chhui3
tsik,崱,50,chek,tsik4,chek4
hông,崲,50,hông,hong5,hong5
ue,崴,50,oe,ue1,oe1
ui,崴,50,ui,ui1,ui1
iông,崵,50,iông,iong5,iong5
tōng,崵,50,tōng,tong7,tong7
hong,崶,50,hong,hong1,hong1
tsáinn,崽,50,cháiⁿ,tsainn2,chainn2
go̍k,崿,50,go̍k,gok8,gok8
kham,嵁,50,kham,kham1,kham1
lu̍t,嵂,50,lu̍t,lut8,lut8
giān,嵃,50,giān,gian7,gian7
ke,嵆,50,ke,ke1,ke1
khe,嵆,50,khe,khe1,khe1
ke,嵇,50,ke,ke1,ke1
khe,嵇,50,khe,khe1,khe1
sīng,嵊,50,sēng,sing7,seng7
bî,嵋,50,bî,bi5,bi5
kham,嵌,50,kham,kham1,kham1
khiâm,嵌,50,khiâm,khiam5,khiam5
khàm,嵌,50,khàm,kham3,kham3
gû,嵎,50,gû,gu5,gu5
tsong,嵏,50,chong,tsong1,chong1
giâm,嵓,50,giâm,giam5,giam5
gâm,嵓,50,gâm,gam5,gam5
