hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev
硯台,hīnn-tâi,25,hīⁿ-tâi,hinn7tai5,hinn7tai5,hinntai,hinntai,ht,ht
硼酸,pîng-sng,25,pêng-sng,ping5sng1,peng5sng1,pingsng,pengsng,ps,ps
碑文,pi-bûn,25,pi-bûn,pi1bun5,pi1bun5,pibun,pibun,pb,pb
碗箸,uánn-tī,25,óaⁿ-tī,uann2ti7,oann2ti7,uannti,oannti,ut,ot
碳化,thuànn-huà,25,thòaⁿ-hòa,thuann3hua3,thoann3hoa3,thuannhua,thoannhoa,th,th
碼頭,bé-thâu,25,bé-thâu,be2thau5,be2thau5,bethau,bethau,bt,bt
磁力,tsû-li̍k,25,chû-le̍k,tsu5lik8,chu5lek8,tsulik,chulek,tl,cl
磁場,tsû-tiûnn,25,chû-tiûⁿ,tsu5tiunn5,chu5tiunn5,tsutiunn,chutiunn,tt,ct
磁性,tsû-sìng,25,chû-sèng,tsu5sing3,chu5seng3,tsusing,chuseng,ts,cs
磁極,tsû-ki̍k,25,chû-ke̍k,tsu5kik8,chu5kek8,tsukik,chukek,tk,ck
磅子,pōng-tsí,25,pōng-chí,pong7tsi2,pong7chi2,pongtsi,pongchi,pt,pc
磅針,pōng-tsiam,25,pōng-chiam,pong7tsiam1,pong7chiam1,pongtsiam,pongchiam,pt,pc
礦物,khòng-bu̍t,25,khòng-bu̍t,khong3but8,khong3but8,khongbut,khongbut,kb,kb
社區,siā-khu,25,siā-khu,sia7khu1,sia7khu1,siakhu,siakhu,sk,sk
社會,siā-huē,25,siā-hōe,sia7hue7,sia7hoe7,siahue,siahoe,sh,sh
祕結,pì-kiat,25,pì-kiat,pi3kiat4,pi3kiat4,pikiat,pikiat,pk,pk
祖廟,tsóo-biō,25,chó͘-biō,tsoo2bio7,choo2bio7,tsoobio,choobio,tb,cb
祖籍,tsóo-tsi̍k,25,chó͘-che̍k,tsoo2tsik8,choo2chek8,tsootsik,choochek,tt,cc
祖靈,tsóo-lîng,25,chó͘-lêng,tsoo2ling5,choo2leng5,tsooling,chooleng,tl,cl
神社,sîn-siā,25,sîn-siā,sin5sia7,sin5sia7,sinsia,sinsia,ss,ss
神經,sîn-king,25,sîn-keng,sin5king1,sin5keng1,sinking,sinkeng,sk,sk
祭品,tsè-phín,25,chè-phín,tse3phin2,che3phin2,tsephin,chephin,tp,cp
祭拜,tsè-pài,25,chè-pài,tse3pai3,che3pai3,tsepai,chepai,tp,cp
祭祀,tsè-sū,25,chè-sū,tse3su7,che3su7,tsesu,chesu,ts,cs
禁令,kìm-līng,25,kìm-lēng,kim3ling7,kim3leng7,kimling,kimleng,kl,kl
禮俗,lé-sio̍k,25,lé-sio̍k,le2siok8,le2siok8,lesiok,lesiok,ls,ls
秋分,tshiu-hun,25,chhiu-hun,tshiu1hun1,chhiu1hun1,tshiuhun,chhiuhun,th,ch
科學,kho-ha̍k,25,kho-ha̍k,kho1hak8,kho1hak8,khohak,khohak,kh,kh
科技,kho-ki,25,kho-ki,kho1ki1,kho1ki1,khoki,khoki,kk,kk
科舉,kho-kí,25,kho-kí,kho1ki2,kho1ki2,khoki,khoki,kk,kk
秒速,bió-sok,25,bió-sok,bio2sok4,bio2sok4,biosok,biosok,bs,bs
秒針,bió-tsiam,25,bió-chiam,bio2tsiam1,bio2chiam1,biotsiam,biochiam,bt,bc
租界,tsoo-kài,25,cho͘-kài,tsoo1kai3,choo1kai3,tsookai,chookai,tk,ck
移民,î-bîn,25,î-bîn,i5bin5,i5bin5,ibin,ibin,ib,ib
稅金,suè-kim,25,sòe-kim,sue3kim1,soe3kim1,suekim,soekim,sk,sk
種作,tsìng-tsoh,25,chèng-choh,tsing3tsoh4,cheng3choh4,tsingtsoh,chengchoh,tt,cc
稱呼,tshing-hoo,25,chheng-ho͘,tshing1hoo1,chheng1hoo1,tshinghoo,chhenghoo,th,ch
積窒,tsik-that,25,chek-that,tsik4that4,chek4that4,tsikthat,chekthat,tt,ct
空喙,khang-tshuì,25,khang-chhùi,khang1tshui3,khang1chhui3,khangtshui,khangchhui,kt,kc
空地,khàng-tē,25,khàng-tē,khang3te7,khang3te7,khangte,khangte,kt,kt
空氣,khong-khì,25,khong-khì,khong1khi3,khong1khi3,khongkhi,khongkhi,kk,kk
立冬,li̍p-tang,25,li̍p-tang,lip8tang1,lip8tang1,liptang,liptang,lt,lt
立夏,li̍p-hē,25,li̍p-hē,lip8he7,lip8he7,liphe,liphe,lh,lh
