tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone
tsuí-tsai,水災,25,chúi-chai,tsui2tsai,chui2chai,tsuitsai,chuichai
tsuí-ting,水燈,25,chúi-teng,tsui2ting,chui2teng,tsuiting,chuiteng
suí-gû,水牛,25,súi-gû,sui2gu5,sui2gu5,suigu,suigu
tsuí-gû,水牛,25,chúi-gû,tsui2gu5,chui2gu5,tsuigu,chuigu
tsuí-thuah,水獺,25,chúi-thoah,tsui2thuah,chui2thoah,tsuithuah,chuithoah
tsuí-tsu,水珠,25,chúi-chu,tsui2tsu,chui2chu,tsuitsu,chuichu
tsuí-sán,水產,25,chúi-sán,tsui2san2,chui2san2,tsuisan,chuisan
tsuí-tiân,水田,25,chúi-tiân,tsui2tian5,chui2tian5,tsuitian,chuitian
tsuí-tshân,水田,25,chúi-chhân,tsui2tshan5,chui2chhan5,tsuitshan,chuichhan
tsuí-phā,水疱,25,chúi-phā,tsui2pha7,chui2pha7,tsuipha,chuipha
tsuí-tuì,水碓,25,chúi-tùi,tsui2tui3,chui2tui3,tsuitui,chuitui
tsuí-tsoo,水租,25,chúi-cho͘,tsui2tsoo,chui2choo,tsuitsoo,chuichoo
suí-tshìn,水秤,25,súi-chhìn,sui2tshin3,sui2chhin3,suitshin,suichhin
tsuí-khut,水窟,25,chúi-khut,tsui2khut,chui2khut,tsuikhut,chuikhut
tsuí-khiò,水筧,25,chúi-khiò,tsui2khio3,chui2khio3,tsuikhio,chuikhio
tsuí-kíng,水筧,25,chúi-kéng,tsui2king2,chui2keng2,tsuiking,chuikeng
tsuí-kóng,水管,25,chúi-kóng,tsui2kong2,chui2kong2,tsuikong,chuikong
tsuí-kng,水缸,25,chúi-kng,tsui2kng,chui2kng,tsuikng,chuikng
tsuí-me̍h,水脈,25,chúi-me̍h,tsui2meh8,chui2meh8,tsuimeh,chuimeh
tsuí-kiunn,水薑,25,chúi-kiuⁿ,tsui2kiunn,chui2kiunn,tsuikiunn,chuikiunn
tsuí-phiô,水薸,25,chúi-phiô,tsui2phio5,chui2phio5,tsuiphio,chuiphio
tsuí-phiôr,水薸,25,chúi-phiôr,tsui2phior5,chui2phior5,tsuiphior,chuiphior
tsuí-tshi,水蛆,25,chúi-chhi,tsui2tshi,chui2chhi,tsuitshi,chuichhi
tsuí-tshu,水蛆,25,chúi-chhu,tsui2tshu,chui2chhu,tsuitshu,chuichhu
tsuí-khî,水蜞,25,chúi-khî,tsui2khi5,chui2khi5,tsuikhi,chuikhi
tsuí-lê,水螺,25,chúi-lê,tsui2le5,chui2le5,tsuile,chuile
tsuí-huè,水貨,25,chúi-hòe,tsui2hue3,chui2hoe3,tsuihue,chuihoe
tsuí-hè,水貨,25,chúi-hè,tsui2he3,chui2he3,tsuihe,chuihe
tsuí-huì,水費,25,chúi-hùi,tsui2hui3,chui2hui3,tsuihui,chuihui
tsuí-tsit,水質,25,chúi-chit,tsui2tsit,chui2chit,tsuitsit,chuichit
tsuí-kha,水跤,25,chúi-kha,tsui2kha,chui2kha,tsuikha,chuikha
tsuí-lōo,水路,25,chúi-lō͘,tsui2loo7,chui2loo7,tsuiloo,chuiloo
tsuí-tshia,水車,25,chúi-chhia,tsui2tshia,chui2chhia,tsuitshia,chuichhia
tsuí-thuè,水退,25,chúi-thòe,tsui2thue3,chui2thoe3,tsuithue,chuithoe
tsuí-thè,水退,25,chúi-thè,tsui2the3,chui2the3,tsuithe,chuithe
