hanzi,tl,frequency,poj
玫瑰,muî-kuì,25,mûi-kùi
琥珀,hóo-phik,25,hó͘-phek
瑪瑙,bé-ló,25,bé-ló
璇石,suān-tsio̍h,25,soān-chio̍h
璇筆,suān-pit,25,soān-pit
璇針,suān-tsiam,25,soān-chiam
甕仔,àng-á,25,àng-á
生坯,tshenn-phue,25,chheⁿ-phoe
生漆,tshenn-tshat,25,chheⁿ-chhat
生皮,tshenn-phuê,25,chheⁿ-phôe
甲毛,kah-moo,25,kah-mo͘
畚箕,pùn-ki,25,pùn-ki
畫稿,uē-kó,25,ōe-kó
畫筆,uē-pit,25,ōe-pit
畫線,uē-suànn,25,ōe-sòaⁿ
