hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,kungge,is_variant
徛七,khiā-tshit,25,khiā-chhit,khia7tshit4,khia7chhit4,khiatshit,khiachhit,kt,kc,True,False
徛心,khiā-sim,25,khiā-sim,khia7sim1,khia7sim1,khiasim,khiasim,ks,ks,True,False
徛柱,khiā-thiāu,25,khiā-thiāu,khia7thiau7,khia7thiau7,khiathiau,khiathiau,kt,kt,True,False
徛鏡,khiā-kiànn,25,khiā-kiàⁿ,khia7kiann3,khia7kiann3,khiakiann,khiakiann,kk,kk,True,False
戕仔,tshiâng-á,25,chhiâng-á,tshiang5a2,chhiang5a2,tshianga,chhianga,ta,ca,True,False
戰甲,tsiàn-kah,25,chiàn-kah,tsian3kah4,chian3kah4,tsiankah,chiankah,tk,ck,True,False
扁擔,pún-tann,25,pún-taⁿ,pun2tann1,pun2tann1,puntann,puntann,pt,pt,True,False
手包,tshiú-pau,25,chhiú-pau,tshiu2pau1,chhiu2pau1,tshiupau,chhiupau,tp,cp,True,False
手裒,tshiú-pôo,25,chhiú-pô͘,tshiu2poo5,chhiu2poo5,tshiupoo,chhiupoo,tp,cp,True,False
手銬,tshiú-khàu,25,chhiú-khàu,tshiu2khau3,chhiu2khau3,tshiukhau,chhiukhau,tk,ck,True,False
托燈,thuh-ting,25,thuh-teng,thuh4ting1,thuh4teng1,thuhting,thuhteng,tt,tt,True,True
批塗,phi-thôo,25,phi-thô͘,phi1thoo5,phi1thoo5,phithoo,phithoo,pt,pt,True,True
披土,phi-thôo,25,phi-thô͘,phi1thoo5,phi1thoo5,phithoo,phithoo,pt,pt,True,True
抹刀,buah-to,25,boah-to,buah4to1,boah4to1,buahto,boahto,bt,bt,True,False
抾板,khioh-pán,25,khioh-pán,khioh4pan2,khioh4pan2,khiohpan,khiohpan,kp,kp,True,False
抾蒼,khioh-tshong,25,khioh-chhong,khioh4tshong1,khioh4chhong1,khiohtshong,khiohchhong,kt,kc,True,False
拆線,thiah-suànn,25,thiah-sòaⁿ,thiah4suann3,thiah4soann3,thiahsuann,thiahsoann,ts,ts,True,False
拍漿,phah-tsiunn,25,phah-chiuⁿ,phah4tsiunn1,phah4chiunn1,phahtsiunn,phahchiunn,pt,pc,True,False
拍空,phah-khang,25,phah-khang,phah4khang1,phah4khang1,phahkhang,phahkhang,pk,pk,True,False
拍箍,phah-khoo,25,phah-kho͘,phah4khoo1,phah4khoo1,phahkhoo,phahkhoo,pk,pk,True,False
拍胚,phah-phue,25,phah-phoe,phah4phue1,phah4phoe1,phahphue,phahphoe,pp,pp,True,True
拔花,puēh-hue,25,poēh-hoe,pueh7hue1,poeh7hoe1,puehhue,poehhoe,ph,ph,True,False
拗彎,áu-uan,25,áu-oan,au2uan1,au2oan1,auuan,auoan,au,ao,True,False
挖空,ué-khang,25,óe-khang,ue2khang1,oe2khang1,uekhang,oekhang,uk,ok,True,False
挲線,so-suànn,25,so-sòaⁿ,so1suann3,so1soann3,sosuann,sosoann,ss,ss,True,False
捀盤,phâng-puânn,25,phâng-pôaⁿ,phang5puann5,phang5poann5,phangpuann,phangpoann,pp,pp,True,False
捆絃,khún-hiân,25,khún-hiân,khun2hian5,khun2hian5,khunhian,khunhian,kh,kh,True,False
捏頭,lia̍p-thâu,25,lia̍p-thâu,liap8thau5,liap8thau5,liapthau,liapthau,lt,lt,True,False
捲枋,kńg-pang,25,kńg-pang,kng2pang1,kng2pang1,kngpang,kngpang,kp,kp,True,False
掃枋,sàu-pang,25,sàu-pang,sau3pang1,sau3pang1,saupang,saupang,sp,sp,True,False
掠花,lia̍h-hue,25,lia̍h-hoe,liah8hue1,liah8hoe1,liahhue,liahhoe,lh,lh,True,False
接剾,tsiap-khau,25,chiap-khau,tsiap4khau1,chiap4khau1,tsiapkhau,chiapkhau,tk,ck,True,False
接線,tsiap-suànn,25,chiap-sòaⁿ,tsiap4suann3,chiap4soann3,tsiapsuann,chiapsoann,ts,cs,True,False
摃空,kòng-khang,25,kòng-khang,kong3khang1,kong3khang1,kongkhang,kongkhang,kk,kk,True,True
撋塗,nuá-thôo,25,nóa-thô͘,nua2thoo5,noa2thoo5,nuathoo,noathoo,nt,nt,True,False
擠金,tsik-kim,25,chek-kim,tsik4kim1,chek4kim1,tsikkim,chekkim,tk,ck,True,False
攕草,tshiám-tshó,25,chhiám-chhó,tshiam2tsho2,chhiam2chho2,tshiamtsho,chhiamchho,tt,cc,True,False
放枋,pàng-pang,25,pàng-pang,pang3pang1,pang3pang1,pangpang,pangpang,pp,pp,True,False
敲仔,khà-á,25,khà-á,kha3a2,kha3a2,khaa,khaa,ka,ka,True,False
敲槌,khà-thuî,25,khà-thûi,kha3thui5,kha3thui5,khathui,khathui,kt,kt,True,False
文目,bûn-ba̍k,25,bûn-ba̍k,bun5bak8,bun5bak8,bunbak,bunbak,bb,bb,True,False
文肚,bûn-tōo,25,bûn-tō͘,bun5too7,bun5too7,buntoo,buntoo,bt,bt,True,False
文袍,bûn-phâu,25,bûn-phâu,bun5phau5,bun5phau5,bunphau,bunphau,bp,bp,True,False
文轎,bûn-kiō,25,bûn-kiō,bun5kio7,bun5kio7,bunkio,bunkio,bk,bk,True,False
旗頭,kî-thâu,25,kî-thâu,ki5thau5,ki5thau5,kithau,kithau,kt,kt,True,False
晟手,tshiânn-tshiú,25,chhiâⁿ-chhiú,tshiann5tshiu2,chhiann5chhiu2,tshianntshiu,chhiannchhiu,tt,cc,True,False
月桃,ge̍h-thô,25,ge̍h-thô,geh8tho5,geh8tho5,gehtho,gehtho,gt,gt,True,True
朝天,tiâu-thian,25,tiâu-thian,tiau5thian1,tiau5thian1,tiauthian,tiauthian,tt,tt,True,False
木尺,bo̍k-tshioh,25,bo̍k-chhioh,bok8tshioh4,bok8chhioh4,boktshioh,bokchhioh,bt,bc,True,False
本尊,pún-tsun,25,pún-chun,pun2tsun1,pun2chun1,puntsun,punchun,pt,pc,True,False
杜英,tōo-ing,25,tō͘-eng,too7ing1,too7eng1,tooing,tooeng,ti,te,True,False
束冠,sok-kuan,25,sok-koan,sok4kuan1,sok4koan1,sokkuan,sokkoan,sk,sk,True,False
松膠,siông-ka,25,siông-ka,siong5ka1,siong5ka1,siongka,siongka,sk,sk,True,False
染料,ní-liāu,25,ní-liāu,ni2liau7,ni2liau7,niliau,niliau,nl,nl,True,False
染桶,ní-tháng,25,ní-tháng,ni2thang2,ni2thang2,nithang,nithang,nt,nt,True,False
染色,ní-tsik,25,ní-chek,ni2tsik4,ni2chek4,nitsik,nichek,nt,nc,True,False
柱珠,thiāu-tsu,25,thiāu-chu,thiau7tsu1,thiau7chu1,thiautsu,thiauchu,tt,tc,True,False
柴砧,tshâ-tiam,25,chhâ-tiam,tsha5tiam1,chha5tiam1,tshatiam,chhatiam,tt,ct,True,False
柴窯,tshâ-iô,25,chhâ-iô,tsha5io5,chha5io5,tshaio,chhaio,ti,ci,True,False
柴胎,tshâ-thai,25,chhâ-thai,tsha5thai1,chha5thai1,tshathai,chhathai,tt,ct,True,False
桌崁,toh-khàm,25,toh-khàm,toh4kham3,toh4kham3,tohkham,tohkham,tk,tk,True,False
桌裙,toh-kûn,25,toh-kûn,toh4kun5,toh4kun5,tohkun,tohkun,tk,tk,True,False
桶梯,tháng-thui,25,tháng-thui,thang2thui1,thang2thui1,thangthui,thangthui,tt,tt,True,False
梅花,muî-hue,25,mûi-hoe,mui5hue1,mui5hoe1,muihue,muihoe,mh,mh,True,False
梳仔,se-á,25,se-á,se1a2,se1a2,sea,sea,sa,sa,True,False
棉布,mî-pòo,25,mî-pò͘,mi5poo3,mi5poo3,mipoo,mipoo,mp,mp,True,False
棉線,mî-suànn,25,mî-sòaⁿ,mi5suann3,mi5soann3,misuann,misoann,ms,ms,True,False
棕蓑,tsang-sui,25,chang-sui,tsang1sui1,chang1sui1,tsangsui,changsui,ts,cs,True,False
植眉,ti̍t-bâi,25,ti̍t-bâi,tit8bai5,tit8bai5,titbai,titbai,tb,tb,True,False
槐花,huâi-hue,25,hoâi-hoe,huai5hue1,hoai5hoe1,huaihue,hoaihoe,hh,hh,True,False
樹木,tshiū-bo̍k,25,chhiū-bo̍k,tshiu7bok8,chhiu7bok8,tshiubok,chhiubok,tb,cb,True,False
橫頭,huâinn-thâu,25,hoâiⁿ-thâu,huainn5thau5,hoainn5thau5,huainnthau,hoainnthau,ht,ht,True,False
武將,bú-tsiòng,25,bú-chiòng,bu2tsiong3,bu2chiong3,butsiong,buchiong,bt,bc,True,False
武胸,bú-hing,25,bú-heng,bu2hing1,bu2heng1,buhing,buheng,bh,bh,True,False
武轎,bú-kiō,25,bú-kiō,bu2kio7,bu2kio7,bukio,bukio,bk,bk,True,False
比仔,pí-á,25,pí-á,pi2a2,pi2a2,pia,pia,pa,pa,True,False
毡仔,tsám-á,25,chám-á,tsam2a2,cham2a2,tsama,chama,ta,ca,True,False
水油,tsuí-iû,25,chúi-iû,tsui2iu5,chui2iu5,tsuiiu,chuiiu,ti,ci,True,False
水波,tsuí-pho,25,chúi-pho,tsui2pho1,chui2pho1,tsuipho,chuipho,tp,cp,True,False
水秤,tsuí-tshìn,25,chúi-chhìn,tsui2tshin3,chui2chhin3,tsuitshin,chuichhin,tt,cc,True,False
水管,tsuí-kóng,25,chúi-kóng,tsui2kong2,chui2kong2,tsuikong,chuikong,tk,ck,True,False
水膠,tsuí-ka,25,chúi-ka,tsui2ka1,chui2ka1,tsuika,chuika,tk,ck,True,False
沖仔,tshong-á,25,chhong-á,tshong1a2,chhong1a2,tshonga,chhonga,ta,ca,True,False
油桶,iû-tháng,25,iû-tháng,iu5thang2,iu5thang2,iuthang,iuthang,it,it,True,False
