tl,hanzi,drop_reason
âm-kau,涵溝,duplicate
âm-kau,涵溝,duplicate
âm-kau,涵溝,duplicate
âm-khang,涵空,duplicate
âm-khang,涵空,duplicate
âm-khang,涵空,duplicate
âm-kóng,涵管,duplicate
ām,,duplicate
ām-ām,,duplicate
ām-ām,,duplicate
ām-kin,頷巾,duplicate
ām-kńg,頷頸,duplicate
ām-kńg-kui,,duplicate
ām-niá,頷領,duplicate
ām-phōng-phōng,,duplicate
ām-suê,頷垂,duplicate
ām-suê-á,頷垂仔,duplicate
a-má,阿媽,duplicate
a-má,阿媽,duplicate
am-tsam,,duplicate
am-khàm,,duplicate
am-khàm,,duplicate
am-khàm,,duplicate
am-khàm,,duplicate
am-kng,醃缸,duplicate
am-kue,醃瓜,duplicate
am-kue,醃瓜,duplicate
am-ôo,掩胡,duplicate
am-ôo,掩胡,duplicate
am-ôo,掩胡,duplicate
am-poo-tsê,,duplicate
am-tham,掩貪,duplicate
an,安,duplicate
an,安,duplicate
an,安,duplicate
án-tsé,俺姐,duplicate
án-tsuánn,按怎,duplicate
án-tsuánn,按怎,duplicate
án-tsuánn,按怎,duplicate
án-tsuánn,按怎,duplicate
án-tsuánn,按怎,duplicate
án-tsuánn,按怎,duplicate
án-tsuánn,按怎,duplicate
án-tsóo,俺祖,duplicate
án-tsóo,俺祖,duplicate
án-tsóo,俺祖,duplicate
án-kong,俺公,duplicate
án-kong,俺公,duplicate
án-kong,俺公,duplicate
án-má,俺媽,duplicate
án-má,俺媽,duplicate
án-ne,按呢,duplicate
án-ne,按呢,duplicate
án-ne,按呢,duplicate
án-ni,按呢,duplicate
án-ní,按呢,duplicate
án-ní,按呢,duplicate
án-ní,按呢,duplicate
án-ní,按呢,duplicate
án-ní-á,按呢仔,duplicate
án-ní-senn,按呢生,duplicate
án-peh,俺伯,duplicate
àn,按,duplicate
àn,按,duplicate
àn,按,duplicate
àn,按,duplicate
àn,按,duplicate
àn-tsuánn,按怎,duplicate
àn-tsuánn,按怎,duplicate
àn-tsuánn,按怎,duplicate
àn-hā,按下,duplicate
àn-hā,按下,duplicate
ànn-io,,duplicate
ànn-io,,duplicate
àn-kiānn,案件,duplicate
ànn--lo̍h-khì,,duplicate
àn-me̍h,按脈,duplicate
àn-nāi,案內,duplicate
àn-nāi,案內,duplicate
àn-nāi,案內,duplicate
àn-nāi,案內,duplicate
àn-ni,按呢,duplicate
àn-ni,按呢,duplicate
àn-ni,按呢,duplicate
ànn-sin,,duplicate
ànn-sin,,duplicate
àn-sǹg,按算,duplicate
àn-sǹg,按算,duplicate
àn-sǹg,按算,duplicate
àn-sǹg,按算,duplicate
àn-sǹg,按算,duplicate
àn-sǹg,按算,duplicate
ànn-thâu,,duplicate
àn-toh,案桌,duplicate
ânn,,duplicate
ânn,,duplicate
ânn,,duplicate
ânn,,duplicate
ân,,duplicate
ân,,duplicate
ân,,duplicate
ânn,,duplicate
ân,,duplicate
ânn,攔,duplicate
ânn,攔,duplicate
ânn-tsa̍h,,duplicate
ânn-tshin,攔親,duplicate
ân-khang,,duplicate
ân-khang,,duplicate
ân-tiu-tiu,,duplicate
ân-tiu-tiu,,duplicate
ân-tòng-tòng,,duplicate
ân-tòng-tòng,,duplicate
ān-kî,限期,duplicate
an-bîn,安眠,duplicate
an-tsuân-bō,安全帽,duplicate
ang,翁,duplicate
ang,翁,duplicate
ang,翁,duplicate
ang,翁,duplicate
àng-á,甕仔,duplicate
àng-tshǹg,甕串,duplicate
àng-láng,甕籠,duplicate
àng-láng,甕籠,duplicate
àng-láng,甕籠,duplicate
àng-siann,甕聲,duplicate
àng-tōo,甕肚,duplicate
àng-tōo,甕肚,duplicate
àng-tōo,甕肚,duplicate
àng-tōo,甕肚,duplicate
àng-tōo,甕肚,duplicate
âng,紅,duplicate
âng-ba̍k,紅目,duplicate
âng-ba̍k,紅目,duplicate
âng-ba̍k,紅目,duplicate
âng-ba̍k,紅目,duplicate
âng-ba̍k-kînn,紅目墘,duplicate
âng-ba̍k-kînn,紅目墘,duplicate
âng-ba̍k-liân,紅目鰱,duplicate
âng-ba̍k-liân,紅目鰱,duplicate
âng-ba̍k-liân,紅目鰱,duplicate
âng-bīn,紅面,duplicate
âng-bīn-bé,紅面馬,duplicate
âng-bo̍k,紅木,duplicate
âng-tshâ,紅柴,duplicate
âng-tshâ,紅柴,duplicate
âng-tshài,紅菜,duplicate
âng-tshài,紅菜,duplicate
âng-tshài,紅菜,duplicate
âng-tshài-thâu,紅菜頭,duplicate
âng-tshîng-peh,紅松柏,duplicate
âng-tshì-tshang,紅刺蔥,duplicate
âng-tshiu-koo,紅秋姑,duplicate
âng-tshiu-koo,紅秋姑,duplicate
âng-tshiu-koo,紅秋姑,duplicate
âng-tsí-bî,紅紫薇,duplicate
âng-tsiáu-á,紅鳥仔,duplicate
âng-tsîm,紅蟳,duplicate
âng-tsio,紅蕉,duplicate
âng-tsô,紅鰽,duplicate
âng-tsô,紅鰽,duplicate
âng-tsu-tsu,紅朱朱,duplicate
âng-enn-á,紅嬰仔,duplicate
âng-ing,紅鶯,duplicate
âng-gê,紅霓,duplicate
âng-gîn-tsu,紅銀朱,duplicate
âng-gîn-tsu,紅銀朱,duplicate
âng-gîn-tsu,紅銀朱,duplicate
âng-hê,紅霞,duplicate
âng-hê,紅霞,duplicate
âng-hê,紅霞,duplicate
âng-hî,紅魚,duplicate
âng-huánn,紅幻,duplicate
âng-hue-hî,紅花魚,duplicate
âng-ho̍h,紅鶴,duplicate
âng-hun,紅薰,duplicate
âng-io̍h-tsuí,紅藥水,duplicate
âng-io̍h-tsuí,紅藥水,duplicate
âng-jī,紅字,duplicate
âng-jia̍t-pēnn,紅熱病,duplicate
âng-jîn-thôo,紅仁土,duplicate
âng-kam,紅甘,duplicate
âng-ka-tang,紅茄苳,duplicate
âng-ka-tang,紅茄苳,duplicate
âng-ke-á,紅雞仔,duplicate
âng-kha-á,紅腳仔,duplicate
âng-kha-tsiáu,紅腳鳥,duplicate
âng-khī,紅柿,duplicate
âng-kì,紅痣,duplicate
âng-ki-ki,紅吱吱,duplicate
âng-kin,紅筋,duplicate
âng-kiô,紅茄,duplicate
âng-kiō,紅轎,duplicate
âng-kue-hî,紅瓜魚,duplicate
âng-kue-hî,紅瓜魚,duplicate
âng-kue-hî,紅瓜魚,duplicate
âng-kut-tsuâ,紅骨蛇,duplicate
âng-kut-tsuâ,紅骨蛇,duplicate
âng-kut-tsuâ,紅骨蛇,duplicate
âng-kut-tsuâ,紅骨蛇,duplicate
âng-kut-tsuâ,紅骨蛇,duplicate
âng-li̍k-á,紅礫仔,duplicate
âng-li̍k-á,紅礫仔,duplicate
