tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev
hué-hun,悔婚,25,hóe-hun,hue2hun,hoe2hun,huehun,hoehun,hh,hh
hué-sim,悔心,25,hóe-sim,hue2sim,hoe2sim,huesim,hoesim,hs,hs
hué-hūn,悔恨,25,hóe-hūn,hue2hun7,hoe2hun7,huehun,hoehun,hh,hh
hué-hué,悔悔,25,hóe-hóe,hue2hue2,hoe2hoe2,huehue,hoehoe,hh,hh
hué-gōo,悔悟,25,hóe-gō͘,hue2goo7,hoe2goo7,huegoo,hoegoo,hg,hg
hué-tshin,悔親,25,hóe-chhin,hue2tshin,hoe2chhin,huetshin,hoechhin,ht,hc
hué-kò,悔過,25,hóe-kò,hue2ko3,hoe2ko3,hueko,hoeko,hk,hk
puē-tik,悖德,25,pōe-tek,pue7tik,poe7tek,puetik,poetek,pt,pt
puē-lí,悖理,25,pōe-lí,pue7li2,poe7li2,pueli,poeli,pl,pl
puē-gi̍k,悖逆,25,pōe-ge̍k,pue7gik8,poe7gek8,puegik,poegek,pg,pg
gōo-tō,悟道,25,gō͘-tō,goo7to7,goo7to7,gooto,gooto,gt,gt
iû-iû,悠悠,25,iû-iû,iu5iu5,iu5iu5,iuiu,iuiu,ii,ii
huān-tsiá,患者,25,hoān-chiá,huan7tsia2,hoan7chia2,huantsia,hoanchia,ht,hc
huān-lān,患難,25,hoān-lān,huan7lan7,hoan7lan7,huanlan,hoanlan,hl,hl
pi-siong,悲傷,25,pi-siong,pisiong,pisiong,pisiong,pisiong,ps,ps
pi-kio̍k,悲劇,25,pi-kio̍k,pikiok8,pikiok8,pikiok,pikiok,pk,pk
pi-ai,悲哀,25,pi-ai,piai,piai,piai,piai,pa,pa
pi-hí,悲喜,25,pi-hí,pihi2,pihi2,pihi,pihi,ph,ph
pi-tshám,悲慘,25,pi-chhám,pitsham2,pichham2,pitsham,pichham,pt,pc
pi-tshueh,悲慼,25,pi-chhoeh,pitshueh,pichhoeh,pitshueh,pichhoeh,pt,pc
pi-thàn,悲歎,25,pi-thàn,pithan3,pithan3,pithan,pithan,pt,pt
pi-kuan,悲觀,25,pi-koan,pikuan,pikoan,pikuan,pikoan,pk,pk
tiòng-sim,悵心,25,tiòng-sim,tiong3sim,tiong3sim,tiongsim,tiongsim,ts,ts
tiòng-hūn,悵恨,25,tiòng-hūn,tiong3hun7,tiong3hun7,tionghun,tionghun,th,th
būn-būn,悶悶,25,būn-būn,bun7bun7,bun7bun7,bunbun,bunbun,bb,bb
būn-thiànn,悶痛,25,būn-thiàⁿ,bun7thiann3,bun7thiann3,bunthiann,bunthiann,bt,bt
híng-híng,悻悻,25,héng-héng,hing2hing2,heng2heng2,hinghing,hengheng,hh,hh
tshinn-tshám,悽慘,25,chhiⁿ-chhám,tshinntsham2,chhinnchham2,tshinntsham,chhinnchham,tt,cc
khong-khong,悾悾,25,khong-khong,khongkhong,khongkhong,khongkhong,khongkhong,kk,kk
