tl,hanzi,frequency,poj
pián-tsiong,蝙章,25,pián-chiong
hê-bé,蝦尾,25,hê-bé
ia̍h-lân,蝶蘭,25,ia̍h-lân
thâng-sái,蟲屎,25,thâng-sái
tsîm-tshài,蟳菜,25,chîm-chhài
tshâm-tāu,蠶豆,25,chhâm-tāu
huih-tông,血桐,25,huih-tông
huih-tîn,血藤,25,huih-tîn
kak-tshài,角菜,25,kak-chhài
tāu-hóo,豆虎,25,tāu-hó͘
kòng-á,貢仔,25,kòng-á
kuàn-tsiòng,貫眾,25,koàn-chiòng
tshiah-ko,赤柯,25,chhiah-ko
tshiah-kua,赤柯,25,chhiah-koa
tshiah-káu,赤校,25,chhiah-káu
tshiah-iông,赤榕,25,chhiah-iông
tshiah-phê,赤皮,25,chhiah-phê
tshiah-lân,赤蘭,25,chhiah-lân
tshiah-liû,赤鱗,25,chhiah-liû
uán-tsì,遠志,25,oán-chì
sng-kiat,酸橘,25,sng-kiat
sng-tìn,酸藤,25,sng-tìn
kim-kam,金柑,25,kim-kam
kim-tsuánn,金盞,25,kim-chóaⁿ
kim-sún,金筍,25,kim-sún
kim-ing,金英,25,kim-eng
kau-tîn,鈎藤,25,kau-tîn
kau-tîn,鉤藤,25,kau-tîn
thih-á,鐵仔,25,thih-á
thih-tshiū,鐵樹,25,thih-chhiū
hông-kí,防巳,25,hông-kí
hông-hong,防風,25,hông-hong
kue-bâi,雞眉,25,koe-bâi
seh-kam,雪柑,25,seh-kam
tshinn-tông,青桐,25,chhiⁿ-tông
tshinn-png,青楓,25,chhiⁿ-png
tshi-siunn,青箱,25,chhi-siuⁿ
tshinn-o,青荷,25,chhiⁿ-o
tshinn-phiô,青萍,25,chhiⁿ-phiô
hong-tîn,風藤,25,hong-tîn
hong-kóo,風鼓,25,hong-kó͘
hiunn-sam,香杉,25,hiuⁿ-sam
hiong-kó,香果,25,hiong-kó
hiunn-kam,香柑,25,hiuⁿ-kam
hiunn-iū,香柚,25,hiuⁿ-iū
hiunn-kuì,香桂,25,hiuⁿ-kùi
phang-lâi,香梨,25,phang-lâi
hiunn-lâm,香楠,25,hiuⁿ-lâm
hiunn-jû,香榆,25,hiuⁿ-jû
hiong-iân,香櫞,25,hiong-iân
hiunn-hû,香符,25,hiuⁿ-hû
phang-hue,香花,25,phang-hoe
hiong-jû,香茹,25,hiong-jû
hiunn-tsháu,香草,25,hiuⁿ-chháu
phang-tsháu,香草,25,phang-chháu
ko-pue,高杯,25,ko-poe
hî-tîn,魚藤,25,hî-tîn
tsiáu-lâi,鳥梨,25,chiáu-lâi
tsiáu-tshîng,鳥榕,25,chiáu-chhêng
tsiáu-tsiunn,鳥樟,25,chiáu-chiuⁿ
kue-kè,鷄冠,25,koe-kè
kue-iû,鷄油,25,koe-iû
kue-bâi,鷄眉,25,koe-bâi
iâm-pô,鹽婆,25,iâm-pô
lo̍k-pn̄g,鹿飯,25,lo̍k-pn̄g
be̍h-á,麥仔,25,be̍h-á
bi̍k-tshong,麥葱,25,be̍k-chhong
n̂g-peh,黃柏,25,n̂g-peh
n̂g-kam,黃柑,25,n̂g-kam
n̂g-kun,黃根,25,n̂g-kun
n̂g-tsuí,黃槿,25,n̂g-chúi
n̂g-kú,黃櫸,25,n̂g-kú
n̂g-phî,黃皮,25,n̂g-phî
n̂g-tîn,黃籐,25,n̂g-tîn
n̂g-sik,黃粟,25,n̂g-sek
n̂g-tîn,黃藤,25,n̂g-tîn
n̂g-muâ,黃麻,25,n̂g-môa
n̂g-kí,黃𣏌,25,n̂g-kí
sué-á,黍仔,25,sóe-á
tshú-khak,鼠麴,25,chhú-khak
kí-thok,齒托,25,kí-thok
ku-hue,龜花,25,ku-hoe
ōng-lâi,𦬬萊,25,ōng-lâi
it-ki-hiunn,一枝香,16,it-ki-hiuⁿ
it-tiám-hông,一點紅,16,it-tiám-hông
tshit-hōo-liân,七厚蓮,16,chhit-hō͘-liân
tshit-tshùn-kim,七寸金,16,chhit-chhùn-kim
tshit-ji̍t-n̄g,七日暈,16,chhit-ji̍t-n̄g
tshit-lí-hiong,七星香,16,chhit-lí-hiong
tshit-hio̍h-liân,七葉蓮,16,chhit-hio̍h-liân
tshit-lí-hiong,七里香,16,chhit-lí-hiong
sann-pán-to,三版刀,16,saⁿ-pán-to
sann-hī-tsháu,三耳草,16,saⁿ-hī-chháu
sann-kha-ting,三脚丁,16,saⁿ-kha-teng
sann-kha-pia̍t,三脚別,16,saⁿ-kha-pia̍t
sann-kha-tiāu,三脚掉,16,saⁿ-kha-tiāu
sann-kha-phî,三脚皮,16,saⁿ-kha-phî
sann-kha-hóo,三脚虎,16,saⁿ-kha-hó͘
sann-kha-pih,三脚鼈,16,saⁿ-kha-pih
sann-kha-puà,三角破,16,saⁿ-kha-pòa
sann-kha-pih,三角鼈,16,saⁿ-kha-pih
sann-pih-pí,三鼈比,16,saⁿ-pih-pí
put-liû-hîng,不留行,16,put-liû-hêng
m̄-kiann-king,不驚經,16,m̄-kiaⁿ-keng
m̄-kiann-tê,不驚茶,16,m̄-kiaⁿ-tê
tshǹg-phīnn-lîng,串鼻龍,16,chhǹg-phīⁿ-lêng
kiú-kiong-kū,九芎舅,16,kiú-kiong-kū
káu-tîng-tshe,九重吹,16,káu-têng-chhe
khit-tshia̍h-uánn,乞食碗,16,khit-chhia̍h-óaⁿ
lin-á-tsháu,乳仔草,16,lin-á-chháu
gōo-the̍h-kiô,五宅茄,16,gō͘-the̍h-kiô
gōo-kun-tsháu,五根草,16,gō͘-kun-chháu
ngóo-jiáu-jiông,五爪絨,16,ngó͘-jiáu-jiông
ngóo-jiáu-lîng,五爪龍,16,ngó͘-jiáu-lêng
gōo-kha-lí,五脚里,16,gō͘-kha-lí
góo-lîng-lân,五龍蘭,16,gó͘-lêng-lân
tsínn-pinn-tsháu,井邊草,16,chíⁿ-piⁿ-chháu
jîn-biān-tik,人面竹,16,jîn-biān-tek
jîn-tshì-tshang,仁刺葱,16,jîn-chhì-chhang
sian-pa-tsiúnn,仙巴掌,16,sian-pa-chiúⁿ
hô-siú-oo,何首烏,16,hô-siú-o͘
hu̍t-thâu-kó,佛頭果,16,hu̍t-thâu-kó
sù-kun-tsú,使君子,16,sù-kun-chú
tó-tuē-kióng,倒地拱,16,tó-tōe-kióng
tó-tuē-lîng,倒地柃,16,tó-tōe-lêng
tó-kî-lîn,倒麒麟,16,tó-kî-lîn
siong-si̍t-tsháu,傷食草,16,siong-si̍t-chháu
guân-siau-kam,元宵柑,16,goân-siau-kam
thòo-á-tshài,兔仔草,16,thò͘-á-chhài
thòo-hī-tsháu,兔耳草,16,thò͘-hī-chháu
lāi-tang-tsí,內冬子,16,lāi-tang-chí
pat-kuà-tsháu,八卦草,16,pat-kòa-chháu
pueh-kak-á,八角仔,16,poeh-kak-á
pueh-kak-liân,八角蓮,16,poeh-kak-liân
kong-sun-kiat,公孫橘,16,kong-sun-kiat
la̍k-ge̍h-seh,六月雪,16,la̍k-ge̍h-seh
la̍k-liàm-á,六棯仔,16,la̍k-liàm-á
la̍k-kiám-á,六檢仔,16,la̍k-kiám-á
la̍k-kak-ing,六角英,16,la̍k-kak-eng
la̍k-kak-tsháu,六角草,16,la̍k-kak-chháu
tsài-sing-kiat,再生橘,16,chài-seng-kiat
líng-pn̄g-tîn,冷飯藤,16,léng-pn̄g-tîn
tshìn-pn̄g-tîn,凊飯藤,16,chhìn-pn̄g-tîn
tshut-sing-láu,出生老,16,chhut-seng-láu
to-siong-tsháu,刀傷草,16,to-siong-chháu
tò-kè-tsháu,到繼草,16,tò-kè-chháu
