tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone
khiām-tshuì,儉嘴,25,khiām-chhùi,khiam7tshui3,khiam7chhui3,khiamtshui,khiamchhui
khiūnn-tshuì,儉嘴,25,khiūⁿ-chhùi,khiunn7tshui3,khiunn7chhui3,khiunntshui,khiunnchhui
khiām-liám,儉斂,25,khiām-liám,khiam7liam2,khiam7liam2,khiamliam,khiamliam
khiām-phok,儉樸,25,khiām-phok,khiam7phok,khiam7phok,khiamphok,khiamphok
khiām-tsuí,儉水,25,khiām-chúi,khiam7tsui2,khiam7chui2,khiamtsui,khiamchui
khiām-iōng,儉用,25,khiām-iōng,khiam7iong7,khiam7iong7,khiamiong,khiamiong
khiūnn-siùnn,儉相,25,khiūⁿ-siùⁿ,khiunn7siunn3,khiunn7siunn3,khiunnsiunn,khiunnsiunn
khiām-síng,儉省,25,khiām-séng,khiam7sing2,khiam7seng2,khiamsing,khiamseng
khiām-iok,儉約,25,khiām-iok,khiam7iok,khiam7iok,khiamiok,khiamiok
khiām-tsînn,儉錢,25,khiām-chîⁿ,khiam7tsinn5,khiam7chinn5,khiamtsinn,khiamchinn
