tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,kautian
tôo-tsí,廚子,25,tô͘-chí,too5tsi2,too5chi2,tootsi,toochi,tt,tc,True
tû-pâng,廚房,25,tû-pâng,tu5pang5,tu5pang5,tupang,tupang,tp,tp,True
biō-á,廟仔,25,biō-á,bio7a2,bio7a2,bioa,bioa,ba,ba,True
biō-kong,廟公,25,biō-kong,bio7kong,bio7kong,biokong,biokong,bk,bk,True
biōr-kong,廟公,25,biōr-kong,bior7kong,bior7kong,biorkong,biorkong,bk,bk,True
biō-kháu,廟口,25,biō-kháu,bio7khau2,bio7khau2,biokhau,biokhau,bk,bk,True
biō-tiânn,廟埕,25,biō-tiâⁿ,bio7tiann5,bio7tiann5,biotiann,biotiann,bt,bt,True
biō-sī,廟寺,25,biō-sī,bio7si7,bio7si7,biosi,biosi,bs,bs,True
biō-huē,廟會,25,biō-hōe,bio7hue7,bio7hoe7,biohue,biohoe,bh,bh,True
biō-tsiok,廟祝,25,biō-chiok,bio7tsiok,bio7chiok,biotsiok,biochiok,bt,bc,True
biōr-tsiok,廟祝,25,biōr-chiok,bior7tsiok,bior7chiok,biortsiok,biorchiok,bt,bc,True
tshiúnn-siong,廠商,25,chhiúⁿ-siong,tshiunn2siong,chhiunn2siong,tshiunnsiong,chhiunnsiong,ts,cs,True
tshiúnn-pâng,廠房,25,chhiúⁿ-pâng,tshiunn2pang5,chhiunn2pang5,tshiunnpang,chhiunnpang,tp,cp,True
tshiúnn-pâi,廠牌,25,chhiúⁿ-pâi,tshiunn2pai5,chhiunn2pai5,tshiunnpai,chhiunnpai,tp,cp,True
tshiúnn-tiúnn,廠長,25,chhiúⁿ-tiúⁿ,tshiunn2tiunn2,chhiunn2tiunn2,tshiunntiunn,chhiunntiunn,tt,ct,True
huè-khì,廢棄,25,hòe-khì,hue3khi3,hoe3khi3,huekhi,hoekhi,hk,hk,True
huì-khì,廢棄,25,hùi-khì,hui3khi3,hui3khi3,huikhi,huikhi,hk,hk,True
huè-pio,廢標,25,hòe-pio,hue3pio,hoe3pio,huepio,hoepio,hp,hp,True
huì-pio,廢標,25,hùi-pio,hui3pio,hui3pio,huipio,huipio,hp,hp,True
huè-tsí,廢止,25,hòe-chí,hue3tsi2,hoe3chi2,huetsi,hoechi,ht,hc,True
huì-tsí,廢止,25,hùi-chí,hui3tsi2,hui3chi2,huitsi,huichi,ht,hc,True
huè-khì,廢氣,25,hòe-khì,hue3khi3,hoe3khi3,huekhi,hoekhi,hk,hk,True
huì-khì,廢氣,25,hùi-khì,hui3khi3,hui3khi3,huikhi,huikhi,hk,hk,True
huè-tsuí,廢水,25,hòe-chúi,hue3tsui2,hoe3chui2,huetsui,hoechui,ht,hc,True
huì-tsuí,廢水,25,hùi-chúi,hui3tsui2,hui3chui2,huitsui,huichui,ht,hc,True
huè-bu̍t,廢物,25,hòe-bu̍t,hue3but8,hoe3but8,huebut,hoebut,hb,hb,True
huì-bu̍t,廢物,25,hùi-bu̍t,hui3but8,hui3but8,huibut,huibut,hb,hb,True
huì-uē,廢話,25,hùi-ōe,hui3ue7,hui3oe7,huiue,huioe,hu,ho,True
huè-tî,廢除,25,hòe-tî,hue3ti5,hoe3ti5,hueti,hoeti,ht,ht,True
huè-tû,廢除,25,hòe-tû,hue3tu5,hoe3tu5,huetu,hoetu,ht,ht,True
