tl,hanzi,frequency,poj,tl_num,poj_num,tps_num,tl_notone,poj_notone,tps_notone,tl_abbrev,poj_abbrev,tps_abbrev,itaigi,is_variant
tshàu-tshuì-pinn,臭喙邊,16,chhàu-chhùi-piⁿ,tshau3tshui3pinn1,chhau3chhui3pinn1,ㄘㄠ˪ㄘㄨㄧ˪ㄅㆪ,tshautshuipinn,chhauchhuipinn,ㄘㄠㄘㄨㄧㄅㆪ,ttp,ccp,ㄘㄘㄅ,True,False
tshàu-tshuì-ham,臭喙𦜆,16,chhàu-chhùi-ham,tshau3tshui3ham1,chhau3chhui3ham1,ㄘㄠ˪ㄘㄨㄧ˪ㄏㆰ,tshautshuiham,chhauchhuiham,ㄘㄠㄘㄨㄧㄏㆰ,tth,cch,ㄘㄘㄏ,True,False
tshàu-ling-hue,臭奶花,16,chhàu-leng-hoe,tshau3ling1hue1,chhau3leng1hoe1,ㄘㄠ˪ㄌㄧㄥㄏㄨㆤ,tshaulinghue,chhaulenghoe,ㄘㄠㄌㄧㄥㄏㄨㆤ,tlh,clh,ㄘㄌㄏ,True,False
tshàu-sái-tshenn,臭屎星,16,chhàu-sái-chheⁿ,tshau3sai2tshenn1,chhau3sai2chhenn1,ㄘㄠ˪ㄙㄞˋㄘㆥ,tshausaitshenn,chhausaichhenn,ㄘㄠㄙㄞㄘㆥ,tst,csc,ㄘㄙㄘ,True,False
tshàu-phú-bīn,臭殕面,16,chhàu-phú-bīn,tshau3phu2bin7,chhau3phu2bin7,ㄘㄠ˪ㄆㄨˋㆠㄧㄣ˫,tshauphubin,chhauphubin,ㄘㄠㄆㄨㆠㄧㄣ,tpb,cpb,ㄘㄆㆠ,True,False
tshàu-iâng-tsân,臭氧層,16,chhàu-iâng-chân,tshau3iang5tsan5,chhau3iang5chan5,ㄘㄠ˪ㄧㄤˊㄗㄢˊ,tshauiangtsan,chhauiangchan,ㄘㄠㄧㄤㄗㄢ,tit,cic,ㄘㄧㄗ,True,False
tshàu-tsuí-tsng,臭水庄,16,chhàu-chúi-chng,tshau3tsui2tsng1,chhau3chui2chng1,ㄘㄠ˪ㄗㄨㄧˋㄗㆭ,tshautsuitsng,chhauchuichng,ㄘㄠㄗㄨㄧㄗㆭ,ttt,ccc,ㄘㄗㄗ,True,False
tshàu-iû-bī,臭油味,16,chhàu-iû-bī,tshau3iu5bi7,chhau3iu5bi7,ㄘㄠ˪ㄧㄨˊㆠㄧ˫,tshauiubi,chhauiubi,ㄘㄠㄧㄨㆠㄧ,tib,cib,ㄘㄧㆠ,True,False
tshàu-iû-ai,臭油埃,16,chhàu-iû-ai,tshau3iu5ai1,chhau3iu5ai1,ㄘㄠ˪ㄧㄨˊㄞ,tshauiuai,chhauiuai,ㄘㄠㄧㄨㄞ,tia,cia,ㄘㄧㄞ,True,False
tshàu-hué-ta,臭火焦,16,chhàu-hóe-ta,tshau3hue2ta1,chhau3hoe2ta1,ㄘㄠ˪ㄏㄨㆤˋㄉㄚ,tshauhueta,chhauhoeta,ㄘㄠㄏㄨㆤㄉㄚ,tht,cht,ㄘㄏㄉ,True,False
tshàu-ta-phí,臭焦疕,16,chhàu-ta-phí,tshau3ta1phi2,chhau3ta1phi2,ㄘㄠ˪ㄉㄚㄆㄧˋ,tshautaphi,chhautaphi,ㄘㄠㄉㄚㄆㄧ,ttp,ctp,ㄘㄉㄆ,True,False
tshàu-hiàn-bâ,臭羶猫,16,chhàu-hiàn-bâ,tshau3hian3ba5,chhau3hian3ba5,ㄘㄠ˪ㄏㄧㄢ˪ㆠㄚˊ,tshauhianba,chhauhianba,ㄘㄠㄏㄧㄢㆠㄚ,thb,chb,ㄘㄏㆠ,True,False
tshàu-tsi-bai,臭膣屄,16,chhàu-chi-bai,tshau3tsi1bai1,chhau3chi1bai1,ㄘㄠ˪ㄐㄧㆠㄞ,tshautsibai,chhauchibai,ㄘㄠㄐㄧㆠㄞ,ttb,ccb,ㄘㄐㆠ,True,False
tshàu-tshàu-hue,臭臭花,16,chhàu-chhàu-hoe,tshau3tshau3hue1,chhau3chhau3hoe1,ㄘㄠ˪ㄘㄠ˪ㄏㄨㆤ,tshautshauhue,chhauchhauhoe,ㄘㄠㄘㄠㄏㄨㆤ,tth,cch,ㄘㄘㄏ,True,False
tshàu-thâu-tsiáu,臭頭鳥,16,chhàu-thâu-chiáu,tshau3thau5tsiau2,chhau3thau5chiau2,ㄘㄠ˪ㄊㄠˊㄐㄧㄠˋ,tshauthautsiau,chhauthauchiau,ㄘㄠㄊㄠㄐㄧㄠ,ttt,ctc,ㄘㄊㄐ,True,False
tshàu-kut-siòng,臭骨相,16,chhàu-kut-siòng,tshau3kut4siong3,chhau3kut4siong3,ㄘㄠ˪ㄍㄨㆵㄒㄧㆲ˪,tshaukutsiong,chhaukutsiong,ㄘㄠㄍㄨㆵㄒㄧㆲ,tks,cks,ㄘㄍㄒ,True,False
tshàu-pìn-hôo,臭鬢鬍,16,chhàu-pìn-hô͘,tshau3pin3hoo5,chhau3pin3hoo5,ㄘㄠ˪ㄅㄧㄣ˪ㄏㆦˊ,tshaupinhoo,chhaupinhoo,ㄘㄠㄅㄧㄣㄏㆦ,tph,cph,ㄘㄅㄏ,True,False
tshàu-ku-á,臭龜仔,16,chhàu-ku-á,tshau3ku1a2,chhau3ku1a2,ㄘㄠ˪ㄍㄨㄚˋ,tshaukua,chhaukua,ㄘㄠㄍㄨㄚ,tka,cka,ㄘㄍㄚ,True,False
tâi-pak-lâng,臺北人,16,tâi-pak-lâng,tai5pak4lang5,tai5pak4lang5,ㄉㄞˊㄅㄚㆻㄌㄤˊ,taipaklang,taipaklang,ㄉㄞㄅㄚㆻㄌㄤ,tpl,tpl,ㄉㄅㄌ,True,False
tâi-pak-kuān,臺北縣,16,tâi-pak-koān,tai5pak4kuan7,tai5pak4koan7,ㄉㄞˊㄅㄚㆻㄍㄨㄢ˫,taipakkuan,taipakkoan,ㄉㄞㄅㄚㆻㄍㄨㄢ,tpk,tpk,ㄉㄅㄍ,True,False
tâi-uân-lâng,臺灣人,16,tâi-oân-lâng,tai5uan5lang5,tai5oan5lang5,ㄉㄞˊㄨㄢˊㄌㄤˊ,taiuanlang,taioanlang,ㄉㄞㄨㄢㄌㄤ,tul,tol,ㄉㄨㄌ,True,False
tâi-uân-hái,臺灣海,16,tâi-oân-hái,tai5uan5hai2,tai5oan5hai2,ㄉㄞˊㄨㄢˊㄏㄞˋ,taiuanhai,taioanhai,ㄉㄞㄨㄢㄏㄞ,tuh,toh,ㄉㄨㄏ,True,False
tâi-lô-lī,臺羅字,16,tâi-lô-lī,tai5lo5li7,tai5lo5li7,ㄉㄞˊㄌㄛˊㄌㄧ˫,tailoli,tailoli,ㄉㄞㄌㄛㄌㄧ,tll,tll,ㄉㄌㄌ,True,False
tâi-pau-tsìng,臺胞證,16,tâi-pau-chèng,tai5pau1tsing3,tai5pau1cheng3,ㄉㄞˊㄅㄠㄐㄧㄥ˪,taipautsing,taipaucheng,ㄉㄞㄅㄠㄐㄧㄥ,tpt,tpc,ㄉㄅㄐ,True,False
tsing-bōng-khòng,舂墓壙,16,cheng-bōng-khòng,tsing1bong7khong3,cheng1bong7khong3,ㄐㄧㄥㆠㆲ˫ㄎㆲ˪,tsingbongkhong,chengbongkhong,ㄐㄧㄥㆠㆲㄎㆲ,tbk,cbk,ㄐㆠㄎ,True,False
tsing-kòng-phà,舂摃拍,16,cheng-kòng-phà,tsing1kong3pha3,cheng1kong3pha3,ㄐㄧㄥㄍㆲ˪ㄆㄚ˪,tsingkongpha,chengkongpha,ㄐㄧㄥㄍㆲㄆㄚ,tkp,ckp,ㄐㄍㄆ,True,False
hìng-tshuah-tshuah,興掣掣,16,hèng-chhoah-chhoah,hing3tshuah4tshuah4,heng3chhoah4chhoah4,ㄏㄧㄥ˪ㄘㄨㄚㆷㄘㄨㄚㆷ,hingtshuahtshuah,hengchhoahchhoah,ㄏㄧㄥㄘㄨㄚㆷㄘㄨㄚㆷ,htt,hcc,ㄏㄘㄘ,True,False
hìng-khùn-bâ,興睏貓,16,hèng-khùn-bâ,hing3khun3ba5,heng3khun3ba5,ㄏㄧㄥ˪ㄎㄨㄣ˪ㆠㄚˊ,hingkhunba,hengkhunba,ㄏㄧㄥㄎㄨㄣㆠㄚ,hkb,hkb,ㄏㄎㆠ,True,False
kū-tsûn-nî,舊前年,16,kū-chûn-nî,ku7tsun5ni5,ku7chun5ni5,ㄍㄨ˫ㄗㄨㄣˊㄋㄧˊ,kutsunni,kuchunni,ㄍㄨㄗㄨㄣㄋㄧ,ktn,kcn,ㄍㄗㄋ,True,False
kū-lo-lo,舊囉囉,16,kū-lo-lo,ku7lo1lo1,ku7lo1lo1,ㄍㄨ˫ㄌㄛㄌㄛ,kulolo,kulolo,ㄍㄨㄌㄛㄌㄛ,kll,kll,ㄍㄌㄌ,True,False
kū-thò-thâu,舊套頭,16,kū-thò-thâu,ku7tho3thau5,ku7tho3thau5,ㄍㄨ˫ㄊㄛ˪ㄊㄠˊ,kuthothau,kuthothau,ㄍㄨㄊㄛㄊㄠ,ktt,ktt,ㄍㄊㄊ,True,False
kū-pá-hì,舊把戲,16,kū-pá-hì,ku7pa2hi3,ku7pa2hi3,ㄍㄨ˫ㄅㄚˋㄏㄧ˪,kupahi,kupahi,ㄍㄨㄅㄚㄏㄧ,kph,kph,ㄍㄅㄏ,True,False
kū-ke-á,舊街仔,16,kū-ke-á,ku7ke1a2,ku7ke1a2,ㄍㄨ˫ㄍㆤㄚˋ,kukea,kukea,ㄍㄨㄍㆤㄚ,kka,kka,ㄍㄍㄚ,True,False
kū-kue-á,舊街仔,16,kū-koe-á,ku7kue1a2,ku7koe1a2,ㄍㄨ˫ㄍㄨㆤㄚˋ,kukuea,kukoea,ㄍㄨㄍㄨㆤㄚ,kka,kka,ㄍㄍㄚ,True,False
kū-ke-hāng,舊街巷,16,kū-ke-hāng,ku7ke1hang7,ku7ke1hang7,ㄍㄨ˫ㄍㆤㄏㄤ˫,kukehang,kukehang,ㄍㄨㄍㆤㄏㄤ,kkh,kkh,ㄍㄍㄏ,True,False
kū-lí-tso̍k,舊里族,16,kū-lí-cho̍k,ku7li2tsok8,ku7li2chok8,ㄍㄨ˫ㄌㄧˋㄗㆦㆻ̇,kulitsok,kulichok,ㄍㄨㄌㄧㄗㆦㆻ,klt,klc,ㄍㄌㄗ,True,False
sià-lī-tsú,舍利子,16,sià-lī-chú,sia3li7tsu2,sia3li7chu2,ㄒㄧㄚ˪ㄌㄧ˫ㄗㄨˋ,sialitsu,sialichu,ㄒㄧㄚㄌㄧㄗㄨ,slt,slc,ㄒㄌㄗ,True,False
tsûn-á-tsháu,船仔草,16,chûn-á-chháu,tsun5a2tshau2,chun5a2chhau2,ㄗㄨㄣˊㄚˋㄘㄠˋ,tsunatshau,chunachhau,ㄗㄨㄣㄚㄘㄠ,tat,cac,ㄗㄚㄘ,True,False
sik-hui-a,色斐亞,16,sek-hui-a,sik4hui1a1,sek4hui1a1,ㄒㄧㆻㄏㄨㄧㄚ,sikhuia,sekhuia,ㄒㄧㆻㄏㄨㄧㄚ,sha,sha,ㄒㄏㄚ,True,False
sik-gâ-hun,色牙薰,16,sek-gâ-hun,sik4ga5hun1,sek4ga5hun1,ㄒㄧㆻㆣㄚˊㄏㄨㄣ,sikgahun,sekgahun,ㄒㄧㆻㆣㄚㄏㄨㄣ,sgh,sgh,ㄒㆣㄏ,True,False
sik-mê-lâng,色盲人,16,sek-mê-lâng,sik4me5lang5,sek4me5lang5,ㄒㄧㆻㄇㆤˊㄌㄤˊ,sikmelang,sekmelang,ㄒㄧㆻㄇㆤㄌㄤ,sml,sml,ㄒㄇㄌ,True,False
ōo-á-tsiap,芋仔汁,16,ō͘-á-chiap,oo7a2tsiap4,oo7a2chiap4,ㆦ˫ㄚˋㄐㄧㄚㆴ,ooatsiap,ooachiap,ㆦㄚㄐㄧㄚㆴ,oat,oac,ㆦㄚㄐ,True,False
ōo-á-kak,芋仔角,16,ō͘-á-kak,oo7a2kak4,oo7a2kak4,ㆦ˫ㄚˋㄍㄚㆻ,ooakak,ooakak,ㆦㄚㄍㄚㆻ,oak,oak,ㆦㄚㄍ,True,False
ōo-á-soo,芋仔酥,16,ō͘-á-so͘,oo7a2soo1,oo7a2soo1,ㆦ˫ㄚˋㄙㆦ,ooasoo,ooasoo,ㆦㄚㄙㆦ,oas,oas,ㆦㄚㄙ,True,False
ōo-kué-bāng,芋粿夢,16,ō͘-kóe-bāng,oo7kue2bang7,oo7koe2bang7,ㆦ˫ㄍㄨㆤˋㆠㄤ˫,ookuebang,ookoebang,ㆦㄍㄨㆤㆠㄤ,okb,okb,ㆦㄍㆠ,True,False
ōo-kué-khiau,芋粿曲,16,ō͘-kóe-khiau,oo7kue2khiau1,oo7koe2khiau1,ㆦ˫ㄍㄨㆤˋㄎㄧㄠ,ookuekhiau,ookoekhiau,ㆦㄍㄨㆤㄎㄧㄠ,okk,okk,ㆦㄍㄎ,True,False
ōo-ké-khiau,芋粿曲,16,ō͘-ké-khiau,oo7ke2khiau1,oo7ke2khiau1,ㆦ˫ㄍㆤˋㄎㄧㄠ,ookekhiau,ookekhiau,ㆦㄍㆤㄎㄧㄠ,okk,okk,ㆦㄍㄎ,True,False
tsi-ku-la̍t,芝車力,16,chi-ku-la̍t,tsi1ku1lat8,chi1ku1lat8,ㄐㄧㄍㄨㄌㄚㆵ̇,tsikulat,chikulat,ㄐㄧㄍㄨㄌㄚㆵ,tkl,ckl,ㄐㄍㄌ,True,False
kài-nâ-á,芥蘭仔,16,kài-nâ-á,kai3na5a2,kai3na5a2,ㄍㄞ˪ㄋㄚˊㄚˋ,kainaa,kainaa,ㄍㄞㄋㄚㄚ,kna,kna,ㄍㄋㄚ,True,False
hue-á-tshài,花仔菜,16,hoe-á-chhài,hue1a2tshai3,hoe1a2chhai3,ㄏㄨㆤㄚˋㄘㄞ˪,hueatshai,hoeachhai,ㄏㄨㆤㄚㄘㄞ,hat,hac,ㄏㄚㄘ,True,False
hue-sà-sà,花嗄嗄,16,hoe-sà-sà,hue1sa3sa3,hoe1sa3sa3,ㄏㄨㆤㄙㄚ˪ㄙㄚ˪,huesasa,hoesasa,ㄏㄨㆤㄙㄚㄙㄚ,hss,hss,ㄏㄙㄙ,True,False
hua-kong-tsio̍h,花崗石,16,hoa-kong-chio̍h,hua1kong1tsioh8,hoa1kong1chioh8,ㄏㄨㄚㄍㆲㄐㄧㄛㆷ̇,huakongtsioh,hoakongchioh,ㄏㄨㄚㄍㆲㄐㄧㄛㆷ,hkt,hkc,ㄏㄍㄐ,True,False
hue-ki-uân,花枝丸,16,hoe-ki-oân,hue1ki1uan5,hoe1ki1oan5,ㄏㄨㆤㄍㄧㄨㄢˊ,huekiuan,hoekioan,ㄏㄨㆤㄍㄧㄨㄢ,hku,hko,ㄏㄍㄨ,True,False
hua-liú-tsìng,花柳症,16,hoa-liú-chèng,hua1liu2tsing3,hoa1liu2cheng3,ㄏㄨㄚㄌㄧㄨˋㄐㄧㄥ˪,hualiutsing,hoaliucheng,ㄏㄨㄚㄌㄧㄨㄐㄧㄥ,hlt,hlc,ㄏㄌㄐ,True,False
hue-khak-á,花殼仔,16,hoe-khak-á,hue1khak4a2,hoe1khak4a2,ㄏㄨㆤㄎㄚㆻㄚˋ,huekhaka,hoekhaka,ㄏㄨㆤㄎㄚㆻㄚ,hka,hka,ㄏㄎㄚ,True,False
hue-kue-á,花瓜仔,16,hoe-koe-á,hue1kue1a2,hoe1koe1a2,ㄏㄨㆤㄍㄨㆤㄚˋ,huekuea,hoekoea,ㄏㄨㆤㄍㄨㆤㄚ,hka,hka,ㄏㄍㄚ,True,False
hue-lîng-á,花苓仔,16,hoe-lêng-á,hue1ling5a2,hoe1leng5a2,ㄏㄨㆤㄌㄧㄥˊㄚˋ,huelinga,hoelenga,ㄏㄨㆤㄌㄧㄥㄚ,hla,hla,ㄏㄌㄚ,True,False
hue-kha-á,花跤仔,16,hoe-kha-á,hue1kha1a2,hoe1kha1a2,ㄏㄨㆤㄎㄚㄚˋ,huekhaa,hoekhaa,ㄏㄨㆤㄎㄚㄚ,hka,hka,ㄏㄎㄚ,True,False
hue-tsuā-bé,花逝馬,16,hoe-chōa-bé,hue1tsua7be2,hoe1choa7be2,ㄏㄨㆤㄗㄨㄚ˫ㆠㆤˋ,huetsuabe,hoechoabe,ㄏㄨㆤㄗㄨㄚㆠㆤ,htb,hcb,ㄏㄗㆠ,True,False
hua-tiau-ke,花雕雞,16,hoa-tiau-ke,hua1tiau1ke1,hoa1tiau1ke1,ㄏㄨㄚㄉㄧㄠㄍㆤ,huatiauke,hoatiauke,ㄏㄨㄚㄉㄧㄠㄍㆤ,htk,htk,ㄏㄉㄍ,True,False
hua-tiau-kue,花雕雞,16,hoa-tiau-koe,hua1tiau1kue1,hoa1tiau1koe1,ㄏㄨㄚㄉㄧㄠㄍㄨㆤ,huatiaukue,hoatiaukoe,ㄏㄨㄚㄉㄧㄠㄍㄨㆤ,htk,htk,ㄏㄉㄍ,True,False
hue-pà-ông,花霸王,16,hoe-pà-ông,hue1pa3ong5,hoe1pa3ong5,ㄏㄨㆤㄅㄚ˪ㆲˊ,huepaong,hoepaong,ㄏㄨㆤㄅㄚㆲ,hpo,hpo,ㄏㄅㆲ,True,False
hue-ku-á,花龜仔,16,hoe-ku-á,hue1ku1a2,hoe1ku1a2,ㄏㄨㆤㄍㄨㄚˋ,huekua,hoekua,ㄏㄨㆤㄍㄨㄚ,hka,hka,ㄏㄍㄚ,True,False
phang-liāu-tsháu,芳料草,16,phang-liāu-chháu,phang1liau7tshau2,phang1liau7chhau2,ㄆㄤㄌㄧㄠ˫ㄘㄠˋ,phangliautshau,phangliauchhau,ㄆㄤㄌㄧㄠㄘㄠ,plt,plc,ㄆㄌㄘ,True,False
biâu-phok-ngá,苗博雅,16,biâu-phok-ngá,biau5phok4nga2,biau5phok4nga2,ㆠㄧㄠˊㄆㆦㆻㄫㄚˋ,biauphoknga,biauphoknga,ㆠㄧㄠㄆㆦㆻㄫㄚ,bpn,bpn,ㆠㄆㄫ,True,False
jio̍k-luē-hut,若內弗,16,jio̍k-lōe-hut,jiok8lue7hut4,jiok8loe7hut4,ㆢㄧㆦㆻ̇ㄌㄨㆤ˫ㄏㄨㆵ,jiokluehut,jiokloehut,ㆢㄧㆦㆻㄌㄨㆤㄏㄨㆵ,jlh,jlh,ㆢㄌㄏ,True,False
khóo-nâ-puânn,苦林盤,16,khó͘-nâ-pôaⁿ,khoo2na5puann5,khoo2na5poann5,ㄎㆦˋㄋㄚˊㄅㄨㆩˊ,khoonapuann,khoonapoann,ㄎㆦㄋㄚㄅㄨㆩ,knp,knp,ㄎㄋㄅ,True,False
khóo-thiāu-á,苦柱仔,16,khó͘-thiāu-á,khoo2thiau7a2,khoo2thiau7a2,ㄎㆦˋㄊㄧㄠ˫ㄚˋ,khoothiaua,khoothiaua,ㄎㆦㄊㄧㄠㄚ,kta,kta,ㄎㄊㄚ,True,False
khóo-kue-khoo,苦瓜箍,16,khó͘-koe-kho͘,khoo2kue1khoo1,khoo2koe1khoo1,ㄎㆦˋㄍㄨㆤㄎㆦ,khookuekhoo,khookoekhoo,ㄎㆦㄍㄨㆤㄎㆦ,kkk,kkk,ㄎㄍㄎ,True,False
khóo-bē-tit,苦袂得,16,khó͘-bē-tit,khoo2be7tit4,khoo2be7tit4,ㄎㆦˋㆠㆤ˫ㄉㄧㆵ,khoobetit,khoobetit,ㄎㆦㆠㆤㄉㄧㆵ,kbt,kbt,ㄎㆠㄉ,True,False
khóo-bē-tàng,苦袂當,16,khó͘-bē-tàng,khoo2be7tang3,khoo2be7tang3,ㄎㆦˋㆠㆤ˫ㄉㄤ˪,khoobetang,khoobetang,ㄎㆦㆠㆤㄉㄤ,kbt,kbt,ㄎㆠㄉ,True,False
khóo-bē-thang,苦袂通,16,khó͘-bē-thang,khoo2be7thang1,khoo2be7thang1,ㄎㆦˋㆠㆤ˫ㄊㄤ,khoobethang,khoobethang,ㄎㆦㆠㆤㄊㄤ,kbt,kbt,ㄎㆠㄊ,True,False
ing-kok-bûn,英國文,16,eng-kok-bûn,ing1kok4bun5,eng1kok4bun5,ㄧㄥㄍㆦㆻㆠㄨㄣˊ,ingkokbun,engkokbun,ㄧㄥㄍㆦㆻㆠㄨㄣ,ikb,ekb,ㄧㄍㆠ,True,False
ing-kok-uē,英國話,16,eng-kok-ōe,ing1kok4ue7,eng1kok4oe7,ㄧㄥㄍㆦㆻㄨㆤ˫,ingkokue,engkokoe,ㄧㄥㄍㆦㆻㄨㆤ,iku,eko,ㄧㄍㄨ,True,False
bōo-kok-kam,茂谷柑,16,bō͘-kok-kam,boo7kok4kam1,boo7kok4kam1,ㆠㆦ˫ㄍㆦㆻㄍㆰ,bookokkam,bookokkam,ㆠㆦㄍㆦㆻㄍㆰ,bkk,bkk,ㆠㄍㄍ,True,False
kiô-mn̂g-kiû,茄毛球,16,kiô-mn̂g-kiû,kio5mng5kiu5,kio5mng5kiu5,ㄍㄧㄛˊㄇㆭˊㄍㄧㄨˊ,kiomngkiu,kiomngkiu,ㄍㄧㄛㄇㆭㄍㄧㄨ,kmk,kmk,ㄍㄇㄍ,True,False
kiô-phî-tshí,茄皮鼠,16,kiô-phî-chhí,kio5phi5tshi2,kio5phi5chhi2,ㄍㄧㄛˊㄆㄧˊㄑㄧˋ,kiophitshi,kiophichhi,ㄍㄧㄛㄆㄧㄑㄧ,kpt,kpc,ㄍㄆㄑ,True,False
ka-tang-kha,茄苳跤,16,ka-tang-kha,ka1tang1kha1,ka1tang1kha1,ㄍㄚㄉㄤㄎㄚ,katangkha,katangkha,ㄍㄚㄉㄤㄎㄚ,ktk,ktk,ㄍㄉㄎ,True,False
tsû-sîng-kuān,茨城縣,16,chû-sêng-koān,tsu5sing5kuan7,chu5seng5koan7,ㄗㄨˊㄒㄧㄥˊㄍㄨㄢ˫,tsusingkuan,chusengkoan,ㄗㄨㄒㄧㄥㄍㄨㄢ,tsk,csk,ㄗㄒㄍ,True,False
tê-nn̄g-lóo,茶卵滷,16,tê-nn̄g-ló͘,te5nng7loo2,te5nng7loo2,ㄉㆤˊㄋㆭ˫ㄌㆦˋ,tenngloo,tenngloo,ㄉㆤㄋㆭㄌㆦ,tnl,tnl,ㄉㄋㄌ,True,False
tê-nn̄g-tshí,茶卵鼠,16,tê-nn̄g-chhí,te5nng7tshi2,te5nng7chhi2,ㄉㆤˊㄋㆭ˫ㄑㄧˋ,tenngtshi,tenngchhi,ㄉㆤㄋㆭㄑㄧ,tnt,tnc,ㄉㄋㄑ,True,False
tê-sim-nn̄g,茶心卵,16,tê-sim-nn̄g,te5sim1nng7,te5sim1nng7,ㄉㆤˊㄒㄧㆬㄋㆭ˫,tesimnng,tesimnng,ㄉㆤㄒㄧㆬㄋㆭ,tsn,tsn,ㄉㄒㄋ,True,False
tê-ki-á,茶機仔,16,tê-ki-á,te5ki1a2,te5ki1a2,ㄉㆤˊㄍㄧㄚˋ,tekia,tekia,ㄉㆤㄍㄧㄚ,tka,tka,ㄉㄍㄚ,True,False
tê-hái-tshenn,茶海星,16,tê-hái-chheⁿ,te5hai2tshenn1,te5hai2chhenn1,ㄉㆤˊㄏㄞˋㄘㆥ,tehaitshenn,tehaichhenn,ㄉㆤㄏㄞㄘㆥ,tht,thc,ㄉㄏㄘ,True,False
tê-thng-huē,茶湯會,16,tê-thng-hōe,te5thng1hue7,te5thng1hoe7,ㄉㆤˊㄊㆭㄏㄨㆤ˫,tethnghue,tethnghoe,ㄉㆤㄊㆭㄏㄨㆤ,tth,tth,ㄉㄊㄏ,True,False
tê-lóo-nn̄g,茶滷卵,16,tê-ló͘-nn̄g,te5loo2nng7,te5loo2nng7,ㄉㆤˊㄌㆦˋㄋㆭ˫,teloonng,teloonng,ㄉㆤㄌㆦㄋㆭ,tln,tln,ㄉㄌㄋ,True,False
tê-au-tsū,茶甌苴,16,tê-au-chū,te5au1tsu7,te5au1chu7,ㄉㆤˊㄠㄗㄨ˫,teautsu,teauchu,ㄉㆤㄠㄗㄨ,tat,tac,ㄉㄠㄗ,True,False
tê-khoo-tsing,茶箍精,16,tê-kho͘-cheng,te5khoo1tsing1,te5khoo1cheng1,ㄉㆤˊㄎㆦㄐㄧㄥ,tekhootsing,tekhoocheng,ㄉㆤㄎㆦㄐㄧㄥ,tkt,tkc,ㄉㄎㄐ,True,False
tê-bí-nn̄g,茶米卵,16,tê-bí-nn̄g,te5bi2nng7,te5bi2nng7,ㄉㆤˊㆠㄧˋㄋㆭ˫,tebinng,tebinng,ㄉㆤㆠㄧㄋㆭ,tbn,tbn,ㄉㆠㄋ,True,False
tê-hio̍h-nn̄g,茶葉蛋,16,tê-hio̍h-nn̄g,te5hioh8nng7,te5hioh8nng7,ㄉㆤˊㄏㄧㄛㆷ̇ㄋㆭ˫,tehiohnng,tehiohnng,ㄉㆤㄏㄧㄛㆷㄋㆭ,thn,thn,ㄉㄏㄋ,True,False
jî-kà-kà,茹絞絞,16,jî-kà-kà,ji5ka3ka3,ji5ka3ka3,ㆢㄧˊㄍㄚ˪ㄍㄚ˪,jikaka,jikaka,ㆢㄧㄍㄚㄍㄚ,jkk,jkk,ㆢㄍㄍ,True,False
lû-tsháng-tsháng,茹藏藏,16,lû-chháng-chháng,lu5tshang2tshang2,lu5chhang2chhang2,ㄌㄨˊㄘㄤˋㄘㄤˋ,lutshangtshang,luchhangchhang,ㄌㄨㄘㄤㄘㄤ,ltt,lcc,ㄌㄘㄘ,True,True
tsháu-á-poo,草仔埔,16,chháu-á-po͘,tshau2a2poo1,chhau2a2poo1,ㄘㄠˋㄚˋㄅㆦ,tshauapoo,chhauapoo,ㄘㄠㄚㄅㆦ,tap,cap,ㄘㄚㄅ,True,False
tsháu-á-sik,草仔色,16,chháu-á-sek,tshau2a2sik4,chhau2a2sek4,ㄘㄠˋㄚˋㄒㄧㆻ,tshauasik,chhauasek,ㄘㄠㄚㄒㄧㆻ,tas,cas,ㄘㄚㄒ,True,False
tsháu-tuē-sông,草地倯,16,chháu-tōe-sông,tshau2tue7song5,chhau2toe7song5,ㄘㄠˋㄉㄨㆤ˫ㄙㆲˊ,tshautuesong,chhautoesong,ㄘㄠㄉㄨㆤㄙㆲ,tts,cts,ㄘㄉㄙ,True,False
tsháu-tē-sông,草地倯,16,chháu-tē-sông,tshau2te7song5,chhau2te7song5,ㄘㄠˋㄉㆤ˫ㄙㆲˊ,tshautesong,chhautesong,ㄘㄠㄉㆤㄙㆲ,tts,cts,ㄘㄉㄙ,True,False
tsháu-poo-á,草埔仔,16,chháu-po͘-á,tshau2poo1a2,chhau2poo1a2,ㄘㄠˋㄅㆦㄚˋ,tshaupooa,chhaupooa,ㄘㄠㄅㆦㄚ,tpa,cpa,ㄘㄅㄚ,True,False
tshó-kan-á,草橄仔,16,chhó-kan-á,tsho2kan1a2,chho2kan1a2,ㄘㄛˋㄍㄢㄚˋ,tshokana,chhokana,ㄘㄛㄍㄢㄚ,tka,cka,ㄘㄍㄚ,True,False
tshó-nî-má,草泥馬,16,chhó-nî-má,tsho2ni5ma2,chho2ni5ma2,ㄘㄛˋㄋㄧˊㄇㄚˋ,tshonima,chhonima,ㄘㄛㄋㄧㄇㄚ,tnm,cnm,ㄘㄋㄇ,True,False
tsháu-phí-á,草疕仔,16,chháu-phí-á,tshau2phi2a2,chhau2phi2a2,ㄘㄠˋㄆㄧˋㄚˋ,tshauphia,chhauphia,ㄘㄠㄆㄧㄚ,tpa,cpa,ㄘㄆㄚ,True,False
