tl,hanzi,frequency,poj,tl_num,poj_num,tps_num,tl_notone,poj_notone,tps_notone,tl_abbrev,poj_abbrev,tps_abbrev,itaigi,is_variant
thuh,黜,250,thuh,thuh4,thuh4,ㄊㄨㆷ,thuh,thuh,ㄊㄨㆷ,,,,True,False
sîng,乘,228,sêng,sing5,seng5,ㄒㄧㄥˊ,sing,seng,ㄒㄧㄥ,,,,True,False
tō-lí,道理,212,tō-lí,to7li2,to7li2,ㄉㄛ˫ㄌㄧˋ,toli,toli,ㄉㄛㄌㄧ,tl,tl,ㄉㄌ,True,False
kòo-sū,故事,205,kò͘-sū,koo3su7,koo3su7,ㄍㆦ˪ㄙㄨ˫,koosu,koosu,ㄍㆦㄙㄨ,ks,ks,ㄍㄙ,True,False
the,䖙,200,the,the1,the1,ㄊㆤ,the,the,ㄊㆤ,,,,True,False
giâ,夯,200,giâ,gia5,gia5,ㆣㄧㄚˊ,gia,gia,ㆣㄧㄚ,,,,True,False
tūn,屯,200,tūn,tun7,tun7,ㄉㄨㄣ˫,tun,tun,ㄉㄨㄣ,,,,True,False
iā,掖,200,iā,ia7,ia7,ㄧㄚ˫,ia,ia,ㄧㄚ,,,,True,False
tshuah,掣,200,chhoah,tshuah4,chhoah4,ㄘㄨㄚㆷ,tshuah,chhoah,ㄘㄨㄚㆷ,,,,True,False
khiú,搝,200,khiú,khiu2,khiu2,ㄎㄧㄨˋ,khiu,khiu,ㄎㄧㄨ,,,,True,False
siàn,搧,200,siàn,sian3,sian3,ㄒㄧㄢ˪,sian,sian,ㄒㄧㄢ,,,,True,False
lám,攬,200,lám,lam2,lam2,ㄌㆰˋ,lam,lam,ㄌㆰ,,,,True,False
tháu,敨,200,tháu,thau2,thau2,ㄊㄠˋ,thau,thau,ㄊㄠ,,,,True,False
î,於,200,î,i5,i5,ㄧˊ,i,i,ㄧ,,,,True,False
tsú,梓,200,chú,tsu2,chu2,ㄗㄨˋ,tsu,chu,ㄗㄨ,,,,True,False
hâm,涵,200,hâm,ham5,ham5,ㄏㆰˊ,ham,ham,ㄏㆰ,,,,True,False
hang,烘,200,hang,hang1,hang1,ㄏㄤ,hang,hang,ㄏㄤ,,,,True,False
kha̍p,磕,200,kha̍p,khap8,khap8,ㄎㄚㆴ̇,khap,khap,ㄎㄚㆴ,,,,True,False
lâng,膿,200,lâng,lang5,lang5,ㄌㄤˊ,lang,lang,ㄌㄤ,,,,True,False
