tl,hanzi
tsánn,斬
buán,晚
mńg,晚
muí,晚
tiù,晝
tàu,晝
muî,梅
muê,梅
m̂,梅
buê,梅
muâi,梅
kíng,梗
kénn,梗
kínn,梗
lê,梨
lâi,梨
the,梯
thui,梯
hâm,涵
âm,涵
lîm,淋
lâm,淋
tām,淡
tānn,淡
khian,牽
khan,牽
sut,率
lu̍t,率
tsiòng,眾
tsìng,眾
phiàu,票
phiò,票
ti̍k,笛
ta̍t,笛
li̍p,笠
le̍h,笠
lue̍h,笠
phok,粕
phoh,粕
puàn,絆
puànn,絆
puat,缽
puah,缽
tāi,舵
tō,舵
tuā,舵
tsong,莊
tsng,莊
tsù,蛀
tsiù,蛀
siâ,蛇
tsuâ,蛇
tāi,袋
tē,袋
hí,許
hú,許
khóo,許
hònn,貨
huè,貨
hè,貨
kuàn,貫
kǹg,貫
kuìnn,貫
luán,軟
nńg,軟
nuí,軟
thòo,透
thiò,透
thàu,透
tio̍k,逐
ta̍k,逐
kok,郭
kueh,郭
keh,郭
too,都
to,都
tiàu,釣
tiò,釣
tshai,釵
the,釵
thue,釵
tîn,陳
tân,陳
lio̍k,陸
la̍k,陸
tshiok,雀
tshik,雀
gû,魚
gî,魚
hî,魚
hû,魚
niáu,鳥
tsiáu,鳥
mâ,麻
bâ,麻
muâ,麻
hù,傅
pòo,傅
pōng,傍
pn̄g,傍
sàn,傘
suànn,傘
sīng,剩
sīn,剩
kat,割
kuah,割
hat,喝
huah,喝
song,喪
sòng,喪
sng,喪
tan,單
tuann,單
tiông,場
tshiâng,場
tiûnn,場
tiônn,場
sè,婿
sài,婿
muî,媒
muê,媒
hm̂,媒
m̂,媒
muâi,媒
hù,富
pù,富
hân,寒
kuânn,寒
sîm,尋
siâm,尋
hok,幅
pak,幅
kí,幾
kuí,幾
phîng,彭
phênn,彭
phînn,彭
tō,惰
tōo,惰
tuānn,惰
kán,揀
kíng,揀
biâu,描
biô,描
ok,握
ak,握
tsîng,晴
tsênn,晴
tsînn,晴
tsing,晶
tsinn,晶
tsing,曾
tsîng,曾
tsan,曾
mî,棉
biân,棉
pîng,棚
pênn,棚
pînn,棚
phiânn,棚
kuan,棺
kuann,棺
tsiau,椒
tsio,椒
tsân,殘
tsuânn,殘
tshân,殘
khok,殼
khak,殼
khat,渴
khuah,渴
ióng,湧
íng,湧
thong,湯
thng,湯
se,犀
sai,犀
pâ,琶
pê,琶
tōo,痘
tiō,痘
tāu,痘
thòng,痛
thàng,痛
gīng,硬
ngē,硬
ngī,硬
thîng,程
tîng,程
thiânn,程
khong,筐
khing,筐
tap,答
tah,答
siok,粟
tshik,粟
tsong,粧
tsng,粧
káu,絞
ká,絞
khiong,腔
khiang,腔
khiunn,腔
khionn,腔
uán,腕
uánn,腕
su,舒
si,舒
po,菠
poo,菠
pue,菠
pe,菠
tio̍k,著
tù,著
tio̍h,著
to̍h,著
hu,虛
hi,虛
lia̍t,裂
li̍h,裂
siōng,象
siāng,象
tshiūnn,象
tshiōnn,象
thú,貯
thí,貯
té,貯
tué,貯
tshiau,超
thiau,超
hiong,鄉
hiang,鄉
hiunn,鄉
hionn,鄉
hân,閒
îng,閒
âinn,閒
ngá,雅
ngé,雅
huān,飯
pn̄g,飯
puīnn,飯
hông,黃
n̂g,黃
uînn,黃
uân,園
hn̂g,園
huînn,園
înn,圓
uân,圓
tôo,塗
thôo,塗
tông,塘
tn̂g,塘
kà,嫁
kè,嫁
iâu,搖
iô,搖
puan,搬
puann,搬
tap,搭
tah,搭
tshióng,搶
tshiáng,搶
tshiúnn,搶
tshiónn,搶
iông,楊
iâng,楊
iûnn,楊
iônn,楊
hong,楓
png,楓
puinn,楓
liān,楝
līng,楝
îng,楹
lông,榔
