hanzi,tl,poj,frequency,is_variant,kautian,taigitv,itaigi,sitbut,taihoa,taijit,kungge,stti,khpoo
咾,láu,láu,0,False,False,False,False,False,False,False,False,False,False
哇,ua,oa,0,False,True,False,False,False,False,False,False,False,False
哇,uâ,ôa,0,False,False,False,False,False,False,False,False,False,False
哈,ap,ap,0,False,False,False,False,False,False,False,False,False,False
哈,gap,gap,0,False,True,False,False,False,False,True,False,False,False
响,hiáng,hiáng,0,False,False,False,False,False,False,False,False,False,False
响,hióng,hióng,0,False,True,False,False,False,False,False,False,False,False
哖,nī,nī,0,False,False,False,False,False,False,False,False,False,False
哲,thiat,thiat,0,False,True,False,False,False,False,False,False,False,False
哲學,tia̍t,tia̍t,0,False,False,False,False,False,False,False,False,False,False
唁,gān,gān,0,False,True,False,False,False,False,False,False,False,False
唇,tûn,tûn,0,False,True,False,False,False,True,True,False,False,False
唏,hí,hí,0,False,True,False,False,False,False,False,False,False,False
唱,tshiòng,chhiòng,0,False,True,False,False,False,False,True,False,False,False
啌,khiang,khiang,0,False,False,False,False,False,False,False,False,False,False
啎,ngōo,ngō͘,0,False,True,False,False,False,False,False,False,False,False
問,muī,mūi,0,False,True,False,False,False,False,False,False,False,False
啓,khé,khé,0,False,True,False,False,False,False,False,False,False,False
啜,tshuat,chhoat,0,False,True,False,False,False,False,False,False,False,False
啜,tsuat,choat,0,False,False,False,False,False,False,False,False,False,False
啜,tuat,toat,0,False,True,False,False,False,False,False,False,False,False
啼,thê,thê,0,False,True,False,False,False,False,False,False,False,False
喆,tiat,tiat,0,False,True,False,False,False,False,False,False,False,False
喇,lat,lat,0,False,True,False,False,False,False,False,False,False,False
喘,tshún,chhún,0,False,False,False,False,False,False,False,False,False,False
喬,kiâu,kiâu,0,False,True,False,False,False,False,True,False,False,False
嗔,thiân,thiân,0,False,True,False,False,False,False,False,False,False,False
嗽,sòo,sò͘,0,False,True,False,False,False,False,False,False,False,False
嘒,huī,hūi,0,False,True,False,False,False,False,False,False,False,False
嘮,lâ,lâ,0,False,False,False,False,False,False,False,False,False,False
嘻,hí,hí,0,False,False,False,False,False,False,False,False,False,False
噩,go̍k,go̍k,0,False,True,False,False,False,False,False,False,False,False
噪,sòo,sò͘,0,False,False,False,False,False,False,False,False,False,False
噯,āi,āi,0,False,False,False,False,False,False,False,False,False,False
嚉,tu̍t,tu̍t,0,False,False,False,False,False,False,False,False,False,False
嚼,tsiak,chiak,0,False,False,False,False,False,False,False,False,False,False
囝,gín,gín,0,False,False,False,False,False,False,False,False,False,False
回,hô̤,hô̤,0,False,False,False,False,False,False,False,False,False,False
圈,khuân,khoân,0,False,True,False,False,False,False,True,False,False,False
團,tuân,toân,0,False,False,False,False,False,False,False,False,False,False
地,tō̤e,tō̤e,0,False,False,False,False,False,False,False,False,False,False
坂,huán,hoán,0,False,False,False,False,False,False,False,False,False,False
坂,puán,poán,0,False,False,False,False,False,False,False,False,False,False
坂,puánn,póaⁿ,0,False,True,False,False,False,False,False,False,False,False
坂,pán,pán,0,False,True,False,False,False,False,False,False,False,False
坎,khâm,khâm,0,False,False,False,False,False,False,False,False,False,False
坐,chō̤,chō̤,0,False,False,False,False,False,False,False,False,False,False
坐,tsōo,chō͘,0,False,True,False,False,False,False,False,False,False,False
坔,làm,làm,0,False,True,False,False,False,False,False,False,False,False
坔,lòm,lòm,0,False,False,False,False,False,False,False,False,False,False
垂,sô̤,sô̤,0,False,False,False,False,False,False,False,False,False,False
垣,huân,hoân,0,False,True,False,False,False,False,True,False,False,False
垵,uann,oaⁿ,0,False,False,False,False,False,True,True,False,False,False
埔,pôo,pô͘,0,False,False,False,False,False,False,False,False,False,False
埭,tō̤,tō̤,0,False,False,False,False,False,False,False,False,False,False
培,pō̤,pō̤,0,False,False,False,False,False,False,False,False,False,False
