hanzi,tl,poj,frequency,is_variant,kautian,taigitv,itaigi,sitbut,taihoa,taijit,kungge,stti,khpoo
亜,á,á,468,False,False,False,False,False,False,False,False,False,False
目周,ba̍k-tsiu,ba̍k-chiu,462,False,False,False,False,False,False,False,False,False,False
只个,tsit-ê,chit-ê,460,False,False,False,False,False,False,False,False,False,False
此个,tsit-ê,chit-ê,460,False,False,False,False,False,False,False,False,False,False
后來,āu-lâi,āu-lâi,447,False,False,False,False,False,False,False,False,False,False
芧,tē,tē,445,False,False,False,False,False,False,False,False,False,False
苐,tē,tē,445,False,False,False,False,False,False,False,False,False,False
𮞏,tē,tē,445,False,False,False,False,False,False,False,False,False,False
華,hue,hoe,438,False,False,False,False,False,False,False,False,False,False
醒,sing,seng,434,False,False,False,False,False,False,False,False,False,False
声,sing,seng,434,False,False,False,False,False,False,False,False,False,False
身軀,sing,seng,434,False,False,False,False,False,False,False,False,False,False
夭,iá,iá,430,False,False,False,False,False,False,False,False,False,False
口,tshuì,chhùi,430,False,False,False,False,False,False,False,False,False,False
返來,tńg-lâi,tńg-lâi,429,False,False,False,False,False,False,False,False,False,False
独,ta̍k,ta̍k,424,False,False,False,False,False,False,False,False,False,False
别人,pa̍t-lâng,pa̍t-lâng,422,False,False,False,False,False,False,False,False,False,False
專,tsuân,choân,422,False,False,False,False,False,False,False,False,False,False
啎,gōo,gō͘,419,False,False,False,False,False,False,False,False,False,False
得着,tit-tio̍h,tit-tio̍h,415,False,False,False,False,False,False,False,False,False,False
烟,hun,hun,409,False,False,False,False,False,False,False,False,False,False
緍,hun,hun,409,False,False,False,False,False,False,False,False,False,False
赶緊,kuánn-kín,kóaⁿ-kín,393,False,False,False,False,False,False,False,False,False,False
債,tsài,chài,392,False,False,False,False,False,False,False,False,False,False
経,king,keng,388,False,False,False,False,False,False,False,False,False,False
芎,king,keng,388,False,False,False,False,False,False,False,False,False,False
那是,nā-sī,nā-sī,382,False,False,False,False,False,False,False,False,False,False
扐,lia̍h,lia̍h,379,False,False,False,False,False,False,False,False,False,False
斈,o̍h,o̍h,379,False,False,False,False,False,False,False,False,False,False
