hanzi,tl,poj,frequency,is_variant,kautian,taigitv,itaigi,sitbut,taihoa,taijit,kungge,stti,khpoo
佚陶,tshit-thô,chhit-thô,100,True,True,False,False,False,False,False,False,False,False
住,tū,tū,100,True,True,False,False,False,False,False,False,False,False
今早仔,e-tsái-á,e-chái-á,100,True,True,False,False,False,False,False,False,False,False
中罩,tiong-tàu,tiong-tàu,100,True,True,False,False,False,False,False,False,False,False
不甘,m̄-kam,m̄-kam,100,True,False,False,False,False,False,True,False,False,False
不敢,m̄-kánn,m̄-káⁿ,100,True,False,False,False,False,False,True,False,False,False
不好,m̄-hó,m̄-hó,100,True,False,False,False,False,False,True,False,False,False
不值,m̄-ta̍t,m̄-ta̍t,100,True,False,False,False,False,False,True,False,False,False
一个,tsi̍t-ê,chi̍t-ê,100,True,False,False,True,False,False,False,False,False,False
嘴瀾,tshuì-nuā,chhùi-nōa,100,True,False,False,False,False,True,False,False,False,False
傖,sông,sông,100,True,True,False,False,False,True,True,False,False,False
在,tshāi,chhāi,100,True,True,False,False,False,False,False,False,False,False
外省人,guā-síng-lâng,gōa-síng-lâng,100,True,False,False,True,False,False,False,False,False,False
搔,ngiau,ngiau,100,True,True,False,False,False,False,False,False,False,False
掞,tàn,tàn,100,True,True,False,False,False,False,False,False,False,False
掛,kuì,kùi,100,True,True,False,False,False,False,True,False,False,False
掌頭仔,tsíng-thâu-á,tsíng-thâu-á,100,True,True,False,False,False,False,False,False,False,False
拱,kīng,kēng,100,True,True,False,False,False,False,False,False,False,False
抄,tshiau,chhiau,100,True,True,False,False,False,False,False,False,False,False
打爽,phah-sńg,phah-sńg,100,True,True,False,False,False,False,False,False,False,False
打損,phah-sńg,phah-sńg,100,True,True,False,False,False,False,True,False,False,False
扑損,phah-sńg,phah-sńg,100,True,True,False,False,False,False,False,False,False,False
悿,thiám,thiám,100,True,True,False,False,False,True,False,False,False,False
得桃,tshit-thô,chhit-thô,100,True,True,False,False,False,False,False,False,False,False
彳亍,tshit-thô,chhit-thô,100,True,True,False,False,False,False,False,False,False,False
展,thí,thí,100,True,True,False,False,False,False,True,False,False,False
尚尾,siōng-bué,siōng-bóe,100,True,True,False,False,False,False,False,False,False,False
擱再,koh-tsài,koh-chài,100,True,True,False,False,False,False,False,False,False,False
子婿,kiánn-sài,kiáⁿ-sài,100,True,True,False,False,False,False,True,False,False,False
嫩,tsínn,tsínn,100,True,True,False,False,False,False,True,False,False,False
嫣頭,iân-tâu,iân-tâu,100,True,True,False,False,False,False,False,False,False,False
嫣投,iân-tâu,iân-tâu,100,True,True,False,False,False,False,False,False,False,False
摳,khau,khau,100,True,True,False,False,False,True,False,False,False,False
𣍐記得,buē-kì-tit,bōe-kì-tit,98,True,True,False,False,False,False,False,False,False,False
凝,gân,gân,84,True,True,False,False,False,False,True,False,False,False
互相,hōo-siang,hō͘-siang,63,True,False,False,False,False,True,False,False,False,False
蜀,tsi̍k,che̍k,50,True,False,False,False,False,False,False,False,False,True
虧,ui,ui,50,True,True,False,False,False,False,True,False,False,False
蔘,song,song,50,True,True,False,False,False,False,False,False,False,False
蔘,serm,serm,50,True,True,False,False,False,False,False,False,False,True
腮,sai,sai,50,True,True,False,False,False,True,False,False,False,False
肩,khainn,khaiⁿ,50,True,True,False,False,False,False,False,False,False,False
粙,tiǔ,tiǔ,50,True,False,False,False,False,False,False,False,False,True
竘,khû,khû,50,True,True,False,False,False,True,False,False,False,False
瞇,bî,bî,50,True,True,False,False,False,True,False,False,False,False
瘤,luî,lûi,50,True,True,False,False,False,False,False,False,False,False
瘟,tser,cher,50,True,True,False,False,False,False,False,False,False,False
牛乳,gû-ni,gû-ni,50,True,True,False,False,False,False,True,False,False,False
