tl,hanzi,frequency,poj
phēr,被,50,phēr
buâ,覓,50,bôa
bā,覓,50,bā
bǎ,覓,50,bǎ
tshik,觸,50,chhek
suan,訕,50,soan
khóo,許,50,khó͘
siōng,誦,50,siōng
tshoh,誶,50,chhoh
hioh,諾,50,hioh
tsán,讚,50,chán
hô,豪,50,hô
thuā,豸,50,thōa
tí,豸,50,tí
thng,賰,50,thng
tsuāi,跩,50,choāi
tsuāinn,跩,50,choāiⁿ
tenn,蹬,50,teⁿ
hui,輝,50,hui
ngôo,遨,50,ngô͘
u̍t,遹,50,u̍t
puē,邶,50,pōe
kun,鈞,50,kun
phî,鈹,50,phî
sik,銫,50,sek
bíng,錳,50,béng
bí,鎂,50,bí
siunn,鑲,50,siuⁿ
khàm,闞,50,khàm
gún-tau,阮兜,50,gún-tau
pha̍uh,雹,50,phau̍h
gê,霓,50,gê
gî,騎,50,gî
khî,騎,50,khî
khuan,髖,50,khoan
khiu,鬮,50,khiu
hîr,魚,50,hîr
khiu,鳩,50,khiu
phîng,鵬,50,phêng
pîng,鵬,50,pêng
pháng,麭,50,pháng
ngôo,鼇,50,ngô͘
tshāi,,50,chhāi
thit-thô,𨑨迌,50,thit-thô
giāng,,50,giāng
pháng,,50,pháng
soo,,50,so͘
tshn̍gh,,50,chhn̍gh
î-á,姨仔,36,î-á
bué-á,尾仔,30,bóe-á
sè-lù,セル,25,sè-lù
làng-kàng,㝗港,25,làng-kàng
láng-káng,㝗港,25,láng-káng
gê-lān,㤉𡳞,25,gê-lān
khê-khê,㧎㧎,25,khê-khê
khê-khang,㧎空,25,khê-khang
khê-kuan,㧎關,25,khê-koan
khê-bé,㧎馬,25,khê-bé
tu-hong,㧣風,25,tu-hong
tàng-kah,㨂甲,25,tàng-kah
tsānn-hî,㨻魚,25,chāⁿ-hî
tsānn-hû,㨻魚,25,chāⁿ-hû
khiap-sái,㾀屎,25,khiap-sái
bái-tshiú,䆀手,25,bái-chhiú
bái-tsâi,䆀才,25,bái-châi
bái-kuat,䆀抉,25,bái-koat
bái-liāu,䆀料,25,bái-liāu
bái-iūnn,䆀樣,25,bái-iūⁿ
bái-hué,䆀火,25,bái-hóe
bái-huè,䆀貨,25,bái-hòe
luí-tsînn,䉪錢,25,lúi-chîⁿ
thē-á,䖳仔,25,thē-á
thē-hî,䖳魚,25,thē-hî
tshiāng-óng,䢢往,25,chhiāng-óng
tsi̍t-hūn,一份,25,chi̍t-hūn
tsi̍t-lia̍t,一列,25,chi̍t-lia̍t
tsi̍t-ue̍h,一劃,25,chi̍t-oe̍h
tsi̍t-ui̍h,一劃,25,chi̍t-u̍ih
tsi̍t-jí,一子,25,chi̍t-jí
tsi̍t-kang,一工,25,chi̍t-kang
tsi̍t-nî,一年,25,chi̍t-nî
it-tó,一度,25,it-tó
tsi̍t-kńg,一捲,25,chi̍t-kńg
tsi̍t-phuat,一撇,25,chi̍t-phoat
tsi̍t-pái,一擺,25,chi̍t-pái
tsi̍t-pue,一桮,25,chi̍t-poe
tsi̍t-huâinn,一橫,25,chi̍t-hoâiⁿ
tsi̍t-huînn,一橫,25,chi̍t-hûiⁿ
tsi̍t-pà,一百,25,chi̍t-pà
it-tsīn,一盡,25,it-chīn
it-tíng,一等,25,it-téng
tsi̍t-láng,一籠,25,chi̍t-láng
tsi̍t-kuàn,一罐,25,chi̍t-koàn
tsi̍t-luí,一蕊,25,chi̍t-lúi
tsi̍t-sin,一身,25,chi̍t-sin
tsi̍t-piàn,一遍,25,chi̍t-piàn
tsi̍t-tsiah,一隻,25,chi̍t-chiah
tshit-si̍k,七夕,25,chhit-se̍k
tshit-iāu,七曜,25,chhit-iāu
sam-guân,三元,25,sam-goân
sam-uî,三圍,25,sam-ûi
sann-pó,三寶,25,saⁿ-pó
sam-hiân,三弦,25,sam-hiân
sann-tsáinn,三指,25,saⁿ-cháiⁿ
sann-kái,三改,25,saⁿ-kái
sam-bîng,三明,25,sam-bêng
sàm-sóng,三爽,25,sàm-sóng
sam-li̍p,三立,25,sam-li̍p
sam-tiông,三重,25,sam-tiông
sam-tîng,三重,25,sam-têng
sam-bûn,三門,25,sam-bûn
siōng-thuân,上傳,25,siōng-thoân
tsiūⁿ-thuân,上傳,25,chiūⁿ-thoân
sîng-guân,上元,25,sêng-goân
siōng-siânn,上城,25,siōng-siâⁿ
siāng-suí,上媠,25,siāng-súi
siōng-suí,上媠,25,siōng-súi
siōng-ài,上愛,25,siōng-ài
siāng-kuân,上懸,25,siāng-koân
siōng-hâng,上杭,25,siōng-hâng
tsiūnn-kè,上架,25,chiūⁿ-kè
siāng-tsē,上濟,25,siāng-chē
tsiūnn-sik,上色,25,chiūⁿ-sek
tsiūnn-lo̍h,上落,25,chiūⁿ-lo̍h
siōng-gû,上虞,25,siōng-gû
tsiūnn-bông,上雺,25,chiūⁿ-bông
hē-tsoh,下作,25,hē-choh
ē-siânn,下城,25,ē-siâⁿ
ē-poo,下埔,25,ē-po͘
ē-tsá,下早,25,ē-chá
e-huinn,下昏,25,e-huiⁿ
ē-kue̍h,下橛,25,ē-koe̍h
hā-siau,下痟,25,hā-siau
ē-tuan,下端,25,ē-toan
put-tan,不丹,25,put-tan
put-kiat,不吉,25,put-kiat
put-tsāi,不在,25,put-chāi
put-thong,不通,25,put-thong
pīng-tshiánn,並且,25,pēng-chhiáⁿ
tiong-kài,中介,25,tiong-kài
tiong-tsong,中宗,25,tiong-chong
tiong-hang,中烘,25,tiong-hang
tiong-huân,中環,25,tiong-hoân
tiong-khuân,中環,25,tiong-khoân
tiong-lî,中離,25,tiong-lî
tiong-thi,中麶,25,tiong-thi
tshuàn-ue,串椏,25,chhoàn-oe
tshuàn-ínn,串穎,25,chhoàn-íⁿ
tshuàn-kóng,串講,25,chhoàn-kóng
uân-á,丸仔,25,oân-á
tan-tshing,丹青,25,tan-chheng
tòng-pn̄g,丼飯,25,tòng-pn̄g
kiú-pia̍t,久別,25,kiú-pia̍t
sîng-pho,乘波,25,sêng-pho
sīng-suà,乘紲,25,sēng-sòa
it-thaì,乙太,25,it-thài
it-thài,乙太,25,it-thài
kiú-ngóo,九五,25,kiú-ngó͘
kiú-jû,九如,25,kiú-jû
kiú-lû,九如,25,kiú-lû
káu-bué,九尾,25,káu-bóe
káu-bé,九尾,25,káu-bé
kiú-tsiu,九州,25,kiú-chiu
kiú-kui,九歸,25,kiú-kui
khiân-phiàn,乾片,25,khiân-phiàn
kan-kia̍t,乾竭,25,kan-kia̍t
luān-liû,亂流,25,loān-liû
liáu-liân,了然,25,liáu-liân
liáu-tiān,了電,25,liáu-tiān
hōo-lâng,予人,25,hō͘-lâng
hōo-lí,予你,25,hō͘-lí
ho-tsò,予做,25,ho-chò
hōo-lán,予咱,25,hō͘-lán
sū-ká,事假,25,sū-ká
sū-sian,事先,25,sū-sian
ji-tsa̍p,二十,25,ji-cha̍p
jī-uî,二圍,25,jī-ûi
jī-hiân,二弦,25,jī-hiân
jī-tsiàn,二戰,25,jī-chiàn
ûn-kíng,云境,25,ûn-kéng
hōo-thik,互斥,25,hō͘-thek
ngóo-jîn,五仁,25,ngó͘-jîn
gōo-uî,五圍,25,gō͘-ûi
ngóo-tshinn,五星,25,ngó͘-chhiⁿ
gōo-lâu,五樓,25,gō͘-lâu
gōo-kah,五甲,25,gō͘-kah
gōo-kiat,五結,25,gō͘-kiat
gōo-hue,五花,25,gō͘-hoe
gōo-sài,五賽,25,gō͘-sài
tsénn-khàm,井崁,25,chéⁿ-khàm
a-tong,亞當,25,a-tong
a-è,亞裔,25,a-è
khòng-huānn,亢旱,25,khòng-hōaⁿ
kau-tang,交冬,25,kau-tang
kau-kuah,交割,25,kau-koah
kau-in,交姻,25,kau-in
kau-kiû,交球,25,kau-kiû
hâi-kik,亥革,25,hâi-kek
gîn-som,人參,25,gîn-som
ji̋n-jín,人參,25,jĭn-jín
lîn-som,人參,25,lîn-som
lâng-ling,人奶,25,lâng-leng
jîn-sim,人心,25,jîn-sim
jîn-khì,人氣,25,jîn-khì
lâng-tse,人災,25,lâng-che
lâng-un,人瘟,25,lâng-un
lâng-pān,人範,25,lâng-pān
lâng-sik,人色,25,lâng-sek
lâng-pôo,人酺,25,lâng-pô͘
jîn-tsong,仁宗,25,jîn-chong
kin-thian,今天,25,kin-thian
tann-sik,今式,25,taⁿ-sek
