tl,hanzi,frequency,poj,tl_num,poj_num
se̍h-înn-khoo-á,踅圓箍仔,12,se̍h-îⁿ-kho͘-á,seh8inn5khoo1a2,seh8inn5khoo1a2
se̍h-sai-bué-lê,踅獅尾螺,12,se̍h-sai-bóe-lê,seh8sai1bue2le5,seh8sai1boe2le5
se̍h-tshài-tshī-á,踅菜市仔,12,se̍h-chhài-chhī-á,seh8tshai3tshi7a2,seh8chhai3chhi7a2
ta̍h-kan-á-tsînn,踏矸仔錢,12,ta̍h-kan-á-chîⁿ,tah8kan1a2tsinn5,tah8kan1a2chinn5
ta̍h-khui-kha-pōo,踏開跤步,12,ta̍h-khui-kha-pō͘,tah8khui1kha1poo7,tah8khui1kha1poo7
tiàm-tshù-tsuè-sit,踮厝作穡,12,tiàm-chhù-chòe-sit,tiam3tshu3tsue3sit4,tiam3chhu3choe3sit4
tiàm-tshù-tsò-sit,踮厝作穡,12,tiàm-chhù-chò-sit,tiam3tshu3tso3sit4,tiam3chhu3cho3sit4
tiàm-suann-thâu-ke,踮山頭家,12,tiàm-soaⁿ-thâu-ke,tiam3suann1thau5ke1,tiam3soann1thau5ke1
tiàm-kha-tsa-bóo,踮跤查某,12,tiàm-kha-cha-bó͘,tiam3kha1tsa1boo2,tiam3kha1cha1boo2
tiû-tû-tùn-tenn,躊躇頓蹬,12,tiû-tû-tùn-teⁿ,tiu5tu5tun3tenn1,tiu5tu5tun3tenn1
sin-sim-tsiòng-gāi,身心障礙,12,sin-sim-chiòng-gāi,sin1sim1tsiong3gai7,sin1sim1chiong3gai7
sin-khóo-pēnn-thiànn,身苦病疼,12,sin-khó͘-pēⁿ-thiàⁿ,sin1khoo2penn7thiann3,sin1khoo2penn7thiann3
sin-tn̂g-miā-té,身長命短,12,sin-tn̂g-miā-té,sin1tng5mia7te2,sin1tng5mia7te2
sin-thé-kiān-khong,身體健康,12,sin-thé-kiān-khong,sin1the2kian7khong1,sin1the2kian7khong1
sin-thé-ióng-kiānn,身體勇件,12,sin-thé-ióng-kiāⁿ,sin1the2iong2kiann7,sin1the2iong2kiann7
sin-thé-kok-iūnn,身體各樣,12,sin-thé-kok-iūⁿ,sin1the2kok4iunn7,sin1the2kok4iunn7
lò-iâ-é-iâ,躼爺矮爺,12,lò-iâ-é-iâ,lo3ia5e2ia5,lo3ia5e2ia5
nuì-huat-lu̍t-phāng,軁法律縫,12,nùi-hoat-lu̍t-phāng,nui3huat4lut8phang7,nui3hoat4lut8phang7
nǹg-huat-lu̍t-phāng,軁法律縫,12,nǹg-hoat-lu̍t-phāng,nng3huat4lut8phang7,nng3hoat4lut8phang7
tshia-puann-iô-iô,車搬搖搖,12,chhia-poaⁿ-iô-iô,tshia1puann1io5io5,chhia1poann1io5io5
tshia-thang-kòng-thuî,車窗摃槌,12,chhia-thang-kòng-thûi,tshia1thang1kong3thui5,chhia1thang1kong3thui5
tshia-lián-kî-á,車輪旗仔,12,chhia-lián-kî-á,tshia1lian2ki5a2,chhia1lian2ki5a2
tshia-lián-kóng-piánn,車輪管餅,12,chhia-lián-kóng-piáⁿ,tshia1lian2kong2piann2,chhia1lian2kong2piann2
