hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone
級進,kip-tsìn,25,kip-chìn,kip4tsin3,kip4chin3,kiptsin,kipchin
素描,sòo-biâu,25,sò͘-biâu,soo3biau5,soo3biau5,soobiau,soobiau
素描,sòo-biô,25,sò͘-biô,soo3bio5,soo3bio5,soobio,soobio
累加,luí-ka,25,lúi-ka,lui2ka1,lui2ka1,luika,luika
終邊,tsiong-pinn,25,chiong-piⁿ,tsiong1pinn1,chiong1pinn1,tsiongpinn,chiongpinn
絃仔,hiân-á,25,hiân-á,hian5a2,hian5a2,hiana,hiana
組曲,tsoo-khik,25,cho͘-khek,tsoo1khik4,choo1khek4,tsookhik,chookhek
結冰,kiat-ping,25,kiat-peng,kiat4ping1,kiat4peng1,kiatping,kiatpeng
結盟,kiat-bîng,25,kiat-bêng,kiat4bing5,kiat4beng5,kiatbing,kiatbeng
結社,kiat-siā,25,kiat-siā,kiat4sia7,kiat4sia7,kiatsia,kiatsia
結莓,kiat-m̂,25,kiat-m̂,kiat4m5,kiat4m5,kiatm,kiatm
結霜,kiat-sng,25,kiat-sng,kiat4sng1,kiat4sng1,kiatsng,kiatsng
絕句,tsua̍t-kù,25,choa̍t-kù,tsuat8ku3,choat8ku3,tsuatku,choatku
絕種,tse̍h-tsíng,25,che̍h-chéng,tseh8tsing2,cheh8cheng2,tsehtsing,chehcheng
絕緣,tsua̍t-iân,25,choa̍t-iân,tsuat8ian5,choat8ian5,tsuatian,choatian
絲綢,si-tiû,25,si-tiû,si1tiu5,si1tiu5,sitiu,sitiu
綠肥,li̍k-puî,25,le̍k-pûi,lik8pui5,lek8pui5,likpui,lekpui
網球,bāng-kiû,25,bāng-kiû,bang7kiu5,bang7kiu5,bangkiu,bangkiu
緊慢,kín-bān,25,kín-bān,kin2ban7,kin2ban7,kinban,kinban
線圈,suànn-khuan,25,sòaⁿ-khoan,suann3khuan1,soann3khoan1,suannkhuan,soannkhoan
線尾,suànn-bué,25,sòaⁿ-bóe,suann3bue2,soann3boe2,suannbue,soannboe
線條,suànn-tiâu,25,sòaⁿ-tiâu,suann3tiau5,soann3tiau5,suanntiau,soanntiau
線蜷,suànn-khûn,25,sòaⁿ-khûn,suann3khun5,soann3khun5,suannkhun,soannkhun
線間,suànn-kan,25,sòaⁿ-kan,suann3kan1,soann3kan1,suannkan,soannkan
緯度,uī-tōo,25,ūi-tō͘,ui7too7,ui7too7,uitoo,uitoo
緯線,uī-suànn,25,ūi-sòaⁿ,ui7suann3,ui7soann3,uisuann,uisoann
縛跤,pa̍k-kha,25,pa̍k-kha,pak8kha1,pak8kha1,pakkha,pakkha
縣長,kuān-tiúnn,25,koān-tiúⁿ,kuan7tiunn2,koan7tiunn2,kuantiunn,koantiunn
縮圖,sok-tôo,25,sok-tô͘,sok4too5,sok4too5,soktoo,soktoo
縮寫,sok-siá,25,sok-siá,sok4sia2,sok4sia2,soksia,soksia
縱軸,tshiong-ti̍k,25,chhiong-te̍k,tshiong1tik8,chhiong1tek8,tshiongtik,chhiongtek
繁衍,huân-ián,25,hoân-ián,huan5ian2,hoan5ian2,huanian,hoanian
繪本,huē-pún,25,hōe-pún,hue7pun2,hoe7pun2,huepun,hoepun
罰球,hua̍t-kiû,25,hoa̍t-kiû,huat8kiu5,hoat8kiu5,huatkiu,hoatkiu
羅經,lô-kenn,25,lô-keⁿ,lo5kenn1,lo5kenn1,lokenn,lokenn
羅針,lô-tsiam,25,lô-chiam,lo5tsiam1,lo5chiam1,lotsiam,lochiam
義賣,gī-bē,25,gī-bē,gi7be7,gi7be7,gibe,gibe
羽化,ú-huà,25,ú-hòa,u2hua3,u2hoa3,uhua,uhoa
羽毛,ú-môo,25,ú-mô͘,u2moo5,u2moo5,umoo,umoo
習性,si̍p-sìng,25,si̍p-sèng,sip8sing3,sip8seng3,sipsing,sipseng
老化,nóo-huà,25,nó͘-hòa,noo2hua3,noo2hoa3,noohua,noohoa
老大,lāu-tuā,25,lāu-tōa,lau7tua7,lau7toa7,lautua,lautoa
耆老,kî-ló,25,kî-ló,ki5lo2,ki5lo2,kilo,kilo
耐力,nāi-li̍k,25,nāi-le̍k,nai7lik8,nai7lek8,nailik,nailek
耳鏡,hīnn-kiànn,25,hīⁿ-kiàⁿ,hinn7kiann3,hinn7kiann3,hinnkiann,hinnkiann
耶穌,iâ-soo,25,iâ-so͘,ia5soo1,ia5soo1,iasoo,iasoo
耽字,tânn-jī,25,tâⁿ-jī,tann5ji7,tann5ji7,tannji,tannji
聖火,sìng-hué,25,sèng-hóe,sing3hue2,seng3hoe2,singhue,senghoe
聚落,tsū-lo̍h,25,chū-lo̍h,tsu7loh8,chu7loh8,tsuloh,chuloh
聚落,tsū-lo̍k,25,chū-lo̍k,tsu7lok8,chu7lok8,tsulok,chulok
聯對,liân-tuì,25,liân-tùi,lian5tui3,lian5tui3,liantui,liantui
聲符,siann-hû,25,siaⁿ-hû,siann1hu5,siann1hu5,siannhu,siannhu
聲部,siann-pōo,25,siaⁿ-pō͘,siann1poo7,siann1poo7,siannpoo,siannpoo
聽覺,thiann-kak,25,thiaⁿ-kak,thiann1kak4,thiann1kak4,thiannkak,thiannkak
肉色,bah-sik,25,bah-sek,bah4sik4,bah4sek4,bahsik,bahsek
肌力,ki-li̍k,25,ki-le̍k,ki1lik8,ki1lek8,kilik,kilek
肌群,ki-kûn,25,ki-kûn,ki1kun5,ki1kun5,kikun,kikun
肝炎,kuann-iām,25,koaⁿ-iām,kuann1iam7,koann1iam7,kuanniam,koanniam
肝癌,kuann-gâm,25,koaⁿ-gâm,kuann1gam5,koann1gam5,kuanngam,koanngam
肢體,ki-thé,25,ki-thé,ki1the2,ki1the2,kithe,kithe
肥料,puî-liāu,25,pûi-liāu,pui5liau7,pui5liau7,puiliau,puiliau
育幼,io̍k-iù,25,io̍k-iù,iok8iu3,iok8iu3,iokiu,iokiu
肺泡,hì-phàu,25,hì-phàu,hi3phau3,hi3phau3,hiphau,hiphau
肺癌,hì-gâm,25,hì-gâm,hi3gam5,hi3gam5,higam,higam
肺臟,hì-tsōng,25,hì-chōng,hi3tsong7,hi3chong7,hitsong,hichong
胃酸,uī-sng,25,ūi-sng,ui7sng1,ui7sng1,uisng,uisng
背冊,puē-tsheh,25,pōe-chheh,pue7tsheh4,poe7chheh4,puetsheh,poechheh
背鰭,puē-kî,25,pōe-kî,pue7ki5,poe7ki5,pueki,poeki
胎生,thai-sing,25,thai-seng,thai1sing1,thai1seng1,thaising,thaiseng
