hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,khpoo,is_variant
檭,gûn,50,gûn,gun5,gun5,gun,gun,,,True,False
櫎,hōng,50,hōng,hong7,hong7,hong,hong,,,True,False
櫎,hǒng,50,hǒng,hong6,hong6,hong,hong,,,True,False
櫎,kòng,50,kòng,kong3,kong3,kong,kong,,,True,False
櫚,lîr,50,lîr,lir5,lir5,lir,lir,,,True,False
櫡,tīr,50,tīr,tir7,tir7,tir,tir,,,True,False
櫧,tsir,50,chir,tsir1,chir1,tsir,chir,,,True,False
櫫,tir,50,tir,tir1,tir1,tir,tir,,,True,False
櫫,tu,50,tu,tu1,tu1,tu,tu,,,True,False
櫲,īr,50,īr,ir7,ir7,ir,ir,,,True,False
櫲,ū,50,ū,u7,u7,u,u,,,True,False
櫸,kír,50,kír,kir2,kir2,kir,kir,,,True,False
欅,kír,50,kír,kir2,kir2,kir,kir,,,True,False
欅,kú,50,kú,ku2,ku2,ku,ku,,,True,False
欣,herm,50,herm,herm1,herm1,herm,herm,,,True,False
歆,herm,50,herm,herm1,herm1,herm,herm,,,True,False
歔,hir,50,hir,hir1,hir1,hir,hir,,,True,False
歟,îr,50,îr,ir5,ir5,ir,ir,,,True,False
歟,û,50,û,u5,u5,u,u,,,True,False
歠,tsheh,50,chheh,tsheh4,chheh4,tsheh,chheh,,,True,False
歠,tsherh,50,chherh,tsherh4,chherh4,tsherh,chherh,,,True,False
此,tshír,50,chhír,tshir2,chhir2,tshir,chhir,,,True,False
歫,kīr,50,kīr,kir7,kir7,kir,kir,,,True,False
歫,kū,50,kū,ku7,ku7,ku,ku,,,True,False
歫,kǐr,50,kǐr,kir6,kir6,kir,kir,,,True,False
歬,tsirînn,50,chîriⁿ,tsirinn5,chirinn5,tsirinn,chirinn,,,True,False
歬,tsiân,50,chiân,tsian5,chian5,tsian,chian,,,True,False
歬,tsuînn,50,chûiⁿ,tsuinn5,chuinn5,tsuinn,chuinn,,,True,False
歬,tsâinn,50,châiⁿ,tsainn5,chainn5,tsainn,chainn,,,True,False
歬,tsân,50,chân,tsan5,chan5,tsan,chan,,,True,False
歬,tsîng,50,chêng,tsing5,cheng5,tsing,cheng,,,True,False
歭,tî,50,tî,ti5,ti5,ti,ti,,,True,False
歭,tī,50,tī,ti7,ti7,ti,ti,,,True,False
歭,tǐ,50,tǐ,ti6,ti6,ti,ti,,,True,False
歳,hèr,50,hèr,her3,her3,her,her,,,True,False
死,sír,50,sír,sir2,sir2,sir,sir,,,True,False
殄,tiān,50,tiān,tian7,tian7,tian,tian,,,True,False
殄,tiǎn,50,tiǎn,tian6,tian6,tian,tian,,,True,False
殆,tǎi,50,tǎi,tai6,tai6,tai,tai,,,True,False
殍,piān,50,piān,pian7,pian7,pian,pian,,,True,False
殍,piǎn,50,piǎn,pian6,pian6,pian,pian,,,True,False
殷,irn,50,irn,irn1,irn1,irn,irn,,,True,False
殿,tirīnn,50,tīriⁿ,tirinn7,tirinn7,tirinn,tirinn,,,True,False
殿,tuīnn,50,tūiⁿ,tuinn7,tuinn7,tuinn,tuinn,,,True,False
氂,môo,50,mô͘,moo5,moo5,moo,moo,,,True,False
氏,sǐ,50,sǐ,si6,si6,si,si,,,True,False
氕,phiat,50,phiat,phiat4,phiat4,phiat,phiat,,,True,False
氖,nái,50,nái,nai2,nai2,nai,nai,,,True,False
氘,to,50,to,to1,to1,to,to,,,True,False
氙,sian,50,sian,sian1,sian1,sian,sian,,,True,False
氚,tshuan,50,chhoan,tshuan1,chhoan1,tshuan,chhoan,,,True,False
氟,hut,50,hut,hut4,hut4,hut,hut,,,True,False
氡,tong,50,tong,tong1,tong1,tong,tong,,,True,False
氦,hāi,50,hāi,hai7,hai7,hai,hai,,,True,False
氦,hǎi,50,hǎi,hai6,hai6,hai,hai,,,True,False
氨,an,50,an,an1,an1,an,an,,,True,False
氪,khik,50,khek,khik4,khek4,khik,khek,,,True,False
氫,khin,50,khin,khin1,khin1,khin,khin,,,True,False
氫,khing,50,kheng,khing1,kheng1,khing,kheng,,,True,False
氬,à,50,à,a3,a3,a,a,,,True,False
氮,tǎm,50,tǎm,tam6,tam6,tam,tam,,,True,False
氯,lio̍k,50,lio̍k,liok8,liok8,liok,liok,,,True,False
氰,tshing,50,chheng,tshing1,chheng1,tshing,chheng,,,True,False
氵,suí,50,súi,sui2,sui2,sui,sui,,,True,False
氵,tsuí,50,chúi,tsui2,chui2,tsui,chui,,,True,False
汜,sīr,50,sīr,sir7,sir7,sir,sir,,,True,False
汜,sǐr,50,sǐr,sir6,sir6,sir,sir,,,True,False
汝,lír,50,lír,lir2,lir2,lir,lir,,,True,False
汞,hǒng,50,hǒng,hong6,hong6,hong,hong,,,True,False
汿,sīr,50,sīr,sir7,sir7,sir,sir,,,True,False
汿,sū,50,sū,su7,su7,su,su,,,True,False
汿,sǐr,50,sǐr,sir6,sir6,sir,sir,,,True,False
沀,sīr,50,sīr,sir7,sir7,sir,sir,,,True,False
沀,sū,50,sū,su7,su7,su,su,,,True,False
沀,sǐr,50,sǐr,sir6,sir6,sir,sir,,,True,False
沆,hōng,50,hōng,hong7,hong7,hong,hong,,,True,False
沆,hǒng,50,hǒng,hong6,hong6,hong,hong,,,True,False
沌,tǔn,50,tǔn,tun6,tun6,tun,tun,,,True,False
沙,see,50,see,see1,see1,see,see,,,True,False
沙,sie,50,sie,sie1,sie1,sie,sie,,,True,False
沝,tsuí,50,chúi,tsui2,chui2,tsui,chui,,,True,False
沮,tsir,50,chir,tsir1,chir1,tsir,chir,,,True,False
沮,tsìr,50,chìr,tsir3,chir3,tsir,chir,,,True,False
沮,tsù,50,chù,tsu3,chu3,tsu,chu,,,True,False
沮,tsīr,50,chīr,tsir7,chir7,tsir,chir,,,True,False
沮,tsū,50,chū,tsu7,chu7,tsu,chu,,,True,False
沮,tsǐr,50,chǐr,tsir6,chir6,tsir,chir,,,True,False
治,tǐ,50,tǐ,ti6,ti6,ti,ti,,,True,False
泀,sir,50,sir,sir1,sir1,sir,sir,,,True,False
泀,su,50,su,su1,su1,su,su,,,True,False
泗,sìr,50,sìr,sir3,sir3,sir,sir,,,True,False
泚,tshír,50,chhír,tshir2,chhir2,tshir,chhir,,,True,False
泚,tsír,50,chír,tsir2,chir2,tsir,chir,,,True,False
泚,tsú,50,chú,tsu2,chu2,tsu,chu,,,True,False
泛,huàng,50,hoàng,huang3,hoang3,huang,hoang,,,True,False
泜,tsi,50,chi,tsi1,chi1,tsi,chi,,,True,False
泜,tī,50,tī,ti7,ti7,ti,ti,,,True,False
泜,tǐ,50,tǐ,ti6,ti6,ti,ti,,,True,False
泞,tīr,50,tīr,tir7,tir7,tir,tir,,,True,False
泞,tū,50,tū,tu7,tu7,tu,tu,,,True,False
泞,tǐr,50,tǐr,tir6,tir6,tir,tir,,,True,False
泤,sīr,50,sīr,sir7,sir7,sir,sir,,,True,False
泤,sū,50,sū,su7,su7,su,su,,,True,False
泤,sǐr,50,sǐr,sir6,sir6,sir,sir,,,True,False
泫,hiān,50,hiān,hian7,hian7,hian,hian,,,True,False
泫,hiǎn,50,hiǎn,hian6,hian6,hian,hian,,,True,False
泿,gîrn,50,gîrn,girn5,girn5,girn,girn,,,True,False
泿,gûn,50,gûn,gun5,gun5,gun,gun,,,True,False
洍,sīr,50,sīr,sir7,sir7,sir,sir,,,True,False
洍,sū,50,sū,su7,su7,su,su,,,True,False
洍,sǐr,50,sǐr,sir6,sir6,sir,sir,,,True,False
洒,sèe,50,sèe,see3,see3,see,see,,,True,False
洰,kīr,50,kīr,kir7,kir7,kir,kir,,,True,False
洰,kū,50,kū,ku7,ku7,ku,ku,,,True,False
洰,kǐr,50,kǐr,kir6,kir6,kir,kir,,,True,False
洳,jīr,50,jīr,jir7,jir7,jir,jir,,,True,False
洳,līr,50,līr,lir7,lir7,lir,lir,,,True,False
洳,lū,50,lū,lu7,lu7,lu,lu,,,True,False
洸,hōng,50,hōng,hong7,hong7,hong,hong,,,True,False
洸,hǒng,50,hǒng,hong6,hong6,hong,hong,,,True,False
浣,uǎn,50,oǎn,uan6,oan6,uan,oan,,,True,False
浩,hǒ,50,hǒ,ho6,ho6,ho,ho,,,True,False
涁,sèrm,50,sèrm,serm3,serm3,serm,serm,,,True,False
涁,sìm,50,sìm,sim3,sim3,sim,sim,,,True,False
涂,tîr,50,tîr,tir5,tir5,tir,tir,,,True,False
涂,tû,50,tû,tu5,tu5,tu,tu,,,True,False
涗,sèr,50,sèr,ser3,ser3,ser,ser,,,True,False
涘,sīr,50,sīr,sir7,sir7,sir,sir,,,True,False
涘,sǐr,50,sǐr,sir6,sir6,sir,sir,,,True,False
涬,hīng,50,hēng,hing7,heng7,hing,heng,,,True,False
涬,hǐng,50,hěng,hing6,heng6,hing,heng,,,True,False
涭,siū,50,siū,siu7,siu7,siu,siu,,,True,False
涭,siǔ,50,siǔ,siu6,siu6,siu,siu,,,True,False
涺,kir,50,kir,kir1,kir1,kir,kir,,,True,False
淄,tsir,50,chir,tsir1,chir1,tsir,chir,,,True,False
淊,hām,50,hām,ham7,ham7,ham,ham,,,True,False
淊,hǎm,50,hǎm,ham6,ham6,ham,ham,,,True,False
淏,hǒ,50,hǒ,ho6,ho6,ho,ho,,,True,False
淡,tǎm,50,tǎm,tam6,tam6,tam,tam,,,True,False
淡,tǎnn,50,tǎⁿ,tann6,tann6,tann,tann,,,True,False
淤,ir,50,ir,ir1,ir1,ir,ir,,,True,False
淭,kîr,50,kîr,kir5,kir5,kir,kir,,,True,False
淭,kû,50,kû,ku5,ku5,ku,ku,,,True,False
混,hǔn,50,hǔn,hun6,hun6,hun,hun,,,True,False
清,tshirinn,50,chhiriⁿ,tshirinn1,chhirinn1,tshirinn,chhirinn,,,True,False
渚,tsír,50,chír,tsir2,chir2,tsir,chir,,,True,False
渠,kîr,50,kîr,kir5,kir5,kir,kir,,,True,False
渦,e,50,e,e1,e1,e,e,,,True,False
渦,er,50,er,er1,er1,er,er,,,True,False
渾,hǔn,50,hǔn,hun6,hun6,hun,hun,,,True,False
湀,kuí,50,kúi,kui2,kui2,kui,kui,,,True,False
湀,kuī,50,kūi,kui7,kui7,kui,kui,,,True,False
湀,kuǐ,50,kǔi,kui6,kui6,kui,kui,,,True,False
湑,sir,50,sir,sir1,sir1,sir,sir,,,True,False
湑,sír,50,sír,sir2,sir2,sir,sir,,,True,False
湛,tǎm,50,tǎm,tam6,tam6,tam,tam,,,True,False
溆,sīr,50,sīr,sir7,sir7,sir,sir,,,True,False
溆,sū,50,sū,su7,su7,su,su,,,True,False
溆,sǐr,50,sǐr,sir6,sir6,sir,sir,,,True,False
溮,sir,50,sir,sir1,sir1,sir,sir,,,True,False
溵,irn,50,irn,irn1,irn1,irn,irn,,,True,False
溵,un,50,un,un1,un1,un,un,,,True,False
溾,huē,50,hōe,hue7,hoe7,hue,hoe,,,True,False
溾,huě,50,hǒe,hue6,hoe6,hue,hoe,,,True,False
滁,tîr,50,tîr,tir5,tir5,tir,tir,,,True,False
滈,hǒ,50,hǒ,ho6,ho6,ho,ho,,,True,False
滉,hōng,50,hōng,hong7,hong7,hong,hong,,,True,False
滉,hǒng,50,hǒng,hong6,hong6,hong,hong,,,True,False
滋,tsir,50,chir,tsir1,chir1,tsir,chir,,,True,False
滍,tī,50,tī,ti7,ti7,ti,ti,,,True,False
滍,tǐ,50,tǐ,ti6,ti6,ti,ti,,,True,False
滓,tsír,50,chír,tsir2,chir2,tsir,chir,,,True,False
滬,hiō,50,hiō,hio7,hio7,hio,hio,,,True,False
滬,hǒo,50,hǒ͘,hoo6,hoo6,hoo,hoo,,,True,False
滰,kiōng,50,kiōng,kiong7,kiong7,kiong,kiong,,,True,False
滰,kiǒng,50,kiǒng,kiong6,kiong6,kiong,kiong,,,True,False
滲,serm,50,serm,serm1,serm1,serm,serm,,,True,False
滷,lerē,50,lēre,lere7,lere7,lere,lere,,,True,False
滷,lerě,50,lěre,lere6,lere6,lere,lere,,,True,False
滷,luē,50,lōe,lue7,loe7,lue,loe,,,True,False
滷,luě,50,lǒe,lue6,loe6,lue,loe,,,True,False
滷,lōo,50,lō͘,loo7,loo7,loo,loo,,,True,False
滷,lǒo,50,lǒ͘,loo6,loo6,loo,loo,,,True,False
漁,gîr,50,gîr,gir5,gir5,gir,gir,,,True,False
漁,hîr,50,hîr,hir5,hir5,hir,hir,,,True,False
漬,tsirh,50,chirh,tsirh4,chirh4,tsirh,chirh,,,True,False
漬,tsuh,50,chuh,tsuh4,chuh4,tsuh,chuh,,,True,False
漬,tsìr,50,chìr,tsir3,chir3,tsir,chir,,,True,False
漵,sīr,50,sīr,sir7,sir7,sir,sir,,,True,False
漵,sǐr,50,sǐr,sir6,sir6,sir,sir,,,True,False
漸,tsiǎm,50,chiǎm,tsiam6,chiam6,tsiam,chiam,,,True,False
潒,tōng,50,tōng,tong7,tong7,tong,tong,,,True,False
潒,tǒng,50,tǒng,tong6,tong6,tong,tong,,,True,False
潡,tūn,50,tūn,tun7,tun7,tun,tun,,,True,False
潡,tǔn,50,tǔn,tun6,tun6,tun,tun,,,True,False
潬,siān,50,siān,sian7,sian7,sian,sian,,,True,False
潬,siǎn,50,siǎn,sian6,sian6,sian,sian,,,True,False
潬,tān,50,tān,tan7,tan7,tan,tan,,,True,False
潬,tǎn,50,tǎn,tan6,tan6,tan,tan,,,True,False
澋,hīng,50,hēng,hing7,heng7,hing,heng,,,True,False
澋,hǐng,50,hěng,hing6,heng6,hing,heng,,,True,False
澌,sir,50,sir,sir1,sir1,sir,sir,,,True,False
澔,hǒ,50,hǒ,ho6,ho6,ho,ho,,,True,False
澥,hǎi,50,hǎi,hai6,hai6,hai,hai,,,True,False
澦,īr,50,īr,ir7,ir7,ir,ir,,,True,False
澦,ū,50,ū,u7,u7,u,u,,,True,False
澬,tsir,50,chir,tsir1,chir1,tsir,chir,,,True,False
澬,tsîr,50,chîr,tsir5,chir5,tsir,chir,,,True,False
澬,tsû,50,chû,tsu5,chu5,tsu,chu,,,True,False
澸,tām,50,tām,tam7,tam7,tam,tam,,,True,False
澸,tǎm,50,tǎm,tam6,tam6,tam,tam,,,True,False
澹,tǎm,50,tǎm,tam6,tam6,tam,tam,,,True,False
澽,kìr,50,kìr,kir3,kir3,kir,kir,,,True,False
澽,kù,50,kù,ku3,ku3,ku,ku,,,True,False
澽,kīr,50,kīr,kir7,kir7,kir,kir,,,True,False
澽,kū,50,kū,ku7,ku7,ku,ku,,,True,False
濜,tsǐn,50,chǐn,tsin6,chin6,tsin,chin,,,True,False
濨,tsîr,50,chîr,tsir5,chir5,tsir,chir,,,True,False
濨,tsû,50,chû,tsu5,chu5,tsu,chu,,,True,False
濾,līr,50,līr,lir7,lir7,lir,lir,,,True,False
瀃,sìr,50,sìr,sir3,sir3,sir,sir,,,True,False
瀃,sù,50,sù,su3,su3,su,su,,,True,False
瀦,tir,50,tir,tir1,tir1,tir,tir,,,True,False
瀦,tu,50,tu,tu1,tu1,tu,tu,,,True,False
灝,hǒ,50,hǒ,ho6,ho6,ho,ho,,,True,False
灬,hué,50,hóe,hue2,hoe2,hue,hoe,,,True,False
灬,hé,50,hé,he2,he2,he,he,,,True,False
灬,hér,50,hér,her2,her2,her,her,,,True,False
灬,hónn,50,hóⁿ,honn2,honn2,honn,honn,,,True,False
灮,kng,50,kng,kng1,kng1,kng,kng,,,True,False
灮,kong,50,kong,kong1,kong1,kong,kong,,,True,False
灮,kuinn,50,kuiⁿ,kuinn1,kuinn1,kuinn,kuinn,,,True,False
灾,tsai,50,chai,tsai1,chai1,tsai,chai,,,True,False
灾,tse,50,che,tse1,che1,tse,che,,,True,False
灾,tser,50,cher,tser1,cher1,tser,cher,,,True,False
炘,herm,50,herm,herm1,herm1,herm,herm,,,True,False
炬,kīr,50,kīr,kir7,kir7,kir,kir,,,True,False
炬,kǐr,50,kǐr,kir6,kir6,kir,kir,,,True,False
烏,io,50,io,io1,io1,io,io,,,True,False
烘,hǒng,50,hǒng,hong6,hong6,hong,hong,,,True,False
烯,hi,50,hi,hi1,hi1,hi,hi,,,True,False
烴,kíng,50,kéng,king2,keng2,king,keng,,,True,False
焜,hǔn,50,hǔn,hun6,hun6,hun,hun,,,True,False
無,môo,50,mô͘,moo5,moo5,moo,moo,,,True,False
焣,tsū,50,chū,tsu7,chu7,tsu,chu,,,True,False
焣,tsǔ,50,chǔ,tsu6,chu6,tsu,chu,,,True,False
焮,herm,50,herm,herm1,herm1,herm,herm,,,True,False
煑,tsír,50,chír,tsir2,chir2,tsir,chir,,,True,False
煑,tsú,50,chú,tsu2,chu2,tsu,chu,,,True,False
煾,irn,50,irn,irn1,irn1,irn,irn,,,True,False
熩,hōo,50,hō͘,hoo7,hoo7,hoo,hoo,,,True,False
熩,hǒo,50,hǒ͘,hoo6,hoo6,hoo,hoo,,,True,False
燍,sir,50,sir,sir1,sir1,sir,sir,,,True,False
燍,su,50,su,su1,su1,su,su,,,True,False
燼,tsǐn,50,chǐn,tsin6,chin6,tsin,chin,,,True,False
爈,lîr,50,lîr,lir5,lir5,lir,lir,,,True,False
爈,lû,50,lû,lu5,lu5,lu,lu,,,True,False
爈,līr,50,līr,lir7,lir7,lir,lir,,,True,False
爈,lū,50,lū,lu7,lu7,lu,lu,,,True,False
爫,jiáu,50,jiáu,jiau2,jiau2,jiau,jiau,,,True,False
爫,liáu,50,liáu,liau2,liau2,liau,liau,,,True,False
爬,pêe,50,pêe,pee5,pee5,pee,pee,,,True,False
父,hǔ,50,hǔ,hu6,hu6,hu,hu,,,True,False
爸,pēe,50,pēe,pee7,pee7,pee,pee,,,True,False
爾,niǎ,50,niǎ,nia6,nia6,nia,nia,,,True,False
爾,nā,50,nā,na7,na7,na,na,,,True,True
爾,nǎ,50,nǎ,na6,na6,na,na,,,True,False
爿,pirînn,50,pîriⁿ,pirinn5,pirinn5,pirinn,pirinn,,,True,False
爿,puînn,50,pûiⁿ,puinn5,puinn5,puinn,puinn,,,True,False
爿,pâinn,50,pâiⁿ,painn5,painn5,painn,painn,,,True,False
爿,pân,50,pân,pan5,pan5,pan,pan,,,True,False
牙,gêe,50,gêe,gee5,gee5,gee,gee,,,True,False
牝,pǐn,50,pǐn,pin6,pin6,pin,pin,,,True,False
牟,biô,50,biô,bio5,bio5,bio,bio,,,True,False
牭,sìr,50,sìr,sir3,sir3,sir,sir,,,True,False
牭,sù,50,sù,su3,su3,su,su,,,True,False
牸,lū,50,lū,lu7,lu7,lu,lu,,,True,False
牸,tsīr,50,chīr,tsir7,chir7,tsir,chir,,,True,False
牸,tsū,50,chū,tsu7,chu7,tsu,chu,,,True,False
犃,piō,50,piō,pio7,pio7,pio,pio,,,True,False
犃,piǒ,50,piǒ,pio6,pio6,pio,pio,,,True,False
犛,bâu,50,bâu,bau5,bau5,bau,bau,,,True,False
犛,môo,50,mô͘,moo5,moo5,moo,moo,,,True,False
犭,khián,50,khián,khian2,khian2,khian,khian,,,True,False
犾,gîrn,50,gîrn,girn5,girn5,girn,girn,,,True,False
犾,gûn,50,gûn,gun5,gun5,gun,gun,,,True,False
狙,tshir,50,chhir,tshir1,chhir1,tshir,chhir,,,True,False
狙,tshu,50,chhu,tshu1,chhu1,tshu,chhu,,,True,False
狠,hírn,50,hírn,hirn2,hirn2,hirn,hirn,,,True,False
狣,tiāu,50,tiāu,tiau7,tiau7,tiau,tiau,,,True,False
狣,tiǎu,50,tiǎu,tiau6,tiau6,tiau,tiau,,,True,False
狳,îr,50,îr,ir5,ir5,ir,ir,,,True,False
狳,û,50,û,u5,u5,u,u,,,True,False
狴,pě,50,pě,pe6,pe6,pe,pe,,,True,False
狺,gîrn,50,gîrn,girn5,girn5,girn,girn,,,True,False
猌,gīrn,50,gīrn,girn7,girn7,girn,girn,,,True,False
猌,gūn,50,gūn,gun7,gun7,gun,gun,,,True,False
猛,mí,50,mí,mi2,mi2,mi,mi,,,True,False
猥,ué,50,óe,ue2,oe2,ue,oe,,,True,False
獅,sir,50,sir,sir1,sir1,sir,sir,,,True,False
獖,hūn,50,hūn,hun7,hun7,hun,hun,,,True,False
獖,hǔn,50,hǔn,hun6,hun6,hun,hun,,,True,False
獖,pūn,50,pūn,pun7,pun7,pun,pun,,,True,False
獖,pǔn,50,pǔn,pun6,pun6,pun,pun,,,True,False
獬,hǎi,50,hǎi,hai6,hai6,hai,hai,,,True,False
玆,tsir,50,chir,tsir1,chir1,tsir,chir,,,True,False
玆,tsu,50,chu,tsu1,chu1,tsu,chu,,,True,False
玆,tsîr,50,chîr,tsir5,chir5,tsir,chir,,,True,False
玆,tsû,50,chû,tsu5,chu5,tsu,chu,,,True,False
玤,pǎng,50,pǎng,pang6,pang6,pang,pang,,,True,False
玼,tshir,50,chhir,tshir1,chhir1,tshir,chhir,,,True,False
玼,tshu,50,chhu,tshu1,chhu1,tshu,chhu,,,True,False
玼,tshír,50,chhír,tshir2,chhir2,tshir,chhir,,,True,False
玼,tshú,50,chhú,tshu2,chhu2,tshu,chhu,,,True,False
珁,tsîr,50,chîr,tsir5,chir5,tsir,chir,,,True,False
珁,tsû,50,chû,tsu5,chu5,tsu,chu,,,True,False
珢,gûn,50,gûn,gun5,gun5,gun,gun,,,True,False
珢,kirn,50,kirn,kirn1,kirn1,kirn,kirn,,,True,False
珢,kun,50,kun,kun1,kun1,kun,kun,,,True,False
珢,kìrn,50,kìrn,kirn3,kirn3,kirn,kirn,,,True,False
珢,kùn,50,kùn,kun3,kun3,kun,kun,,,True,False
琄,hiān,50,hiān,hian7,hian7,hian,hian,,,True,False
琄,hiǎn,50,hiǎn,hian6,hian6,hian,hian,,,True,False
琚,kir,50,kir,kir1,kir1,kir,kir,,,True,False
琲,puě,50,pǒe,pue6,poe6,pue,poe,,,True,False
瑊,tserm,50,cherm,tserm1,cherm1,tserm,cherm,,,True,False
瑡,sir,50,sir,sir1,sir1,sir,sir,,,True,False
瑡,su,50,su,su1,su1,su,su,,,True,False
瑹,sir,50,sir,sir1,sir1,sir,sir,,,True,False
璖,kîr,50,kîr,kir5,kir5,kir,kir,,,True,False
璖,kû,50,kû,ku5,ku5,ku,ku,,,True,False
璗,tǒng,50,tǒng,tong6,tong6,tong,tong,,,True,False
璩,kîr,50,kîr,kir5,kir5,kir,kir,,,True,False
璩,kû,50,kû,ku5,ku5,ku,ku,,,True,False
璵,îr,50,îr,ir5,ir5,ir,ir,,,True,False
璾,tsē,50,chē,tse7,che7,tse,che,,,True,False
璾,tsě,50,chě,tse6,che6,tse,che,,,True,False
瓷,tsîr,50,chîr,tsir5,chir5,tsir,chir,,,True,False
瓿,phió,50,phió,phio2,phio2,phio,phio,,,True,False
瓿,piō,50,piō,pio7,pio7,pio,pio,,,True,False
瓿,piǒ,50,piǒ,pio6,pio6,pio,pio,,,True,False
甆,tsîr,50,chîr,tsir5,chir5,tsir,chir,,,True,False
甆,tsû,50,chû,tsu5,chu5,tsu,chu,,,True,False
甚,sǐm,50,sǐm,sim6,sim6,sim,sim,,,True,False
甭,bóng,50,bóng,bong2,bong2,bong,bong,,,True,False
甾,tsir,50,chir,tsir1,chir1,tsir,chir,,,True,False
界,kerè,50,kère,kere3,kere3,kere,kere,,,True,False
畤,tī,50,tī,ti7,ti7,ti,ti,,,True,False
畤,tǐ,50,tǐ,ti6,ti6,ti,ti,,,True,False
畫,ere̍h,50,e̍reh,ereh8,ereh8,ereh,ereh,,,True,False
畬,îr,50,îr,ir5,ir5,ir,ir,,,True,False
畬,û,50,û,u5,u5,u,u,,,True,False
畭,siâ,50,siâ,sia5,sia5,sia,sia,,,True,False
畭,îr,50,îr,ir5,ir5,ir,ir,,,True,False
畭,û,50,û,u5,u5,u,u,,,True,False
疋,sir,50,sir,sir1,sir1,sir,sir,,,True,False
疋,su,50,su,su1,su1,su,su,,,True,False
疎,sere,50,sere,sere1,sere1,sere,sere,,,True,False
疏,sere,50,sere,sere1,sere1,sere,sere,,,True,False
疒,tshông,50,chhông,tshong5,chhong5,tshong,chhong,,,True,False
疵,tshir,50,chhir,tshir1,chhir1,tshir,chhir,,,True,False
疵,tshu,50,chhu,tshu1,chhu1,tshu,chhu,,,True,False
疽,tshir,50,chhir,tshir1,chhir1,tshir,chhir,,,True,False
疽,tshu,50,chhu,tshu1,chhu1,tshu,chhu,,,True,False
疽,tsir,50,chir,tsir1,chir1,tsir,chir,,,True,False
痕,hîrn,50,hîrn,hirn5,hirn5,hirn,hirn,,,True,False
痚,hee,50,hee,hee1,hee1,hee,hee,,,True,False
痥,thê,50,thê,the5,the5,the,the,,,True,False
痥,thêr,50,thêr,ther5,ther5,ther,ther,,,True,False
瘀,ir,50,ir,ir1,ir1,ir,ir,,,True,False
瘕,ká,50,ká,ka2,ka2,ka,ka,,,True,False
瘕,kée,50,kée,kee2,kee2,kee,kee,,,True,False
瘸,kher,50,kher,kher1,kher1,kher,kher,,,True,False
瘸,khêr,50,khêr,kher5,kher5,kher,kher,,,True,False
癒,lú,50,lú,lu2,lu2,lu,lu,,,True,False
癙,tshír,50,chhír,tshir2,chhir2,tshir,chhir,,,True,False
癶,puat,50,poat,puat4,poat4,puat,poat,,,True,False
白,pe̍eh,50,pe̍eh,peeh8,peeh8,peeh,peeh,,,True,False
百,peeh,50,peeh,peeh4,peeh4,peeh,peeh,,,True,False
皁,tsǒ,50,chǒ,tso6,cho6,tso,cho,,,True,False
皂,tsǒ,50,chǒ,tso6,cho6,tso,cho,,,True,False
的,gê,50,gê,ge5,ge5,ge,ge,,,True,False
皉,tshír,50,chhír,tshir2,chhir2,tshir,chhir,,,True,False
皉,tshú,50,chhú,tshu2,chhu2,tshu,chhu,,,True,False
皓,hǒ,50,hǒ,ho6,ho6,ho,ho,,,True,False
皔,hān,50,hān,han7,han7,han,han,,,True,False
皔,hǎn,50,hǎn,han6,han6,han,han,,,True,False
皜,hō,50,hō,ho7,ho7,ho,ho,,,True,False
皜,hǒ,50,hǒ,ho6,ho6,ho,ho,,,True,False
皝,hōng,50,hōng,hong7,hong7,hong,hong,,,True,False
皝,hǒng,50,hǒng,hong6,hong6,hong,hong,,,True,False
皞,hǒ,50,hǒ,ho6,ho6,ho,ho,,,True,False
皡,hǒ,50,hǒ,ho6,ho6,ho,ho,,,True,False
皩,hōng,50,hōng,hong7,hong7,hong,hong,,,True,False
皩,hǒng,50,hǒng,hong6,hong6,hong,hong,,,True,False
盡,tsǐn,50,chǐn,tsin6,chin6,tsin,chin,,,True,False
盧,liô,50,liô,lio5,lio5,lio,lio,,,True,False
盪,tǒng,50,tǒng,tong6,tong6,tong,tong,,,True,False
相,siǒng,50,siǒng,siong6,siong6,siong,siong,,,True,False
盺,herm,50,herm,herm1,herm1,herm,herm,,,True,False
盻,he,50,he,he1,he1,he,he,,,True,False
盻,her,50,her,her1,her1,her,her,,,True,False
眝,tīr,50,tīr,tir7,tir7,tir,tir,,,True,False
眝,tū,50,tū,tu7,tu7,tu,tu,,,True,False
眝,tǐr,50,tǐr,tir6,tir6,tir,tir,,,True,False
眥,tshîr,50,chhîr,tshir5,chhir5,tshir,chhir,,,True,False
眥,tsīr,50,chīr,tsir7,chir7,tsir,chir,,,True,False
眥,tsū,50,chū,tsu7,chu7,tsu,chu,,,True,False
眦,tshîr,50,chhîr,tshir5,chhir5,tshir,chhir,,,True,False
眦,tsīr,50,chīr,tsir7,chir7,tsir,chir,,,True,False
眦,tsū,50,chū,tsu7,chu7,tsu,chu,,,True,False
眹,tīn,50,tīn,tin7,tin7,tin,tin,,,True,False
眹,tǐn,50,tǐn,tin6,tin6,tin,tin,,,True,False
眼,ngirí,50,ngíri,ngiri2,ngiri2,ngiri,ngiri,,,True,False
眼,nguí,50,ngúi,ngui2,ngui2,ngui,ngui,,,True,False
