tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone
kat-tiānn,結定,25,kat-tiāⁿ,kattiann7,kattiann7,kattiann,kattiann
kiat-si̍t,結實,25,kiat-si̍t,kiatsit8,kiatsit8,kiatsit,kiatsit
kiat-bé,結尾,25,kiat-bé,kiatbe2,kiatbe2,kiatbe,kiatbe
kiat-kio̍k,結局,25,kiat-kio̍k,kiatkiok8,kiatkiok8,kiatkiok,kiatkiok
kiat-uàn,結怨,25,kiat-oàn,kiatuan3,kiatoan3,kiatuan,kiatoan
kiat-tsiânn,結成,25,kiat-chiâⁿ,kiattsiann5,kiatchiann5,kiattsiann,kiatchiann
kiat-pài,結拜,25,kiat-pài,kiatpai3,kiatpai3,kiatpai,kiatpai
kiat-liām,結捻,25,kiat-liām,kiatliam7,kiatliam7,kiatliam,kiatliam
kiat-tsinn,結晶,25,kiat-chiⁿ,kiattsinn,kiatchinn,kiattsinn,kiatchinn
kiat-sok,結束,25,kiat-sok,kiatsok,kiatsok,kiatsok,kiatsok
kiat-kó,結果,25,kiat-kó,kiatko2,kiatko2,kiatko,kiatko
kiat-hu̍t,結核,25,kiat-hu̍t,kiathut8,kiathut8,kiathut,kiathut
kiat-àn,結案,25,kiat-àn,kiatan3,kiatan3,kiatan,kiatan
kat-ki̍k,結極,25,kat-ke̍k,katkik8,katkek8,katkik,katkek
kat-tshîng,結榕,25,kat-chhêng,kattshing5,katchheng5,kattshing,katchheng
kiat-kòo,結構,25,kiat-kò͘,kiatkoo3,kiatkoo3,kiatkoo,kiatkoo
kiat-tsinn,結氈,25,kiat-chiⁿ,kiattsinn,kiatchinn,kiattsinn,kiatchinn
kat-ting,結燈,25,kat-teng,katting,katteng,katting,katteng
kiat-tsn̄g,結狀,25,kiat-chn̄g,kiattsng7,kiatchng7,kiattsng,kiatchng
kiat-liû,結瘤,25,kiat-liû,kiatliu5,kiatliu5,kiatliu,kiatliu
kiat-luî,結癗,25,kiat-lûi,kiatlui5,kiatlui5,kiatlui,kiatlui
