hanzi,tl,frequency,poj,tl_num,poj_num
砂紙,sua-tsuá,25,soa-chóa,sua1tsua2,soa1choa2
硩ㄧ,teh-it,25,teh-it,teh4it4,teh4it4
硩三,teh-sann,25,teh-saⁿ,teh4sann1,teh4sann1
硩二,teh-jī,25,teh-jī,teh4ji7,teh4ji7
硬斜,ngē-tshiâ,25,ngē-chhiâ,nge7tshia5,nge7chhia5
磅仔,pōng-á,25,pōng-á,pong7a2,pong7a2
磅戕,pōng-tshiâng,25,pōng-chhiâng,pong7tshiang5,pong7chhiang5
磨台,buâ-tâi,25,bôa-tâi,bua5tai5,boa5tai5
磨坩,buâ-khann,25,bôa-khaⁿ,bua5khann1,boa5khann1
神椅,sîn-í,25,sîn-í,sin5i2,sin5i2
穗花,sūi-hue,25,sūi-hoe,sui7hue1,sui7hoe1
空透,khang-thàu,25,khang-thàu,khang1thau3,khang1thau3
窯釘,iô-ting,25,iô-teng,io5ting1,io5teng1
立板,li̍p-pán,25,li̍p-pán,lip8pan2,lip8pan2
立體,li̍p-thé,25,li̍p-thé,lip8the2,lip8the2
童子,tông-tsú,25,tông-chú,tong5tsu2,tong5chu2
竹尺,tik-tshioh,25,tek-chhioh,tik4tshioh4,tek4chhioh4
竹扇,tik-sìnn,25,tek-sìⁿ,tik4sinn3,tek4sinn3
竹根,tik-kin,25,tek-kin,tik4kin1,tek4kin1
竹桮,tik-pue,25,tek-poe,tik4pue1,tek4poe1
竹梳,tik-se,25,tek-se,tik4se1,tek4se1
竹籠,tik-láng,25,tek-láng,tik4lang2,tek4lang2
竹編,tik-pinn,25,tek-piⁿ,tik4pinn1,tek4pinn1
竹胎,tik-thai,25,tek-thai,tik4thai1,tek4thai1
竹雕,tik-tiau,25,tek-tiau,tik4tiau1,tek4tiau1
笑鳳,tshiò-hōng,25,chhiò-hōng,tshio3hong7,chhio3hong7
筅仔,tshíng-á,25,chhéng-á,tshing2a2,chheng2a2
筆刀,pit-to,25,pit-to,pit4to1,pit4to1
筆插,pit-tshah,25,pit-chhah,pit4tshah4,pit4chhah4
筆架,pit-kè,25,pit-kè,pit4ke3,pit4ke3
筆桶,pit-tháng,25,pit-tháng,pit4thang2,pit4thang2
筆筒,pit-tâng,25,pit-tâng,pit4tang5,pit4tang5
管頭,kóng-thâu,25,kóng-thâu,kong2thau5,kong2thau5
箸籠,tī-lāng,25,tī-lāng,ti7lang7,ti7lang7
簽仔,tshiam-á,25,chhiam-á,tshiam1a2,chhiam1a2
籤筒,tshiam-tâng,25,chhiam-tâng,tshiam1tang5,chhiam1tang5
米紙,bí-tsuá,25,bí-chóa,bi2tsua2,bi2choa2
粉筒,hún-tâng,25,hún-tâng,hun2tang5,hun2tang5
粉面,hún-bīn,25,hún-bīn,hun2bin7,hun2bin7
粗剾,tshoo-khau,25,chho͘-khau,tshoo1khau1,chhoo1khau1
粗胚,tshoo-phue,25,chho͘-phoe,tshoo1phue1,chhoo1phoe1
粗針,tshoo-tsiam,25,chho͘-chiam,tshoo1tsiam1,chhoo1chiam1
粟耙,tshik-pê,25,chhek-pê,tshik4pe5,chhek4pe5
粿印,kué-ìn,25,kóe-ìn,kue2in3,koe2in3
紅花,âng-hue,25,âng-hoe,ang5hue1,ang5hoe1
紙喙,tsuá-tshuì,25,chóa-chhùi,tsua2tshui3,choa2chhui3
紙尺,tsuá-tshioh,25,chóa-chhioh,tsua2tshioh4,choa2chhioh4
紙枋,tsuá-pang,25,chóa-pang,tsua2pang1,choa2pang1
素坯,sòo-phue,25,sò͘-phoe,soo3phue1,soo3phoe1
紩線,thīnn-suànn,25,thīⁿ-sòaⁿ,thinn7suann3,thinn7soann3
紩蒼,thīnn-tshong,25,thīⁿ-chhong,thinn7tshong1,thinn7chhong1
絞車,ká-tshia,25,ká-chhia,ka2tshia1,ka2chhia1
絳衣,kàng-i,25,kàng-i,kang3i1,kang3i1
線屎,suànn-sái,25,sòaⁿ-sái,suann3sai2,soann3sai2
線板,suànn-pán,25,sòaⁿ-pán,suann3pan2,soann3pan2
線眼,suànn-gán,25,sòaⁿ-gán,suann3gan2,soann3gan2
線車,suànn-tshia,25,sòaⁿ-chhia,suann3tshia1,soann3chhia1
線鋸,suànn-kù,25,sòaⁿ-kù,suann3ku3,soann3ku3
緞仔,tuān-á,25,toān-á,tuan7a2,toan7a2
繡剪,siù-tsián,25,siù-chián,siu3tsian2,siu3chian2
繡花,siù-hue,25,siù-hoe,siu3hue1,siu3hoe1
繡規,siù-kui,25,siù-kui,siu3kui1,siu3kui1
