hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone
芟,sainn,50,saiⁿ,sainn1,sainn1,sainn,sainn
芟,sang,50,sang,sang1,sang1,sang,sang
芟,sirinn,50,siriⁿ,sirinn1,sirinn1,sirinn,sirinn
芟,suinn,50,suiⁿ,suinn1,suinn1,suinn,suinn
芡,khiām,50,khiām,khiam7,khiam7,khiam,khiam
芡,khiǎm,50,khiǎm,khiam6,khiam6,khiam,khiam
芥,kèe,50,kèe,kee3,kee3,kee,kee
芦,hōo,50,hō͘,hoo7,hoo7,hoo,hoo
芦,hǒo,50,hǒ͘,hoo6,hoo6,hoo,hoo
芧,sīr,50,sīr,sir7,sir7,sir,sir
芧,sǐr,50,sǐr,sir6,sir6,sir,sir
芧,tīr,50,tīr,tir7,tir7,tir,tir
芧,tū,50,tū,tu7,tu7,tu,tu
芧,tǐr,50,tǐr,tir6,tir6,tir,tir
苣,kīr,50,kīr,kir7,kir7,kir,kir
苣,kǐr,50,kǐr,kir6,kir6,kir,kir
苧,terě,50,těre,tere6,tere6,tere,tere
苧,tuě,50,tǒe,tue6,toe6,tue,toe
苧,tīr,50,tīr,tir7,tir7,tir,tir
苧,tū,50,tū,tu7,tu7,tu,tu
苧,tǐr,50,tǐr,tir6,tir6,tir,tir
苴,tshir,50,chhir,tshir1,chhir1,tshir,chhir
苴,tsir,50,chir,tsir1,chir1,tsir,chir
范,huǎn,50,hoǎn,huan6,hoan6,huan,hoan
茈,tsír,50,chír,tsir2,chir2,tsir,chir
茈,tsú,50,chú,tsu2,chu2,tsu,chu
茛,kìrn,50,kìrn,kirn3,kirn3,kirn,kirn
茨,tsir,50,chir,tsir1,chir1,tsir,chir
茨,tsîr,50,chîr,tsir5,chir5,tsir,chir
茲,tsir,50,chir,tsir1,chir1,tsir,chir
茲,tsîr,50,chîr,tsir5,chir5,tsir,chir
茲,tsû,50,chû,tsu5,chu5,tsu,chu
茶,têe,50,têe,tee5,tee5,tee,tee
茹,jîr,50,jîr,jir5,jir5,jir,jir
茹,lîr,50,lîr,lir5,lir5,lir,lir
荇,hǐng,50,hěng,hing6,heng6,hing,heng
荑,terê,50,têre,tere5,tere5,tere,tere
荑,tuê,50,tôe,tue5,toe5,tue,toe
荑,î,50,î,i5,i5,i,i
荔,liān,50,liān,lian7,lian7,lian,lian
荔,nirī,50,nīri,niri7,niri7,niri,niri
荔,nuī,50,nūi,nui7,nui7,nui,nui
荕,kirn,50,kirn,kirn1,kirn1,kirn,kirn
荕,kun,50,kun,kun1,kun1,kun,kun
荰,tǒo,50,tǒ͘,too6,too6,too,too
荷,hǒ,50,hǒ,ho6,ho6,ho,ho
莇,tīr,50,tīr,tir7,tir7,tir,tir
莇,tū,50,tū,tu7,tu7,tu,tu
莒,kír,50,kír,kir2,kir2,kir,kir
莕,hǐng,50,hěng,hing6,heng6,hing,heng
莖,hirînn,50,hîriⁿ,hirinn5,hirinn5,hirinn,hirinn
莙,kûn,50,kûn,kun5,kun5,kun,kun
莙,kūn,50,kūn,kun7,kun7,kun,kun
莙,kǔn,50,kǔn,kun6,kun6,kun,kun
莢,ngereh,50,ngereh,ngereh4,ngereh4,ngereh,ngereh
莧,hirīnn,50,hīriⁿ,hirinn7,hirinn7,hirinn,hirinn
莧,huīnn,50,hūiⁿ,huinn7,huinn7,huinn,huinn
莩,piān,50,piān,pian7,pian7,pian,pian
