tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,taihoa
tso-kiap,遭劫,25,cho-kiap,tso1kiap1,cho1kiap1,tsokiap,chokiap,tk,ck,True
tso-un,遭瘟,25,cho-un,tso1un1,cho1un1,tsoun,choun,tu,cu,True
tso-tì,遭致,25,cho-tì,tso1ti3,cho1ti3,tsoti,choti,tt,ct,True
tso-gū,遭遇,25,cho-gū,tso1gu7,cho1gu7,tsogu,chogu,tg,cg,True
tso-lān,遭難,25,cho-lān,tso1lan7,cho1lan7,tsolan,cholan,tl,cl,True
jia-khàm,遮khàm,25,jia-khàm,jia1kham3,jia1kham3,jiakham,jiakham,jk,jk,True
lia-khàm,遮khàm,25,lia-khàm,lia1kham3,lia1kham3,liakham,liakham,lk,lk,True
tsia-ê,遮個,25,chia-ê,tsia1e5,chia1e5,tsiae,chiae,te,ce,True
jia-kng,遮光,25,jia-kng,jia1kng1,jia1kng1,jiakng,jiakng,jk,jk,True
lia-kng,遮光,25,lia-kng,lia1kng1,lia1kng1,liakng,liakng,lk,lk,True
jia-khàm,遮勘,25,jia-khàm,jia1kham3,jia1kham3,jiakham,jiakham,jk,jk,True
jia-iám,遮掩,25,jia-iám,jia1iam2,jia1iam2,jiaiam,jiaiam,ji,ji,True
jia-ji̍t,遮日,25,jia-ji̍t,jia1jit8,jia1jit8,jiajit,jiajit,jj,jj,True
jia-àm,遮暗,25,jia-àm,jia1am3,jia1am3,jiaam,jiaam,ja,ja,True
tsia-ê,遮的,25,chia-ê,tsia1e5,chia1e5,tsiae,chiae,te,ce,True
jia-muâ,遮瞞,25,jia-môa,jia1mua5,jia1moa5,jiamua,jiamoa,jm,jm,True
lia-muâ,遮瞞,25,lia-môa,lia1mua5,lia1moa5,liamua,liamoa,lm,lm,True
jia-im,遮蔭,25,jia-im,jia1im1,jia1im1,jiaim,jiaim,ji,ji,True
tsia-lia,遮遮,25,chia-lia,tsia1lia1,chia1lia1,tsialia,chialia,tl,cl,True
jia-tsa̍h,遮閘,25,jia-cha̍h,jia1tsah8,jia1chah8,jiatsah,jiachah,jt,jc,True
lia-tsa̍h,遮閘,25,lia-cha̍h,lia1tsah8,lia1chah8,liatsah,liachah,lt,lc,True
jia-hōo,遮雨,25,jia-hō͘,jia1hoo7,jia1hoo7,jiahoo,jiahoo,jh,jh,True
lia-hōo,遮雨,25,lia-hō͘,lia1hoo7,lia1hoo7,liahoo,liahoo,lh,lh,True
jia-bīn,遮面,25,jia-bīn,jia1bin7,jia1bin7,jiabin,jiabin,jb,jb,True
lia-bīn,遮面,25,lia-bīn,lia1bin7,lia1bin7,liabin,liabin,lb,lb,True
jia-hong,遮風,25,jia-hong,jia1hong1,jia1hong1,jiahong,jiahong,jh,jh,True
tî-tò,遲到,25,tî-tò,ti5to3,ti5to3,tito,tito,tt,tt,True
tî-iân,遲延,25,tî-iân,ti5ian5,ti5ian5,tiian,tiian,ti,ti,True
tî-gōo,遲誤,25,tî-gō͘,ti5goo7,ti5goo7,tigoo,tigoo,tg,tg,True
tî-tūn,遲鈍,25,tî-tūn,ti5tun7,ti5tun7,titun,titun,tt,tt,True
lîn-suán,遴選,25,lîn-soán,lin5suan2,lin5soan2,linsuan,linsoan,ls,ls,True
tsun-bīng,遵命,25,chun-bēng,tsun1bing7,chun1beng7,tsunbing,chunbeng,tb,cb,True
tsun-hōng,遵奉,25,chun-hōng,tsun1hong7,chun1hong7,tsunhong,chunhong,th,ch,True
tsun-siú,遵守,25,chun-siú,tsun1siu2,chun1siu2,tsunsiu,chunsiu,ts,cs,True
tsun-tsiông,遵從,25,chun-chiông,tsun1tsiong5,chun1chiong5,tsuntsiong,chunchiong,tt,cc,True
tsun-sûn,遵循,25,chun-sûn,tsun1sun5,chun1sun5,tsunsun,chunsun,ts,cs,True
tsun-tsiàu,遵照,25,chun-chiàu,tsun1tsiau3,chun1chiau3,tsuntsiau,chunchiau,tt,cc,True
tsun-hîng,遵行,25,chun-hêng,tsun1hing5,chun1heng5,tsunhing,chunheng,th,ch,True
tsun-thàn,遵趁,25,chun-thàn,tsun1than3,chun1than3,tsunthan,chunthan,tt,ct,True
tshian-ji̍p,遷入,25,chhian-ji̍p,tshian1jip8,chhian1jip8,tshianjip,chhianjip,tj,cj,True
tshian-tshut,遷出,25,chhian-chhut,tshian1tshut1,chhian1chhut1,tshiantshut,chhianchhut,tt,cc,True
tshian-tsiū,遷就,25,chhian-chiū,tshian1tsiu7,chhian1chiu7,tshiantsiu,chhianchiu,tt,cc,True
tshian-ki,遷居,25,chhian-ki,tshian1ki1,chhian1ki1,tshianki,chhianki,tk,ck,True
tshiân-kang,遷工,25,chhiân-kang,tshian5kang1,chhian5kang1,tshiankang,chhiankang,tk,ck,True
tshian-óng,遷往,25,chhian-óng,tshian1ong2,chhian1ong2,tshianong,chhianong,to,co,True
tshiân-tshiú,遷手,25,chhiân-chhiú,tshian5tshiu2,chhian5chhiu2,tshiantshiu,chhianchhiu,tt,cc,True
tshian-phoo,遷舖,25,chhian-pho͘,tshian1phoo1,chhian1phoo1,tshianphoo,chhianphoo,tp,cp,True
tshian-tiàu,遷調,25,chhian-tiàu,tshian1tiau3,chhian1tiau3,tshiantiau,chhiantiau,tt,ct,True
suán-siu,選修,25,soán-siu,suan2siu1,soan2siu1,suansiu,soansiu,ss,ss,True
suán-tshut,選出,25,soán-chhut,suan2tshut1,soan2chhut1,suantshut,soanchhut,st,sc,True
suán-bū,選務,25,soán-bū,suan2bu7,soan2bu7,suanbu,soanbu,sb,sb,True
suán-khu,選區,25,soán-khu,suan2khu1,soan2khu1,suankhu,soankhu,sk,sk,True
suán-tshú,選取,25,soán-chhú,suan2tshu2,soan2chhu2,suantshu,soanchhu,st,sc,True
suán-tīng,選定,25,soán-tēng,suan2ting7,soan2teng7,suanting,soanteng,st,st,True
suán-tshiú,選手,25,soán-chhiú,suan2tshiu2,soan2chhiu2,suantshiu,soanchhiu,st,sc,True
suán-pua̍t,選拔,25,soán-poa̍t,suan2puat8,soan2poat8,suanpuat,soanpoat,sp,sp,True
suán-ti̍k,選擇,25,soán-te̍k,suan2tik8,soan2tek8,suantik,soantek,st,st,True
suán-bîn,選民,25,soán-bîn,suan2bin5,soan2bin5,suanbin,soanbin,sb,sb,True
suán-phài,選派,25,soán-phài,suan2phai3,soan2phai3,suanphai,soanphai,sp,sp,True
suán-iōng,選用,25,soán-iōng,suan2iong7,soan2iong7,suaniong,soaniong,si,si,True
suán-phiò,選票,25,soán-phiò,suan2phio3,soan2phio3,suanphio,soanphio,sp,sp,True
suán-bí,選美,25,soán-bí,suan2bi2,soan2bi2,suanbi,soanbi,sb,sb,True
suán-kí,選舉,25,soán-kí,suan2ki2,soan2ki2,suanki,soanki,sk,sk,True
suán-khò,選課,25,soán-khò,suan2kho3,soan2kho3,suankho,soankho,sk,sk,True
suán-tho̍k,選讀,25,soán-tho̍k,suan2thok8,soan2thok8,suanthok,soanthok,st,st,True
suán-kòo,選購,25,soán-kò͘,suan2koo3,soan2koo3,suankoo,soankoo,sk,sk,True
suán-tsi̍p,選集,25,soán-chi̍p,suan2tsip8,soan2chip8,suantsip,soanchip,st,sc,True
uî-tsok,遺作,25,ûi-chok,ui5tsok1,ui5chok1,uitsok,uichok,ut,uc,True
uî-thuân,遺傳,25,ûi-thoân,ui5thuan5,ui5thoan5,uithuan,uithoan,ut,ut,True
uî-siōng,遺像,25,ûi-siōng,ui5siong7,ui5siong7,uisiong,uisiong,us,us,True
uî-tsiok,遺囑,25,ûi-chiok,ui5tsiok1,ui5chiok1,uitsiok,uichiok,ut,uc,True
uî-tsí,遺址,25,ûi-chí,ui5tsi2,ui5chi2,uitsi,uichi,ut,uc,True
uî-sit,遺失,25,ûi-sit,ui5sit1,ui5sit1,uisit,uisit,us,us,True
uî-song,遺孀,25,ûi-song,ui5song1,ui5song1,uisong,uisong,us,us,True
uî-iông,遺容,25,ûi-iông,ui5iong5,ui5iong5,uiiong,uiiong,ui,ui,True
uî-ài,遺愛,25,ûi-ài,ui5ai3,ui5ai3,uiai,uiai,ua,ua,True
uî-hām,遺憾,25,ûi-hām,ui5ham7,ui5ham7,uiham,uiham,uh,uh,True
uî-kàu,遺教,25,ûi-kàu,ui5kau3,ui5kau3,uikau,uikau,uk,uk,True
uî-tso̍k,遺族,25,ûi-cho̍k,ui5tsok8,ui5chok8,uitsok,uichok,ut,uc,True
uî-su,遺書,25,ûi-su,ui5su1,ui5su1,uisu,uisu,us,us,True
uî-to̍k,遺毒,25,ûi-to̍k,ui5tok8,ui5tok8,uitok,uitok,ut,ut,True
uî-bu̍t,遺物,25,ûi-bu̍t,ui5but8,ui5but8,uibut,uibut,ub,ub,True
uî-sán,遺產,25,ûi-sán,ui5san2,ui5san2,uisan,uisan,us,us,True
uî-liû,遺留,25,ûi-liû,ui5liu5,ui5liu5,uiliu,uiliu,ul,ul,True
uî-giân,遺言,25,ûi-giân,ui5gian5,ui5gian5,uigian,uigian,ug,ug,True
uî-gân,遺言,25,ûi-gân,ui5gan5,ui5gan5,uigan,uigan,ug,ug,True
uî-jiah,遺跡,25,ûi-jiah,ui5jiah1,ui5jiah1,uijiah,uijiah,uj,uj,True
uî-tsik,遺蹟,25,ûi-chek,ui5tsik1,ui5chek1,uitsik,uichek,ut,uc,True
uî-thé,遺體,25,ûi-thé,ui5the2,ui5the2,uithe,uithe,ut,ut,True
liâu-lîng,遼寧,25,liâu-lêng,liau5ling5,liau5leng5,liauling,liauleng,ll,ll,True
liâu-thiàu,遼眺,25,liâu-thiàu,liau5thiau3,liau5thiau3,liauthiau,liauthiau,lt,lt,True
phiah-tsè,避債,25,phiah-chè,phiah1tse3,phiah1che3,phiahtse,phiahche,pt,pc,True
pī-bián,避免,25,pī-bián,pi7bian2,pi7bian2,pibian,pibian,pb,pb,True
phiah-eh,避厄,25,phiah-eh,phiah1eh1,phiah1eh1,phiaheh,phiaheh,pe,pe,True
pī-huán,避反,25,pī-hoán,pi7huan2,pi7hoan2,pihuan,pihoan,ph,ph,True
phiah-hiâm,避嫌,25,phiah-hiâm,phiah1hiam5,phiah1hiam5,phiahhiam,phiahhiam,ph,ph,True
pī-īn,避孕,25,pī-īn,pi7in7,pi7in7,piin,piin,pi,pi,True
pī-ūn,避孕,25,pī-ūn,pi7un7,pi7un7,piun,piun,pu,pu,True
phiah-ē,避禍,25,phiah-ē,phiah1e7,phiah1e7,phiahe,phiahe,pe,pe,True
phiah-pī,避避,25,phiah-pī,phiah1pi7,phiah1pi7,phiahpi,phiahpi,pp,pp,True
pī-siâ,避邪,25,pī-siâ,pi7sia5,pi7sia5,pisia,pisia,ps,ps,True
phiah-khui,避開,25,phiah-khui,phiah1khui1,phiah1khui1,phiahkhui,phiahkhui,pk,pk,True
pī-lān,避難,25,pī-lān,pi7lan7,pi7lan7,pilan,pilan,pl,pl,True
phiah-hōo,避雨,25,phiah-hō͘,phiah1hoo7,phiah1hoo7,phiahhoo,phiahhoo,ph,ph,True
pī-biān,避面,25,pī-biān,pi7bian7,pi7bian7,pibian,pibian,pb,pb,True
pī-hong,避風,25,pī-hong,pi7hong1,pi7hong1,pihong,pihong,ph,ph,True
io-tuā,邀大,25,io-tōa,io1tua7,io1toa7,iotua,iotoa,it,it,True
iau-iàn,邀宴,25,iau-iàn,iau1ian3,iau1ian3,iauian,iauian,ii,ii,True
iau-iok,邀約,25,iau-iok,iau1iok1,iau1iok1,iauiok,iauiok,ii,ii,True
iau-tshiánn,邀請,25,iau-chhiáⁿ,iau1tshiann2,iau1chhiann2,iautshiann,iauchhiann,it,ic,True
iau-tshíng,邀請,25,iau-chhéng,iau1tshing2,iau1chheng2,iautshing,iauchheng,it,ic,True
iau-tsi̍p,邀集,25,iau-chi̍p,iau1tsip8,iau1chip8,iautsip,iauchip,it,ic,True
māi-tshut,邁出,25,māi-chhut,mai7tshut1,mai7chhut1,maitshut,maichhut,mt,mc,True
māi-hiòng,邁向,25,māi-hiòng,mai7hiong3,mai7hiong3,maihiong,maihiong,mh,mh,True
māi-tsìn,邁進,25,māi-chìn,mai7tsin3,mai7chin3,maitsin,maichin,mt,mc,True
māi-khui,邁開,25,māi-khui,mai7khui1,mai7khui1,maikhui,maikhui,mk,mk,True
hîng-lâng,還人,25,hêng-lâng,hing5lang5,heng5lang5,hinglang,henglang,hl,hl,True
huân-sio̍k,還俗,25,hoân-sio̍k,huan5siok8,hoan5siok8,huansiok,hoansiok,hs,hs,True
hîng-tsè,還債,25,hêng-chè,hing5tse3,heng5che3,hingtse,hengche,ht,hc,True
huân-guân,還原,25,hoân-goân,huan5guan5,hoan5goan5,huanguan,hoangoan,hg,hg,True
huân-kik,還擊,25,hoân-kek,huan5kik1,hoan5kek1,huankik,hoankek,hk,hk,True
hîng-siàu,還數,25,hêng-siàu,hing5siau3,heng5siau3,hingsiau,hengsiau,hs,hs,True
hîng-pún,還本,25,hêng-pún,hing5pun2,heng5pun2,hingpun,hengpun,hp,hp,True
hîng-khuán,還款,25,hêng-khoán,hing5khuan2,heng5khoan2,hingkhuan,hengkhoan,hk,hk,True
hîng-tshing,還清,25,hêng-chheng,hing5tshing1,heng5chheng1,hingtshing,hengchheng,ht,hc,True
huân-hiong,還鄉,25,hoân-hiong,huan5hiong1,hoan5hiong1,huanhiong,hoanhiong,hh,hh,True
hîng-tsînn,還錢,25,hêng-chîⁿ,hing5tsinn5,heng5chinn5,hingtsinn,hengchinn,ht,hc,True
huân-guān,還願,25,hoân-goān,huan5guan7,hoan5goan7,huanguan,hoangoan,hg,hg,True
hîng-guān,還願,25,hêng-goān,hing5guan7,heng5goan7,hingguan,henggoan,hg,hg,True
pinn-á,邊仔,25,piⁿ-á,pinn1a2,pinn1a2,pinna,pinna,pa,pa,True
pian-kíng,邊境,25,pian-kéng,pian1king2,pian1keng2,pianking,piankeng,pk,pk,True
pinn-kînn,邊墘,25,piⁿ-kîⁿ,pinn1kinn5,pinn1kinn5,pinnkinn,pinnkinn,pk,pk,True
pinn-pâng,邊房,25,piⁿ-pâng,pinn1pang5,pinn1pang5,pinnpang,pinnpang,pp,pp,True
pinn-kin,邊根,25,piⁿ-kin,pinn1kin1,pinn1kin1,pinnkin,pinnkin,pk,pk,True
pinn-tiān,邊殿,25,piⁿ-tiān,pinn1tian7,pinn1tian7,pinntian,pinntian,pt,pt,True
pian-kài,邊界,25,pian-kài,pian1kai3,pian1kai3,piankai,piankai,pk,pk,True
pian-kiong,邊疆,25,pian-kiong,pian1kiong1,pian1kiong1,piankiong,piankiong,pk,pk,True
pinn-pe̍h,邊白,25,piⁿ-pe̍h,pinn1peh8,pinn1peh8,pinnpeh,pinnpeh,pp,pp,True
pinn-kak,邊角,25,piⁿ-kak,pinn1kak1,pinn1kak1,pinnkak,pinnkak,pk,pk,True
pinn-mn̂g,邊門,25,piⁿ-mn̂g,pinn1mng5,pinn1mng5,pinnmng,pinnmng,pm,pm,True
pian-hông,邊防,25,pian-hông,pian1hong5,pian1hong5,pianhong,pianhong,ph,ph,True
pinn-tsè,邊際,25,piⁿ-chè,pinn1tse3,pinn1che3,pinntse,pinnche,pt,pc,True
pinn-bīn,邊面,25,piⁿ-bīn,pinn1bin7,pinn1bin7,pinnbin,pinnbin,pb,pb,True
pinn-thâu,邊頭,25,piⁿ-thâu,pinn1thau5,pinn1thau5,pinnthau,pinnthau,pt,pt,True
lap-tseh,邋簀,25,lap-cheh,lap1tseh1,lap1cheh1,laptseh,lapcheh,lt,lc,True
lô-tsip,邏輯,25,lô-chip,lo5tsip1,lo5chip1,lotsip,lochip,lt,lc,True
ná-m̄,那m̄,25,ná-m̄,na2m7,na2m7,nam,nam,nm,nm,True
ná-sái,那使,25,ná-sái,na2sai2,na2sai2,nasai,nasai,ns,ns,True
ná-tshiūnn,那像,25,ná-chhiūⁿ,na2tshiunn7,na2chhiunn7,natshiunn,nachhiunn,nt,nc,True
ná-ē,那會,25,ná-ē,na2e7,na2e7,nae,nae,ne,ne,True
ná-ū,那有,25,ná-ū,na2u7,na2u7,nau,nau,nu,nu,True
ná-tsai,那知,25,ná-chai,na2tsai1,na2chai1,natsai,nachai,nt,nc,True
ná-tio̍h,那著,25,ná-tio̍h,na2tioh8,na2tioh8,natioh,natioh,nt,nt,True
ná-thang,那通,25,ná-thang,na2thang1,na2thang1,nathang,nathang,nt,nt,True
ná-kiann,那驚,25,ná-kiaⁿ,na2kiann1,na2kiann1,nakiann,nakiann,nk,nk,True
pang-kau,邦交,25,pang-kau,pang1kau1,pang1kau1,pangkau,pangkau,pk,pk,True
pang-liân,邦聯,25,pang-liân,pang1lian5,pang1lian5,panglian,panglian,pl,pl,True
siâ-kháu,邪口,25,siâ-kháu,sia5khau2,sia5khau2,siakhau,siakhau,sk,sk,True
siâ-kháu,邪巧,25,siâ-kháu,sia5khau2,sia5khau2,siakhau,siakhau,sk,sk,True
siâ-sim,邪心,25,siâ-sim,sia5sim1,sia5sim1,siasim,siasim,ss,ss,True
siâ-liām,邪念,25,siâ-liām,sia5liam7,sia5liam7,sialiam,sialiam,sl,sl,True
siâ-ok,邪惡,25,siâ-ok,sia5ok1,sia5ok1,siaok,siaok,so,so,True
siâ-khuì,邪氣,25,siâ-khùi,sia5khui3,sia5khui3,siakhui,siakhui,sk,sk,True
siâ-khì,邪氣,25,siâ-khì,sia5khi3,sia5khi3,siakhi,siakhi,sk,sk,True
siâ-huat,邪法,25,siâ-hoat,sia5huat1,sia5hoat1,siahuat,siahoat,sh,sh,True
siâ-sîn,邪神,25,siâ-sîn,sia5sin5,sia5sin5,siasin,siasin,ss,ss,True
siâ-tio̍h,邪著,25,siâ-tio̍h,sia5tioh8,sia5tioh8,siatioh,siatioh,st,st,True
siâ-su̍t,邪術,25,siâ-su̍t,sia5sut8,sia5sut8,siasut,siasut,ss,ss,True
siâ-kuí,邪鬼,25,siâ-kúi,sia5kui2,sia5kui2,siakui,siakui,sk,sk,True
siâ-tshut,邪齣,25,siâ-chhut,sia5tshut1,sia5chhut1,siatshut,siachhut,st,sc,True
kau-khu,郊區,25,kau-khu,kau1khu1,kau1khu1,kaukhu,kaukhu,kk,kk,True
kau-guā,郊外,25,kau-gōa,kau1gua7,kau1goa7,kaugua,kaugoa,kg,kg,True
kau-iû,郊遊,25,kau-iû,kau1iu5,kau1iu5,kauiu,kauiu,ki,ki,True
lông-tiong,郎中,25,lông-tiong,long5tiong1,long5tiong1,longtiong,longtiong,lt,lt,True
lông-kun,郎君,25,lông-kun,long5kun1,long5kun1,longkun,longkun,lk,lk,True
pōo-hā,部下,25,pō͘-hā,poo7ha7,poo7ha7,pooha,pooha,ph,ph,True
pōo-hūn,部份,25,pō͘-hūn,poo7hun7,poo7hun7,poohun,poohun,ph,ph,True
pōo-uī,部位,25,pō͘-ūi,poo7ui7,poo7ui7,pooui,pooui,pu,pu,True
pōo-hūn,部分,25,pō͘-hūn,poo7hun7,poo7hun7,poohun,poohun,ph,ph,True
pōo-tsiòng,部將,25,pō͘-chiòng,poo7tsiong3,poo7chiong3,pootsiong,poochiong,pt,pc,True
pōo-sio̍k,部屬,25,pō͘-sio̍k,poo7siok8,poo7siok8,poosiok,poosiok,ps,ps,True
pōo-huē,部會,25,pō͘-hōe,poo7hue7,poo7hoe7,poohue,poohoe,ph,ph,True
pōo-sú,部署,25,pō͘-sú,poo7su2,poo7su2,poosu,poosu,ps,ps,True
pōo-lo̍k,部落,25,pō͘-lo̍k,poo7lok8,poo7lok8,poolok,poolok,pl,pl,True
pōo-tiúnn,部長,25,pō͘-tiúⁿ,poo7tiunn2,poo7tiunn2,pootiunn,pootiunn,pt,pt,True
pōo-bûn,部門,25,pō͘-bûn,poo7bun5,poo7bun5,poobun,poobun,pb,pb,True
pōo-tuī,部隊,25,pō͘-tūi,poo7tui7,poo7tui7,pootui,pootui,pt,pt,True
pōo-siú,部首,25,pō͘-siú,poo7siu2,poo7siu2,poosiu,poosiu,ps,ps,True
iû-kiānn,郵件,25,iû-kiāⁿ,iu5kiann7,iu5kiann7,iukiann,iukiann,ik,ik,True
iû-pau,郵包,25,iû-pau,iu5pau1,iu5pau1,iupau,iupau,ip,ip,True
iû-huē,郵匯,25,iû-hōe,iu5hue7,iu5hoe7,iuhue,iuhoe,ih,ih,True
iû-pò,郵報,25,iû-pò,iu5po3,iu5po3,iupo,iupo,ip,ip,True
iû-kià,郵寄,25,iû-kià,iu5kia3,iu5kia3,iukia,iukia,ik,ik,True
iû-kio̍k,郵局,25,iû-kio̍k,iu5kiok8,iu5kiok8,iukiok,iukiok,ik,ik,True
iû-tshai,郵差,25,iû-chhai,iu5tshai1,iu5chhai1,iutshai,iuchhai,it,ic,True
iû-tshe,郵差,25,iû-chhe,iu5tshe1,iu5chhe1,iutshe,iuchhe,it,ic,True
iû-tshok,郵戳,25,iû-chhok,iu5tshok1,iu5chhok1,iutshok,iuchhok,it,ic,True
iû-tsìng,郵政,25,iû-chèng,iu5tsing3,iu5cheng3,iutsing,iucheng,it,ic,True
iû-tháng,郵桶,25,iû-tháng,iu5thang2,iu5thang2,iuthang,iuthang,it,it,True
iû-phiò,郵票,25,iû-phiò,iu5phio3,iu5phio3,iuphio,iuphio,ip,ip,True
iû-kán,郵簡,25,iû-kán,iu5kan2,iu5kan2,iukan,iukan,ik,ik,True
iû-huì,郵費,25,iû-hùi,iu5hui3,iu5hui3,iuhui,iuhui,ih,ih,True
iû-tsu,郵資,25,iû-chu,iu5tsu1,iu5chu1,iutsu,iuchu,it,ic,True
iû-kòo,郵購,25,iû-kò͘,iu5koo3,iu5koo3,iukoo,iukoo,ik,ik,True
iû-tiān,郵電,25,iû-tiān,iu5tian7,iu5tian7,iutian,iutian,it,it,True
to-iā,都也,25,to-iā,to1ia7,to1ia7,toia,toia,ti,ti,True
too-ha̍p,都合,25,to͘-ha̍p,too1hap8,too1hap8,toohap,toohap,th,th,True
too-tshī,都市,25,to͘-chhī,too1tshi7,too1chhi7,tootshi,toochhi,tt,tc,True
too-huē,都會,25,to͘-hōe,too1hue7,too1hoe7,toohue,toohoe,th,th,True
to-tio̍h,都著,25,to-tio̍h,to1tioh8,to1tioh8,totioh,totioh,tt,tt,True
hiunn-ē,鄉下,25,hiuⁿ-ē,hiunn1e7,hiunn1e7,hiunne,hiunne,he,he,True
hiong-jîn,鄉人,25,hiong-jîn,hiong1jin5,hiong1jin5,hiongjin,hiongjin,hj,hj,True
hiong-iú,鄉友,25,hiong-iú,hiong1iu2,hiong1iu2,hiongiu,hiongiu,hi,hi,True
hiong-thóo,鄉土,25,hiong-thó͘,hiong1thoo2,hiong1thoo2,hiongthoo,hiongthoo,ht,ht,True
hiong-tshiû,鄉愁,25,hiong-chhiû,hiong1tshiu5,hiong1chhiu5,hiongtshiu,hiongchhiu,ht,hc,True
hiong-huē,鄉會,25,hiong-hōe,hiong1hue7,hiong1hoe7,hionghue,hionghoe,hh,hh,True
hiong-tshuan,鄉村,25,hiong-chhoan,hiong1tshuan1,hiong1chhoan1,hiongtshuan,hiongchhoan,ht,hc,True
hiong-tshun,鄉村,25,hiong-chhun,hiong1tshun1,hiong1chhun1,hiongtshun,hiongchhun,ht,hc,True
hiong-bîn,鄉民,25,hiong-bîn,hiong1bin5,hiong1bin5,hiongbin,hiongbin,hb,hb,True
hiunn-siā,鄉社,25,hiuⁿ-siā,hiunn1sia7,hiunn1sia7,hiunnsia,hiunnsia,hs,hs,True
hiong-tshin,鄉親,25,hiong-chhin,hiong1tshin1,hiong1chhin1,hiongtshin,hiongchhin,ht,hc,True
khan-tshin,鄉親,25,khan-chhin,khan1tshin1,khan1chhin1,khantshin,khanchhin,kt,kc,True
hiunn-lí,鄉里,25,hiuⁿ-lí,hiunn1li2,hiunn1li2,hiunnli,hiunnli,hl,hl,True
hiong-iá,鄉野,25,hiong-iá,hiong1ia2,hiong1ia2,hiongia,hiongia,hi,hi,True
hiong-tìn,鄉鎮,25,hiong-tìn,hiong1tin3,hiong1tin3,hiongtin,hiongtin,ht,ht,True
hiong-tiunn,鄉長,25,hiong-tiuⁿ,hiong1tiunn1,hiong1tiunn1,hiongtiunn,hiongtiunn,ht,ht,True
hiong-tóng,鄉黨,25,hiong-tóng,hiong1tong2,hiong1tong2,hiongtong,hiongtong,ht,ht,True
phí-thak,鄙thak,25,phí-thak,phi2thak1,phi2thak1,phithak,phithak,pt,pt,True
phí-thak,鄙剔,25,phí-thak,phi2thak1,phi2thak1,phithak,phithak,pt,pt,True
phí-lî,鄙厘,25,phí-lî,phi2li5,phi2li5,phili,phili,pl,pl,True
phí-līn,鄙吝,25,phí-līn,phi2lin7,phi2lin7,philin,philin,pl,pl,True
pí-uí,鄙猥,25,pí-úi,pi2ui2,pi2ui2,piui,piui,pu,pu,True
phí-siùnn,鄙相,25,phí-siùⁿ,phi2siunn3,phi2siunn3,phisiunn,phisiunn,ps,ps,True
phí-tsiān,鄙賤,25,phí-chiān,phi2tsian7,phi2chian7,phitsian,phichian,pt,pc,True
tēnn-tuà,鄭帶,25,tēⁿ-tòa,tenn7tua3,tenn7toa3,tenntua,tenntoa,tt,tt,True
lîn-kok,鄰國,25,lîn-kok,lin5kok1,lin5kok1,linkok,linkok,lk,lk,True
lîn-kīn,鄰近,25,lîn-kīn,lin5kin7,lin5kin7,linkin,linkin,lk,lk,True
lîn-lí,鄰里,25,lîn-lí,lin5li2,lin5li2,linli,linli,ll,ll,True
lîn-tiúnn,鄰長,25,lîn-tiúⁿ,lin5tiunn2,lin5tiunn2,lintiunn,lintiunn,lt,lt,True
iú-sî,酉時,25,iú-sî,iu2si5,iu2si5,iusi,iusi,is,is,True
tsiok-tsîng,酌情,25,chiok-chêng,tsiok1tsing5,chiok1cheng5,tsioktsing,chiokcheng,tt,cc,True
phuè-siāng,配上,25,phòe-siāng,phue3siang7,phoe3siang7,phuesiang,phoesiang,ps,ps,True
phuè-kiānn,配件,25,phòe-kiāⁿ,phue3kiann7,phoe3kiann7,phuekiann,phoekiann,pk,pk,True
phuè-kah,配佮,25,phòe-kah,phue3kah1,phoe3kah1,phuekah,phoekah,pk,pk,True
phuè-ngóo,配偶,25,phòe-ngó͘,phue3ngoo2,phoe3ngoo2,phuengoo,phoengoo,pn,pn,True
phuè-pī,配備,25,phòe-pī,phue3pi7,phoe3pi7,phuepi,phoepi,pp,pp,True
phuè-ha̍p,配合,25,phòe-ha̍p,phue3hap8,phoe3hap8,phuehap,phoehap,ph,ph,True
phuè-hô,配和,25,phòe-hô,phue3ho5,phoe3ho5,phueho,phoeho,ph,ph,True
phuè-siû,配售,25,phòe-siû,phue3siu5,phoe3siu5,phuesiu,phoesiu,ps,ps,True
phuè-thò,配套,25,phòe-thò,phue3tho3,phoe3tho3,phuetho,phoetho,pt,pt,True
phuè-tài,配戴,25,phòe-tài,phue3tai3,phoe3tai3,phuetai,phoetai,pt,pt,True
phuè-tshah,配插,25,phòe-chhah,phue3tshah1,phoe3chhah1,phuetshah,phoechhah,pt,pc,True
phuè-tah,配搭,25,phòe-tah,phue3tah1,phoe3tah1,phuetah,phoetah,pt,pt,True
phuè-liāu,配料,25,phòe-liāu,phue3liau7,phoe3liau7,phueliau,phoeliau,pl,pl,True
phuè-kíng,配景,25,phòe-kéng,phue3king2,phoe3keng2,phueking,phoekeng,pk,pk,True
phuè-pí,配比,25,phòe-pí,phue3pi2,phoe3pi2,phuepi,phoepi,pp,pp,True
phuè-huat,配發,25,phòe-hoat,phue3huat1,phoe3hoat1,phuehuat,phoehoat,ph,ph,True
phuè-kip,配給,25,phòe-kip,phue3kip1,phoe3kip1,phuekip,phoekip,pk,pk,True
phuè-suànn,配線,25,phòe-sòaⁿ,phue3suann3,phoe3soann3,phuesuann,phoesoann,ps,ps,True
