tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,taihoa
hat-thè,喝退,25,hat-thè,hat1the3,hat1the3,hatthe,hatthe,ht,ht,True
huah-thè,喝退,25,hoah-thè,huah1the3,hoah1the3,huahthe,hoahthe,ht,ht,True
huah-tō,喝道,25,hoah-tō,huah1to7,hoah1to7,huahto,hoahto,ht,ht,True
huah-tshénn,喝醒,25,hoah-chhéⁿ,huah1tshenn2,hoah1chhenn2,huahtshenn,hoahchhenn,ht,hc,True
hat-tshái,喝采,25,hat-chhái,hat1tshai2,hat1chhai2,hattshai,hatchhai,ht,hc,True
hat-thâu,喝頭,25,hat-thâu,hat1thau5,hat1thau5,hatthau,hatthau,ht,ht,True
suan-hua,喧嘩,25,soan-hoa,suan1hua1,soan1hoa1,suanhua,soanhoa,sh,sh,True
suan-nāu,喧鬧,25,soan-nāu,suan1nau7,soan1nau7,suannau,soannau,sn,sn,True
liāng-á,喨仔,25,liāng-á,liang7a2,liang7a2,lianga,lianga,la,la,True
song-sū,喪事,25,song-sū,song1su7,song1su7,songsu,songsu,ss,ss,True
sòng-bīng,喪命,25,sòng-bēng,song3bing7,song3beng7,songbing,songbeng,sb,sb,True
sòng-sit,喪失,25,sòng-sit,song3sit1,song3sit1,songsit,songsit,ss,ss,True
sng-hà,喪孝,25,sng-hà,sng1ha3,sng1ha3,sngha,sngha,sh,sh,True
song-ke,喪家,25,song-ke,song1ke1,song1ke1,songke,songke,sk,sk,True
song-ho̍k,喪服,25,song-ho̍k,song1hok8,song1hok8,songhok,songhok,sh,sh,True
sng-suah,喪煞,25,sng-soah,sng1suah1,sng1soah1,sngsuah,sngsoah,ss,ss,True
sòng-sing,喪生,25,sòng-seng,song3sing1,song3seng1,songsing,songseng,ss,ss,True
song-lé,喪禮,25,song-lé,song1le2,song1le2,songle,songle,sl,sl,True
song-tsòng,喪葬,25,song-chòng,song1tsong3,song1chong3,songtsong,songchong,st,sc,True
khiâu-tiàu,喬吊,25,khiâu-tiàu,khiau5tiau3,khiau5tiau3,khiautiau,khiautiau,kt,kt,True
khiâu-bo̍k,喬木,25,khiâu-bo̍k,khiau5bok8,khiau5bok8,khiaubok,khiaubok,kb,kb,True
khiâu-khóo,喬苦,25,khiâu-khó͘,khiau5khoo2,khiau5khoo2,khiaukhoo,khiaukhoo,kk,kk,True
kiâu-tsong,喬裝,25,kiâu-chong,kiau5tsong1,kiau5chong1,kiautsong,kiauchong,kt,kc,True
tan-it,單一,25,tan-it,tan1it1,tan1it1,tanit,tanit,ti,ti,True
tan-ting,單丁,25,tan-teng,tan1ting1,tan1teng1,tanting,tanteng,tt,tt,True
tuann-á,單仔,25,toaⁿ-á,tuann1a2,toann1a2,tuanna,toanna,ta,ta,True
tan-uī,單位,25,tan-ūi,tan1ui7,tan1ui7,tanui,tanui,tu,tu,True
tuann-ê,單個,25,toaⁿ-ê,tuann1e5,toann1e5,tuanne,toanne,te,te,True
tan-kè,單價,25,tan-kè,tan1ke3,tan1ke3,tanke,tanke,tk,tk,True
tan-guân,單元,25,tan-goân,tan1guan5,tan1goan5,tanguan,tangoan,tg,tg,True
tan-tan,單單,25,tan-tan,tan1tan1,tan1tan1,tantan,tantan,tt,tt,True
tuann-tuann,單單,25,toaⁿ-toaⁿ,tuann1tuann1,toann1toann1,tuanntuann,toanntoann,tt,tt,True
tan-jī,單字,25,tan-jī,tan1ji7,tan1ji7,tanji,tanji,tj,tj,True
tuann-bué,單尾,25,toaⁿ-bóe,tuann1bue2,toann1boe2,tuannbue,toannboe,tb,tb,True
tan-tánn,單打,25,tan-táⁿ,tan1tann2,tan1tann2,tantann,tantann,tt,tt,True
tuann-tiah,單摘,25,toaⁿ-tiah,tuann1tiah1,toann1tiah1,tuanntiah,toanntiah,tt,tt,True
tan-kì,單據,25,tan-kì,tan1ki3,tan1ki3,tanki,tanki,tk,tk,True
tuann-kì,單據,25,toaⁿ-kì,tuann1ki3,toann1ki3,tuannki,toannki,tk,tk,True
tan-sòo,單數,25,tan-sò͘,tan1soo3,tan1soo3,tansoo,tansoo,ts,ts,True
tan-hong,單方,25,tan-hong,tan1hong1,tan1hong1,tanhong,tanhong,th,th,True
tan-ji̍t,單日,25,tan-ji̍t,tan1jit8,tan1jit8,tanjit,tanjit,tj,tj,True
tan-gue̍h,單月,25,tan-goe̍h,tan1gueh8,tan1goeh8,tangueh,tangoeh,tg,tg,True
