hanzi,tl,frequency,poj,tl_num,poj_num,tps_num,tps_num_var,tl_notone,poj_notone,tps_notone,tps_notone_var,tl_abbrev,poj_abbrev,tps_abbrev,tps_abbrev_var,khpoo,is_variant
洸,hǒng,50,hǒng,hong6,hong6,ㄏㆲˇ,,hong,hong,ㄏㆲ,,,,,,True,False
浣,uǎn,50,oǎn,uan6,oan6,ㄨㄢˇ,,uan,oan,ㄨㄢ,,,,,,True,False
浩,hǒ,50,hǒ,ho6,ho6,ㄏㄛˇ,,ho,ho,ㄏㄛ,,,,,,True,False
涁,sèrm,50,sèrm,serm3,serm3,ㄙㄜㆬ˪,ㄙㄛㆬ˪,serm,serm,ㄙㄜㆬ,ㄙㄛㆬ,,,,,True,False
涁,sìm,50,sìm,sim3,sim3,ㄒㄧㆬ˪,,sim,sim,ㄒㄧㆬ,,,,,,True,False
涂,tîr,50,tîr,tir5,tir5,ㄉㆨˊ,,tir,tir,ㄉㆨ,,,,,,True,False
涂,tû,50,tû,tu5,tu5,ㄉㄨˊ,,tu,tu,ㄉㄨ,,,,,,True,False
涗,sèr,50,sèr,ser3,ser3,ㄙㄜ˪,ㄙㄛ˪,ser,ser,ㄙㄜ,ㄙㄛ,,,,,True,False
涘,sīr,50,sīr,sir7,sir7,ㄙㆨ˫,,sir,sir,ㄙㆨ,,,,,,True,False
涘,sǐr,50,sǐr,sir6,sir6,ㄙㆨˇ,,sir,sir,ㄙㆨ,,,,,,True,False
涬,hīng,50,hēng,hing7,heng7,ㄏㄧㄥ˫,,hing,heng,ㄏㄧㄥ,,,,,,True,False
涬,hǐng,50,hěng,hing6,heng6,ㄏㄧㄥˇ,,hing,heng,ㄏㄧㄥ,,,,,,True,False
涭,siū,50,siū,siu7,siu7,ㄒㄧㄨ˫,,siu,siu,ㄒㄧㄨ,,,,,,True,False
涭,siǔ,50,siǔ,siu6,siu6,ㄒㄧㄨˇ,,siu,siu,ㄒㄧㄨ,,,,,,True,False
涺,kir,50,kir,kir1,kir1,ㄍㆨ,,kir,kir,ㄍㆨ,,,,,,True,False
淄,tsir,50,chir,tsir1,chir1,ㄗㆨ,,tsir,chir,ㄗㆨ,,,,,,True,False
淊,hām,50,hām,ham7,ham7,ㄏㆰ˫,,ham,ham,ㄏㆰ,,,,,,True,False
淊,hǎm,50,hǎm,ham6,ham6,ㄏㆰˇ,,ham,ham,ㄏㆰ,,,,,,True,False
淏,hǒ,50,hǒ,ho6,ho6,ㄏㄛˇ,,ho,ho,ㄏㄛ,,,,,,True,False
