tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev
phng-siū,楓樹,25,phng-siū,phngsiu7,phngsiu7,phngsiu,phngsiu,ps,ps
lâm-á,楠仔,25,lâm-á,lam5a2,lam5a2,lama,lama,la,la
tshîng-tshiū,榕樹,25,chhêng-chhiū,tshing5tshiu7,chheng5chhiu7,tshingtshiu,chhengchhiu,tt,cc
tsiunn-gû,樟牛,25,chiuⁿ-gû,tsiunngu5,chiunngu5,tsiunngu,chiunngu,tg,cg
tshiū-m̂,樹梅,25,chhiū-m̂,tshiu7m5,chhiu7m5,tshium,chhium,tm,cm
tshiū-tsû,樹薯,25,chhiū-chû,tshiu7tsu5,chhiu7chu5,tshiutsu,chhiuchu,tt,cc
tshiū-lân,樹蘭,25,chhiū-lân,tshiu7lan5,chhiu7lan5,tshiulan,chhiulan,tl,cl
tshiū-tāu,樹豆,25,chhiū-tāu,tshiu7tau7,chhiu7tau7,tshiutau,chhiutau,tt,ct
tshiū-tshinn,樹青,25,chhiū-chhiⁿ,tshiu7tshinn,chhiu7chhinn,tshiutshinn,chhiuchhinn,tt,cc
tshiū-lîng,樹龍,25,chhiū-lêng,tshiu7ling5,chhiu7leng5,tshiuling,chhiuleng,tl,cl
kann-ná,橄欖,25,kaⁿ-ná,kannna2,kannna2,kannna,kannna,kn,kn
ting-tông,橙桐,25,teng-tông,tingtong5,tengtong5,tingtong,tengtong,tt,tt
ting-lân,橙欄,25,teng-lân,tinglan5,tenglan5,tinglan,tenglan,tl,tl
tuânn-hiunn,檀香,25,tôaⁿ-hiuⁿ,tuann5hiunn,toann5hiunn,tuannhiunn,toannhiunn,th,th
suāinn-á,檨仔,25,soāiⁿ-á,suainn7a2,soainn7a2,suainna,soainna,sa,sa
tâi-á,檯仔,25,tâi-á,tai5a2,tai5a2,taia,taia,ta,ta
pin-nn̂g,檳榔,25,pin-nn̂g,pinnng5,pinnng5,pinnng,pinnng,pn,pn
luân-tshiū,欒樹,25,loân-chhiū,luan5tshiu7,loan5chhiu7,luantshiu,loanchhiu,lt,lc
lám-jîn,欖仁,25,lám-jîn,lam2jin5,lam2jin5,lamjin,lamjin,lj,lj
tsí-kiong,止宮,25,chí-kiong,tsi2kiong,chi2kiong,tsikiong,chikiong,tk,ck
tsiànn-tshîng,正榕,25,chiàⁿ-chhêng,tsiann3tshing5,chiann3chheng5,tsianntshing,chiannchheng,tt,cc
khak-tshài,殼菜,25,khak-chhài,khaktshai3,khakchhai3,khaktshai,khakchhai,kt,kc
mô-khī,毛柿,25,mô-khī,mo5khi7,mo5khi7,mokhi,mokhi,mk,mk
kiû-lân,毬蘭,25,kiû-lân,kiu5lan5,kiu5lan5,kiulan,kiulan,kl,kl
tsuí-kam,水柑,25,chúi-kam,tsui2kam,chui2kam,tsuikam,chuikam,tk,ck
tsuí-liú,水柳,25,chúi-liú,tsui2liu2,chui2liu2,tsuiliu,chuiliu,tl,cl
tsuí-lâi,水梨,25,chúi-lâi,tsui2lai5,chui2lai5,tsuilai,chuilai,tl,cl
tsuí-tshat,水漆,25,chúi-chhat,tsui2tshat,chui2chhat,tsuitshat,chuichhat,tt,cc
tsuí-tsik,水燭,25,chúi-chek,tsui2tsik,chui2chek,tsuitsik,chuichek,tt,cc
tsuí-pit,水筆,25,chúi-pit,tsui2pit,chui2pit,tsuipit,chuipit,tp,cp
tsuí-tîn,水籐,25,chúi-tîn,tsui2tin5,chui2tin5,tsuitin,chuitin,tt,ct
tsuí-ōo,水芋,25,chúi-ō͘,tsui2oo7,chui2oo7,tsuioo,chuioo,to,co
tsuí-kiô,水茄,25,chúi-kiô,tsui2kio5,chui2kio5,tsuikio,chuikio,tk,ck
tsuí-tsháu,水草,25,chúi-chháu,tsui2tshau2,chui2chhau2,tsuitshau,chuichhau,tt,cc
tsuí-phiô,水萍,25,chúi-phiô,tsui2phio5,chui2phio5,tsuiphio,chuiphio,tp,cp
iû-bo̍k,油木,25,iû-bo̍k,iu5bok8,iu5bok8,iubok,iubok,ib,ib
iû-sam,油杉,25,iû-sam,iu5sam,iu5sam,iusam,iusam,is,is
iû-tshîng,油杉,25,iû-chhêng,iu5tshing5,iu5chheng5,iutshing,iuchheng,it,ic
iû-kam,油柑,25,iû-kam,iu5kam,iu5kam,iukam,iukam,ik,ik
iû-tông,油桐,25,iû-tông,iu5tong5,iu5tong5,iutong,iutong,it,it
iû-tê,油茶,25,iû-tê,iu5te5,iu5te5,iute,iute,it,it
iû-muâ,油麻,25,iû-môa,iu5mua5,iu5moa5,iumua,iumoa,im,im
hái-tông,海棠,25,hái-tông,hai2tong5,hai2tong5,haitong,haitong,ht,ht
lîm-lî,淋漓,25,lîm-lî,lim5li5,lim5li5,limli,limli,ll,ll
tām-tik,淡竹,25,tām-tek,tam7tik,tam7tek,tamtik,tamtek,tt,tt
siap-lâi,澁梨,25,siap-lâi,siaplai5,siaplai5,siaplai,siaplai,sl,sl
siap-hio̍h,澁葉,25,siap-hio̍h,siaphioh8,siaphioh8,siaphioh,siaphioh,sh,sh
ti̍k-lân,澤蘭,25,te̍k-lân,tik8lan5,tek8lan5,tiklan,teklan,tl,tl
oo-sam,烏杉,25,o͘-sam,oosam,oosam,oosam,oosam,os,os
oo-tshîng,烏榕,25,o͘-chhêng,ootshing5,oochheng5,ootshing,oochheng,ot,oc
oo-tinn,烏甜,25,o͘-tiⁿ,ootinn,ootinn,ootinn,ootinn,ot,ot
oo-tāu,烏豆,25,o͘-tāu,ootau7,ootau7,ootau,ootau,ot,ot
oo-muâ,烏麻,25,o͘-môa,oomua5,oomoa5,oomua,oomoa,om,om
hun-tsháu,煙草,25,hun-chháu,huntshau2,hunchhau2,huntshau,hunchhau,ht,hc
nuā-sim,爛心,25,nōa-sim,nua7sim,noa7sim,nuasim,noasim,ns,ns
gû-lin,牛乳,25,gû-lin,gu5lin,gu5lin,gulin,gulin,gl,gl
gû-tsiunn,牛樟,25,gû-chiuⁿ,gu5tsiunn,gu5chiunn,gutsiunn,guchiunn,gt,gc
giû-tshik,牛膝,25,giû-chhek,giu5tshik,giu5chhek,giutshik,giuchhek,gt,gc
káu-tsit,狗脊,25,káu-chit,kau2tsit,kau2chit,kautsit,kauchit,kt,kc
bíng-tshiū,猛樹,25,béng-chhiū,bing2tshiu7,beng2chhiu7,bingtshiu,bengchhiu,bt,bc
to̍k-hua̍t,獨活,25,to̍k-hoa̍t,tok8huat8,tok8hoat8,tokhuat,tokhoat,th,th
giô-tsí,玉枳,25,giô-chí,gio5tsi2,gio5chi2,giotsi,giochi,gt,gc
gio̍k-lân,玉蘭,25,gio̍k-lân,giok8lan5,giok8lan5,gioklan,gioklan,gl,gl
kam-tsià,甘蔗,25,kam-chià,kamtsia3,kamchia3,kamtsia,kamchia,kt,kc
