tl,hanzi,frequency
kinn,經,2304
tshī,飼,2294
pan,班,2292
uân,完,2285
tān,但,2284
tsi,支,2281
ne,呢,2279
lâu,樓,2278
kíng,警,2277
jia̍t,熱,2275
lia̍t,熱,2275
iá,野,2274
kóo,鼓,2258
sik,識,2256
pênn,平,2251
pînn,平,2251
khuài,快,2251
kio̍k,局,2245
kok,各,2238
tsí,姊,2236
pô,婆,2236
àn,案,2236
líng,冷,2230
lo̍k,樂,2229
luān,亂,2228
hu,夫,2228
jīm,任,2224
līm,任,2224
lîng,靈,2220
kó,果,2217
liân,聯,2216
tshian,千,2213
he,彼,2206
huè,貨,2200
hè,貨,2200
kî,奇,2197
hueh,血,2188
huih,血,2188
siu,修,2187
khò,課,2186
tshiat,切,2183
tuì,碓,2176
uî,圍,2174
tsuè,最,2169
tiō,竇,2163
tiō,趙,2163
lia̍p,粒,2160
tsìng,證,2160
gia̍h,額,2154
luē,內,2150
táu,斗,2150
ìn,印,2149
ta,焦,2145
ín,引,2143
kan,艱,2140
tsai,哉,2139
án,按,2137
iû,由,2135
tshì,試,2135
khak,殼,2134
tsūn,捘,2129
iah,搤,2129
pit,筆,2127
pak,腹,2127
tsu,珠,2117
kò,告,2113
tsōo,助,2111
thuân,團,2111
tshâ,柴,2111
ôo,湖,2109
ga̍k,樂,2106
guân,源,2104
tsit,職,2101
buē,賣,2101
bē,賣,2101
pó,寶,2099
hun,婚,2097
si̍t,食,2097
n̂g,黃,2091
tsīng,靜,2086
a,亞,2083
bîng,名,2083
ná,拿,2068
luī,類,2067
ngóo,五,2062
sing,先,2061
kî,祈,2054
tâi,臺,2050
ké,假,2047
tîng,程,2043
to,刀,2036
tn̂g,堂,2031
tôo,圖,2028
keh,隔,2028
kui,歸,2025
bái,䆀,2022
hui,非,2018
huè,歲,2007
hè,歲,2007
huan,番,2005
tsí,指,2001
ku,龜,2000
nńg,軟,1998
buán,滿,1996
hū,婦,1992
pái,跛,1991
ióng,勇,1985
bāng,望,1980
tián,典,1978
ok,惡,1971
huah,喝,1968
tsù,注,1968
huân,煩,1967
phok,博,1962
la̍k,六,1960
keh,格,1956
thîng,停,1954
liû,留,1946
kū,舊,1945
iân,緣,1944
lân,蘭,1941
lí,裡,1940
bāng,網,1939
guân,元,1937
phue,批,1936
kíng,境,1932
bué,買,1923
bé,買,1923
khò,靠,1923
tàu,鬥,1921
lí,李,1918
bú,舞,1914
ik,益,1911
ting,燈,1910
peh,伯,1908
pang,幫,1908
kik,激,1908
bîn,眠,1906
sai,西,1902
ki̍k,極,1899
lô,勞,1896
tó,禱,1894
tsè,濟,1885
khong,空,1884
tuī,隊,1881
sioh,惜,1876
hī,耳,1870
hīnn,耳,1870
ki,枝,1864
tsing,鐘,1863
phìnn,片,1860
tuā,舵,1856
înn,圓,1855
thau,偷,1854
giâm,嚴,1853
sun,孫,1853
tshuē,揣,1852
tshē,揣,1852
kiong,宮,1850
ho̍k,復,1848
tsi,之,1845
ko,哥,1841
kiù,究,1841
tì,智,1834
hàu,孝,1833
gî,疑,1832
gú,語,1831
kí,舉,1824
tōo,肚,1823
tsíng,整,1822
kuì,貴,1821
tàu,晝,1820
kuánn,趕,1819
tsē,睡,1817
huan,翻,1817
hāu,效,1816
tî,除,1812
