hanzi,tl
麻姑獻壽,mâ-koo hiàn-siū
福在眼前,hok-tsāi-gán-tsîng
平尺,phînn-tshioh
角尺,kak-tshioh
平剾仔,phînn-khau-á
香蕉剾刀,kim-tsio-khau-to
鋸仔,kì-á
線板鋸仔,suànn-pán-kì-á
補刀,póo-to
量尺,niû-tshioh
平鑿仔,phînn-tsha̍k-á
圓鑿仔,înn-tsha̍k-á
修光鑿仔,siu-kng-tsha̍k-á
粗胚鑿仔,tshoo-phue-tsha̍k-á
籤尾刀仔,tshiam-bué-to-á
三角刀仔,sann-kak-to-á
鍊帶鋸,lián-tuà-kì
鑽尾,tsńg-bué
電鑽,tiān-tsńg
斧頭,póo-thâu
挲線枋仔,so-suànn-pang-á
牽線柴仔,khan-suànn-tshâ-á
筅仔,tshíng-á
黃塗底,n̂g-thôo-té
安金漆,an-kim-tshat
漆線塗,tshat-suànn-thôo
漆線油,tshat-suànn-iû
立德粉,li̍p-tik-hún
補塗,póo-thôo
水膠,tsuí-ka
拍粗胚,phah-tshoo-phue
修光,siu-kng
染色,ní-tsik
安金箔仔,an-kim-po̍h-á
畫金,uē-kim
彩繪,tshái-uē
幼胚,iù-phue
牽漆線,khan-tshat-suànn
披土,phi-thôo
錦甲,gím-kah
畫活眼,uē-ua̍h-gán
雞卵面,ke-nn̄g-bīn
漆線龍,tshat-suànn-liông
火焰,hué-iām
直支,ti̍t-ki
水波,tsuí-pho
古錢,kóo-tsînn
麒麟,kî-lîn
葫蘆,hôo-lôo
腰帶花,io-tuà-hue
古錢甲,kóo-tsînn-kah
桂花甲,kuì-hue-kah
龍珠,liông-tsu
網仔甲,bāng-á-kah
如意花,jû-ì-hue
錦花,gím-hue
鶴,ho̍h
獅頭,sai-thâu
如意,jû-ì
寶扇,pó-sìnn
水波山頭,tsuí-pho-suann-thâu
吊花,tiàu-hue
雲彩,hûn-tshái
滾花,kún-hue
鑿人字甲,tsha̍k-jîn-jī-kah
龍椅手,liông-í-tshiú
如意手,jû-ì-tshiú
八獅座,pat-sai-tsō
粉面,hún-bīn
劍指,kiàm-kí
三分眼,sann-hun-gán
文目,bûn-ba̍k
圓目,înn-ba̍k
公母榫,kang-bú-sún
魚鱗甲,hî-lân-kah
文袍,bûn-phâu
朝天,tiâu-thian
三轉型,sam-tsuān-hîng
索仔捲,soh-á-kńg
挲線,so-suànn
二層座,jī-tsàn-tsō
靴管,hia-kóng
裝喙鬚,tsng-tshuì-tshiu
腰裒,io-pôo
手裒,tshiú-pôo
跤裒,kha-pôo
穗花,sūi-hue
順手體,sūn-tshiú-thé
反手體,huán-tshiú-thé
拍花面,phah-hue-bīn
植眉,ti̍t-bâi
臥蠶眉,ngōo-tshám-bî
圓桶,înn-táng
包頭巾,pau-thâu-kin
束冠,sok-kuan
煙腸頭毛,ian-tshiâng-thâu-moo
柳葉眉,liú-hio̍h-bâi
鳳眼,hōng-gán
蔥管鼻,tshang-kóng-phīnn
鯉魚嘴,tāi-hî-tshuî
面金,bīn-kim
半金彩,puànn-kim-tshái
擠浮線,tsik-phû-suànn
黑墨畫,oo-ba̍k-uē
緞仔,tuān-á
螭虎草,tshu-hóo-tshó
螭虎緞,tshu-hóo-tuān
疊色,thia̍p-sik
畫石頭,uē-tsio̍h-thâu
畫布花仔,uē-pòo-hue-á
四點金,sì-tiám-kim
文武跤,bûn-bú-kha
北式,pak-sik
南式,lâm-sik
蘇式,soo-sik
筆刀,pit-to
美工刀,bí-kang-to
幼工棒,iù-kang-pāng
鐵仔棒,thih-á-pāng
自動鉛筆,tsū-tōng-iân-pit
格仔尺,keh-á-tshioh
細支鉸刀,sè-ki-ka-to
毡仔,tsám-á
摃槌仔,kòng-thuî-á
切割墊,tshiat-kuah-tiām
齒戳,khí-thok
丹迪紙,tan-tik-tsuá
折刀器,tsiat-to-khì
割紙刀,kuah-tsuá-to
鼓槌,kóo-thuî
繡剪,siù-tsián
鋼刀,kǹg-to
白糊仔,pe̍h-kôo-á
紙膠帶,tsuá-ka-tuà
噴漆,phùn-tshat
描圖紙,biô-tôo-tsuá
金銀箔紙,kim-gîn-po̍h-tsuá
噴膠,phùn-ka
buân白胚,buân-pe̍h-phue
塗紙,thôo-tsuá
糊仔,kôo-á
白胚紙,pe̍h-phue-tsuá
破篾仔,phuà-bi̍h-á
捶篾仔,tuî-bi̍h-á
畫板仔,uē-pán-á
縛紙釘,pa̍k-tsuá-ting
拍箍,phah-khoo
徛柱,khiā-thiāu
隔間,keh-king
縛厝蓋,pa̍k-tshù-kuà
調脊,tiâu-tsit
拍胚,phah-phue
縛冬瓜箍,pa̍k-tang-kue-khoo
拍糊仔,phah-kôo-á
拍初胚,phah-tshoo-phue
二次胚,jī-tshù-phue
捏頭,lia̍p-thâu
紙輪釘,tsuá-lián-ting
擠金,tsik-kim
隔金,keh-kim
拔花,puēh-hue
鉸刀花,ka-to-hue
選竹篾仔,suán-tik-bi̍h-á
裝飾,tsong-sik
生頭發尾,senn-thâu-huat-bué
紙喙,tsuá-tshuì
備零件,pī-lîng-kiānn
螭虎窗,tshi-hóo-thang
草仔花窗,tshó-á-hue-thang
石獅,tsio̍h-sai
石鼓,tsio̍h-kóo
龍柱,lîng-thiāu
傍仔,png-á
