"DictWordID","PojUnicode","PojUnicodeOthers","PojInput","PojInputOthers","HanLoTaibunPoj","KipUnicode","KipUnicodeOthers","KipInput","KipInputOthers","HanLoTaibunKip","HoaBun"
"70499","siông-leng-thn̂g","","siong5-leng-thng5","","松奶糖","siông-ling-thn̂g","","siong5-ling-thng5","","松奶糖","口香糖"
"70500","siông-leng-tòa","","siong5-leng-toa3","","松奶帶","siông-ling-tuà","","siong5-ling-tua3","","松奶帶","橡皮筋"
"70501","siông-lô","","siong5-lo5","","松蘿","siông-lô","","siong5-lo5","","松蘿","台灣杉"
"70502","siông-lô","","siong5-lo5","","松蘿","siông-lô","","siong5-lo5","","松蘿","扁柏"
"70503","siông-lô","","siong5-lo5","","松蘿","siông-lô","","siong5-lo5","","松蘿","紅檜"
"70504","siông-lô","","siong5-lo5","","松蘿","siông-lô","","siong5-lo5","","松蘿","馬尾松"
"70505","siông-miā","","siong5-mia7","","償命","siông-miā","","siong5-mia7","","償命","償命"
"70506","siông-ngô͘","","siong5-ngoo5","","松梧","siông-ngôo","","siong5-ngoo5","","松梧","扁柏"
"70507","siông-ngô͘","","siong5-ngoo5","","松梧","siông-ngôo","","siong5-ngoo5","","松梧","紅檜"
"70508","siông-ngô͘","","siong5-ngoo5","","松梧","siông-ngôo","","siong5-ngoo5","","松梧","檜木"
"70509","siông-ngô͘","siâng-ngô͘","siong5-ngoo5","siang5-ngoo5","嫦娥","siông-ngôo","siâng-ngôo","siong5-ngoo5","siang5-ngoo5","嫦娥","嫦娥"
"70510","siông-nî","siâng-nî","siong5-ni5","siang5-ni5","常年","siông-nî","siâng-nî","siong5-ni5","siang5-ni5","常年","例年"
"70511","siông-san","","siong5-san","","常山","siông-san","","siong5-san","","常山","大葉溲疏"
"70512","siông-san","","siong5-san","","常山","siông-san","","siong5-san","","常山","常山"
"70513","Siông-san-khu","","Siong5-san-khu","","松山區","Siông-san-khu","","Siong5-san-khu","","松山區","松山區"
"70514","Siông-san-ki-tiûⁿ","","Siong5-san-ki-tiunn5","","松山機場","Siông-san-ki-tiûnn","","Siong5-san-ki-tiunn5","","松山機場","松山機場"
"70515","siông-san-lî","","siong5-san-li5","","常山尼","siông-san-lî","","siong5-san-li5","","常山尼","常山"
"70516","Siông-úi-hōe","","Siong5-ui2-hoe7","","常委會","Siông-uí-huē","","Siong5-ui2-hue7","","常委會","常委會"
"70517","siōng-chhí-hōe","","siong7-chhi2-hoe7","","尚齒會","siōng-tshí-huē","","siong7-tshi2-hue7","","尚齒會","敬老會"
"70518","siōng-chhiáⁿ","","siong7-chhiann2","","尚且","siōng-tshiánn","","siong7-tshiann2","","尚且","而且"
"70519","Siōng-hái","","Siong7-hai2","","上海","Siōng-hái","","Siong7-hai2","","上海","上海"
"70520","Siōng-hái-chhī","","Siong7-hai2-chhi7","","上海市","Siōng-hái-tshī","","Siong7-hai2-tshi7","","上海市","上海市"
"70521","siōng-hêng","","siong7-heng5","","象形","siōng-hîng","","siong7-hing5","","象形","象形"
"70522","siōng-keng","","siong7-keng","","誦經","siōng-king","","siong7-king","","誦經","誦經"
"70523","siōng-khò","chiūⁿ-khò","siong7-kho3","chiunn7-kho3","上課","siōng-khò","tsiūnn-khò","siong7-kho3","tsiunn7-kho3","上課","上課"
"70524","Siōng-koan","","Siong7-koan","","上官","Siōng-kuan","","Siong7-kuan","","上官","上官"
"70525","siōng-kùn","","siong7-kun3","","訟棍","siōng-kùn","","siong7-kun3","","訟棍","訟棍"
"70526","Siōng-su","","Siong7-su","","尚書","Siōng-su","","Siong7-su","","尚書","尚書"
"70527","Siōng-tè","","Siong7-te3","","上帝","Siōng-tè","","Siong7-te3","","上帝","上帝"
"70528","siong-bông","","siong-bong5","","傷亡","siong-bông","","siong-bong5","","傷亡","傷亡"
"70529","siong-bū","","siong-bu7","","商務","siong-bū","","siong-bu7","","商務","商務"
"70530","siong-bū-pō͘","","siong-bu7-poo7","","商務部","siong-bū-pōo","","siong-bu7-poo7","","商務部","商務部"
"70531","siong-chèng","","siong-cheng3","","傷症","siong-tsìng","","siong-tsing3","","傷症","肺病"
"70532","siong-chèng","","siong-cheng3","","傷症","siong-tsìng","","siong-tsing3","","傷症","肺結核"
