hanzi,tl,frequency,poj,tl_num,poj_num,tps_num,tl_notone,poj_notone,tps_notone,tl_abbrev,poj_abbrev,tps_abbrev,kungge,is_variant
塔啾,tah-tshiu,25,tah-chhiu,tah4tshiu1,tah4chhiu1,ㄉㄚㆷㄑㄧㄨ,tahtshiu,tahchhiu,ㄉㄚㆷㄑㄧㄨ,tt,tc,ㄉㄑ,True,False
塔梯,thah-thui,25,thah-thui,thah4thui1,thah4thui1,ㄊㄚㆷㄊㄨㄧ,thahthui,thahthui,ㄊㄚㆷㄊㄨㄧ,tt,tt,ㄊㄊ,True,False
塔舌,thah-tsi̍h,25,thah-chi̍h,thah4tsih8,thah4chih8,ㄊㄚㆷㄐㄧㆷ̇,thahtsih,thahchih,ㄊㄚㆷㄐㄧㆷ,tt,tc,ㄊㄐ,True,False
塗捀,thôo-phâng,25,thô͘-phâng,thoo5phang5,thoo5phang5,ㄊㆦˊㄆㄤˊ,thoophang,thoophang,ㄊㆦㄆㄤ,tp,tp,ㄊㄆ,True,False
塗朱,thôo-tsu,25,thô͘-chu,thoo5tsu1,thoo5chu1,ㄊㆦˊㄗㄨ,thootsu,thoochu,ㄊㆦㄗㄨ,tt,tc,ㄊㄗ,True,False
塗紙,thôo-tsuá,25,thô͘-chóa,thoo5tsua2,thoo5choa2,ㄊㆦˊㄗㄨㄚˋ,thootsua,thoochoa,ㄊㆦㄗㄨㄚ,tt,tc,ㄊㄗ,True,False
塗胚,thôo-phue,25,thô͘-phoe,thoo5phue1,thoo5phoe1,ㄊㆦˊㄆㄨㆤ,thoophue,thoophoe,ㄊㆦㄆㄨㆤ,tp,tp,ㄊㄆ,True,True
塭仔,un-á,25,un-á,un1a2,un1a2,ㄨㄣㄚˋ,una,una,ㄨㄣㄚ,ua,ua,ㄨㄚ,True,False
墜仔,tuī-á,25,tūi-á,tui7a2,tui7a2,ㄉㄨㄧ˫ㄚˋ,tuia,tuia,ㄉㄨㄧㄚ,ta,ta,ㄉㄚ,True,False
墨斗,ba̍k-táu,25,ba̍k-táu,bak8tau2,bak8tau2,ㆠㄚㆻ̇ㄉㄠˋ,baktau,baktau,ㆠㄚㆻㄉㄠ,bt,bt,ㆠㄉ,True,False
壁堵,piah-tóo,25,piah-tó͘,piah4too2,piah4too2,ㄅㄧㄚㆷㄉㆦˋ,piahtoo,piahtoo,ㄅㄧㄚㆷㄉㆦ,pt,pt,ㄅㄉ,True,False
壓扒,ah-pe,25,ah-pe,ah4pe1,ah4pe1,ㄚㆷㄅㆤ,ahpe,ahpe,ㄚㆷㄅㆤ,ap,ap,ㄚㄅ,True,False
大破,tuā-phuà,25,tōa-phòa,tua7phua3,toa7phoa3,ㄉㄨㄚ˫ㄆㄨㄚ˪,tuaphua,toaphoa,ㄉㄨㄚㄆㄨㄚ,tp,tp,ㄉㄆ,True,False
大菁,tuā-tshinn,25,tōa-chhiⁿ,tua7tshinn1,toa7chhinn1,ㄉㄨㄚ˫ㄑㆪ,tuatshinn,toachhinn,ㄉㄨㄚㄑㆪ,tt,tc,ㄉㄑ,True,False
大鏨,tuā-tsām,25,tōa-chām,tua7tsam7,toa7cham7,ㄉㄨㄚ˫ㄗㆰ˫,tuatsam,toacham,ㄉㄨㄚㄗㆰ,tt,tc,ㄉㄗ,True,False
夾仔,ngeh-á,25,ngeh-á,ngeh4a2,ngeh4a2,ㄫㆤㆷㄚˋ,ngeha,ngeha,ㄫㆤㆷㄚ,na,na,ㄫㄚ,True,False
夾枋,kiap-pang,25,kiap-pang,kiap4pang1,kiap4pang1,ㄍㄧㄚㆴㄅㄤ,kiappang,kiappang,ㄍㄧㄚㆴㄅㄤ,kp,kp,ㄍㄅ,True,False
如意,jû-ì,25,jû-ì,ju5i3,ju5i3,ㆡㄨˊㄧ˪,jui,jui,ㆡㄨㄧ,ji,ji,ㆡㄧ,True,False
定闊,tīng-khuah,25,tēng-khoah,ting7khuah4,teng7khoah4,ㄉㄧㄥ˫ㄎㄨㄚㆷ,tingkhuah,tengkhoah,ㄉㄧㄥㄎㄨㄚㆷ,tk,tk,ㄉㄎ,True,False
寄線,kià-suànn,25,kià-sòaⁿ,kia3suann3,kia3soann3,ㄍㄧㄚ˪ㄙㄨㆩ˪,kiasuann,kiasoann,ㄍㄧㄚㄙㄨㆩ,ks,ks,ㄍㄙ,True,False
寶扇,pó-sìnn,25,pó-sìⁿ,po2sinn3,po2sinn3,ㄅㄛˋㄒㆪ˪,posinn,posinn,ㄅㄛㄒㆪ,ps,ps,ㄅㄒ,True,False
封帽,hong-bō,25,hong-bō,hong1bo7,hong1bo7,ㄏㆲㆠㄛ˫,hongbo,hongbo,ㄏㆲㆠㄛ,hb,hb,ㄏㆠ,True,True
對破,tuì-phuà,25,tùi-phòa,tui3phua3,tui3phoa3,ㄉㄨㄧ˪ㄆㄨㄚ˪,tuiphua,tuiphoa,ㄉㄨㄧㄆㄨㄚ,tp,tp,ㄉㄆ,True,False
小旦,sió-tuànn,25,sió-tòaⁿ,sio2tuann3,sio2toann3,ㄒㄧㄛˋㄉㄨㆩ˪,siotuann,siotoann,ㄒㄧㄛㄉㄨㆩ,st,st,ㄒㄉ,True,False
小生,sió-sing,25,sió-seng,sio2sing1,sio2seng1,ㄒㄧㄛˋㄒㄧㄥ,siosing,sioseng,ㄒㄧㄛㄒㄧㄥ,ss,ss,ㄒㄒ,True,False
小菁,sió-tshinn,25,sió-chhiⁿ,sio2tshinn1,sio2chhinn1,ㄒㄧㄛˋㄑㆪ,siotshinn,siochhinn,ㄒㄧㄛㄑㆪ,st,sc,ㄒㄑ,True,False
尺鎚,tshioh-thuî,25,chhioh-thûi,tshioh4thui5,chhioh4thui5,ㄑㄧㄛㆷㄊㄨㄧˊ,tshiohthui,chhiohthui,ㄑㄧㄛㆷㄊㄨㄧ,tt,ct,ㄑㄊ,True,True
屏風,pîn-hong,25,pîn-hong,pin5hong1,pin5hong1,ㄅㄧㄣˊㄏㆲ,pinhong,pinhong,ㄅㄧㄣㄏㆲ,ph,ph,ㄅㄏ,True,False
巧雕,khá-tiau,25,khá-tiau,kha2tiau1,kha2tiau1,ㄎㄚˋㄉㄧㄠ,khatiau,khatiau,ㄎㄚㄉㄧㄠ,kt,kt,ㄎㄉ,True,False
布枋,pòo-pang,25,pò͘-pang,poo3pang1,poo3pang1,ㄅㆦ˪ㄅㄤ,poopang,poopang,ㄅㆦㄅㄤ,pp,pp,ㄅㄅ,True,True
布碖,pòo-lún,25,pò͘-lún,poo3lun2,poo3lun2,ㄅㆦ˪ㄌㄨㄣˋ,poolun,poolun,ㄅㆦㄌㄨㄣ,pl,pl,ㄅㄌ,True,True
帶鋸,tuà-kù,25,tòa-kù,tua3ku3,toa3ku3,ㄉㄨㄚ˪ㄍㄨ˪,tuaku,toaku,ㄉㄨㄚㄍㄨ,tk,tk,ㄉㄍ,True,True
帶騎,tài-khiâ,25,tài-khiâ,tai3khia5,tai3khia5,ㄉㄞ˪ㄎㄧㄚˊ,taikhia,taikhia,ㄉㄞㄎㄧㄚ,tk,tk,ㄉㄎ,True,False
平尺,phînn-tshioh,25,phîⁿ-chhioh,phinn5tshioh4,phinn5chhioh4,ㄆㆪˊㄑㄧㄛㆷ,phinntshioh,phinnchhioh,ㄆㆪㄑㄧㄛㆷ,pt,pc,ㄆㄑ,True,False
平枋,pênn-pang,25,pêⁿ-pang,penn5pang1,penn5pang1,ㄅㆥˊㄅㄤ,pennpang,pennpang,ㄅㆥㄅㄤ,pp,pp,ㄅㄅ,True,False
幼破,iù-phuà,25,iù-phòa,iu3phua3,iu3phoa3,ㄧㄨ˪ㄆㄨㄚ˪,iuphua,iuphoa,ㄧㄨㄆㄨㄚ,ip,ip,ㄧㄆ,True,False
幼胚,iù-phue,25,iù-phoe,iu3phue1,iu3phoe1,ㄧㄨ˪ㄆㄨㆤ,iuphue,iuphoe,ㄧㄨㄆㄨㆤ,ip,ip,ㄧㄆ,True,True
幼蔥,iù-tshong,25,iù-chhong,iu3tshong1,iu3chhong1,ㄧㄨ˪ㄘㆲ,iutshong,iuchhong,ㄧㄨㄘㆲ,it,ic,ㄧㄘ,True,False
幼針,iù-tsiam,25,iù-chiam,iu3tsiam1,iu3chiam1,ㄧㄨ˪ㄐㄧㆰ,iutsiam,iuchiam,ㄧㄨㄐㄧㆰ,it,ic,ㄧㄐ,True,False
度針,tōo-tsiam,25,tō͘-chiam,too7tsiam1,too7chiam1,ㄉㆦ˫ㄐㄧㆰ,tootsiam,toochiam,ㄉㆦㄐㄧㆰ,tt,tc,ㄉㄐ,True,False
弓仔,king-á,25,keng-á,king1a2,keng1a2,ㄍㄧㄥㄚˋ,kinga,kenga,ㄍㄧㄥㄚ,ka,ka,ㄍㄚ,True,False
弓枋,king-pang,25,keng-pang,king1pang1,keng1pang1,ㄍㄧㄥㄅㄤ,kingpang,kengpang,ㄍㄧㄥㄅㄤ,kp,kp,ㄍㄅ,True,False
彎剾,uân-khau,25,oân-khau,uan5khau1,oan5khau1,ㄨㄢˊㄎㄠ,uankhau,oankhau,ㄨㄢㄎㄠ,uk,ok,ㄨㄎ,True,False
彩繪,tshái-uē,25,chhái-ōe,tshai2ue7,chhai2oe7,ㄘㄞˋㄨㆤ˫,tshaiue,chhaioe,ㄘㄞㄨㆤ,tu,co,ㄘㄨ,True,False
徛七,khiā-tshit,25,khiā-chhit,khia7tshit4,khia7chhit4,ㄎㄧㄚ˫ㄑㄧㆵ,khiatshit,khiachhit,ㄎㄧㄚㄑㄧㆵ,kt,kc,ㄎㄑ,True,False
徛心,khiā-sim,25,khiā-sim,khia7sim1,khia7sim1,ㄎㄧㄚ˫ㄒㄧㆬ,khiasim,khiasim,ㄎㄧㄚㄒㄧㆬ,ks,ks,ㄎㄒ,True,False
徛柱,khiā-thiāu,25,khiā-thiāu,khia7thiau7,khia7thiau7,ㄎㄧㄚ˫ㄊㄧㄠ˫,khiathiau,khiathiau,ㄎㄧㄚㄊㄧㄠ,kt,kt,ㄎㄊ,True,False
徛鏡,khiā-kiànn,25,khiā-kiàⁿ,khia7kiann3,khia7kiann3,ㄎㄧㄚ˫ㄍㄧㆩ˪,khiakiann,khiakiann,ㄎㄧㄚㄍㄧㆩ,kk,kk,ㄎㄍ,True,False
戕仔,tshiâng-á,25,chhiâng-á,tshiang5a2,chhiang5a2,ㄑㄧㄤˊㄚˋ,tshianga,chhianga,ㄑㄧㄤㄚ,ta,ca,ㄑㄚ,True,False
戰甲,tsiàn-kah,25,chiàn-kah,tsian3kah4,chian3kah4,ㄐㄧㄢ˪ㄍㄚㆷ,tsiankah,chiankah,ㄐㄧㄢㄍㄚㆷ,tk,ck,ㄐㄍ,True,True
扁擔,pún-tann,25,pún-taⁿ,pun2tann1,pun2tann1,ㄅㄨㄣˋㄉㆩ,puntann,puntann,ㄅㄨㄣㄉㆩ,pt,pt,ㄅㄉ,True,False
手包,tshiú-pau,25,chhiú-pau,tshiu2pau1,chhiu2pau1,ㄑㄧㄨˋㄅㄠ,tshiupau,chhiupau,ㄑㄧㄨㄅㄠ,tp,cp,ㄑㄅ,True,False
手裒,tshiú-pôo,25,chhiú-pô͘,tshiu2poo5,chhiu2poo5,ㄑㄧㄨˋㄅㆦˊ,tshiupoo,chhiupoo,ㄑㄧㄨㄅㆦ,tp,cp,ㄑㄅ,True,False
手銬,tshiú-khàu,25,chhiú-khàu,tshiu2khau3,chhiu2khau3,ㄑㄧㄨˋㄎㄠ˪,tshiukhau,chhiukhau,ㄑㄧㄨㄎㄠ,tk,ck,ㄑㄎ,True,False
托燈,thuh-ting,25,thuh-teng,thuh4ting1,thuh4teng1,ㄊㄨㆷㄉㄧㄥ,thuhting,thuhteng,ㄊㄨㆷㄉㄧㄥ,tt,tt,ㄊㄉ,True,True
批塗,phi-thôo,25,phi-thô͘,phi1thoo5,phi1thoo5,ㄆㄧㄊㆦˊ,phithoo,phithoo,ㄆㄧㄊㆦ,pt,pt,ㄆㄊ,True,False
披土,phi-thôo,25,phi-thô͘,phi1thoo5,phi1thoo5,ㄆㄧㄊㆦˊ,phithoo,phithoo,ㄆㄧㄊㆦ,pt,pt,ㄆㄊ,True,True
抹刀,buah-to,25,boah-to,buah4to1,boah4to1,ㆠㄨㄚㆷㄉㄛ,buahto,boahto,ㆠㄨㄚㆷㄉㄛ,bt,bt,ㆠㄉ,True,False
抾板,khioh-pán,25,khioh-pán,khioh4pan2,khioh4pan2,ㄎㄧㄛㆷㄅㄢˋ,khiohpan,khiohpan,ㄎㄧㄛㆷㄅㄢ,kp,kp,ㄎㄅ,True,False
抾蒼,khioh-tshong,25,khioh-chhong,khioh4tshong1,khioh4chhong1,ㄎㄧㄛㆷㄘㆲ,khiohtshong,khiohchhong,ㄎㄧㄛㆷㄘㆲ,kt,kc,ㄎㄘ,True,False
