tl,poj,hanzi,tl_no_tone,poj_no_tone,syllable_count,source
tshàu-tsho-tsháu,chhàu-chho-chháu,臭臊草,tshau-tsho-tshau,chhau-chho-chhau,3,sitbut
tshàu-kám-tsháu,chhàu-kám-chháu,臭敢草,tshau-kam-tshau,chhau-kam-chhau,3,sitbut
káu-lia̍p-bí,káu-lia̍p-bí,狗粒米,kau-liap-bi,kau-liap-bi,3,sitbut
tshiú-io̍h,chhiú-io̍h,手藥,tshiu-ioh,chhiu-ioh,2,sitbut
hî-tsho-tsháu,hî-chho-chháu,魚臊草,hi-tsho-tshau,hi-chho-chhau,3,sitbut
tsuí-láu-tsháu,chúi-láu-chháu,水荖草,tsui-lau-tshau,chui-lau-chhau,3,sitbut
lô-tîn,lô-tîn,蔞藤,lo-tin,lo-tin,2,sitbut
láu-tîn,láu-tîn,荖藤,lau-tin,lau-tin,2,sitbut
hong-tîn,hong-tîn,風藤,hong-tin,hong-tin,2,sitbut
tuā-hong-tîn,tōa-hong-tîn,大風藤,tua-hong-tin,toa-hong-tin,3,sitbut
tsin-hong-tîn,chin-hong-tîn,真風藤,tsin-hong-tin,chin-hong-tin,3,sitbut
ho-tsio,ho-chio,胡椒,ho-tsio,ho-chio,2,sitbut
sì-hio̍h-liân,sì-hio̍h-liân,四葉蓮,si-hioh-lian,si-hioh-lian,3,sitbut
kue-kha-lân,koe-kha-lân,鷄脚蘭,kue-kha-lan,koe-kha-lan,3,sitbut
tê-lân,tê-lân,茶蘭,te-lan,te-lan,2,sitbut
suî-liú,sûi-liú,垂柳,sui-liu,sui-liu,2,sitbut
tsuí-liú,chúi-liú,水柳,tsui-liu,chui-liu,2,sitbut
tsuí-liú-á,chúi-liú-á,水柳仔,tsui-liu-a,chui-liu-a,3,sitbut
tshiū-m̂,chhiū-m̂,樹梅,tshiu-m,chhiu-m,2,sitbut
iuān-m̂,ioān-m̂,椵梅,iuan-m,ioan-m,2,sitbut
iông-muâi,iông-moâi,楊梅,iong-muai,iong-moai,2,sitbut
n̂g-kí,n̂g-kí,黃𣏌,ng-ki,ng-ki,2,sitbut
