tl,poj,hanzi,tl_no_tone,poj_no_tone,syllable_count,source
be̍h-tong-lô,be̍h-tong-lô,麥當勞,beh-tong-lo,beh-tong-lo,3,taigitv
bi̍k-tong-lô,be̍k-tong-lô,麥當勞,bik-tong-lo,bek-tong-lo,3,taigitv
hioh-mê,hioh-mê,歇暝,hioh-me,hioh-me,2,taigitv
hioh-mî,hioh-mî,歇暝,hioh-mi,hioh-mi,2,taigitv
khí-pháu-tiám,khí-pháu-tiám,起跑點,khi-phau-tiam,khi-phau-tiam,3,taigitv
thah-lī-pan,thah-lī-pan,塔利班,thah-li-pan,thah-li-pan,3,taigitv
ah-tshá-pâng,ah-chhá-pâng,壓炒房,ah-tsha-pang,ah-chha-pang,3,taigitv
ī-siū-tshù,ī-siū-chhù,預售厝,i-siu-tshu,i-siu-chhu,3,taigitv
ū-siū-tshù,ū-siū-chhù,預售厝,u-siu-tshu,u-siu-chhu,3,taigitv
puî-sin-tsìng,pûi-sin-chèng,肥身症,pui-sin-tsing,pui-sin-cheng,3,taigitv
tiān-kīng,tiān-kēng,電競,tian-king,tian-keng,2,taigitv
tshia-hua-phín,chhia-hoa-phín,奢華品,tshia-hua-phin,chhia-hoa-phin,3,taigitv
lak-tshìng-su̍t,lak-chhèng-su̍t,戮銃術,lak-tshing-sut,lak-chheng-sut,3,taigitv
kàm-kau,kàm-kau,監交,kam-kau,kam-kau,2,taigitv
thiàn-tòo,thiàn-tò͘,thiàn-tòo,thian-too,thian-to͘,2,taigitv
pòo-phâng-tshù,pò͘-phâng-chhù,布篷厝,poo-phang-tshu,po͘-phang-chhu,3,taigitv
phuè-sàng,phòe-sàng,配送,phue-sang,phoe-sang,2,taigitv
phè-sàng,phè-sàng,配送,phe-sang,phe-sang,2,taigitv
iu-ut-tsìng,iu-ut-chèng,憂鬱症,iu-ut-tsing,iu-ut-cheng,3,taigitv
it-iā-kuann,it-iā-koaⁿ,一夜干,it-ia-kuann,it-ia-koaⁿ,3,taigitv
ka-bé,ka-bé,加碼,ka-be,ka-be,2,taigitv
khu-tio̍k-lām,khu-tio̍k-lām,驅逐艦,khu-tiok-lam,khu-tiok-lam,3,taigitv
khu-tio̍k-līng,khu-tio̍k-lēng,驅逐令,khu-tiok-ling,khu-tiok-leng,3,taigitv
pháinn-tiâu-the,pháiⁿ-tiâu-the,歹牢胎,phainn-tiau-the,phaiⁿ-tiau-the,3,taigitv
tǹg-khah,tǹg-khah,頓卡,tng-khah,tng-khah,2,taigitv
hî-tsí-tsiùnn,hî-chí-chiùⁿ,魚子醬,hi-tsi-tsiunn,hi-chi-chiuⁿ,3,taigitv
ín-lōo-lâng,ín-lō͘-lâng,引路人,in-loo-lang,in-lo͘-lang,3,taigitv
khó-tshìng,khó-chhèng,考銃,kho-tshing,kho-chheng,2,taigitv
tuā-lia̍p-lu,tōa-lia̍p-lu,大粒攄,tua-liap-lu,toa-liap-lu,3,taigitv
pak-tē,pak-tē,腹地,pak-te,pak-te,2,taigitv
pak-tuē,pak-tōe,腹地,pak-tue,pak-toe,2,taigitv
lâng-tīn,lâng-tīn,人陣,lang-tin,lang-tin,2,taigitv
kuè-lōo-lâng,kòe-lō͘-lâng,過路人,kue-loo-lang,koe-lo͘-lang,3,taigitv
tsiau-lī-tsìng,chiau-lī-chèng,焦慮症,tsiau-li-tsing,chiau-li-cheng,3,taigitv
tsiau-lū-tsìng,chiau-lū-chèng,焦慮症,tsiau-lu-tsing,chiau-lu-cheng,3,taigitv
koh-kuî,koh-kûi,閣揆,koh-kui,koh-kui,2,taigitv
iû-hì,iû-hì,遊戲,iu-hi,iu-hi,2,taigitv
tui-kio̍k,tui-kio̍k,追劇,tui-kiok,tui-kiok,2,taigitv
tui-tshenn,tui-chheⁿ,追星,tui-tshenn,tui-chheⁿ,2,taigitv
tui-tshinn,tui-chhiⁿ,追星,tui-tshinn,tui-chhiⁿ,2,taigitv
thán-pinn,thán-piⁿ,坦邊,than-pinn,than-piⁿ,2,taigitv
