tl,poj,hanzi,tl_no_tone,poj_no_tone,syllable_count,source
tíng-tûn,téng-tûn,頂脣,ting-tun,teng-tun,2,itaigi
siōng--uì,siōng--ùi,上尉,siong--ui,siong--ui,2,itaigi
teh-bōng-tsuá,teh-bōng-chóa,硩墓紙,teh-bong-tsua,teh-bong-choa,3,itaigi
tsiunn-ám,chiuⁿ-ám,漿泔,tsiunn-am,chiuⁿ-am,2,itaigi
tsia̍h-tiâu-leh,chia̍h-tiâu-leh,食牢咧,tsiah-tiau-leh,chiah-tiau-leh,3,itaigi
kán-pī,kán-pī,𡢃婢,kan-pi,kan-pi,2,itaigi
phah-sǹg,phah-sǹg,拍算,phah-sng,phah-sng,2,itaigi
bông-kok-lôo,bông-kok-lô͘,亡國奴,bong-kok-loo,bong-kok-lo͘,3,itaigi
tshian-lí-khu,chhian-lí-khu,千里駒,tshian-li-khu,chhian-li-khu,3,itaigi
tò-tiàu-hông,tò-tiàu-hông,倒吊癀,to-tiau-hong,to-tiau-hong,3,itaigi
sian-m̄-thang,sian-m̄-thang,仙毋通,sian-m-thang,sian-m-thang,3,itaigi
bô-thâu-tsáng,bô-thâu-cháng,無頭摠,bo-thau-tsang,bo-thau-chang,3,itaigi
jû-tsháng-tsháng,jû-chháng-chháng,挐氅氅,ju-tshang-tshang,ju-chhang-chhang,3,itaigi
tshuì-hue,chhùi-hoe,喙花,tshui-hue,chhui-hoe,2,itaigi
ū-tshuì-tsuí,ū-chhùi-chúi,有喙水,u-tshui-tsui,u-chhui-chui,3,itaigi
gâu-kong-uē,gâu-kong-ōe,𠢕講話,gau-kong-ue,gau-kong-oe,3,itaigi
bô-liàm-tshuì,bô-liàm-chhùi,無殮喙,bo-liam-tshui,bo-liam-chhui,3,itaigi
tshiâng-á,chhiâng-á,戕仔,tshiang-a,chhiang-a,2,itaigi
tshuì-nuā-tsuí,chhùi-nōa-chúi,喙瀾水,tshui-nua-tsui,chhui-noa-chui,3,itaigi
pháinn-tshuì,pháiⁿ-chhùi,歹喙,phainn-tshui,phaiⁿ-chhui,2,itaigi
pháinn-tshuì--phīnn,pháiⁿ-chhùi--phīⁿ,歹喙鼻,phainn-tshui--phinn,phaiⁿ-chhui--phiⁿ,3,itaigi
sio-pò-tshuì,sio-pò-chhùi,相報喙,sio-po-tshui,sio-po-chhui,3,itaigi
tshuì-tsiap-tshuì,chhùi-chiap-chhùi,喙接喙,tshui-tsiap-tshui,chhui-chiap-chhui,3,itaigi
hīnn-thuân-hīnn,hīⁿ-thoân-hīⁿ,耳傳耳,hinn-thuan-hinn,hiⁿ-thoan-hiⁿ,3,itaigi
tshuì-thuân-tshuì,chhùi-thoân-chhùi,喙傳喙,tshui-thuan-tshui,chhui-thoan-chhui,3,itaigi
sio-tak-tshuì,sio-tak-chhùi,相觸喙,sio-tak-tshui,sio-tak-chhui,3,itaigi
tshuì-kín,chhùi-kín,喙緊,tshui-kin,chhui-kin,2,itaigi
sio-poh-tshuì,sio-poh-chhùi,相駁喙,sio-poh-tshui,sio-poh-chhui,3,itaigi
sio-tsènn-tshuì,sio-chèⁿ-chhùi,相諍喙,sio-tsenn-tshui,sio-cheⁿ-chhui,3,itaigi
tsènn-tshuì,chèⁿ-chhùi,諍喙,tsenn-tshui,cheⁿ-chhui,2,itaigi
tshàu-tshuì-pinn,chhàu-chhùi-piⁿ,臭喙邊,tshau-tshui-pinn,chhau-chhui-piⁿ,3,itaigi
han-bān-tshuì,han-bān-chhùi,頇顢喙,han-ban-tshui,han-ban-chhui,3,itaigi
tshuì-kháu-tiānn,chhùi-kháu-tiāⁿ,喙口定,tshui-khau-tiann,chhui-khau-tiaⁿ,3,itaigi
tshàu-tshuì,chhàu-chhùi,臭喙,tshau-tshui,chhau-chhui,2,itaigi
gi̍k-kháu,ge̍k-kháu,逆口,gik-khau,gek-khau,2,itaigi
tshuì-iok,chhùi-iok,喙約,tshui-iok,chhui-iok,2,itaigi
suān-tsio̍h-tshuì,soān-chio̍h-chhùi,璇石喙,suan-tsioh-tshui,soan-chioh-chhui,3,itaigi
tshuì-ba̍t,chhùi-ba̍t,喙密,tshui-bat,chhui-bat,2,itaigi
poh-tshuì,poh-chhùi,駁喙,poh-tshui,poh-chhui,2,itaigi
puânn-tshuì,pôaⁿ-chhùi,盤喙,puann-tshui,poaⁿ-chhui,2,itaigi
tak-tshuì,tak-chhùi,觸喙,tak-tshui,tak-chhui,2,itaigi
tshàu-tshuì-ham,chhàu-chhùi-ham,臭喙𦜆,tshau-tshui-ham,chhau-chhui-ham,3,itaigi
tshuì-lōo,chhùi-lō͘,喙路,tshui-loo,chhui-lo͘,2,itaigi
tshuì-liām-king,chhùi-liām-keng,喙念經,tshui-liam-king,chhui-liam-keng,3,itaigi
tshiú-bong-ling,chhiú-bong-leng,手摸乳,tshiu-bong-ling,chhiu-bong-leng,3,itaigi
tshuì-hoo,chhùi-ho͘,喙呼,tshui-hoo,chhui-ho͘,2,itaigi
tshuì-kóng,chhùi-kóng,喙講,tshui-kong,chhui-kong,2,itaigi
kim-tshuì,kim-chhùi,金喙,kim-tshui,kim-chhui,2,itaigi
ba̍t-tshuì,ba̍t-chhùi,密喙,bat-tshui,bat-chhui,2,itaigi
tshiūnn-ling-thn̂g,chhiūⁿ-leng-thn̂g,橡奶糖,tshiunn-ling-thng,chhiuⁿ-leng-thng,3,itaigi
īng-tshuì-ān,ēng-chhùi-ān,用喙限,ing-tshui-an,eng-chhui-an,3,itaigi
tshuì-khîm,chhùi-khîm,喙琴,tshui-khim,chhui-khim,2,itaigi
tshuì-ta̍h-thut,chhùi-ta̍h-thut,喙踏脫,tshui-tah-thut,chhui-tah-thut,3,itaigi
tshuì-tà,chhùi-tà,喙罩,tshui-ta,chhui-ta,2,itaigi
thn̂g-sng-tshuì,thn̂g-sng-chhùi,糖霜喙,thng-sng-tshui,thng-sng-chhui,3,itaigi
phi-sng-sim,phi-sng-sim,砒霜心,phi-sng-sim,phi-sng-sim,3,itaigi
