tl,poj,hanzi,tl_no_tone,poj_no_tone,syllable_count,source,is_variant
tong,tong,當,tong,tong,1,kautian,False
tòng,tòng,當,tong,tong,1,kautian,False
puì,pùi,痱,pui,pui,1,kautian,False
tshi,chhi,痴,tshi,chhi,1,kautian,False
pì,pì,痹,pi,pi,1,kautian,False
pì,pì,痺,pi,pi,1,kautian,False
tsán,chán,盞,tsan,chan,1,kautian,False
bîng,bêng,盟,bing,beng,1,kautian,False
kâinn,kâiⁿ,睚,kainn,kaiⁿ,1,kautian,False
tsing,cheng,睛,tsing,cheng,1,kautian,False
tok,tok,督,tok,tok,1,kautian,False
bo̍k,bo̍k,睦,bok,bok,1,kautian,False
tsiah,chiah,睫,tsiah,chiah,1,kautian,False
tsiu,chiu,睭,tsiu,chiu,1,kautian,False
tóo,tó͘,睹,too,to͘,1,kautian,False
phîng,phêng,硼,phing,pheng,1,kautian,False
tīng,tēng,碇,ting,teng,1,kautian,False
lo̍k,lo̍k,碌,lok,lok,1,kautian,False
tuì,tùi,碓,tui,tui,1,kautian,False
lún,lún,碖,lun,lun,1,kautian,False
ta̍k,ta̍k,碡,tak,tak,1,kautian,False
phòng,phòng,碰,phong,phong,1,kautian,False
kî,kî,祺,ki,ki,1,kautian,False
lo̍k,lo̍k,祿,lok,lok,1,kautian,False
khîm,khîm,禽,khim,khim,1,kautian,False
tī,tī,稚,ti,ti,1,kautian,False
tiû,tiû,稠,tiu,tiu,1,kautian,False
thām,thām,窞,tham,tham,1,kautian,False
su̍t,su̍t,窣,sut,sut,1,kautian,False
ûn,ûn,筠,un,un,1,kautian,False
kián,kián,筧,kian,kian,1,kautian,False
liâng,liâng,粱,liang,liang,1,kautian,False
páng,páng,綁,pang,pang,1,kautian,False
tsē,chē,罪,tse,che,1,kautian,False
tì,tì,置,ti,ti,1,kautian,False
sú,sú,署,su,su,1,kautian,False
sū,sū,署,su,su,1,kautian,False
siān,siān,羨,sian,sian,1,kautian,False
sìng,sèng,聖,sing,seng,1,kautian,False
sù,sù,肆,su,su,1,kautian,False
tshenn,chheⁿ,腥,tshenn,chheⁿ,1,kautian,False
tshinn,chhiⁿ,腥,tshinn,chhiⁿ,1,kautian,False
ló,ló,腦,lo,lo,1,kautian,False
lám,lám,腩,lam,lam,1,kautian,False
tshi,chhi,腮,tshi,chhi,1,kautian,False
iau,iau,腰,iau,iau,1,kautian,False
kiàn,kiàn,腱,kian,kian,1,kautian,False
kiān,kiān,腱,kian,kian,1,kautian,False
kioh,kioh,腳,kioh,kioh,1,kautian,False
kiok,kiok,腳,kiok,kiok,1,kautian,False
tshiân,chhiân,腸,tshian,chhian,1,kautian,False
tshiâng,chhiâng,腸,tshiang,chhiang,1,kautian,False
tiông,tiông,腸,tiong,tiong,1,kautian,False
hok,hok,腹,hok,hok,1,kautian,False
kiū,kiū,舅,kiu,kiu,1,kautian,False
thíng,théng,艇,thing,theng,1,kautian,False
ue,oe,萵,ue,oe,1,kautian,False
e,e,萵,e,e,1,kautian,False
la̍uh,lau̍h,落,lauh,lauh,1,kautian,False
ia̍p,ia̍p,葉,iap,iap,1,kautian,False
kat,kat,葛,kat,kat,1,kautian,False
kuah,koah,葛,kuah,koah,1,kautian,False
phû,phû,葡,phu,phu,1,kautian,False
táng,táng,董,tang,tang,1,kautian,False
tóng,tóng,董,tong,tong,1,kautian,False
hôo,hô͘,葫,hoo,ho͘,1,kautian,False
kuî,kûi,葵,kui,kui,1,kautian,False
khuê,khôe,葵,khue,khoe,1,kautian,False
lō,lō,號,lo,lo,1,kautian,False
thuì,thùi,蛻,thui,thui,1,kautian,False
ia̍h,ia̍h,蛾,iah,iah,1,kautian,False
sio̍k,sio̍k,蜀,siok,siok,1,kautian,False
hong,hong,蜂,hong,hong,1,kautian,False
poo,po͘,蜅,poo,po͘,1,kautian,False
giâ,giâ,蜈,gia,gia,1,kautian,False
gôo,gô͘,蜈,goo,go͘,1,kautian,False
ngôo,ngô͘,蜈,ngoo,ngo͘,1,kautian,False
tsî,chî,蜍,tsi,chi,1,kautian,False
gê,gê,衙,ge,ge,1,kautian,False
kiap,kiap,裌,kiap,kiap,1,kautian,False
lí,lí,裏,li,li,1,kautian,False
è,è,裔,e,e,1,kautian,False
ì,ì,裔,i,i,1,kautian,False
jū,jū,裕,ju,ju,1,kautian,False
lū,lū,裕,lu,lu,1,kautian,False
se,se,裟,se,se,1,kautian,False
ké,ké,解,ke,ke,1,kautian,False
sûn,sûn,詢,sun,sun,1,kautian,False
gē,gē,詣,ge,ge,1,kautian,False
kāu,kāu,詬,kau,kau,1,kautian,False
khuí,khúi,詭,khui,khui,1,kautian,False
kuí,kúi,詭,kui,kui,1,kautian,False
tshuan,chhoan,詮,tshuan,chhoan,1,kautian,False
khiat,khiat,詰,khiat,khiat,1,kautian,False
siông,siông,詳,siong,siong,1,kautian,False
tsiam,chiam,詹,tsiam,chiam,1,kautian,False
khua,khoa,誇,khua,khoa,1,kautian,False
sîng,sêng,誠,sing,seng,1,kautian,False
hô,hô,貉,ho,ho,1,kautian,False
lōo,lō͘,賂,loo,lo͘,1,kautian,False
hué,hóe,賄,hue,hoe,1,kautian,False
tsu,chu,資,tsu,chu,1,kautian,False
ká,ká,賈,ka,ka,1,kautian,False
kóo,kó͘,賈,koo,ko͘,1,kautian,False
tsa̍t,cha̍t,賊,tsat,chat,1,kautian,False
tsi̍k,che̍k,賊,tsik,chek,1,kautian,False
tsik,chek,跡,tsik,chek,1,kautian,False
kà,kà,較,ka,ka,1,kautian,False
kàu,kàu,較,kau,kau,1,kautian,False
phik,phek,辟,phik,phek,1,kautian,False
tūn,tūn,遁,tun,tun,1,kautian,False
suī,sūi,遂,sui,sui,1,kautian,False
īn,īn,運,in,in,1,kautian,False
phiàn,phiàn,遍,phian,phian,1,kautian,False
kòo,kò͘,過,koo,ko͘,1,kautian,False
kuà,kòa,過,kua,koa,1,kautian,False
koh,koh,過,koh,koh,1,kautian,False
ta̍t,ta̍t,達,tat,tat,1,kautian,False
uî,ûi,違,ui,ui,1,kautian,False
siû,siû,酬,siu,siu,1,kautian,False
pua̍h,poa̍h,鈸,puah,poah,1,kautian,False
pua̍t,poa̍t,鈸,puat,poat,1,kautian,False
tô,tô,鉈,to,to,1,kautian,False
khiâm,khiâm,鉗,khiam,khiam,1,kautian,False
kik,kek,隔,kik,kek,1,kautian,False
ài,ài,隘,ai,ai,1,kautian,False
thī,thī,雉,thi,thi,1,kautian,False
lân,lân,零,lan,lan,1,kautian,False
lîng,lêng,零,ling,leng,1,kautian,False
tsīng,chēng,靖,tsing,cheng,1,kautian,False
pé,pé,靶,pe,pe,1,kautian,False
ī,ī,預,i,i,1,kautian,False
ū,ū,預,u,u,1,kautian,False
guân,goân,頑,guan,goan,1,kautian,False
pan,pan,頒,pan,pan,1,kautian,False
tùn,tùn,頓,tun,tun,1,kautian,False
páu,páu,飽,pau,pau,1,kautian,False
sik,sek,飾,sik,sek,1,kautian,False
tî,tî,馳,ti,ti,1,kautian,False
sûn,sûn,馴,sun,sun,1,kautian,False
khiu,khiu,鳩,khiu,khiu,1,kautian,False
tíng,téng,鼎,ting,teng,1,kautian,False
kiâu,kiâu,僑,kiau,kiau,1,kautian,False
po̍k,po̍k,僕,pok,pok,1,kautian,False
liâu,liâu,僚,liau,liau,1,kautian,False
sing,seng,僧,sing,seng,1,kautian,False
tsing,cheng,僧,tsing,cheng,1,kautian,False
tsiàm,chiàm,僭,tsiam,chiam,1,kautian,False
iàn,iàn,厭,ian,ian,1,kautian,False
liân,liân,嗹,lian,lian,1,kautian,False
tsō,chō,嘈,tso,cho,1,kautian,False
tsha̍uh,chhau̍h,嘈,tshauh,chhauh,1,kautian,False
ka,ka,嘉,ka,ka,1,kautian,False
hau,hau,嘐,hau,hau,1,kautian,False
go̍k,go̍k,嘓,gok,gok,1,kautian,False
ko̍k,ko̍k,嘓,kok,kok,1,kautian,False
óo,ó͘,嘔,oo,o͘,1,kautian,False
mà,mà,嘛,ma,ma,1,kautian,False
tū,tū,嘟,tu,tu,1,kautian,False
tîn,tîn,塵,tin,tin,1,kautian,False
sio̍k,sio̍k,塾,siok,siok,1,kautian,False
hué,hóe,夥,hue,hoe,1,kautian,False
hé,hé,夥,he,he,1,kautian,False
phiâu,phiâu,嫖,phiau,phiau,1,kautian,False
tik,tek,嫡,tik,tek,1,kautian,False
siông,siông,嫦,siong,siong,1,kautian,False
hu,hu,孵,hu,hu,1,kautian,False
bo̍k,bo̍k,寞,bok,bok,1,kautian,False
tshat,chhat,察,tshat,chhat,1,kautian,False
khím,khím,寢,khim,khim,1,kautian,False
liâu,liâu,寥,liau,liau,1,kautian,False
lîng,lêng,寧,ling,leng,1,kautian,False
lí,lí,屢,li,li,1,kautian,False
tsám,chám,嶄,tsam,cham,1,kautian,False
pè,pè,幣,pe,pe,1,kautian,False
liāu,liāu,廖,liau,liau,1,kautian,False
pè,pè,弊,pe,pe,1,kautian,False
piah,piah,弊,piah,piah,1,kautian,False
tsiong,chiong,彰,tsiong,chiong,1,kautian,False
thiat,thiat,徹,thiat,thiat,1,kautian,False
thài,thài,態,thai,thai,1,kautian,False
thāi,thāi,態,thai,thai,1,kautian,False
kuàn,koàn,慣,kuan,koan,1,kautian,False
kian,kian,慳,kian,kian,1,kautian,False
khóng,khóng,慷,khong,khong,1,kautian,False
tsia̍t,chia̍t,截,tsiat,chiat,1,kautian,False
tik,tek,摘,tik,tek,1,kautian,False
moo,mo͘,摸,moo,mo͘,1,kautian,False
thiat,thiat,撤,thiat,thiat,1,kautian,False
kì,kì,暨,ki,ki,1,kautian,False
iông,iông,榕,iong,iong,1,kautian,False
tsin,chin,榛,tsin,chin,1,kautian,False
póng,póng,榜,pong,pong,1,kautian,False
pńg,pńg,榜,png,png,1,kautian,False
tsà,chà,榨,tsa,cha,1,kautian,False
îng,êng,榮,ing,eng,1,kautian,False
liû,liû,榴,liu,liu,1,kautian,False
thah,thah,榻,thah,thah,1,kautian,False
thap,thap,榻,thap,thap,1,kautian,False
kòo,kò͘,構,koo,ko͘,1,kautian,False
huâi,hoâi,槐,huai,hoai,1,kautian,False
oo,o͘,槔,oo,o͘,1,kautian,False
khiam,khiam,歉,khiam,khiam,1,kautian,False
khiàm,khiàm,歉,khiam,khiam,1,kautian,False
hōo,hō͘,滬,hoo,ho͘,1,kautian,False
tī,tī,滯,ti,ti,1,kautian,False
tik,tek,滴,tik,tek,1,kautian,False
hóo,hó͘,滸,hoo,ho͘,1,kautian,False
gû,gû,漁,gu,gu,1,kautian,False
hî,hî,漁,hi,hi,1,kautian,False
hû,hû,漁,hu,hu,1,kautian,False
phiàu,phiàu,漂,phiau,phiau,1,kautian,False
phiò,phiò,漂,phio,phio,1,kautian,False
lok,lok,漉,lok,lok,1,kautian,False
lōo,lō͘,漏,loo,lo͘,1,kautian,False
áu,áu,漚,au,au,1,kautian,False
bo̍k,bo̍k,漠,bok,bok,1,kautian,False
bān,bān,漫,ban,ban,1,kautian,False
tsiang,chiang,漳,tsiang,chiang,1,kautian,False
tsiām,chiām,漸,tsiam,chiam,1,kautian,False
thiat,thiat,澈,thiat,thiat,1,kautian,False
siàn,siàn,煽,sian,sian,1,kautian,False
ho,ho,熇,ho,ho,1,kautian,False
hun,hun,熏,hun,hun,1,kautian,False
iông,iông,熔,iong,iong,1,kautian,False
nī,nī,爾,ni,ni,1,kautian,False
niā,niā,爾,nia,nia,1,kautian,False
khò,khò,犒,kho,kho,1,kautian,False
ga̍k,ga̍k,獄,gak,gak,1,kautian,False
gi̍k,ge̍k,獄,gik,gek,1,kautian,False
só,só,瑣,so,so,1,kautian,False
bé,bé,瑪,be,be,1,kautian,False
má,má,瑪,ma,ma,1,kautian,False
kuì,kùi,瑰,kui,kui,1,kautian,False
hong,hong,瘋,hong,hong,1,kautian,False
iông,iông,瘍,iong,iong,1,kautian,False
kam,kam,監,kam,kam,1,kautian,False
kàm,kàm,監,kam,kam,1,kautian,False
tsuē,chōe,睡,tsue,choe,1,kautian,False
suī,sūi,睡,sui,sui,1,kautian,False
tia̍p,tia̍p,碟,tiap,tiap,1,kautian,False
ti̍h,ti̍h,碟,tih,tih,1,kautian,False
phik,phek,碧,phik,phek,1,kautian,False
sik,sek,碩,sik,sek,1,kautian,False
si̍k,se̍k,碩,sik,sek,1,kautian,False
tsû,chû,磁,tsu,chu,1,kautian,False
tsing,cheng,禎,tsing,cheng,1,kautian,False
tsiòng,chiòng,種,tsiong,chiong,1,kautian,False
tshing,chheng,稱,tshing,chheng,1,kautian,False
o,o,窩,o,o,1,kautian,False
tuan,toan,端,tuan,toan,1,kautian,False
tuann,toaⁿ,端,tuann,toaⁿ,1,kautian,False
iân,iân,筵,ian,ian,1,kautian,False
tsian,chian,箋,tsian,chian,1,kautian,False
tsing,cheng,箏,tsing,cheng,1,kautian,False
ki,ki,箕,ki,ki,1,kautian,False
tshuì,chhùi,粹,tshui,chhui,1,kautian,False
tsong,chong,綜,tsong,chong,1,kautian,False
lio̍k,lio̍k,綠,liok,liok,1,kautian,False
tiû,tiû,綢,tiu,tiu,1,kautian,False
î,î,維,i,i,1,kautian,False
kuānn,kōaⁿ,綰,kuann,koaⁿ,1,kautian,False
kong,kong,綱,kong,kong,1,kautian,False
tuat,toat,綴,tuat,toat,1,kautian,False
lûn,lûn,綸,lun,lun,1,kautian,False
kuan,koan,綸,kuan,koan,1,kautian,False
khí,khí,綺,khi,khi,1,kautian,False
tshiok,chhiok,綽,tshiok,chhiok,1,kautian,False
lîng,lêng,綾,ling,leng,1,kautian,False
biân,biân,綿,bian,bian,1,kautian,False
sū,sū,緒,su,su,1,kautian,False
tshuì,chhùi,翠,tshui,chhui,1,kautian,False
tsū,chū,聚,tsu,chu,1,kautian,False
bûn,bûn,聞,bun,bun,1,kautian,False
tiāu,tiāu,肇,tiau,tiau,1,kautian,False
hú,hú,腐,hu,hu,1,kautian,False
hū,hū,腐,hu,hu,1,kautian,False
phông,phông,膀,phong,phong,1,kautian,False
liám,liám,膁,liam,liam,1,kautian,False
keh,keh,膈,keh,keh,1,kautian,False
lâ,lâ,膋,la,la,1,kautian,False
kô,kô,膏,ko,ko,1,kautian,False
koo,ko͘,膏,koo,ko͘,1,kautian,False
tâi,tâi,臺,tai,tai,1,kautian,False
ú,ú,與,u,u,1,kautian,False
bông,bông,蒙,bong,bong,1,kautian,False
pôo,pô͘,蒲,poo,po͘,1,kautian,False
tsing,cheng,蒸,tsing,cheng,1,kautian,False
tshong,chhong,蒼,tshong,chhong,1,kautian,False
o,o,蒿,o,o,1,kautian,False
thiok,thiok,蓄,thiok,thiok,1,kautian,False
iông,iông,蓉,iong,iong,1,kautian,False
sui,sui,蓑,sui,sui,1,kautian,False
ti,ti,蜘,ti,ti,1,kautian,False
khî,khî,蜞,khi,khi,1,kautian,False
meh,meh,蜢,meh,meh,1,kautian,False
sit,sit,蝕,sit,sit,1,kautian,False
piáu,piáu,裱,piau,piau,1,kautian,False
kó,kó,裹,ko,ko,1,kautian,False
theh,theh,裼,theh,theh,1,kautian,False
tsè,chè,製,tse,che,1,kautian,False
kuà,kòa,褂,kua,koa,1,kautian,False
tsì,chì,誌,tsi,chi,1,kautian,False
sē,sē,誓,se,se,1,kautian,False
bû,bû,誣,bu,bu,1,kautian,False
siōng,siōng,誦,siong,siong,1,kautian,False
hô,hô,豪,ho,ho,1,kautian,False
māu,māu,貌,mau,mau,1,kautian,False
tsín,chín,賑,tsin,chin,1,kautian,False
pin,pin,賓,pin,pin,1,kautian,False
tiō,tiō,趙,tio,tio,1,kautian,False
buán,boán,輓,buan,boan,1,kautian,False
hú,hú,輔,hu,hu,1,kautian,False
phóo,phó͘,輔,phoo,pho͘,1,kautian,False
khing,kheng,輕,khing,kheng,1,kautian,False
iâu,iâu,遙,iau,iau,1,kautian,False
sùn,sùn,遜,sun,sun,1,kautian,False
tē,tē,遞,te,te,1,kautian,False
khián,khián,遣,khian,khian,1,kautian,False
khok,khok,酷,khok,khok,1,kautian,False
suan,soan,酸,suan,soan,1,kautian,False
bîng,bêng,銘,bing,beng,1,kautian,False
bân,bân,閩,ban,ban,1,kautian,False
tsè,chè,際,tse,che,1,kautian,False
tsiàng,chiàng,障,tsiang,chiang,1,kautian,False
tsiong,chiong,障,tsiong,chiong,1,kautian,False
tsiòng,chiòng,障,tsiong,chiong,1,kautian,False
su,su,需,su,su,1,kautian,False
ióng,ióng,鞅,iong,iong,1,kautian,False
phó,phó,頗,pho,pho,1,kautian,False
thai,thai,颱,thai,thai,1,kautian,False
kiáu,kiáu,餃,kiau,kiau,1,kautian,False
hiòng,hiòng,餉,hiong,hiong,1,kautian,False
pih,pih,馝,pih,pih,1,kautian,False
poh,poh,駁,poh,poh,1,kautian,False
pok,pok,駁,pok,pok,1,kautian,False
tâu,tâu,骰,tau,tau,1,kautian,False
kái,kái,骱,kai,kai,1,kautian,False
khue,khoe,魁,khue,khoe,1,kautian,False
thoh,thoh,魠,thoh,thoh,1,kautian,False
bîng,bêng,鳴,bing,beng,1,kautian,False
khiong,khiong,僵,khiong,khiong,1,kautian,False
kà,kà,價,ka,ka,1,kautian,False
phiah,phiah,僻,phiah,phiah,1,kautian,False
gî,gî,儀,gi,gi,1,kautian,False
ki̍k,ke̍k,劇,kik,kek,1,kautian,False
phik,phek,劈,phik,phek,1,kautian,False
lâu,lâu,劉,lau,lau,1,kautian,False
lē,lē,厲,le,le,1,kautian,False
lī,lī,厲,li,li,1,kautian,False
huā,hōa,嘩,hua,hoa,1,kautian,False
lo,lo,嘮,lo,lo,1,kautian,False
siàu,siàu,嘯,siau,siau,1,kautian,False
hi,hi,嘻,hi,hi,1,kautian,False
ònn,òⁿ,噁,onn,oⁿ,1,kautian,False
uh,uh,噎,uh,uh,1,kautian,False
tsing,cheng,增,tsing,cheng,1,kautian,False
bi̍k,be̍k,墨,bik,bek,1,kautian,False
tun,tun,墩,tun,tun,1,kautian,False
tuī,tūi,墮,tui,tui,1,kautian,False
hûn,hûn,墳,hun,hun,1,kautian,False
phûn,phûn,墳,phun,phun,1,kautian,False
hi,hi,嬉,hi,hi,1,kautian,False
khuan,khoan,寬,khuan,khoan,1,kautian,False
khuann,khoaⁿ,寬,khuann,khoaⁿ,1,kautian,False
lí,lí,履,li,li,1,kautian,False
tông,tông,幢,tong,tong,1,kautian,False
tôo,tô͘,廚,too,to͘,1,kautian,False
tû,tû,廚,tu,tu,1,kautian,False
kńg,kńg,廣,kng,kng,1,kautian,False
tân,tân,彈,tan,tan,1,kautian,False
tān,tān,彈,tan,tan,1,kautian,False
thân,thân,彈,than,than,1,kautian,False
íng,éng,影,ing,eng,1,kautian,False
tin,tin,徵,tin,tin,1,kautian,False
ting,teng,徵,ting,teng,1,kautian,False
bōo,bō͘,慕,boo,bo͘,1,kautian,False
huī,hūi,慧,hui,hui,1,kautian,False
huē,hōe,慧,hue,hoe,1,kautian,False
lī,lī,慮,li,li,1,kautian,False
lū,lū,慮,lu,lu,1,kautian,False
uì,ùi,慰,ui,ui,1,kautian,False
khìng,khèng,慶,khing,kheng,1,kautian,False
tshik,chhek,慼,tshik,chhek,1,kautian,False
io̍k,io̍k,慾,iok,iok,1,kautian,False
liân,liân,憐,lian,lian,1,kautian,False
lîn,lîn,憐,lin,lin,1,kautian,False
tān,tān,憚,tan,tan,1,kautian,False
giâu,giâu,憢,giau,giau,1,kautian,False
hùn,hùn,憤,hun,hun,1,kautian,False
bín,bín,憫,bin,bin,1,kautian,False
lio̍k,lio̍k,戮,liok,liok,1,kautian,False
môo,mô͘,摩,moo,mo͘,1,kautian,False
tsì,chì,摯,tsi,chi,1,kautian,False
bôo,bô͘,摹,boo,bo͘,1,kautian,False
bōo,bō͘,摹,boo,bo͘,1,kautian,False
sat,sat,撒,sat,sat,1,kautian,False
tsún,chún,撙,tsun,chun,1,kautian,False
puat,poat,撥,puat,poat,1,kautian,False
bú,bú,撫,bu,bu,1,kautian,False
hú,hú,撫,hu,hu,1,kautian,False
tsuat,choat,撮,tsuat,choat,1,kautian,False
tsuān,choān,撰,tsuan,choan,1,kautian,False
ti̍k,te̍k,敵,tik,tek,1,kautian,False
hu,hu,敷,hu,hu,1,kautian,False
bōo,bō͘,暮,boo,bo͘,1,kautian,False
li̍t,li̍t,暱,lit,lit,1,kautian,False
li̍k,le̍k,暱,lik,lek,1,kautian,False
pō,pō,暴,po,po,1,kautian,False
pok,pok,暴,pok,pok,1,kautian,False
po̍k,po̍k,暴,pok,pok,1,kautian,False
liân,liân,槤,lian,lian,1,kautian,False
ngāu,ngāu,樂,ngau,ngau,1,kautian,False
liông,liông,樑,liong,liong,1,kautian,False
niû,niû,樑,niu,niu,1,kautian,False
phiau,phiau,標,phiau,phiau,1,kautian,False
tshu,chhu,樞,tshu,chhu,1,kautian,False
tsiong,chiong,樟,tsiong,chiong,1,kautian,False
iōng,iōng,樣,iong,iong,1,kautian,False
thàn,thàn,歎,than,than,1,kautian,False
au,au,歐,au,au,1,kautian,False
io,io,歐,io,io,1,kautian,False
gē,gē,毅,ge,ge,1,kautian,False
gī,gī,毅,gi,gi,1,kautian,False
sàm,sàm,毿,sam,sam,1,kautian,False
tsiong,chiong,漿,tsiong,chiong,1,kautian,False
phuat,phoat,潑,phuat,phoat,1,kautian,False
kiat,kiat,潔,kiat,kiat,1,kautian,False
phuan,phoan,潘,phuan,phoan,1,kautian,False
phuann,phoaⁿ,潘,phuann,phoaⁿ,1,kautian,False
tsiâm,chiâm,潛,tsiam,chiam,1,kautian,False
ló,ló,潦,lo,lo,1,kautian,False
tiâu,tiâu,潮,tiau,tiau,1,kautian,False
tiau,tiau,潮,tiau,tiau,1,kautian,False
tshan,chhan,潺,tshan,chhan,1,kautian,False
tîng,têng,澄,ting,teng,1,kautian,False
phênn,phêⁿ,澎,phenn,pheⁿ,1,kautian,False
sio̍k,sio̍k,熟,siok,siok,1,kautian,False
thang,thang,熥,thang,thang,1,kautian,False
liâu,liâu,獠,liau,liau,1,kautian,False
îng,êng,瑩,ing,eng,1,kautian,False
lê,lê,璃,le,le,1,kautian,False
lî,lî,璃,li,li,1,kautian,False
suān,soān,璇,suan,soan,1,kautian,False
un,un,瘟,un,un,1,kautian,False
tshong,chhong,瘡,tshong,chhong,1,kautian,False
sóo,só͘,瘦,soo,so͘,1,kautian,False
puân,poân,盤,puan,poan,1,kautian,False
phuân,phoân,盤,phuan,phoan,1,kautian,False
ka,ka,瞌,ka,ka,1,kautian,False
khak,khak,確,khak,khak,1,kautian,False
khia̍k,khia̍k,確,khiak,khiak,1,kautian,False
bé,bé,碼,be,be,1,kautian,False
má,má,碼,ma,ma,1,kautian,False
lián,lián,碾,lian,lian,1,kautian,False
luí,lúi,磊,lui,lui,1,kautian,False
tsho,chho,磋,tsho,chho,1,kautian,False
tsik,chek,稷,tsik,chek,1,kautian,False
tō,tō,稻,to,to,1,kautian,False
kok,kok,穀,kok,kok,1,kautian,False
suî,sûi,箠,sui,sui,1,kautian,False
tsiàn,chiàn,箭,tsian,chian,1,kautian,False
siong,siong,箱,siong,siong,1,kautian,False
tsim,chim,箴,tsim,chim,1,kautian,False
huān,hoān,範,huan,hoan,1,kautian,False
pān,pān,範,pan,pan,1,kautian,False
phian,phian,篇,phian,phian,1,kautian,False
hôo,hô͘,糊,hoo,ho͘,1,kautian,False
tsî,chî,糍,tsi,chi,1,kautian,False
tsi̍p,chi̍p,緝,tsip,chip,1,kautian,False
tship,chhip,緝,tship,chhip,1,kautian,False
tuān,toān,緞,tuan,toan,1,kautian,False
tè,tè,締,te,te,1,kautian,False
pinn,piⁿ,編,pinn,piⁿ,1,kautian,False
uī,ūi,緯,ui,ui,1,kautian,False
tì,tì,緻,ti,ti,1,kautian,False
tī,tī,緻,ti,ti,1,kautian,False
kiat,kiat,羯,kiat,kiat,1,kautian,False
phian,phian,翩,phian,phian,1,kautian,False
tshik,chhek,膝,tshik,chhek,1,kautian,False
sit,sit,膝,sit,sit,1,kautian,False
thong,thong,蓪,thong,thong,1,kautian,False
hông,hông,蓬,hong,hong,1,kautian,False
pōng,pōng,蓬,pong,pong,1,kautian,False
lián,lián,蓮,lian,lian,1,kautian,False
liân,liân,蓮,lian,lian,1,kautian,False
bia̍t,bia̍t,蔑,biat,biat,1,kautian,False
bān,bān,蔓,ban,ban,1,kautian,False
muā,mōa,蔓,mua,moa,1,kautian,False
uì,ùi,蔚,ui,ui,1,kautian,False
tshuà,chhòa,蔡,tshua,chhoa,1,kautian,False
se,se,蔬,se,se,1,kautian,False
soo,so͘,蔬,soo,so͘,1,kautian,False
pè,pè,蔽,pe,pe,1,kautian,False
bīn,bīn,蝒,bin,bin,1,kautian,False
bui,bui,蝛,bui,bui,1,kautian,False
hôo,hô͘,蝴,hoo,ho͘,1,kautian,False
ôo,ô͘,蝴,oo,o͘,1,kautian,False
ia̍h,ia̍h,蝶,iah,iah,1,kautian,False
tia̍p,tia̍p,蝶,tiap,tiap,1,kautian,False
uē,ōe,衛,ue,oe,1,kautian,False
tshóng,chhóng,衝,tshong,chhong,1,kautian,False
ho̍k,ho̍k,複,hok,hok,1,kautian,False
pè,pè,褙,pe,pe,1,kautian,False
tàn,tàn,誕,tan,tan,1,kautian,False
tān,tān,誕,tan,tan,1,kautian,False
suî,sûi,誰,sui,sui,1,kautian,False
khuè,khòe,課,khue,khoe,1,kautian,False
huí,húi,誹,hui,hui,1,kautian,False
gî,gî,誼,gi,gi,1,kautian,False
gī,gī,誼,gi,gi,1,kautian,False
tiau,tiau,調,tiau,tiau,1,kautian,False
tiàu,tiàu,調,tiau,tiau,1,kautian,False
tsìng,chèng,諍,tsing,cheng,1,kautian,False
liōng,liōng,諒,liong,liong,1,kautian,False
tsu,chu,諸,tsu,chu,1,kautian,False
pi,pi,豍,pi,pi,1,kautian,False
sū,sū,豎,su,su,1,kautian,False
hù,hù,賦,hu,hu,1,kautian,False
tshù,chhù,趣,tshu,chhu,1,kautian,False
ta̍p,ta̍p,踏,tap,tap,1,kautian,False
tsiān,chiān,踐,tsian,chian,1,kautian,False
tshi̍k,chhe̍k,踔,tshik,chhek,1,kautian,False
thik,thek,踢,thik,thek,1,kautian,False
tshái,chhái,踩,tshai,chhai,1,kautian,False
lióng,lióng,輛,liong,liong,1,kautian,False
liōng,liōng,輛,liong,liong,1,kautian,False
hui,hui,輝,hui,hui,1,kautian,False
lin,lin,輪,lin,lin,1,kautian,False
ngôo,ngô͘,遨,ngoo,ngo͘,1,kautian,False
sik,sek,適,sik,sek,1,kautian,False
tso,cho,遭,tso,cho,1,kautian,False
tīng,tēng,鄧,ting,teng,1,kautian,False
tēnn,tēⁿ,鄭,tenn,teⁿ,1,kautian,False
tīng,tēng,鄭,ting,teng,1,kautian,False
sûn,sûn,醇,sun,sun,1,kautian,False
huānn,hōaⁿ,銲,huann,hoaⁿ,1,kautian,False
juē,jōe,銳,jue,joe,1,kautian,False
luē,lōe,銳,lue,loe,1,kautian,False
lú,lú,鋁,lu,lu,1,kautian,False
lū,lū,鋁,lu,lu,1,kautian,False
hong,hong,鋒,hong,hong,1,kautian,False
tî,tî,鋤,ti,ti,1,kautian,False
tû,tû,鋤,tu,tu,1,kautian,False
lòng,lòng,閬,long,long,1,kautian,False
ia̍t,ia̍t,閱,iat,iat,1,kautian,False
tîng,têng,霆,ting,teng,1,kautian,False
tsìn,chìn,震,tsin,chin,1,kautian,False
hâi,hâi,鞋,hai,hai,1,kautian,False
an,an,鞍,an,an,1,kautian,False
kióng,kióng,鞏,kiong,kiong,1,kautian,False
khiat,khiat,頡,khiat,khiat,1,kautian,False
hâi,hâi,頦,hai,hai,1,kautian,False
huâi,hoâi,頦,huai,hoai,1,kautian,False
û,û,餘,u,u,1,kautian,False
