tl,poj,hanzi,tl_no_tone,poj_no_tone,syllable_count,source,is_variant
phênn-ôo-kuīnn,phêⁿ-ô͘-kūiⁿ,澎湖縣,phenn-oo-kuinn,pheⁿ-o͘-kuiⁿ,3,kautian,False
phênn-ôo-kuǎn,phêⁿ-ô͘-koǎn,澎湖縣,phenn-oo-kuan,pheⁿ-o͘-koan,3,kautian,False
oo-khu-hionn,o͘-khu-hioⁿ,烏坵鄉,oo-khu-hionn,o͘-khu-hioⁿ,3,kautian,False
oo-khu-hiunn,o͘-khu-hiuⁿ,烏坵鄉,oo-khu-hiunn,o͘-khu-hiuⁿ,3,kautian,False
hue-liân-káng,hoe-liân-káng,花蓮港,hue-lian-kang,hoe-lian-kang,3,kautian,False
hue-nâi-káng,hoe-nâi-káng,花蓮港,hue-nai-kang,hoe-nai-kang,3,kautian,False
hue-lân-káng,hoe-lân-káng,花蓮港,hue-lan-kang,hoe-lan-kang,3,kautian,False
tuā-tann-khere,tōa-taⁿ-khere,大礁溪,tua-tann-khere,toa-taⁿ-khere,3,kautian,False
tuā-tann-khue,tōa-taⁿ-khoe,大礁溪,tua-tann-khue,toa-taⁿ-khoe,3,kautian,False
sió-tann-khere,sió-taⁿ-khere,小礁溪,sio-tann-khere,sio-taⁿ-khere,3,kautian,False
sió-tann-khue,sió-taⁿ-khoe,小礁溪,sio-tann-khue,sio-taⁿ-khoe,3,kautian,False
kíng-bué-khere,kéng-bóe-khere,景美溪,king-bue-khere,keng-boe-khere,3,kautian,False
kíng-bué-khue,kéng-bóe-khoe,景美溪,king-bue-khue,keng-boe-khoe,3,kautian,False
tshiōnn-pênn-khere,chhiōⁿ-pêⁿ-khere,上坪溪,tshionn-penn-khere,chhioⁿ-peⁿ-khere,3,kautian,False
tshiōnn-pênn-khe,chhiōⁿ-pêⁿ-khe,上坪溪,tshionn-penn-khe,chhioⁿ-peⁿ-khe,3,kautian,False
tshiōnn-pênn-khue,chhiōⁿ-pêⁿ-khoe,上坪溪,tshionn-penn-khue,chhioⁿ-peⁿ-khoe,3,kautian,False
tshiǔnn-pênn-khere,chhiǔⁿ-pêⁿ-khere,上坪溪,tshiunn-penn-khere,chhiuⁿ-peⁿ-khere,3,kautian,False
tshiǔnn-pênn-khe,chhiǔⁿ-pêⁿ-khe,上坪溪,tshiunn-penn-khe,chhiuⁿ-peⁿ-khe,3,kautian,False
tshiǔnn-pênn-khue,chhiǔⁿ-pêⁿ-khoe,上坪溪,tshiunn-penn-khue,chhiuⁿ-peⁿ-khoe,3,kautian,False
tshiūnn-pênn-khere,chhiūⁿ-pêⁿ-khere,上坪溪,tshiunn-penn-khere,chhiuⁿ-peⁿ-khere,3,kautian,False
tshiūnn-pênn-khe,chhiūⁿ-pêⁿ-khe,上坪溪,tshiunn-penn-khe,chhiuⁿ-peⁿ-khe,3,kautian,False
tshiūnn-pênn-khue,chhiūⁿ-pêⁿ-khoe,上坪溪,tshiunn-penn-khue,chhiuⁿ-peⁿ-khoe,3,kautian,False
bâ-lô-khere,bâ-lô-khere,貓羅溪,ba-lo-khere,ba-lo-khere,3,kautian,False
bâ-lô-khue,bâ-lô-khoe,貓羅溪,ba-lo-khue,ba-lo-khoe,3,kautian,False
bâ-lôr-khere,bâ-lôr-khere,貓羅溪,ba-lor-khere,ba-lor-khere,3,kautian,False
bâ-lôr-khe,bâ-lôr-khe,貓羅溪,ba-lor-khe,ba-lor-khe,3,kautian,False
bâ-lôr-khue,bâ-lôr-khoe,貓羅溪,ba-lor-khue,ba-lor-khoe,3,kautian,False
