tl,poj,hanzi,tl_no_tone,poj_no_tone,syllable_count,source
liō-sò,liō-sò,尿燥,lio-so,lio-so,2,taihoa
liō-táu,liō-táu,尿斗,lio-tau,lio-tau,2,taihoa
liō-tháng,liō-tháng,尿桶,lio-thang,lio-thang,2,taihoa
lio̍h,lio̍h,弱,lioh,lioh,1,taihoa
lio̍h,lio̍h,略,lioh,lioh,1,taihoa
lio̍h-á,lio̍h-á,略仔,lioh-a,lioh-a,2,taihoa
lio̍h-á-tuà,lio̍h-á-tòa,略仔帶,lioh-a-tua,lioh-a-toa,3,taihoa
lio̍h-lio̍h-á,lio̍h-lio̍h-á,略略仔,lioh-lioh-a,lioh-lioh-a,3,taihoa
lio̍k,lio̍k,lio̍k,liok,liok,1,taihoa
lio̍k,lio̍k,六,liok,liok,1,taihoa
lio̍k,lio̍k,彔,liok,liok,1,taihoa
lio̍k,lio̍k,虐,liok,liok,1,taihoa
lio̍k,lio̍k,弱,liok,liok,1,taihoa
lio̍k,lio̍k,辱,liok,liok,1,taihoa
lio̍k,lio̍k,氯,liok,liok,1,taihoa
lio̍k,lio̍k,錄,liok,liok,1,taihoa
lio̍k-bû,lio̍k-bû,六無,liok-bu,liok-bu,2,taihoa
lio̍k-tsè,lio̍k-chè,錄製,liok-tse,liok-che,2,taihoa
lio̍k-tsha̍t,lio̍k-chha̍t,六賊,liok-tshat,liok-chhat,2,taihoa
lio̍k-tshin,lio̍k-chhin,六親,liok-tshin,liok-chhin,2,taihoa
lio̍k-tshú,lio̍k-chhú,錄取,liok-tshu,liok-chhu,2,taihoa
lio̍k-tshú-lu̍t,lio̍k-chhú-lu̍t,錄取率,liok-tshu-lut,liok-chhu-lut,3,taihoa
lio̍k-tsiàn,lio̍k-chiàn,陸戰,liok-tsian,liok-chian,2,taihoa
lio̍k-tsiàn-tuī,lio̍k-chiàn-tūi,陸戰隊,liok-tsian-tui,liok-chian-tui,3,taihoa
lio̍k-ing,lio̍k-eng,陸英,liok-ing,liok-eng,2,taihoa
lio̍k-gán,lio̍k-gán,肉眼,liok-gan,liok-gan,2,taihoa
lio̍k-hái-khong,lio̍k-hái-khong,陸海空,liok-hai-khong,liok-hai-khong,3,taihoa
lio̍k-hái-phiânn,lio̍k-hái-phiâⁿ,搨海坪,liok-hai-phiann,liok-hai-phiaⁿ,3,taihoa
lio̍k-ha̍p,lio̍k-ha̍p,六合,liok-hap,liok-hap,2,taihoa
lio̍k-ha̍p-tshái,lio̍k-ha̍p-chhái,六合彩,liok-hap-tshai,liok-hap-chhai,3,taihoa
lio̍k-hô,lio̍k-hô,六和,liok-ho,liok-ho,2,taihoa
lio̍k-hua,lio̍k-hoa,蓼花,liok-hua,liok-hoa,2,taihoa
lio̍k-iánn,lio̍k-iáⁿ,錄影,liok-iann,liok-iaⁿ,2,taihoa
lio̍k-iánn-ki,lio̍k-iáⁿ-ki,錄影機,liok-iann-ki,liok-iaⁿ-ki,3,taihoa
lio̍k-iánn-tuà,lio̍k-iáⁿ-tòa,錄影帶,liok-iann-tua,liok-iaⁿ-toa,3,taihoa
lio̍k-im,lio̍k-im,錄音,liok-im,liok-im,2,taihoa
lio̍k-im-ki,lio̍k-im-ki,錄音機,liok-im-ki,liok-im-ki,3,taihoa
lio̍k-im-tuà,lio̍k-im-tòa,錄音帶,liok-im-tua,liok-im-toa,3,taihoa
lio̍k-iōng,lio̍k-iōng,錄用,liok-iong,liok-iong,2,taihoa
lio̍k-kin,lio̍k-kin,六根,liok-kin,liok-kin,2,taihoa
lio̍k-kiô,lio̍k-kiô,陸橋,liok-kio,liok-kio,2,taihoa
lio̍k-kong,lio̍k-kong,陸光,liok-kong,liok-kong,2,taihoa
lio̍k-kuì,lio̍k-kùi,肉桂,liok-kui,liok-kui,2,taihoa
lio̍k-kun,lio̍k-kun,陸軍,liok-kun,liok-kun,2,taihoa
lio̍k-lé,lio̍k-lé,六禮,liok-le,liok-le,2,taihoa
lio̍k-li̍k,lio̍k-le̍k,戮力,liok-lik,liok-lek,2,taihoa
lio̍k-lio̍k-hún,lio̍k-lio̍k-hún,六六粉,liok-liok-hun,liok-liok-hun,3,taihoa
lio̍k--lo̍h-lâi,lio̍k--lo̍h-lâi,錄落來,liok--loh-lai,liok--loh-lai,3,taihoa
lio̍k-lōo,lio̍k-lō͘,陸路,liok-loo,liok-lo͘,2,taihoa
lio̍k-siāng,lio̍k-siāng,陸上,liok-siang,liok-siang,2,taihoa
lio̍k-sin,lio̍k-sin,肉身,liok-sin,liok-sin,2,taihoa
lio̍k-sîn-tsháu,lio̍k-sîn-chháu,六神草,liok-sin-tshau,liok-sin-chhau,3,taihoa
lio̍k-sio̍k,lio̍k-sio̍k,陸續,liok-siok,liok-siok,2,taihoa
lio̍k-tē,lio̍k-tē,陸地,liok-te,liok-te,2,taihoa
lio̍k-thé,lio̍k-thé,肉體,liok-the,liok-the,2,taihoa
lio̍k-thiok,lio̍k-thiok,六畜,liok-thiok,liok-thiok,2,taihoa
lio̍k-tiám,lio̍k-tiám,弱點,liok-tiam,liok-tiam,2,taihoa
lio̍k-ūn,lio̍k-ūn,陸運,liok-un,liok-un,2,taihoa
lióng,lióng,兩,liong,liong,1,taihoa
lióng,lióng,嚷,liong,liong,1,taihoa
lióng-ainn,lióng-aiⁿ,魎哀,liong-ainn,liong-aiⁿ,2,taihoa
lióng-bīn,lióng-bīn,兩面,liong-bin,liong-bin,2,taihoa
lióng-tshe,lióng-chhe,兩棲,liong-tshe,liong-chhe,2,taihoa
lióng-tshin,lióng-chhin,兩親,liong-tshin,liong-chhin,2,taihoa
lióng-tsiá,lióng-chiá,兩者,liong-tsia,liong-chia,2,taihoa
lióng-tsō,lióng-chō,兩造,liong-tso,liong-cho,2,taihoa
lióng-tsuân,lióng-choân,兩全,liong-tsuan,liong-choan,2,taihoa
lióng-gán,lióng-gán,兩眼,liong-gan,liong-gan,2,taihoa
lióng-gān,lióng-gān,兩岸,liong-gan,liong-gan,2,taihoa
lióng-huah,lióng-hoah,嚷喝,liong-huah,liong-hoah,2,taihoa
lióng-hong,lióng-hong,兩方,liong-hong,liong-hong,2,taihoa
lióng-iōng,lióng-iōng,兩用,liong-iong,liong-iong,2,taihoa
lióng-kau-kânn,lióng-kau-kâⁿ,兩交含,liong-kau-kann,liong-kau-kaⁿ,3,taihoa
lióng-ki̍k,lióng-ke̍k,兩極,liong-kik,liong-kek,2,taihoa
lióng-kha-khiâ,lióng-kha-khiâ,兩腳騎,liong-kha-khia,liong-kha-khia,3,taihoa
lióng-kha-kiânn,lióng-kha-kiâⁿ,兩腳行,liong-kha-kiann,liong-kha-kiaⁿ,3,taihoa
lióng-kong,lióng-kong,兩光,liong-kong,liong-kong,2,taihoa
lióng-lân,lióng-lân,兩難,liong-lan,liong-lan,2,taihoa
lióng-mē,lióng-mē,嚷罵,liong-me,liong-me,2,taihoa
lióng-thâu-kânn,lióng-thâu-kâⁿ,兩頭含,liong-thau-kann,liong-thau-kaⁿ,3,taihoa
lióng-tn̄g,lióng-tn̄g,壟斷,liong-tng,liong-tng,2,taihoa
lióng-tú-sióng,lióng-tú-sióng,兩抵償,liong-tu-siong,liong-tu-siong,3,taihoa
liòng,liòng,liòng,liong,liong,1,taihoa
liòng-tsáu,liòng-cháu,踜走,liong-tsau,liong-chau,2,taihoa
liòng--khí-lâi,liòng--khí-lâi,踜起來,liong--khi-lai,liong--khi-lai,3,taihoa
liòng--khui,liòng--khui,踜開,liong--khui,liong--khui,2,taihoa
liông,liông,涼,liong,liong,1,taihoa
liông,liông,絨,liong,liong,1,taihoa
liông,liông,龍,liong,liong,1,taihoa
liông-bûn,liông-bûn,龍門,liong-bun,liong-bun,2,taihoa
liông-bûn-hî,liông-bûn-hî,龍文魚,liong-bun-hi,liong-bun-hi,3,taihoa
liông-bûn-sua,liông-bûn-soa,龍文鯊,liong-bun-sua,liong-bun-soa,3,taihoa
liông-tsénn,liông-chéⁿ,龍井,liong-tsenn,liong-cheⁿ,2,taihoa
liông-tsiam,liông-chiam,龍占,liong-tsiam,liong-chiam,2,taihoa
liông-tsuân-tshu,liông-choân-chhu,龍泉疽,liong-tsuan-tshu,liong-choan-chhu,3,taihoa
liông-tsu,liông-chu,龍珠,liong-tsu,liong-chu,2,taihoa
liông-tsûn,liông-chûn,龍船,liong-tsun,liong-chun,2,taihoa
liông-gîn,liông-gîn,龍銀,liong-gin,liong-gin,2,taihoa
liông-hê,liông-hê,龍蝦,liong-he,liong-he,2,taihoa
liông-hing,liông-heng,隆興,liong-hing,liong-heng,2,taihoa
liông-hia̍t,liông-hia̍t,龍穴,liong-hiat,liong-hiat,2,taihoa
liông-hōng,liông-hōng,龍鳳,liong-hong,liong-hong,2,taihoa
liông-hōo,liông-hō͘,隆厚,liong-hoo,liong-ho͘,2,taihoa
liông-khó,liông-khó,寧可,liong-kho,liong-kho,2,taihoa
liông-kńg-hong,liông-kńg-hong,龍捲風,liong-kng-hong,liong-kng-hong,3,taihoa
liông-kut,liông-kut,龍骨,liong-kut,liong-kut,2,taihoa
liông-kut-tshia,liông-kut-chhia,龍骨車,liong-kut-tshia,liong-kut-chhia,3,taihoa
liông-kut-tshué,liông-kut-chhóe,龍骨髓,liong-kut-tshue,liong-kut-chhoe,3,taihoa
liông-lú,liông-lú,隆乳,liong-lu,liong-lu,2,taihoa
liông-puē,liông-pōe,狼狽,liong-pue,liong-poe,2,taihoa
liông-puē-sue,liông-pōe-soe,狼狽衰,liong-pue-sue,liong-poe-soe,3,taihoa
liông-pòo,liông-pò͘,絨布,liong-poo,liong-po͘,2,taihoa
liông-sann,liông-saⁿ,絨衫,liong-sann,liong-saⁿ,2,taihoa
liông-sīng,liông-sēng,隆盛,liong-sing,liong-seng,2,taihoa
liông-siù,liông-siù,絨繡,liong-siu,liong-siu,2,taihoa
liông-thâm,liông-thâm,龍潭,liong-tham,liong-tham,2,taihoa
liông-tiân,liông-tiân,隆田,liong-tian,liong-tian,2,taihoa
liông-tiōng,liông-tiōng,隆重,liong-tiong,liong-tiong,2,taihoa
liōng,liōng,冗,liong,liong,1,taihoa
liōng,liōng,諒,liong,liong,1,taihoa
liōng-tsá,liōng-chá,冗早,liong-tsa,liong-cha,2,taihoa
liōng-tsîng,liōng-chêng,諒情,liong-tsing,liong-cheng,2,taihoa
liōng-hān,liōng-hān,冗限,liong-han,liong-han,2,taihoa
liōng-kái,liōng-kái,諒解,liong-kai,liong-kai,2,taihoa
liōng-liōng,liōng-liōng,冗冗,liong-liong,liong-liong,2,taihoa
liōng-sîng,liōng-sêng,釀成,liong-sing,liong-seng,2,taihoa
liōng-sīng,liōng-sēng,冗盛,liong-sing,liong-seng,2,taihoa
liōng-sīng,liōng-sēng,冗剩,liong-sing,liong-seng,2,taihoa
li̍p,li̍p,li̍p,lip,lip,1,taihoa
li̍p,li̍p,立,lip,lip,1,taihoa
li̍p-àn,li̍p-àn,立案,lip-an,lip-an,2,taihoa
li̍p-bê,li̍p-bê,入迷,lip-be,lip-be,2,taihoa
li̍p-bîn,li̍p-bîn,入眠,lip-bin,lip-bin,2,taihoa
li̍p-bo̍k,li̍p-bo̍k,入木,lip-bok,lip-bok,2,taihoa
li̍p-bûn,li̍p-bûn,入門,lip-bun,lip-bun,2,taihoa
li̍p-tsi̍k,li̍p-che̍k,入籍,lip-tsik,lip-chek,2,taihoa
li̍p-tshiau,li̍p-chhiau,入超,lip-tshiau,lip-chhiau,2,taihoa
li̍p-tshiu,li̍p-chhiu,立秋,lip-tshiu,lip-chhiu,2,taihoa
li̍p-tshiú,li̍p-chhiú,入手,lip-tshiu,lip-chhiu,2,taihoa
li̍p-tshù,li̍p-chhù,入厝,lip-tshu,lip-chhu,2,taihoa
li̍p-tshuì,li̍p-chhùi,入嘴,lip-tshui,lip-chhui,2,taihoa
li̍p-tshun,li̍p-chhun,立春,lip-tshun,lip-chhun,2,taihoa
li̍p-tsì,li̍p-chì,立志,lip-tsi,lip-chi,2,taihoa
li̍p-tsiok-tiám,li̍p-chiok-tiám,立足點,lip-tsiok-tiam,lip-chiok-tiam,3,taihoa
li̍p-tsn̄g,li̍p-chn̄g,入狀,lip-tsng,lip-chng,2,taihoa
li̍p-tsuí,li̍p-chúi,入水,lip-tsui,lip-chui,2,taihoa
li̍p-gia̍p,li̍p-gia̍p,立業,lip-giap,lip-giap,2,taihoa
li̍p-hā,li̍p-hā,立下,lip-ha,lip-ha,2,taihoa
li̍p-ha̍k,li̍p-ha̍k,入學,lip-hak,lip-hak,2,taihoa
li̍p-hē,li̍p-hē,立夏,lip-he,lip-he,2,taihoa
li̍p-hīnn,li̍p-hīⁿ,入耳,lip-hinn,lip-hiⁿ,2,taihoa
li̍p-huat,li̍p-hoat,立法,lip-huat,lip-hoat,2,taihoa
li̍p-huat-īnn,li̍p-hoat-īⁿ,立法院,lip-huat-inn,lip-hoat-iⁿ,3,taihoa
li̍p-huat-kuân,li̍p-hoat-koân,立法權,lip-huat-kuan,lip-hoat-koan,3,taihoa
li̍p-hué,li̍p-hóe,入伙,lip-hue,lip-hoe,2,taihoa
li̍p-huē,li̍p-hōe,入會,lip-hue,lip-hoe,2,taihoa
li̍p-hong,li̍p-hong,立方,lip-hong,lip-hong,2,taihoa
li̍p-hong-bí,li̍p-hong-bí,立方米,lip-hong-bi,lip-hong-bi,3,taihoa
li̍p-ì,li̍p-ì,立意,lip-i,lip-i,2,taihoa
li̍p-iânn,li̍p-iâⁿ,入營,lip-iann,lip-iaⁿ,2,taihoa
li̍p-īnn,li̍p-īⁿ,入院,lip-inn,lip-iⁿ,2,taihoa
li̍p-īnn,li̍p-īⁿ,立院,lip-inn,lip-iⁿ,2,taihoa
li̍p-iok,li̍p-iok,立約,lip-iok,lip-iok,2,taihoa
li̍p-jîn,li̍p-jîn,立人,lip-jin,lip-jin,2,taihoa
li̍p-káng,li̍p-káng,入港,lip-kang,lip-kang,2,taihoa
li̍p-kàu,li̍p-kàu,入教,lip-kau,lip-kau,2,taihoa
li̍p-kíng,li̍p-kéng,入境,lip-king,lip-keng,2,taihoa
li̍p-kháu,li̍p-kháu,入口,lip-khau,lip-khau,2,taihoa
li̍p-khik,li̍p-khek,立刻,lip-khik,lip-khek,2,taihoa
