tl,poj,hanzi,tl_no_tone,poj_no_tone,syllable_count,source
tshiū-m̂,chhiū-m̂,樹梅,tshiu-m,chhiu-m,2,taijit
tshiū-m̂-hōo,chhiū-m̂-hō͘,樹梅雨,tshiu-m-hoo,chhiu-m-ho͘,3,taijit
tshiū-m̂-piánn,chhiū-m̂-piáⁿ,樹梅餅,tshiu-m-piann,chhiu-m-piaⁿ,3,taijit
tshiū-m̂-póo,chhiū-m̂-pó͘,樹梅脯,tshiu-m-poo,chhiu-m-po͘,3,taijit
tshiū-nâ,chhiū-nâ,樹林,tshiu-na,chhiu-na,2,taijit
tshiū-nâ-lāi,chhiū-nâ-lāi,樹林內,tshiu-na-lai,chhiu-na-lai,3,taijit
tshiū-nâ-pôo,chhiū-nâ-pô͘,樹林苞,tshiu-na-poo,chhiu-na-po͘,3,taijit
tshiū-ńg,chhiū-ńg,樹蔭,tshiu-ng,chhiu-ng,2,taijit
tshiū-ni,chhiū-ni,樹乳,tshiu-ni,chhiu-ni,2,taijit
tshiū-ni-ê,chhiū-ni-ê,樹乳鞋,tshiu-ni-e,chhiu-ni-e,3,taijit
tshiū-ni-ìn,chhiū-ni-ìn,樹乳印,tshiu-ni-in,chhiu-ni-in,3,taijit
tshiū-ni-iû,chhiū-ni-iû,樹乳油,tshiu-ni-iu,chhiu-ni-iu,3,taijit
tshiū-ni-king,chhiū-ni-keng,樹乳弓,tshiu-ni-king,chhiu-ni-keng,3,taijit
tshiū-ni-kóng,chhiū-ni-kóng,樹乳管,tshiu-ni-kong,chhiu-ni-kong,3,taijit
tshiū-ni-kôo,chhiū-ni-kô͘,樹乳糊,tshiu-ni-koo,chhiu-ni-ko͘,3,taijit
tshiū-ni-sann,chhiū-ni-saⁿ,樹乳衫,tshiu-ni-sann,chhiu-ni-saⁿ,3,taijit
tshiū-ni-thâu,chhiū-ni-thâu,樹乳頭,tshiu-ni-thau,chhiu-ni-thau,3,taijit
tshiū-ni-tuà,chhiū-ni-tòa,樹乳帶,tshiu-ni-tua,chhiu-ni-toa,3,taijit
tshiū-uāinn,chhiū-oāiⁿ,樹椏,tshiu-uainn,chhiu-oaiⁿ,2,taijit
tshiū-pak,chhiū-pak,樹腹,tshiu-pak,chhiu-pak,2,taijit
tshiū-phê,chhiū-phê,樹皮,tshiu-phe,chhiu-phe,2,taijit
tshiū-siân,chhiū-siân,樹蟬,tshiu-sian,chhiu-sian,2,taijit
tshiū-sin,chhiū-sin,樹身,tshiu-sin,chhiu-sin,2,taijit
tshiū-sîn,chhiū-sîn,樹神,tshiu-sin,chhiu-sin,2,taijit
tshiū-tāu,chhiū-tāu,樹豆,tshiu-tau,chhiu-tau,2,taijit
tshiū-thâu,chhiū-thâu,樹頭,tshiu-thau,chhiu-thau,2,taijit
tshiū-thn̄g,chhiū-thn̄g,樹斷,tshiu-thng,chhiu-thng,2,taijit
tshiuá-sa,chhiúa-sa,手砂,tshiua-sa,chhiua-sa,2,taijit
tshiu--ah-tshiu,chhiu--ah-chhiu,羞啊羞,tshiu--ah-tshiu,chhiu--ah-chhiu,3,taijit
tshiu-āu,chhiu-āu,秋後,tshiu-au,chhiu-au,2,taijit
tshiu-āu-sua̍h,chhiu-āu-soa̍h,秋後熱,tshiu-au-suah,chhiu-au-soah,3,taijit
tshiu-bō,chhiu-bō,秋帽,tshiu-bo,chhiu-bo,2,taijit
tshiu-tsè,chhiu-chè,秋祭,tshiu-tse,chhiu-che,2,taijit
tshiu-tshâm,chhiu-chhâm,秋蠶,tshiu-tsham,chhiu-chham,2,taijit
tshiu-tsháu,chhiu-chháu,秋草,tshiu-tshau,chhiu-chhau,2,taijit
tshiu-tshim,chhiu-chhim,秋深,tshiu-tshim,chhiu-chhim,2,taijit
tshiu-tshìn,chhiu-chhìn,秋凊,tshiu-tshin,chhiu-chhin,2,taijit
tshiu-tshiu,chhiu-chhiu,鬚鬚,tshiu-tshiu,chhiu-chhiu,2,taijit
tshiu-tshiu,chhiu-chhiu,羞羞,tshiu-tshiu,chhiu-chhiu,2,taijit
tshiu--tsi̍t-ē,chhiu--chi̍t-ē,羞一下,tshiu--tsit-e,chhiu--chit-e,3,taijit
tshiu-hái-tông,chhiu-hái-tông,秋海棠,tshiu-hai-tong,chhiu-hai-tong,3,taijit
tshiu-hô,chhiu-hô,秋毫,tshiu-ho,chhiu-ho,2,taijit
tshiu-hong,chhiu-hong,秋風,tshiu-hong,chhiu-hong,2,taijit
tshiu-hun,chhiu-hun,秋分,tshiu-hun,chhiu-hun,2,taijit
tshiu-ji̍t,chhiu-ji̍t,秋日,tshiu-jit,chhiu-jit,2,taijit
tshiu-koo-hî,chhiu-ko͘-hî,鰍鮕魚,tshiu-koo-hi,chhiu-ko͘-hi,3,taijit
tshiu-kuì,chhiu-kùi,秋季,tshiu-kui,chhiu-kui,2,taijit
tshiu-kuî,chhiu-kûi,秋葵,tshiu-kui,chhiu-kui,2,taijit
tshiu--lâng,chhiu--lâng,羞人,tshiu--lang,chhiu--lang,2,taijit
tshiu-líng,chhiu-léng,秋冷,tshiu-ling,chhiu-leng,2,taijit
tshiu-liâm,chhiu-liâm,鰍鯰,tshiu-liam,chhiu-liam,2,taijit
tshiu-liâng,chhiu-liâng,秋涼,tshiu-liang,chhiu-liang,2,taijit
tshiu-lîm,chhiu-lîm,秋霖,tshiu-lim,chhiu-lim,2,taijit
tshiu-lô,chhiu-lô,秋羅,tshiu-lo,chhiu-lo,2,taijit
tshiunn,chhiuⁿ,鯧,tshiunn,chhiuⁿ,1,taijit
tshiunn,chhiuⁿ,鎗,tshiunn,chhiuⁿ,1,taijit
tshiūnn,chhiūⁿ,汲,tshiunn,chhiuⁿ,1,taijit
tshiúnn,chhiúⁿ,廠,tshiunn,chhiuⁿ,1,taijit
tshiúnn,chhiúⁿ,搶,tshiunn,chhiuⁿ,1,taijit
tshiúnn-àn,chhiúⁿ-àn,搶案,tshiunn-an,chhiuⁿ-an,2,taijit
tshiúnn-tsing-sîn,chhiúⁿ-cheng-sîn,贖精神,tshiunn-tsing-sin,chhiuⁿ-cheng-sin,3,taijit
tshiúnn-he,chhiúⁿ-he,搶灰,tshiunn-he,chhiuⁿ-he,2,taijit
tshiúnn-huān,chhiúⁿ-hoān,搶犯,tshiunn-huan,chhiuⁿ-hoan,2,taijit
tshiúnn-hûn,chhiúⁿ-hûn,贖魂,tshiunn-hun,chhiuⁿ-hun,2,taijit
tshiúnn-jîn-bīng,chhiúⁿ-jîn-bēng,搶人命,tshiunn-jin-bing,chhiuⁿ-jin-beng,3,taijit
tshiúnn-kiap,chhiúⁿ-kiap,搶劫,tshiunn-kiap,chhiuⁿ-kiap,2,taijit
tshiúnn-koo,chhiúⁿ-ko͘,搶孤,tshiunn-koo,chhiuⁿ-ko͘,2,taijit
tshiúnn-pak,chhiúⁿ-pak,搶剝,tshiunn-pak,chhiuⁿ-pak,2,taijit
tshiúnn-pak-tsha̍t,chhiúⁿ-pak-chha̍t,搶剝賊,tshiunn-pak-tshat,chhiuⁿ-pak-chhat,3,taijit
tshiúnn-sin,chhiúⁿ-sin,搶新,tshiunn-sin,chhiuⁿ-sin,2,taijit
tshiúnn-thâu-hiunn,chhiúⁿ-thâu-hiuⁿ,搶頭香,tshiunn-thau-hiunn,chhiuⁿ-thau-hiuⁿ,3,taijit
tshiúnn-thâu-pio,chhiúⁿ-thâu-pio,搶頭標,tshiunn-thau-pio,chhiuⁿ-thau-pio,3,taijit
tshiúnn-tua̍t,chhiúⁿ-toa̍t,搶奪,tshiunn-tuat,chhiuⁿ-toat,2,taijit
tshiùnn,chhiùⁿ,唱,tshiunn,chhiuⁿ,1,taijit
tshiùnn-hiā,chhiùⁿ-hiā,揖讓,tshiunn-hia,chhiuⁿ-hia,2,taijit
tshiùnn-jiā,chhiùⁿ-jiā,揖讓,tshiunn-jia,chhiuⁿ-jia,2,taijit
tshiùnn-khun-khiang,chhiùⁿ-khun-khiang,唱崑腔,tshiunn-khun-khiang,chhiuⁿ-khun-khiang,3,taijit
tshiùnn-ki,chhiùⁿ-ki,唱機,tshiunn-ki,chhiuⁿ-ki,2,taijit
