tl,hanzi,frequency,poj,tl_num,poj_num
gōo-kha-lí,五脚里,16,gō͘-kha-lí,goo7khali2,goo7khali2
góo-lîng-lân,五龍蘭,16,gó͘-lêng-lân,goo2ling5lan5,goo2leng5lan5
tsínn-pinn-tsháu,井邊草,16,chíⁿ-piⁿ-chháu,tsinn2pinntshau2,chinn2pinnchhau2
jîn-biān-tik,人面竹,16,jîn-biān-tek,jin5bian7tik,jin5bian7tek
jîn-tshì-tshang,仁刺葱,16,jîn-chhì-chhang,jin5tshi3tshang,jin5chhi3chhang
sian-pa-tsiúnn,仙巴掌,16,sian-pa-chiúⁿ,sianpatsiunn2,sianpachiunn2
hô-siú-oo,何首烏,16,hô-siú-o͘,ho5siu2oo,ho5siu2oo
hu̍t-thâu-kó,佛頭果,16,hu̍t-thâu-kó,hut8thau5ko2,hut8thau5ko2
sù-kun-tsú,使君子,16,sù-kun-chú,su3kuntsu2,su3kunchu2
tó-tuē-kióng,倒地拱,16,tó-tōe-kióng,to2tue7kiong2,to2toe7kiong2
