雨幔,雨𧜞
青磅白磅,青碰白碰
亭仔跤,亭仔骹
亭仔跤,亭仔腳
便媒人,便媒儂
剉,剒
前人囝,前人子
前人囝,前儂子
前人囝,前儂囝
南爿,南旁
削削叫,嗄嗄叫
剉柴,剒柴
咧,在
咧,塊
厚沙屑,厚砂屑
哈唏,哈肺
厚紙坯,厚紙胚
咧欲,在要
咬喙,咬嘴
咬喙,齩喙
厚薰,厚熏
厚薰,厚煙
奕,弈
姦,幹
契兄,客兄
姼仔,七仔
姼仔詼,七仔詼
契囝,契子
契爸,契父
姦撟,幹譑
峇,密
客人,客儂
幽幽仔疼,幽幽仔痛
屎桮齒,屎篦齒
封喙,封嘴
度晬,度歲
峇微,麻微
拜公媽,拜公嬤
後世人,後世儂
後坐,後座
後岫,後受
後岫,後巢
後鈕,後紐
後跤,後骹
後跤,後腳
怨慼,怨切
後頭厝,後頭茨
後擴,後売
挂,罣
挂,掛
曷,抑
挑手爿,挑手旁
昨昏,昨方
挖空,挖孔
按怎,安怎
按怎樣,安怎樣
指指揬揬,指指突突
挖塗,挖土
指頭仔,掌頭仔
枵,飢
枵,餓
枷,椵
某,姥
柯,過
柯,枯
柳丁,柳橙
某乜人,某物人
某乜人,某乜儂
某乜人,某物儂
柳丁汁,柳橙汁
某大姊,某大姐
柱仔跤,柱仔骹
柱仔跤,柱仔腳
某囝,某子
查某𡢃,查某嫺
查某𡢃,查某嫻
查某人,查某儂
查某囝,查某子
查埔,查甫
查埔,查夫
查埔,諸夫
查埔人,查甫人
查埔人,查甫儂
查埔人,查埔儂
查埔囝,查甫囝
查埔囝,查甫子
查埔囝,查埔子
枵鬼,飢鬼
枵鬼,餓鬼
架跤,架骹
架跤,架腳
枵飽吵,飢飽吵
枵饞,飢饞
枵饞,餓饞
枵饞,枵豺
洘旱,涸旱
洗汰,洗汏
洗衫枋,洗衫板
歪喙,歪嘴
洗喙,洗嘴
炭,碳
狡怪,狡獪
炭空,碳空
炭空,炭孔
炭空,碳孔
炭屎,碳屎
活欲,活要
流糍,流餈
流糍,流粢
流豬哥瀾,流豬哥涎
流瀾,流涎
炭礦,碳礦
牲醴,牲禮
相𫝛,相像
相仝,相共
相佮,相合
相佮,相及
相卸代,相卸事
相拍,相打
相拍,相扑
相拍電,相打電
相拍電,相扑電
相拍雞仔,相打雞仔
相拍雞仔,相扑雞仔
相倚,相偎
相唚,相親
相舂,相爭
相舂,相衝
相舂,相掙
相連紲,相連續
相楗,相拱
相楗,相挭
盹瞌睡,拄磕睡
相諍,相爭
盹龜,拄龜
盹龜,拄痀
盹龜,盹眗
看人無,看儂無
看袂起,看𣍐起
耍,爽
紅毛塗,紅毛土
紅塗,紅土
紅膏赤蠘,紅膏赤脂
紅龜粿,紅龜餜
胡蠅,葫蠅
胡蠅拍仔,胡蠅打仔
胡蠅拍仔,胡蠅扑仔
苛,科
苳蒿,冬蒿
苳蒿,苳萵
苳蒿,茼萵
苛頭,科頭
虼蚻,虼蠽
虼蚻,虼蠘
虼蚻,加絕
重巡,重紃
重重疊疊,重重沓沓
重食,重噍
重食,重吃
迫倚,迫偎
訂婚,定婚
重敧爿,重敧旁
限數,限賬
重擔,重担
食,噍
食,吃
食人,食儂
食人,噍儂
食人,吃人
食力,噍力
食力,吃力
食外口,噍外口
食外口,吃外口
食名,噍名
食名,吃名
食老,噍老
食老,吃老
食色,噍色
食色,吃色
風吹輪,風吹輾
食命,噍命
食命,吃命
食物,噍物
食物,吃物
食穿,噍穿
食穿,吃穿
食苦,噍苦
食苦,吃苦
食食,噍食
食食,吃食
風飛沙,風飛砂
食倯,噍倯
食倯,吃倯
食倯,噍傖
食桌,噍桌
食桌,吃桌
香烌,香灰
食祖,噍祖
食祖,吃祖
食秤頭,噍秤頭
食秤頭,吃秤頭
食晝,噍晝
食晝,吃晝
食晝,食罩
食清領便,噍清領便
食清領便,吃清領便
食軟驚硬,噍軟驚硬
食軟驚硬,吃軟驚硬
風喙口,風嘴口
風湧,風泳
香港跤,香港骹
香港跤,香港腳
韭菜,韮菜
食菜,噍菜
食菜,吃菜
韭菜花,韮菜花
食飯桌,噍飯桌
食飯桌,吃飯桌
食飯廳,噍飯廳
食飯廳,吃飯廳
食暗,噍暗
食暗,吃暗
食補,噍補
食補,吃補
食福,噍福
食福,吃福
食漿,噍漿
食漿,吃漿
食褒,噍褒
食褒,吃褒
食醋,噍醋
食醋,吃醋
食膨餅,噍膨餅
食膨餅,吃凸餅
食錢,噍錢
食錢,吃錢
食錢官,噍錢官
食錢官,吃錢官
食頭路,噍頭路
食頭路,吃頭路
