hanzi,tl
捙輾斗,tshia-lìn-táu
書,si
柴梳,sâ-se
核能,hu̍t-lîng
欱,hop
桔仔,kit-á
海岸,hái-gān
海翁,hái-iang
浮動,phû-thām
海參,hái-sam
海參,hái-som
泰國菝仔,Thài-kok-pa̍t-á
海產糜,hái-sán-muâi
海漲,hái-tiùnn
烏毛,oo-mng
烏梅仔酒,oo-muâi-á-tsiú
烏漉肚,oo-lo̍k-tōo
烏貓姊仔,oo-niau-tsé--á
烏龍仔,oo-lîng-á
特權,ti̍k-kuân
狼,liông
狼狽,liông-puē
眠床,mn̂g-tshn̂g
祕書,pì-si
破開,phuà-khui
破壞,phò-hāi
神主牌仔,sîn-tsí-pâi-á
耙柫,pê-kut
紗窗,sua-thang
脈,be̍h
舐,tsn̄g
舐,tsī
臭奶呆,tshàu-lin-tai
茭白筍,ka-pe̍h-sún
臭腥公,tshàu-tshènn-kong/tshàu-tshìnn-kong
袂用得,bē-īng-tsit/buē-īng-tsit
袂用得,bē-īng-lit/buē-īng-lit
袂用得,bē-īng-eh/buē-īng-eh
袂使,bē-saih/buē-saih
袂使得,bē-saih-tsit/buē-saih-tsit
袂使得,bē-saih-lit/buē-saih-lit
袂使得,bē-saih-eh/buē-saih-eh
荔枝,lāi-tsi
袂記得,bē-kì-tsit/buē-kì-tsit
袂記得,bē-kì-lit/buē-kì-lit
袂記得,bē-kì-eh/buē-kì-eh
袂堪得,bē-kham-tsit/buē-kham-tsit
袂堪得,bē-kham-lit/buē-kham-lit
袂堪得,bē-kham-eh/buē-kham-eh
袂曉,bē-hiáng/buē-hiáng
袂講得,bē-kóng-tsit/buē-kóng-tsit
袂講得,bē-kóng-lit/buē-kóng-lit
袂講得,bē-kóng-eh/buē-kóng-eh
訕削,suan-siah
起凊瘼,khí-tshìn-mooh
起程,khí-tîng
起碇,khí-tiànn
訕潲,suan-siâu
起碼,khí-bé
起雞母皮,khí-ke-bú-phuê/khí-kue-bú-phê
馬上,má-siāng
除名,tî-miâ
高尚,ko-siōng
閃開,siám-khui
鬥鬧熱,tàu-nāu-jia̍t/tàu-nāu-lia̍t
高麗參,ko-lê-sam
高麗參,ko-lê-som
偌,juā
偌,luā
做莊,tsò-tsng/tsuè-tsng
偷提,thau-thue̍h
偷提,thau-e̍h
偌爾,juā-nī
偌爾,luā-nī
偌濟,juā-tsē/juā-tsuē
偌濟,luā-tsē/luā-tsuē
參仔,sam-á
參仔,som-á
動員,tōng-guân
參茸,som-jiông/som-liông
區域,khu-i̍k
參詳,tsham-siâng
商標,siong-piau
啥,sánn
夠用,kàu-iōng
啥物,siánn-mi̍h
將才,tsiàng-tsâi
專權,tsuan-kuân
得人疼,tik-lâng-thiànn
得人惜,tik-lâng-sioh
得失,tit-sit
康健,khong-kiānn
得勢,tik-sè
得意,tit-ì
得罪,tit-tsuē
帶領,tài-niá
悽慘,tshinn-tshám
悽慘落魄,tshinn-tshám-lo̍k-phik
惜福,sioh-hok
情緒,tsîng-sû
掮,kháinn
掛心,kuà-sim
採用,tshái-īng
推行,tshui-hîng
掃帚,sàu-tsiú
掃帚,sàu-siú
掃帚星,sàu-tsiú-tshenn/sàu-tsiú-tshinn
掃帚星,sàu-siú-tshenn/sàu-siú-tshinn
掩咯雞,am-ko̍k-ke/am-ko̍k-kue
教員,kàu-guân
推測,tshui-tshik
推進,tshui-tsìn
掛意,kuà-ì
推廣,tshui-kóng
掛慮,kuà-lī/kuà-lū
推撨,thui-tshiâu
推論,tshui-lūn
推銷,tshui-siau
掛礙,kuà-gāi
梅,muâi
梅仔,muâi-á
梅仔餅,muâi-á-piánn
梅毒,muâi-to̍k
欶奶,suh lin
條款,tiâu-khuánn
棄權,khì-kuân
淺眠,khín-bîn
清糜,tshing-muâi
現此時,hiān-tsú-sî
球桮,kiû-pe
盒仔,a̍h-á
眼前,gán-tsîng
章程,tsiong-tîng
羞,siu
紹興酒,siāu-hin-tsiú
船員,tsûn-guân
脯脯,pôo-pôo
脫離,thuat-lî
被囊,phuē-long/phē-long
販貨,phuà-huè/phuà-hè
貧惰,pûn-tuānn
貧惰,pân-tuānn
貧惰,pān-tuānn
貧惰骨,pûn-tuānn-kut
