hanzi,tl
搭,tap
搭,tah
搶,tshióng
搶,tshiáng
搶,tshiúnn
搶,tshiónn
楊,iông
楊,iâng
楊,iûnn
楊,iônn
楓,hong
楓,png
楓,puinn
楝,liān
楝,līng
楹,îng
榔,lông
榔,nn̂g
溶,iông
溶,iûnn
溶,iônn
煞,sat
煞,suah
當,tong
當,tòng
當,tng
當,tǹg
當,tang
當,tàng
盞,tsán
盞,tsuánn
碇,tīng
碇,tiānn
碌,lo̍k
碌,li̍k
筧,kián
筧,kíng
署,sū
署,sī
聖,sìng
聖,siànn
腦,ló
腦,lóo
腦,nóo
腦,náu
腰,io
腰,iau
腱,kiān
腱,kiàn
腳,kiok
腳,kioh
腸,tiông
腸,tshiâng
腸,tn̂g
腹,hok
腹,pak
舅,kiū
舅,kū
葛,kat
葛,kuah
董,tóng
董,táng
蜂,hong
蜂,phang
詭,khuí
詭,kuí
誠,sîng
誠,tsiânn
賊,tsi̍k
賊,tsha̍t
賊,tsa̍t
跡,tsik
跡,tsiah
較,kàu
較,kà
鈸,pua̍t
鈸,pua̍h
鉗,khiâm
鉗,khînn
隔,kik
隔,keh
零,lîng
零,lân
預,ū
預,ī
頓,tùn
頓,tǹg
頓,tuìnn
飽,páu
飽,pá
鼎,tíng
鼎,tiánn
鼠,sú
鼠,sí
鼠,tshú
鼠,tshí
嘔,óo
嘔,ió
嘔,áu
摘,tik
摘,tiah
榕,iông
榕,tshîng
榕,tsîng
榕,siông
榜,póng
榜,pńg
榻,thap
榻,thah
滴,tik
滴,tih
漁,gû
漁,gî
漁,hî
漁,hû
漂,phiàu
漂,phiau
漂,phiò
漏,lōo
漏,liō
漏,lāu
熔,iông
熔,iûnn
熔,iônn
獄,gi̍k
獄,ga̍k
瑪,má
瑪,bé
監,kam
監,kàm
監,kann
睡,suī
睡,tsuē
睡,tsē
碟,tia̍p
碟,ti̍h
端,tuan
端,tuann
綠,lio̍k
綠,li̍k
綿,mî
綿,biân
腐,hú
腐,hū
與,ú
與,í
與,ū
與,ī
蓄,thiok
蓄,hak
誓,sē
誓,sè
誓,tsuā
輕,khing
輕,khin
酸,suan
酸,sng
酸,suinn
駁,pok
駁,poh
價,kà
價,kè
厲,lē
厲,lī
墨,bi̍k
墨,ba̍k
墳,hûn
墳,phûn
寬,khuan
寬,khuann
廚,tû
廚,tôo
彈,tân
彈,tān
彈,tuânn
彈,tuānn
影,iánn
影,íng
徵,ting
徵,tsing
徵,tin
憐,liân
憐,lîn
撒,sat
撒,suah
撥,puat
撥,puah
暴,pō
暴,pōo
暴,po̍k
樑,liông
樑,liâng
樑,niû
樑,niôo
樟,tsiong
樟,tsiang
樟,tsiunn
樟,tsionn
樣,iōng
樣,iāng
樣,iūnn
樣,iōnn
歐,io
歐,oo
歐,au
漿,tsiong
漿,tsiang
漿,tsiunn
漿,tsionn
潑,phuat
潑,phuah
潘,phuan
潘,phuann
熟,sio̍k
熟,si̍k
瘡,tshong
瘡,tshng
盤,puân
盤,phuân
盤,puânn
碼,má
碼,bé
箠,suî
箠,tshuê
箠,tshê
箭,tsiàn
箭,tsìnn
箱,siong
箱,siang
箱,siunn
箱,sionn
範,huān
範,pān
篇,phian
篇,phinn
糊,hôo
糊,kôo
緝,tship
蔬,soo
蔬,se
蔬,sue
蝴,hôo
蝴,ôo
蝶,tia̍p
蝶,ia̍h
誰,suî
誰,tsuî
諍,tsìng
諍,tsènn
諍,tsìnn
踏,ta̍p
踏,ta̍h
踢,thik
踢,that
輛,lióng
輛,liōng
輛,liáng
輛,liāng
鄭,tīng
鄭,tēnn
鄭,tīnn
鞋,hâi
鞋,ê
鞋,uê
鞍,an
鞍,uann
頦,hâi
頦,huâi
餘,û
餘,î
駛,sú
駛,sái
壁,pik
壁,piah
壇,tân
壇,tuânn
憑,pîng
憑,pîn
曆,li̍k
曆,la̍h
樸,phok
樸,phoh
樹,tshiū
樹,sū
樹,sī
橄,kám
橄,kan
橄,kann
橋,kiâu
橋,kiô
機,ki
機,kui
橫,hîng
橫,huâinn
橫,huînn
濁,to̍k
濁,tso̍k
濁,ta̍k
燃,jiân
燃,liân
燃,giân
燃,hiânn
燕,iàn
燕,ìnn
獨,to̍k
獨,ta̍k
磚,tsuan
磚,tsng
磚,tsuinn
艙,tshong
艙,tshng
蕉,tsiau
蕉,tsio
蕩,tōng
蕩,tn̄g
蕭,siau
蕭,sio
賴,nāi
賴,lāi
賴,luā
輯,tsi̍p
輯,tship
醒,síng
醒,tshénn
醒,tshínn
鋼,kong
鋼,kòng
鋼,kǹg
錄,lio̍k
錄,li̍k
錄,lo̍k
錠,tīng
錠,tiānn
錢,tsiân
錢,tsînn
錫,sik
錫,siah
錯,tshok
錯,tshò
錯,tshòo
頭,thiô
頭,thôo
頭,thâu
鴦,iunn
鴦,ionn
鴦,iong
鴦,iang
龜,kui
龜,ku
壓,ap
壓,ah
嬰,ing
嬰,enn
嬰,inn
嶺,líng
嶺,niá
懂,tóng
懂,táng
應,ing
應,ìng
應,ìn
戴,tài
戴,tè
戴,tì
檀,tân
檀,tuânn
爵,tsiok
爵,tsik
環,khuân
環,huân
盪,tōng
盪,tn̄g
礁,tsiau
礁,ta
篷,hông
篷,phâng
篷,pông
篾,bia̍t
篾,bi̍h
糞,hùn
糞,pùn
糠,khong
糠,khng
縫,hông
縫,hōng
縫,pâng
縫,phāng
縮,siok
縮,sok
績,tsik
績,tseh
翳,è
翳,ì
翼,i̍k
翼,si̍t
膿,lông
膿,lâng
薄,po̍k
薄,po̍h
薯,tsû
薯,tsî
螺,lôo
螺,lê
蟋,sik
蟋,sih
蟒,bóng
蟒,báng
賽,sài
賽,sè
邀,iau
邀,io
錨,biâu
錨,bâ
鍾,tsiong
鍾,tsing
霞,hâ
霞,hê
鮮,sian
鮮,sián
鮮,tshinn
鴿,kap
鴿,kah
叢,tsông
叢,tsâng
嬸,sím
嬸,tsím
獵,lia̍p
獵,la̍h
穡,sik
穡,sit
竅,khiàu
竅,khiò
臍,tsê
臍,tsâi
舊,kiū
舊,kū
藉,tsik
藉,tsiah
藉,tsià
藍,lâm
藍,nâ
覆,hok
覆,phak
豐,hong
豐,phong
