tl,hanzi,frequency,poj,tl_num,poj_num,tps_num,tps_num_var,tl_notone,poj_notone,tps_notone,tps_notone_var,tl_abbrev,poj_abbrev,tps_abbrev,tps_abbrev_var,taijit,is_variant
sîng-ho̍k,成服,25,sêng-ho̍k,sing5hok8,seng5hok8,ㄒㄧㄥˊㄏㆦㆻ̇,,singhok,senghok,ㄒㄧㄥㄏㆦㆻ,,sh,sh,ㄒㄏ,,True,False
tshiânn-keh,成格,25,chhiâⁿ-keh,tshiann5keh4,chhiann5keh4,ㄑㄧㆩˊㄍㆤㆷ,,tshiannkeh,chhiannkeh,ㄑㄧㆩㄍㆤㆷ,,tk,ck,ㄑㄍ,,True,False
sîng-àn,成案,25,sêng-àn,sing5an3,seng5an3,ㄒㄧㄥˊㄢ˪,,singan,sengan,ㄒㄧㄥㄢ,,sa,sa,ㄒㄢ,,True,False
sîng-gia̍p,成業,25,sêng-gia̍p,sing5giap8,seng5giap8,ㄒㄧㄥˊㆣㄧㄚㆴ̇,,singgiap,senggiap,ㄒㄧㄥㆣㄧㄚㆴ,,sg,sg,ㄒㆣ,,True,False
tsiânn-iūnn,成樣,25,chiâⁿ-iūⁿ,tsiann5iunn7,chiann5iunn7,ㄐㄧㆩˊㄧㆫ˫,,tsianniunn,chianniunn,ㄐㄧㆩㄧㆫ,,ti,ci,ㄐㄧ,,True,False
tsiânn-khuán,成款,25,chiâⁿ-khoán,tsiann5khuan2,chiann5khoan2,ㄐㄧㆩˊㄎㄨㄢˋ,,tsiannkhuan,chiannkhoan,ㄐㄧㆩㄎㄨㄢ,,tk,ck,ㄐㄎ,,True,False
tsiânn-mi̍h,成物,25,chiâⁿ-mi̍h,tsiann5mih8,chiann5mih8,ㄐㄧㆩˊㄇㄧㆷ̇,,tsiannmih,chiannmih,ㄐㄧㆩㄇㄧㆷ,,tm,cm,ㄐㄇ,,True,False
tsiânn-pah,成百,25,chiâⁿ-pah,tsiann5pah4,chiann5pah4,ㄐㄧㆩˊㄅㄚㆷ,,tsiannpah,chiannpah,ㄐㄧㆩㄅㄚㆷ,,tp,cp,ㄐㄅ,,True,False
sîng-tsóo,成祖,25,sêng-chó͘,sing5tsoo2,seng5choo2,ㄒㄧㄥˊㄗㆦˋ,,singtsoo,sengchoo,ㄒㄧㄥㄗㆦ,,st,sc,ㄒㄗ,,True,False
sîng-tông,成童,25,sêng-tông,sing5tong5,seng5tong5,ㄒㄧㄥˊㄉㆲˊ,,singtong,sengtong,ㄒㄧㄥㄉㆲ,,st,st,ㄒㄉ,,True,False
sîng-tsik,成績,25,sêng-chek,sing5tsik4,seng5chek4,ㄒㄧㄥˊㄐㄧㆻ,,singtsik,sengchek,ㄒㄧㄥㄐㄧㆻ,,st,sc,ㄒㄐ,,True,False
tsiânn-bān,成萬,25,chiâⁿ-bān,tsiann5ban7,chiann5ban7,ㄐㄧㆩˊㆠㄢ˫,,tsiannban,chiannban,ㄐㄧㆩㆠㄢ,,tb,cb,ㄐㆠ,,True,False
tsiânn-kiânn,成行,25,chiâⁿ-kiâⁿ,tsiann5kiann5,chiann5kiann5,ㄐㄧㆩˊㄍㄧㆩˊ,,tsiannkiann,chiannkiann,ㄐㄧㆩㄍㄧㆩ,,tk,ck,ㄐㄍ,,True,False
sîng-kiàn,成見,25,sêng-kiàn,sing5kian3,seng5kian3,ㄒㄧㄥˊㄍㄧㄢ˪,,singkian,sengkian,ㄒㄧㄥㄍㄧㄢ,,sk,sk,ㄒㄍ,,True,False
sîng-tshin,成親,25,sêng-chhin,sing5tshin1,seng5chhin1,ㄒㄧㄥˊㄑㄧㄣ,,singtshin,sengchhin,ㄒㄧㄥㄑㄧㄣ,,st,sc,ㄒㄑ,,True,False
tshiânn-uē,成話,25,chhiâⁿ-ōe,tshiann5ue7,chhiann5oe7,ㄑㄧㆩˊㄨㆤ˫,,tshiannue,chhiannoe,ㄑㄧㆩㄨㆤ,,tu,co,ㄑㄨ,,True,False
sîng-gú,成語,25,sêng-gú,sing5gu2,seng5gu2,ㄒㄧㄥˊㆣㄨˋ,,singgu,senggu,ㄒㄧㄥㆣㄨ,,sg,sg,ㄒㆣ,,True,False
sîng-gī,成議,25,sêng-gī,sing5gi7,seng5gi7,ㄒㄧㄥˊㆣㄧ˫,,singgi,senggi,ㄒㄧㄥㆣㄧ,,sg,sg,ㄒㆣ,,True,False
tsiânn-tsînn,成錢,25,chiâⁿ-chîⁿ,tsiann5tsinn5,chiann5chinn5,ㄐㄧㆩˊㄐㆪˊ,,tsianntsinn,chiannchinn,ㄐㄧㆩㄐㆪ,,tt,cc,ㄐㄐ,,True,False
sîng-tióng,成長,25,sêng-tióng,sing5tiong2,seng5tiong2,ㄒㄧㄥˊㄉㄧㆲˋ,,singtiong,sengtiong,ㄒㄧㄥㄉㄧㆲ,,st,st,ㄒㄉ,,True,False
tsiânn-tīn,成陣,25,chiâⁿ-tīn,tsiann5tin7,chiann5tin7,ㄐㄧㆩˊㄉㄧㄣ˫,,tsianntin,chianntin,ㄐㄧㆩㄉㄧㄣ,,tt,ct,ㄐㄉ,,True,False
sîng-iông,成陽,25,sêng-iông,sing5iong5,seng5iong5,ㄒㄧㄥˊㄧㆲˊ,,singiong,sengiong,ㄒㄧㄥㄧㆲ,,si,si,ㄒㄧ,,True,False
tsiânn-khiah,成隙,25,chiâⁿ-khiah,tsiann5khiah4,chiann5khiah4,ㄐㄧㆩˊㄎㄧㄚㆷ,,tsiannkhiah,chiannkhiah,ㄐㄧㆩㄎㄧㄚㆷ,,tk,ck,ㄐㄎ,,True,False
sîng-siang,成雙,25,sêng-siang,sing5siang1,seng5siang1,ㄒㄧㄥˊㄒㄧㄤ,,singsiang,sengsiang,ㄒㄧㄥㄒㄧㄤ,,ss,ss,ㄒㄒ,,True,False
tsiânn-siang,成雙,25,chiâⁿ-siang,tsiann5siang1,chiann5siang1,ㄐㄧㆩˊㄒㄧㄤ,,tsiannsiang,chiannsiang,ㄐㄧㆩㄒㄧㄤ,,ts,cs,ㄐㄒ,,True,False
tsiânn-hāng,成項,25,chiâⁿ-hāng,tsiann5hang7,chiann5hang7,ㄐㄧㆩˊㄏㄤ˫,,tsiannhang,chiannhang,ㄐㄧㆩㄏㄤ,,th,ch,ㄐㄏ,,True,False
ngóo-puè,我輩,25,ngó͘-pòe,ngoo2pue3,ngoo2poe3,ㄫㆦˋㄅㄨㆤ˪,,ngoopue,ngoopoe,ㄫㆦㄅㄨㆤ,,np,np,ㄫㄅ,,True,False
kài-tsú,戒主,25,kài-chú,kai3tsu2,kai3chu2,ㄍㄞ˪ㄗㄨˋ,,kaitsu,kaichu,ㄍㄞㄗㄨ,,kt,kc,ㄍㄗ,,True,False
kài-tsí,戒子,25,kài-chí,kai3tsi2,kai3chi2,ㄍㄞ˪ㄐㄧˋ,,kaitsi,kaichi,ㄍㄞㄐㄧ,,kt,kc,ㄍㄐ,,True,False
kài-lu̍t,戒律,25,kài-lu̍t,kai3lut8,kai3lut8,ㄍㄞ˪ㄌㄨㆵ̇,,kailut,kailut,ㄍㄞㄌㄨㆵ,,kl,kl,ㄍㄌ,,True,False
kài-sim,戒心,25,kài-sim,kai3sim1,kai3sim1,ㄍㄞ˪ㄒㄧㆬ,,kaisim,kaisim,ㄍㄞㄒㄧㆬ,,ks,ks,ㄍㄒ,,True,False
kài-ok,戒惡,25,kài-ok,kai3ok4,kai3ok4,ㄍㄞ˪ㆦㆻ,,kaiok,kaiok,ㄍㄞㆦㆻ,,ko,ko,ㄍㆦ,,True,False
kài-tsí,戒指,25,kài-chí,kai3tsi2,kai3chi2,ㄍㄞ˪ㄐㄧˋ,,kaitsi,kaichi,ㄍㄞㄐㄧ,,kt,kc,ㄍㄐ,,True,False
kài-thik,戒斥,25,kài-thek,kai3thik4,kai3thek4,ㄍㄞ˪ㄊㄧㆻ,,kaithik,kaithek,ㄍㄞㄊㄧㆻ,,kt,kt,ㄍㄊ,,True,False
kài-îm,戒淫,25,kài-îm,kai3im5,kai3im5,ㄍㄞ˪ㄧㆬˊ,,kaiim,kaiim,ㄍㄞㄧㆬ,,ki,ki,ㄍㄧ,,True,False
kài-sik,戒色,25,kài-sek,kai3sik4,kai3sek4,ㄍㄞ˪ㄒㄧㆻ,,kaisik,kaisek,ㄍㄞㄒㄧㆻ,,ks,ks,ㄍㄒ,,True,False
kài-hun,戒薰,25,kài-hun,kai3hun1,kai3hun1,ㄍㄞ˪ㄏㄨㄣ,,kaihun,kaihun,ㄍㄞㄏㄨㄣ,,kh,kh,ㄍㄏ,,True,False
kài-tsiú,戒酒,25,kài-chiú,kai3tsiu2,kai3chiu2,ㄍㄞ˪ㄐㄧㄨˋ,,kaitsiu,kaichiu,ㄍㄞㄐㄧㄨ,,kt,kc,ㄍㄐ,,True,False
kài-thâu,戒頭,25,kài-thâu,kai3thau5,kai3thau5,ㄍㄞ˪ㄊㄠˊ,,kaithau,kaithau,ㄍㄞㄊㄠ,,kt,kt,ㄍㄊ,,True,False
