"DictWordID","PojUnicode","PojUnicodeOthers","PojInput","PojInputOthers","HanLoTaibunPoj","KaisoehHanLoPoj","LekuHanLoPoj","KipUnicode","KipUnicodeOthers","KipInput","KipInputOthers","HanLoTaibunKip","KaisoehHanLoKip","LekuHanLoKip","PageNumber","GoanchhehPoochhiongChuliau"
"17759","hàiⁿ","","hainn3","","擲","搖動，擺動。","∼ 韆鞦；時鐘ê hiat仔teh ∼。","hàinn","","hainn3","","擲","搖動，擺動。","∼ 韆鞦；時鐘ê hiat仔teh ∼。","B0516",""
"17760","hàiⁿ-hàiⁿ","hàiⁿ-nài","hainn3-hainn3","hainn3-nai3","擲擲","(1) 附加形容詞。
(2) ＝[hàiⁿ]。","(1) 軟∼∼。","hàinn-hàinn","hàinn-nài","hainn3-hainn3","hainn3-nai3","擲擲","(1) 附加形容詞。
(2) ＝[hàinn]。","(1) 軟∼∼。","B0519/B0519",""
"17761","hàiⁿ-lō-sò","","hainn3-lo7-so3","","擲lō-sò","(1)＝[háiⁿ-lō-sō]。
(2)hàiⁿ動ê款式。
(3)tāi-chì搖擺_x0008_ē決定。","(2)吊teh ∼∼∼。
(3)chhun一個事尾teh ∼∼∼。","hàinn-lō-sò","","hainn3-lo7-so3","","擲lō-sò","(1)＝[háinn-lō-sō]。
(2)hàinn動ê款式。
(3)tāi-tsì搖擺_x0008_ē決定。","(2)吊teh ∼∼∼。
(3)chhun一個事尾teh ∼∼∼。","B0520",""
"17762","hāiⁿ","","hainn7","","唉","嘆氣ê感歎詞。","倒teh ∼。","hāinn","","hainn7","","唉","嘆氣ê感歎詞。","倒teh ∼。","B0516",""
"17763","hāiⁿ-hāiⁿ","","hainn7-hainn7","","唉唉","附加形容詞。","∼∼ 哮；軟 ∼∼＝破病或疲勞等身體無力。","hāinn-hāinn","","hainn7-hainn7","","唉唉","附加形容詞。","∼∼ 哮；軟 ∼∼＝破病或疲勞等身體無力。","B0519",""
"17764","haiⁿh","haih","hainnh","haih","唉","驚愕(gia̍h)ê感歎詞。","∼，你iá-kú m̄去；∼，你ná會án-ni。","hainnh","haih","hainnh","haih","唉","驚愕(gia̍h)ê感歎詞。","∼，你iá-kú m̄去；∼，你ná會án-ni。","B0516/B0515",""
"17765","haiⁿh-ah","haih-ah","hainnh-ah","haih-ah","唉啊","(1) 驚愕(gia̍h)ê感歎詞。
(2) 無合意ê時發出ê語氣。","(1) ∼∼，你ná thang去。
(2) ∼∼，阮m̄知。","hainnh-ah","haih-ah","hainnh-ah","haih-ah","唉啊","(1) 驚愕(gia̍h)ê感歎詞。
(2) 無合意ê時發出ê語氣。","(1) ∼∼，你ná thang去。
(2) ∼∼，阮m̄知。","B0516/B0516",""
"17766","haiⁿ-haiⁿ","","hainn-hainn","","唉唉","附加形容詞。","孱(chhan，破病等ê呻吟) ∼∼；∼∼ 沸；了kah ∼∼ 叫。","hainn-hainn","","hainn-hainn","","唉唉","附加形容詞。","孱(chhan，破病等ê呻吟) ∼∼；∼∼ 沸；了kah ∼∼ 叫。","B0519",""
"17767","hai-tāi","","hai-tai7","","hai大","老大。","","hai-tāi","","hai-tai7","","hai大","老大。","","B0518",""
"17768","hak","","hak","","建","(1)買田地、器具等起來khǹg。
(2) [khiàn](2)(3)。","(1)∼ 業；∼ ke-si。","hak","","hak","","建","(1)買田地、器具等起來khǹg。
(2) [khiàn](2)(3)。","(1)∼ 業；∼ ke-si。","B0525",""
"17769","ha̍k","","hak8","","礐","(1)貯堆肥ê窟穴。
(2) 貯堆肥ê窟穴ê助數詞。
(3)廁所。","(1)菁仔 ∼；尿 ∼；屎 ∼。
(2)一 ∼菁仔；二 ∼ 肥；銀十gōa ∼。
(3)∼ 仔；捷看尻川永會一pái ka落 ∼＝pháiⁿ事捷做就會出事。","ha̍k","","hak8","","礐","(1)貯堆肥ê窟穴。
(2) 貯堆肥ê窟穴ê助數詞。
(3)廁所。","(1)菁仔 ∼；尿 ∼；屎 ∼。
(2)一 ∼菁仔；二 ∼ 肥；銀十guā ∼。
(3)∼ 仔；捷看尻川永會一pái ka落 ∼＝pháinn事捷做就會出事。","B0525",""
"17770","ha̍k","","hak8","","學","(1)修業。
(2)(日)學問。
(3)(日)學校。","(1)∼ 仙法；入山 ∼ 道。
(2)社會 ∼；語 ∼。
(3)在 ∼ 中；退 ∼；入 ∼。","ha̍k","","hak8","","學","(1)修業。
(2)(日)學問。
(3)(日)學校。","(1)∼ 仙法；入山 ∼ 道。
(2)社會 ∼；語 ∼。
(3)在 ∼ 中；退 ∼；入 ∼。","B0525",""
