tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev
kí,机,11,kí,ki2,ki2,ki,ki,,
kán,柬,11,kán,kan2,kan2,kan,kan,,
thiāu-á,柱仔,11,thiāu-á,thiau7a2,thiau7a2,thiaua,thiaua,ta,ta
kik,格,11,kek,kik4,kek4,kik,kek,,
jû,榆,11,jû,ju5,ju5,ju,ju,,
tshiong,槍,11,chhiong,tshiong1,chhiong1,tshiong,chhiong,,
phok,樸,11,phok,phok4,phok4,phok,phok,,
khiàm-īng,欠用,11,khiàm-ēng,khiam3ing7,khiam3eng7,khiaming,khiameng,ki,ke
kî,沂,11,kî,ki5,ki5,ki,ki,,
tūn,沌,11,tūn,tun7,tun7,tun,tun,,
thài-san,泰山,11,thài-san,thai3san1,thai3san1,thaisan,thaisan,ts,ts
hái-poo,海埔,11,hái-po͘,hai2poo1,hai2poo1,haipoo,haipoo,hp,hp
tôo,涂,11,tô͘,too5,too5,too,too,,
tôo,淘,11,tô͘,too5,too5,too,too,,
tām-po̍h,淡薄,11,tām-po̍h,tam7poh8,tam7poh8,tampoh,tampoh,tp,tp
tshim-khenn,深坑,11,chhim-kheⁿ,tshim1khenn1,chhim1khenn1,tshimkhenn,chhimkhenn,tk,ck
tshing-tsuí,清水,11,chheng-chúi,tshing1tsui2,chheng1chui2,tshingtsui,chhengchui,tt,cc
kau-á,溝仔,11,kau-á,kau1a2,kau1a2,kaua,kaua,ka,ka
khe-tsiu,溪州,11,khe-chiu,khe1tsiu1,khe1chiu1,khetsiu,khechiu,kt,kc
tsô,漕,11,chô,tso5,cho5,tso,cho,,
tôo,濤,11,tô͘,too5,too5,too,too,,
oo-lâng,烏人,11,o͘-lâng,oo1lang5,oo1lang5,oolang,oolang,ol,ol
oo-káu,烏狗,11,o͘-káu,oo1kau2,oo1kau2,ookau,ookau,ok,ok
sik,熄,11,sek,sik4,sek4,sik,sek,,
liâu,燎,11,liâu,liau5,liau5,liau,liau,,
pán-pún,版本,11,pán-pún,pan2pun2,pan2pun2,panpun,panpun,pp,pp
tia̍p,牒,11,tia̍p,tiap8,tiap8,tiap,tiap,,
ún,狁,11,ún,un2,un2,un,un,,
bûn,玟,11,bûn,bun5,bun5,bun,bun,,
kî,琦,11,kî,ki5,ki5,ki,ki,,
kî,琪,11,kî,ki5,ki5,ki,ki,,
jû,瑜,11,jû,ju5,ju5,ju,ju,,
lián,璉,11,lián,lian2,lian2,lian,lian,,
pān,瓣,11,pān,pan7,pan7,pan,pan,,
pe̍h-lâng,白人,11,pe̍h-lâng,peh8lang5,peh8lang5,pehlang,pehlang,pl,pl
phàu,砲,11,phàu,phau3,phau3,phau,phau,,
sik,碩,11,sek,sik4,sek4,sik,sek,,
khàm,磡,11,khàm,kham3,kham3,kham,kham,,
khau,磽,11,khau,khau1,khau1,khau,khau,,
kî,祇,11,kî,ki5,ki5,ki,ki,,
sik,穡,11,sek,sik4,sek4,sik,sek,,
sún,簨,11,sún,sun2,sun2,sun,sun,,
liâm,簷,11,liâm,liam5,liam5,liam,liam,,
phok,粕,11,phok,phok4,phok4,phok,phok,,
liâm,粘,11,liâm,liam5,liam5,liam,liam,,
âng-enn-á,紅嬰仔,11,âng-eⁿ-á,ang5enn1a2,ang5enn1a2,angenna,angenna,aea,aea
âng-hê,紅霞,11,âng-hê,ang5he5,ang5he5,anghe,anghe,ah,ah
liú,紐,11,liú,liu2,liu2,liu,liu,,
khàm,紺,11,khàm,kham3,kham3,kham,kham,,
tshiong,縱,11,chhiong,tshiong1,chhiong1,tshiong,chhiong,,
bí,羋,11,bí,bi2,bi2,bi,bi,,
hònn,耗,11,hòⁿ,honn3,honn3,honn,honn,,
phok,膊,11,phok,phok4,phok4,phok,phok,,
sik,膝,11,sek,sik4,sek4,sik,sek,,
tshàu-lāu,臭老,11,chhàu-lāu,tshau3lau7,chhau3lau7,tshaulau,chhaulau,tl,cl
tē-á,苧仔,11,tē-á,te7a2,te7a2,tea,tea,ta,ta
tshu,苴,11,chhu,tshu1,chhu1,tshu,chhu,,
ka-tang,茄苳,11,ka-tang,ka1tang1,ka1tang1,katang,katang,kt,kt
jû,茹,11,jû,ju5,ju5,ju,ju,,
tôo,荼,11,tô͘,too5,too5,too,too,,
kueh,莢,11,koeh,kueh4,koeh4,kueh,koeh,,
ngueh,莢,11,ngoeh,ngueh4,ngoeh4,ngueh,ngoeh,,
am,菴,11,am,am1,am1,am,am,,
tshu,菹,11,chhu,tshu1,chhu1,tshu,chhu,,
bông,蒙,11,bông,bong5,bong5,bong,bong,,
suàn-thâu,蒜頭,11,soàn-thâu,suan3thau5,soan3thau5,suanthau,soanthau,st,st
tsiúnn,蔣,11,chiúⁿ,tsiunn2,chiunn2,tsiunn,chiunn,,
uè,薈,11,òe,ue3,oe3,ue,oe,,
lôo-tik,蘆竹,11,lô͘-tek,loo5tik4,loo5tek4,lootik,lootek,lt,lt
sik,虱,11,sek,sik4,sek4,sik,sek,,
bûn,蚊,11,bûn,bun5,bun5,bun,bun,,
kî,蜞,11,kî,ki5,ki5,ki,ki,,
sik,蝨,11,sek,sik4,sek4,sik,sek,,
sik,蟋,11,sek,sik4,sek4,sik,sek,,
la̍p,蠟,11,la̍p,lap8,lap8,lap,lap,,
bē-sái-tit,袂使得,11,bē-sái-tit,be7sai2tit4,be7sai2tit4,besaitit,besaitit,bst,bst
bē-kham-tit,袂堪得,11,bē-kham-tit,be7kham1tit4,be7kham1tit4,bekhamtit,bekhamtit,bkt,bkt
tē-á,袋仔,11,tē-á,te7a2,te7a2,tea,tea,ta,ta
phàu,袍,11,phàu,phau3,phau3,phau,phau,,
puê,裴,11,pôe,pue5,poe5,pue,poe,,
hònn,貨,11,hòⁿ,honn3,honn3,honn,honn,,
tshu,趋,11,chhu,tshu1,chhu1,tshu,chhu,,
î,輿,11,î,i5,i5,i,i,,
kiāu,轎,11,kiāu,kiau7,kiau7,kiau,kiau,,
tôo,逃,11,tô͘,too5,too5,too,too,,
thàu-kuè,透過,11,thàu-kòe,thau3kue3,thau3koe3,thaukue,thaukoe,tk,tk
tūn,遁,11,tūn,tun7,tun7,tun,tun,,
tūn,遯,11,tūn,tun7,tun7,tun,tun,,
liâu,遼,11,liâu,liau5,liau5,liau,liau,,
sik-khia,釋迦,11,sek-khia,sik4khia1,sek4khia1,sikkhia,sekkhia,sk,sk
tâng-lô,銅鑼,11,tâng-lô,tang5lo5,tang5lo5,tanglo,tanglo,tl,tl
lui,鐳,11,lui,lui1,lui1,lui,lui,,
ún,阭,11,ún,un2,un2,un,un,,
im,阴,11,im,im1,im1,im,im,,
