hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,khpoo
泜,tī,50,tī,ti7,ti7,ti,ti,,,True
泜,tǐ,50,tǐ,ti6,ti6,ti,ti,,,True
泞,tīr,50,tīr,tir7,tir7,tir,tir,,,True
泞,tū,50,tū,tu7,tu7,tu,tu,,,True
泞,tǐr,50,tǐr,tir6,tir6,tir,tir,,,True
泤,sīr,50,sīr,sir7,sir7,sir,sir,,,True
泤,sū,50,sū,su7,su7,su,su,,,True
泤,sǐr,50,sǐr,sir6,sir6,sir,sir,,,True
泫,hiān,50,hiān,hian7,hian7,hian,hian,,,True
泫,hiǎn,50,hiǎn,hian6,hian6,hian,hian,,,True
泿,gîrn,50,gîrn,girn5,girn5,girn,girn,,,True
泿,gûn,50,gûn,gun5,gun5,gun,gun,,,True
