tl,hanzi
âng-tsiunn,紅章
âng-tsó,紅棗
âng-tsuá,紅紙
âng-tsuá-thiap,紅紙帖
âng-tsuâ-tshiah-tshú,紅蛇赤鼠
âng-tsu,紅珠
âng-tsu-á,紅珠仔
âng-tsu-bok,紅珠木
âng-tsu-tsu,紅朱朱
âng-tsu-lê,紅珠螺
âng-e,紅萵
âng-gê,紅霓
âng-ge̍h,紅月
âng-gi̍k,紅玉
âng-gi̍k-tsiam,紅玉簪
âng-gio̍k-lân,紅玉蘭
âng-gûn-tsu,紅銀朱
âng-gûn-tsu-pit,紅銀朱筆
âng-gûn-tsu-puânn,紅銀朱盤
âng-gûn-tsu-tiâu,紅銀朱條
âng-hái-tshài,紅海菜
âng-hâi-jî,紅孩兒
âng-hám-hám,
âng-han-tsû,紅蕃薯
âng-ha̍p-hue,紅合花
âng-hê,紅蝦
âng-hê,紅霞
âng-hê-hê,紅霞霞
âng-hing-tsiáu,紅胸鳥
âng-hî,紅魚
âng-hî-á,紅魚仔
âng-hī-á-bi̍t,紅耳仔蜜
âng-hī-á-tshù,紅耳仔厝
âng-hiā,紅蟻
âng-hiā,紅瓦
âng-hîm,紅熊
âng-hio̍h,紅葉
âng-huà-kuann,紅化官
âng-huánn,紅幻
âng-huân,紅礬
âng-hue,紅花
âng-hué,紅火
âng-hue-bí,紅花米
âng-hue-bi̍t-tshài,紅花蜜菜
âng-hue-hî,紅花魚
âng-hue-ko,紅花膏
âng-hue-tiám,紅花點
âng-ho̍h,紅鶴
âng-hōng-tshài,紅鳳菜
âng-hōng-sian,紅鳳仙
âng-hōo,紅雨
âng-hûn,紅雲
âng-ì-á,紅薏仔
âng-iām,紅豔
âng-iann,紅纓
âng-iann-bō,紅纓帽
âng-înn,紅圓
âng-inn--á,紅嬰--仔
âng-io,紅帥
âng-iū,紅柚
âng-iûnn,紅楊
âng-jī,紅字
âng-jia̍t-pēnn,紅熱病
âng-jiâu-se,紅皺紗
âng-jîn-thôo,紅仁土
âng-ji̍t-á,紅日仔
âng-kak-tshì,紅角刺
âng-kam-tsíng,紅柑種
âng-kam-tsià,紅甘蔗
âng-kàm-sik,紅紺色
âng-ka-tang,紅茄苳
