tl,hanzi,frequency,poj
phuè,配,1767,phòe
phè,配,1767,phè
thui,推,1766,thui
to̍k,毒,1764,to̍k
khoo,箍,1764,kho͘
tiâu,調,1762,tiâu
hiunn,香,1757,hiuⁿ
siong,商,1750,siong
hún,粉,1750,hún
uàn,怨,1749,oàn
kìng,敬,1749,kèng
līng,另,1745,lēng
kûn,群,1745,kûn
thài,態,1744,thài
ping,兵,1742,peng
khiàm,欠,1738,khiàm
huān,犯,1738,hoān
kè,嫁,1737,kè
tshoo,初,1736,chho͘
kan,干,1736,kan
ta̍h,踏,1736,ta̍h
phîng,評,1735,phêng
pán,版,1734,pán
gē,藝,1733,gē
ang,翁,1732,ang
hô,河,1729,hô
tn̄g,斷,1722,tn̄g
tiâu,牢,1721,tiâu
bo̍k,莫,1720,bo̍k
ke,加,1719,ke
tsū,住,1718,chū
sòo,素,1717,sò͘
kin,今,1712,kin
lông,農,1711,lông
suan,宣,1710,soan
pian,編,1708,pian
thua,拖,1704,thoa
thâi,刣,1700,thâi
kue,瓜,1700,koe
píng,反,1698,péng
bo̍k,木,1697,bo̍k
kán,簡,1691,kán
muá,滿,1688,móa
liông,良,1685,liông
siù,秀,1682,siù
tshái,採,1681,chhái
lia̍t,列,1678,lia̍t
tîng,重,1677,têng
kuān,縣,1675,koān
tsing,爭,1674,cheng
té,短,1674,té
tsia,遮,1669,chia
hāu,候,1663,hāu
hiàn,獻,1663,hiàn
khàu,哭,1662,khàu
thàm,探,1658,thàm
hing,興,1656,heng
liâu,寮,1650,liâu
tháng,桶,1650,tháng
puânn,盤,1650,pôaⁿ
khah,卡,1648,khah
tsioh,借,1646,chioh
tiāu,調,1645,tiāu
tia̍p,揲,1641,tia̍p
îng,榮,1641,êng
láu,老,1640,láu
si̍p,十,1639,si̍p
sù,四,1639,sù
tshn̂g,床,1634,chhn̂g
tsì,至,1634,chì
tshīng,穿,1626,chhēng
siànn,聖,1624,siàⁿ
sàn,散,1623,sàn
hiám,險,1623,hiám
un,溫,1622,un
tsiām,漸,1621,chiām
tánn,打,1617,táⁿ
ló,咾,1612,ló
hng,方,1611,hng
tsoh,作,1609,choh
tsa̍p,雜,1608,cha̍p
buē,未,1607,bōe
bē,未,1607,bē
biō,廟,1600,biō
tap,答,1599,tap
tō,導,1596,tō
tsūn,陣,1595,chūn
khuân,環,1578,khoân
tē,袋,1578,tē
lâm,男,1573,lâm
si̍k,熟,1569,se̍k
tuà,帶,1565,tòa
tshî,持,1563,chhî
tsun,尊,1562,chun
kí,己,1560,kí
lim,啉,1559,lim
hù,富,1558,hù
tîng,庭,1556,têng
kian,堅,1553,kian
kin,根,1550,kin
kun,根,1550,kun
hē,係,1541,hē
tiong,忠,1540,tiong
peh,𬦰,1537,peh
hān,限,1536,hān
sì,勢,1535,sì
niá,領,1526,niá
bīng,命,1524,bēng
lo̍k,錄,1522,lo̍k
ah,啊,1521,ah
tsiong,章,1521,chiong
lān,難,1520,lān
tsióng,獎,1514,chióng
thuè,替,1511,thòe
thè,替,1511,thè
pá,飽,1511,pá
huānn,岸,1508,hōaⁿ
io,育,1507,io
tsió,少,1505,chió
tsûn,存,1501,chûn
tsong,宗,1500,chong
bú,武,1500,bú
hián,顯,1494,hián
ta̍t,值,1491,ta̍t
jû,如,1489,jû
lû,如,1489,lû
hô,何,1488,hô
khan,刊,1488,khan
iûnn,洋,1488,iûⁿ
hioh,歇,1485,hioh
koo,孤,1483,ko͘
