hanzi	tl
一得一失	it-tit-it-sit
一徛一畫	tsi̍t-khiā-tsi̍t-uē
一心	it-sim
一心	tsi̍t-sim
一心一意	it-sim-it-ì
一心二用	it-sim-jī-iōng
一心二用	it-sim-nn̄g-īong
一心憶著	tsi̍t-sim-i̍t--tio̍h
一心欲死	tsi̍t-sim-beh-sí
一必一中	it-pit-it-tiòng
一念	it-liām
一悲一喜	it-pi-it-hí
一意	it-ì
一意孤行	it-ì-koo-hîng
一應	it-ìng
一應俱全	it-ìng-kū-tsuân
一戌仔	tsi̍t-sut-á
一戌戌仔	tsi̍t-sut-sut-á
一戰	it-tsiàn
一所在	tsi̍t-sóo-tsāi
一手	it-tshiú
一手	tsi̍t-tshiú
一手包辦	tsi̍t-tshiú-pau-pān
一手販賣	it-tshiú-huàn-bē
一打	tsi̍t-tánn
一技之長	it-ki-tsi-tiông
一把抓	it-pá-tsua
一拖	tsi̍t-thua
一括	tsi̍t-kuah
一指遮蔽	tsi̍t-kí-jia-pè
一捋仔	tsi̍t-leh-á
一捧箭	tsi̍t-phâng-tsìnn
一捲	tsi̍t-kńg
一捻手	tsi̍t-liām-tshiú
一掃空	it-sóo-khong
一掃而空	it-sàu-jî-khong
一掠長	tsi̍t-lia̍h-tn̂g
一搣仔	tsi̍t-mi-á
一搦米	tsi̍t-la̍k-bí
一搭	tsi̍t-tah
一撇	tsi̍t-phuat
一撈一臭	tsi̍t-lā-tsi̍t-tshàu
一撮	tsi̍t-tshok
一撮仔	tsit-tsheh-á
一撮仔	tsi̍t-tshok-á
一擔錢	tsi̍t-tànn-tsînn
一擺	tsi̍t-pái
一擺半擺	tsi̍t-pái-puànn-pái
一攫千金	it-khiok-tshian-kim
一文	it-bûn
一文	tsi̍t-î
一文不值	it-bûn-put-ti̍t
一斗	tsi̍t-táu
一斬仔	tsi̍t-tsām-á
一方通行	it-hong-thong-hîng
一方面	tsi̍t-hong-bīn
一旁	tsi̍t-pîng
一旋	tsi̍t-se̍h
一族	tsi̍t-tso̍k
一日	it-ji̍t
一日	tsi̍t-gi̍t
一日	tsi̍t-ji̍t
一日	tsi̍t-li̍t
一日一日	tsi̍t-ji̍t-tsi̍t-ji̍t
一日到暗	tsi̍t-ji̍t-kàu-àm
一日到暗	tsi̍t-li̍t-kàu-àm
一日拍鳥	tsi̍t-ji̍t-phah-tsiáu
一日掠漁	tsi̍t-ji̍t-lia̍h-hî
一日掠魚	tsi̍t-ji̍t-lia̍h-hî
一日討海	tsi̍t-ji̍t-thó-hái
一旦	it-tàn
一早	it-tsá
一時	it-sî
一時	tsi̍t-sî
一時之間	it-sî-tsi-kan
一時仔	tsi̍t-sî-á
一時的	it-sî-tik
一時的	tsi̍t-sî-tik
一時的	tsi̍t-sî-ti̍k
一晝一夜	it-tiù-it-iā
一晡	tsi̍t-poo
一晡久	tsi̍t-poo-kú
一暝	tsi̍t-mê
一暝一日	tsi̍t-mê-tsi̍t-ji̍t
一暝日	tsi̍t-mê-ji̍t
一暫仔	tsi̍t-tsām-á
一更	it-kinn
一更洋	tsi̍t-kinn-iûnn
一更船	tsi̍t-kinn-tsûn
一書	it-su
一替一換	tsi̍t-thuè-tsi̍t-uānn
一月	it--ge̍h
一月	it--gue̍h
一月	it-ge̍h
一月	it-gue̍h
一月外	tsi̍t-gue̍h-guā
一月捅	tsi̍t-gue̍h-thóng
一月日	tsi̍t ge̍h-ji̍t
一月日	tsi̍t ge̍h-li̍t
一月日	tsi̍t ge̍rh-ji̍t
一月日	tsi̍t ge̍rh-li̍t
一月日	tsi̍t gue̍h-ji̍t
一服藥	tsi̍t-ho̍k-io̍h
一望無際	it-bōng-bû-tsè
一朝	it-tiau
一朝	it-tiâu
一朝一夕	it-tiau-it-si̍k
一本萬利	it-pún-bān-lī
一板一眼	it-pán-it-gán
一板香	it-pán-hiong
一枇	tsi̍t-pî
一枇	tsi̍t-pînn
一枇弓蕉	tsi̍t-pî-king-tsio
一枝	tsi̍t-ki
一枝搖	it-ki-iô
一枝搖	tsi̍t-ki-iô
一枝早	it-ki-tsá
一枝獨秀	it-ki-to̍k-siù
一枝花	it-ki-hue
一枝鐵	tsi̍t-ki-thih
一枝香	it-ki-hiong
一枝香	it-ki-hiunn
一枝香	tsi̍t-ki-hiunn
一桮	tsi̍t-pue
一條	tsi̍t-tiâu
一條一段	tsi̍t-tiâu-tsi̍t-tuānn
